證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　　　 銀行存款利息,　　　 外幣兌換損失,　　　 利息費用,　　　 勞務收入,　　　　 勞務收入淨額,　　　 維修收入,　　　　 維修收入淨額,　　　 勞務成本,　　　　 勞務成本合計,　　　 維修成本,　　　 銷貨成本
3021,2015年第3季,,,,                404687,                              0,                404687,,                 34625,,                  4548,                443860,,                340678,                103182,                103182,,,                 35813,,                 42965,                 78778,                 24404,,,,                    390,                  4950,                  1243,                  6583,,                  9870,                  5622,                  4248,,                  1225,                  9606,                 34010,,                  3749,                 30261,                 30261,,,                 37949,                 -6237,                              0,                 31712,                 31712,                 61973,,                 30260,                      1,,                 61972,                      1,,                              0.29,,                              0.29,,,,,,,,,,,,,,,,,,,,,
3021,2015年第2季,,,,,,,,,,,                451635,,                350105,                101530,                101530,,,                 34541,,                 49895,                 84436,                 17094,,,,,,,                  9531,,,,                   -322,,                  1039,                  8170,                 25264,,                  2440,                 22824,                 22824,,,                -12914,                  2335,                              0,                -10579,                -10579,                 12245,,                 22824,                              0,,                 12245,                              0,,                              0.22,,                              0.21,                  2440,,,,,,,,,,,,,,,,,,,,
3021,2015年01月01日至2015年09月30日,,,,              1189224,                     33,              1189191,,                106868,,                  9918,              1305977,,              1009564,                296413,                296413,,,                105463,,                147207,                252670,                 43743,,,,                  1712,                  4950,                 13286,                 19948,,                  9819,                  7354,                  2465,,                  3186,                 19227,                 62970,,                  4942,                 58028,                 58028,,,                 16729,                 -1200,                              0,                 15529,                 15529,                 73557,,                 58026,                      2,,                 73555,                      2,,                              0.55,,                              0.55,,,,,,,,,,,,,,,,,,,,,
3021,2015年01月01日至2015年06月30日,,,,,,,,,,,                862117,,                668886,                193231,                193231,,,                 69650,,                104242,                173892,                 19339,,,,,,,                 13365,,,,                 -1783,,                  1961,                  9621,                 28960,,                  1193,                 27767,                 27767,,,                -21220,                  5037,                              0,                -16183,                -16183,                 11584,,                 27766,                      1,,                 11583,                      1,,                              0.27,,                              0.26,                  1193,,,,,,,,,,,,,,,,,,,,
3021,2015年01月01日至2015年03月31日,,,,,,,,,,,                410482,,                318781,                 91701,                 91701,,,                 35109,,                 54347,                 89456,                  2245,,,,,,,                  3834,,,,                 -1461,,                    922,                  1451,                  3696,,                 -1247,                  4943,                  4943,,,                 -8306,                  2702,                              0,                 -5604,                 -5604,                   -661,,                  4942,                      1,,                   -662,                      1,,                              0.05,,                              0.05,                 -1247,,,,,,,,,,,,,,,,,,,,
3021,2014年第3季,,,,                358391,                  1353,                357038,,                 28610,,                  1267,                386915,,                299089,                 87826,                 87826,,,                 32751,,                 48885,                 81636,                  6190,,,,                    399,                  3889,                  1793,                  6081,,                  2725,                  1244,                  1481,,                    855,                  6707,                 12897,,                 -5017,                 17914,                 17914,,,                 19997,                  6510,                              0,                 26507,                 26507,                 44421,,                 17911,                      3,,                 44418,                      3,,                              0.17,,                              0.17,,,,,,,,,,,,,,,,,,,,,
3021,2014年第2季,,,,,,,,,,,                465306,,                355367,                109939,                109939,,,                 32637,,                 48372,                 81009,                 28930,,,,,,,                  2489,,,,                 -3750,,                    975,                 -2236,                 26694,,                  3350,                 23344,                 23344,,,                -14032,                  3341,                              0,                -10691,                -10691,                 12653,,                 23344,                              0,,                 12653,                              0,,                              0.22,,                              0.22,                  3350,,,,,,,,,,,,,,,,,,,,
3021,2014年度,,,,,,,,,,,              1648510,,              1239343,                409167,                409167,,,                130240,,                202245,                332485,                 76682,,,,,,,                  7737,,,,                  4721,,                  1306,                 11152,                 87834,,                  7547,                 80287,                 80287,,,,,,,                 39514,                119801,,                 80281,                      6,,                119795,                      6,,                              0.75,,                              0.75,,                 30804,                  8710,                              0,,,,,,,,,,,,,,,,,
3021,2014年01月01日至2014年09月30日,,,,              1126863,                  2346,              1124517,,                 91289,,                  3134,              1218940,,                923244,                295696,                295696,,,                 95997,,                146055,                242052,                 53644,,,,                  1495,                  3889,                  6197,                 11581,,                  2935,                  4104,                 -1169,,                  2599,                  7813,                 61457,,                 -1667,                 63124,                 63124,,,                  4206,                 11446,                              0,                 15652,                 15652,                 78776,,                 63122,                      2,,                 78774,                      2,,                              0.59,,                              0.59,,,,,,,,,,,,,,,,,,,,,
3021,2014年01月01日至2014年06月30日,,,,,,,,,,,                832025,,                624155,                207870,                207870,,,                 63246,,                 97170,                160416,                 47454,,,,,,,                  5500,,,,                 -2650,,                  1744,                  1106,                 48560,,                  3350,                 45210,                 45210,,,                -15791,                  4936,                              0,                -10855,                -10855,                 34355,,                 45211,                     -1,,                 34356,                     -1,,                              0.42,,                              0.42,                  3350,,,,,,,,,,,,,,,,,,,,
