證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 處分投資性不動產利益,　　　　 無形資產減損損失,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 其他綜合損益
3041,2015年第3季,,,,                972847,                972847,                 14566,                  5971,                952310,                952310,,                547225,                405085,                405085,,,                 73794,,                 66866,,                303392,                444052,                -38967,,,,                 12467,                 12467,                  1789,                     42,                 11397,                 25695,,                              0,                 20403,                 27208,                  4752,                    236,                      3,,                  4479,                  4479,                 47645,,                      4,                      4,,                              0,                              0,                 73336,                 34369,,                  3324,                  3324,                 31045,                 31045,,,                 21013,                   -543,                  3572,                 16898,                 16898,                 47943,,                 31045,,                 47943,,                              0.11,,                              0.11,,,,,,,,,,,,,,,
3041,2015年第2季,,,,                694411,                694411,                 28928,                  6998,                658485,                658485,,                403323,                255162,                255162,,,                 60269,,                 76032,,                286553,                422854,               -167692,,,,                 14430,                 14430,                  1790,,                  2913,                 19133,,                              0,                    -23,                              0,                  1165,                    241,                    191,,,,                 -7979,,                     66,                     66,,                              0,                              0,                 11088,               -156604,,                -21197,                -21197,               -135407,               -135407,,,                 -4015,                  1510,                   -683,                 -1822,                 -1822,               -137229,,               -135407,,               -137229,,                             -0.46,,                             -0.46,                  8689,                              0,,,,,,,,,,,,,
3041,2015年01月01日至2015年09月30日,,,,              2608430,              2608430,                 60476,                 27269,              2520685,              2520685,,              1480638,              1040047,              1040047,,,                199703,,                213938,,                850898,              1264539,               -224492,,,,                 42093,                 42093,                  4836,                     42,                 15829,                 62800,,                              0,                 23371,                 20667,                  6797,                  1025,                    223,,                  4479,                  4479,                 45108,,                     91,                     91,,                              0,                              0,                107817,               -116675,,                -12936,                -12936,               -103739,               -103739,,,                  4939,                  2552,                    840,                  6651,                  6651,                -97088,,               -103739,,                -97088,,                             -0.35,,                             -0.35,,,,,,,,,,,,,,,
3041,2015年01月01日至2015年06月30日,,,,              1635583,              1635583,                 45910,                 21298,              1568375,              1568375,,                933413,                634962,                634962,,,                125909,,                147072,,                547506,                820487,               -185525,,,,                 29626,                 29626,                  3047,,                  4432,                 37105,,                              0,                  2968,                              0,                  2045,                    789,                    220,,,,                 -2537,,                     87,                     87,,                              0,                              0,                 34481,               -151044,,                -16260,                -16260,               -134784,               -134784,,,                -16074,                  3095,                 -2732,                -10247,                -10247,               -145031,,               -134784,,               -145031,,                             -0.46,,                             -0.46,                  6541,                              0,,,,,,,,,,,,,
3041,2015年01月01日至2015年03月31日,,,,                941172,                941172,                 16982,                 14300,                909890,                909890,,                530090,                379800,                379800,,,                 65640,,                 71040,,                260953,                397633,                -17833,,,,                 15196,                 15196,                  1257,,                  1519,                 17972,,                              0,                  2991,                  2148,                    880,                    548,                     29,,,,                  5442,,                     21,                     21,,                              0,                              0,                 23393,                  5560,,                  4937,                  4937,                    623,                    623,,,                -12059,                  1585,                 -2049,                 -8425,                 -8425,                 -7802,,                    623,,                 -7802,,                              0.00,,                              0.00,,                              0,,                530090,                530090,,,,,,,,,,
3041,2014年第3季,,,,              1417171,              1417171,                 16393,                  4948,              1395830,              1395830,,                798154,                597676,                597676,,,                104663,,                 78543,,                291762,                474968,                122708,,,,                 14523,                 14523,                    169,                     50,                  4952,                 19694,,                              0,                  1690,                 15046,                  1089,                      3,                    117,,                 25965,                 25965,                 -8260,,                      2,                      2,,                              0,                              0,                 11432,                134140,,                 21890,                 21890,                112250,                112250,,,                  9614,                 -2027,                  1634,                  5953,                  5953,                118203,,                112250,,                118203,,                              0.38,,                              0.38,,,,,,,,,,,,,,,
3041,2014年第2季,,,,              1030941,              1030941,                  3520,                 10531,              1016890,              1016890,,                542663,                474227,                474227,,,                 80635,,                 73340,,                278005,                431980,                 42247,,,,                 16671,                 16671,                    173,,                  1887,                 18731,,                              0,                              0,                              0,                    424,                   -286,                    475,,,,                -12380,,                      8,                      8,,                              0,                              0,                  6343,                 48590,,                 14910,                 14910,                 33680,                 33680,,,                 -8251,                   -901,                 -1403,                 -7749,                 -7749,                 25931,,                 33680,,                 25931,,                              0.12,,                              0.11,                 12615,                              0,,,,,,,,,,,,,
3041,2014年度,,,,              4704004,              4704004,                 33213,                 23396,              4647395,              4647395,,              2584996,              2062399,              2062399,,,                357865,,                322290,,              1143803,              1823958,                238441,,,,                 61703,                 61703,                    685,                     50,                 14890,                 77328,,,                  1702,                 29640,,                    332,                  1512,,                 25965,                 31234,                 -3071,,                     42,                     42,,                              0,                              0,                 74215,                312656,,,                 48006,                264650,                264650,,,,,,,                  9912,                274562,,                264650,,                274562,,                              0.90,,                              0.88,,                  1335,,              2584996,              2584996,                              0,                  5269,                              0,                 48006,                 15534,                 -2713,                  2909,,,
3041,2014年01月01日至2014年09月30日,,,,              3557548,              3557548,                 20459,                 16339,              3520750,              3520750,,              1899270,              1621480,              1621480,,,                272683,,                240913,,                871396,              1384992,                236488,,,,                 46579,                 46579,                    510,                     50,                 13314,                 60453,,                              0,                  1690,                  6545,                 -2497,                    330,                    637,,                 25965,                 25965,                -21194,,                     26,                     26,,                              0,                              0,                 39233,                275721,,                 47042,                 47042,                228679,                228679,,,                  2577,                 -2597,                    706,                   -726,                   -726,                227953,,                228679,,                227953,,                              0.78,,                              0.76,,,,,,,,,,,,,,,
3041,2014年01月01日至2014年06月30日,,,,              2140377,              2140377,                  4066,                 11391,              2124920,              2124920,,              1101116,              1023804,              1023804,,,                168020,,                162370,,                579634,                910024,                113780,,,,                 32056,                 32056,                    341,,                  8362,                 40759,,                              0,                              0,                              0,                              0,                    327,                    520,,,,                -12934,,                     24,                     24,,                              0,                              0,                 27801,                141581,,                 25152,                 25152,                116429,                116429,,,                 -7037,                   -570,                   -928,                 -6679,                 -6679,                109750,,                116429,,                109750,,                              0.40,,                              0.39,                  8501,                  3586,,,,,,,,,,,,,
3041,2014年01月01日至2014年03月31日,,,,              1109436,              1109436,                    546,                    860,              1108030,              1108030,,                558453,                549577,                549577,,,                 87385,,                 89030,,                301629,                478044,                 71533,,,,                 15385,                 15385,                    168,,                  6475,                 22028,,                              0,                              0,                  4114,                              0,                    613,                     45,,,,                   -554,,                     16,                     16,,                              0,                              0,                 21458,                 92991,,                 10242,                 10242,                 82749,                 82749,,,                  1214,                    331,                    475,                  1070,                  1070,                 83819,,                 82749,,                 83819,,                              0.28,,                              0.28,,                  4010,,                558453,                558453,,,,,,,,,,
3041,2013年第3季,,,,              1091173,              1091173,                 32134,                    332,              1058707,              1058707,,                617622,                441085,                441085,,,                 62863,,                100274,,                290603,                453740,                -12655,,,,                 13187,                 13187,                    157,                     91,                  6346,                 19781,,                              0,                              0,                -12730,                    702,                    -30,                     45,,                              0,                              0,                -12043,,                     16,                     16,,                    551,                    551,                  8273,                 -4382,,,                 39619,                -44001,                -44001,,,,,,,                 -2969,                -46970,,                -44001,,                -46970,,                             -0.15,,                             -0.15,,,,,,,,,                 39619,                 -2979,                   -496,                   -506,,,
