證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
3051,2015年第3季,,,,                942061,                 23088,                 32936,                886037,                886037,,                714773,                171264,                171264,,,                 32092,,                 31892,,                 29192,                 93176,                 78088,,,                 22886,,                 86180,,                 43723,                 43723,                 65343,                143431,,                  9453,                133978,                133978,,,                 -2068,                   -352,                 -1716,                 -1716,                132262,,                133978,                              0,,                132262,                              0,,                              0.41,,,,,,,,,,,
3051,2015年第2季,,,,                840670,                 14415,                 17914,                808341,                808341,,                655381,                152960,                152960,,,                 35430,,                 31148,,                 27337,                 93915,                 59045,,,                 27194,,                -13310,,                 44071,                 44071,                -30187,                 28858,,                  4439,                 24419,                 24419,,,                 -1058,                   -180,                   -878,                   -878,                 23541,,                 24419,,,                 23541,,,                              0.08,,,,,,,,,,,
3051,2015年01月01日至2015年09月30日,,,,              2816490,                 45467,                 69515,              2701508,              2701508,,              2122440,                579068,                579068,,,                 94576,,                 98293,,                 84372,                277241,                301827,,,                 68010,,                 61158,,                131924,                131924,                 -2756,                299071,,                -11561,                310632,                310632,,,                 -3456,                   -588,                 -2868,                 -2868,                307764,,                310632,                              0,,                307764,                              0,,                              0.95,,,,,,,,,,,
3051,2015年01月01日至2015年06月30日,,,,              1874429,                 22379,                 36579,              1815471,              1815471,,              1407667,                407804,                407804,,,                 62484,,                 66401,,                 55180,                184065,                223739,,,                 45124,,                -25022,,                 88201,                 88201,                -68099,                155640,,                -21014,                176654,                176654,,,                 -1388,                   -236,                 -1152,                 -1152,                175502,,                176654,,,                175502,,,                              0.54,,,,,,,,,,,
3051,2015年01月01日至2015年03月31日,,,,              1033759,                  7964,                 18665,              1007130,              1007130,,                752286,                254844,                254844,,,                 27054,,                 35253,,                 27843,                 90150,                164694,,,                 17930,,                -11712,,                 44130,                 44130,                -37912,                126782,,                -25453,                152235,                152235,,,                   -330,                    -56,                   -274,                   -274,                151961,,                152235,                              0,,                151961,                              0,,                              0.47,,                              0,,,,,,,,,
3051,2014年第3季,,,,              1157579,                  8670,                 15527,              1133382,              1133382,,                888034,                245348,                245348,,,                 26792,,                 35934,,                 25853,                 88579,                156769,,,                 17055,,                 66279,,                 44359,                 44359,                 38975,                195744,,                -19010,                214754,                214754,,,                  2631,                    446,                  2185,                  2185,                216939,,                214787,                    -33,,                216972,                    -33,,                              0.66,,,,,,,,,,,
3051,2014年第2季,,,,                941080,                  2757,                  1034,                937289,                937289,,                768242,                169047,                169047,,,                 31294,,                 32388,,                 24740,                 88422,                 80625,,,                 16927,,                -35074,,                 44890,                 44890,                -63037,                 17588,,                  8117,                  9471,                  9471,,,                 -2606,                   -443,                 -2163,                 -2163,                  7308,,                  9471,,,                  7308,,,                              0.03,,,,,,,,,,,
3051,2014年度,,,,              4163282,                 16247,                 42028,              4105007,              4105007,,              3224928,                880079,                880079,,,                131028,,                143951,,                 99346,                374325,                505754,,,                 77393,,                138664,,                180975,                180975,                 35082,                540836,,                  3996,                536840,                536840,,,,,,                  1031,                537871,,                536840,                              0,,                537871,                              0,,                              1.65,,,                  2061,                   -729,                    301,,,,,,
3051,2014年01月01日至2014年09月30日,,,,              2732332,                 15509,                 17822,              2699001,              2699001,,              2147510,                551491,                551491,,,                 96945,,                101239,,                 73679,                271863,                279628,,,                 53755,,                 22706,,                136051,                136051,                -59590,                220038,,                   -640,                220678,                220678,,,                   -917,                   -206,                   -711,                   -711,                219967,,                220711,                    -33,,                220000,                    -33,,                              0.68,,,,,,,,,,,
3051,2014年01月01日至2014年06月30日,,,,              1574753,                  6839,                  2295,              1565619,              1565619,,              1259476,                306143,                306143,,,                 70153,,                 65305,,                 47826,                183284,                122859,,,                 36700,,                -43573,,                 91692,                 91692,                -98565,                 24294,,                 18370,                  5924,                  5924,,,                 -3548,                   -652,                 -2896,                 -2896,                  3028,,                  5924,,,                  3028,,,                              0.02,,,,,,,,,,,
3051,2014年01月01日至2014年03月31日,,,,                633673,                  4082,                  1261,                628330,                628330,,                491234,                137096,                137096,,,                 38859,,                 32917,,                 23086,                 94862,                 42234,,,                 19773,,                 -8499,,                 46802,                 46802,                -35528,                  6706,,                 10253,                 -3547,                 -3547,,,                   -942,                   -209,                   -733,                   -733,                 -4280,,                 -3547,                              0,,                 -4280,                              0,,                             -0.01,,                              0,,,,,,,,,
3051,2013年第3季,,,,                887000,                    645,                  3876,                882479,                882479,,                689239,                193240,                193240,,,                 33849,,                 29708,,                 28838,                 92395,                100845,,,                 36644,,                -29089,,                 52668,                 52668,                -45113,                 55732,,                 -3672,                 59404,                 59404,,,,,,                 -2117,                 57287,,                 59404,                              0,,                 57287,                              0,,                              0.18,,,                 -2551,,                   -434,,,,,,
3051,2013年第2季,,,,              1160367,                  2297,                  8682,              1149388,              1149388,,                886213,                263175,                263175,,,                 40783,,                 35971,,                 25682,                102436,                160739,,,                 19285,,                 28376,,                 55086,                 55086,                 -7425,                153314,,                -57961,                211275,                211275,,,,,,                  3070,                214345,,                211275,                              0,,                214345,                              0,,                              0.65,,,                  3700,,                    630,,,,,,
3051,2013年度,,,,              4057724,                 10445,                 21459,              4025820,              4025820,,              3225999,                799821,                799821,,,                141211,,                133935,,                103321,                378467,                421354,,,                 99657,,                105907,,                214938,                214938,                 -9374,                411980,,               -124642,                536622,                536622,,,,,,                 10823,                547445,,                536622,                              0,,                547445,                              0,,                              1.65,,,                 12902,                    164,                  2243,,,,,,
3051,2013年07月01日至2013年09月30日,,,,                887000,                    645,                  3876,                882479,                882479,,                689239,                193240,                193240,,,                 33849,,                 29708,,                 28838,                 92395,                100845,,,                 36644,,                -29089,,                 52668,                 52668,                -45113,                 55732,,                 -3672,                 59404,                 59404,,,,,,                 -2117,                 57287,,                 59404,                              0,,                 57287,                              0,,                              0.18,,,                 -2551,,                   -434,,,,,,
3051,2013年04月01日至2013年06月30日,,,,              1160367,                  2297,                  8682,              1149388,              1149388,,                886213,                263175,                263175,,,                 40783,,                 35971,,                 25682,                102436,                160739,,,                 19285,,                 28376,,                 55086,                 55086,                 -7425,                153314,,                -57961,                211275,                211275,,,,,,                  3070,                214345,,                211275,                              0,,                214345,                              0,,                              0.65,,                              0,                  3700,,                    630,,                              0,,                              0,,                              0
3051,2013年01月01日至2013年12月31日,,,,              4057724,                 10445,                 21459,              4025820,              4025820,,              3225999,                799821,                799821,,,                141211,,                133935,,                103321,                378467,                421354,,,                 99657,,                105907,,                214938,                214938,                 -9374,                411980,,               -124642,                536622,                536622,,,,,,                 10823,                547445,,                536622,                              0,,                547445,                              0,,                              1.65,,,                 12902,                    164,                  2243,,,,,,
3051,2013年01月01日至2013年09月30日,,,,              3140799,                  8596,                 20080,              3112123,              3112123,,              2486570,                625553,                625553,,,                102765,,                 97894,,                 74757,                275416,                350137,,,                 77333,,                 91622,,                163250,                163250,                  5705,                355842,,               -120614,                476456,                476456,,,,,,                  7657,                484113,,                476456,                              0,,                484113,                              0,,                              1.46,,,                  9226,,                  1569,,,,,,
