證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3062,2015年第3季,,              2732740,,              2462248,                270492,                270492,,,                 42096,,                 24179,,                114895,                181170,                 89322,,,                 21213,,                 64131,,                              0,,                 -4051,                 81293,                170615,,                 47300,                123315,                123315,,,                 31495,                 -7876,,                 24691,                  4016,                 44294,                 44294,                167609,,                123315,,                167609,,                              0.38,,                              0.37,,,,,,,,
3062,2015年第2季,,              4632292,,              4225008,                407284,                407284,,,                 68243,,                 25277,,                102040,                195560,                211724,,,                 51176,,               -126675,,,,                -19646,                -95145,                116579,,                 40351,                 76228,                 76228,,,                -15936,                 14440,,                 -2570,                   -254,                 -3812,                 -3812,                 72416,,                 76228,,                 72416,,                              0.23,,                              0.23,,,,,,,,
3062,2015年第1季,,              4296842,,              3941828,                355014,                355014,,,                 68597,,                 23394,,                 97349,                189340,                165674,,,                 70658,,                -70926,,,,                    813,                    545,                166219,,                 37350,                128869,                128869,,,                 -7116,                 -5117,,                 -3533,                 -2080,                -13686,                -13686,                115183,,                128869,,                115183,,                              0.40,,                              0.39,,              4296842,,,,,,
3062,2015年01月01日至2015年09月30日,,             11661874,,             10629084,              1032790,              1032790,,,                178936,,                 72850,,                314284,                566070,                466720,,,                143047,,               -133470,,                              0,,                -22884,                -13307,                453413,,                125001,                328412,                328412,,,                  8443,                  1447,,                 18588,                  1682,                 26796,                 26796,                355208,,                328412,,                355208,,                              1.01,,                              0.99,,,,,,,,
3062,2015年01月01日至2015年06月30日,,              8929134,,              8166836,                762298,                762298,,,                136840,,                 48671,,                199389,                384900,                377398,,,                121834,,               -197601,,,,                -18833,                -94600,                282798,,                 77701,                205097,                205097,,,                -23052,                  9323,,                 -6103,                 -2334,                -17498,                -17498,                187599,,                205097,,                187599,,                              0.63,,                              0.62,,,,,,,,
3062,2014年第3季,,              3901128,,              3655714,                245414,                245414,,,                 35981,,                 25051,,                 95506,                156538,                 88876,,,                 43432,,                 14834,,                      5,,                -10680,                 47581,                136457,,                 34130,                102327,                102327,,,                 15330,                -80052,,                  3407,                 -9845,                -51470,                -51470,                 50857,,                102327,,                 50857,,                              0.31,,                              0.31,,,,,,,,
3062,2014年第2季,,              4809573,,              4397109,                412464,                412464,,,                 80085,,                 28933,,                 98400,                207418,                205046,,,                 17746,,                -52780,,,,                -20802,                -55836,                149210,,                 33860,                115350,                115350,,,                -10134,                259902,,                 -8812,                 40963,                199993,                199993,                315343,,                115350,,                315343,,                              0.35,,                              0.35,,,,,,,,
3062,2014年第1季,,              3826762,,              3608467,                218295,                218295,,,                 82417,,                 35526,,                 90793,                208736,                  9559,,,                 35866,,                  5016,,,,                -24595,                 16287,                 25846,,                  5674,                 20172,                 20172,,,                  2272,                              0,,                              0,                    386,                  1886,                  1886,                 22058,,                 20172,,                 22058,,                              0.06,,                              0.06,,              3826762,,,,,,
3062,2014年度,,             16078996,,             14886137,              1192859,              1192859,,,                228239,,                103622,,                411092,                742953,                449906,,,                 72397,,                  1921,,                      5,,                -81705,                 -7392,                442514,,                101131,                341383,                341383,,,,,,,,,                111404,                452787,,                341383,,                452787,,                              1.05,,                              1.04,,,                 27608,                 87095,                  9064,,                  8677,                 21040
3062,2014年01月01日至2014年09月30日,,             12537463,,             11661290,                876173,                876173,,,                198483,,                 89510,,                284699,                572692,                303481,,,                 97044,,                -32930,,                      5,,                -56077,                  8032,                311513,,                 73664,                237849,                237849,,,                  3365,                179850,,                 -1302,                 31504,                150409,                150409,                388258,,                237849,,                388258,,                              0.73,,                              0.73,,,,,,,,
3062,2014年01月01日至2014年06月30日,,              8636335,,              8005576,                630759,                630759,,,                162502,,                 64459,,                189193,                416154,                214605,,,                 53612,,                -47764,,,,                -45397,                -39549,                175056,,                 39534,                135522,                135522,,,                -11965,                259902,,                 -4709,                 41349,                201879,                201879,                337401,,                135522,,                337401,,                              0.42,,                              0.41,,,,,,,,
3062,2014年01月01日至2014年03月31日,,              3826762,,              3608467,                218295,                218295,,,                 82417,,                 35526,,                 90793,                208736,                  9559,,,                 35866,,                  5016,,                              0,,                -24595,                 16287,                 25846,,                  5674,                 20172,                 20172,,,,,,,,,                  1886,                 22058,,                 20172,,                 22058,,                              0.06,,                              0.06,,              3826762,                  2272,,,,,                    386
3062,2013年第3季,,              3776288,,              3494546,                281742,                281742,,,                 49848,,                 40428,,                114212,                204488,                 77254,,,                 20201,,                -18057,,                  1132,,                 -7132,                 -6120,                 71134,,                 37771,                 33363,                 33363,,,,,,,,,                 -5747,                 27616,,                 33363,,                 27616,,                              0.10,,                              0.10,,,                 -6924,                              0,                              0,,,                 -1177
3062,2013年第2季,,              3387928,,              3169882,                218046,                218046,,,                 19452,,                 35388,,                113017,                167857,                 50189,,,                 46410,,                 -4636,,                  2125,,                 -3681,                 35968,                 86157,,                 18374,                 67783,                 67783,,,,,,,,,                  7875,                 75658,,                 67783,,                 75658,,                              0.21,,                              0.21,,,                  9488,                              0,,,,                  1613
3062,2013年度,,             12910859,,             12095093,                815766,                815766,,,                143914,,                138318,,                402126,                684358,                131408,,,                176690,,                -19856,,                  2033,,                -64189,                 90612,                222020,,                 63844,                158176,                158176,,,,,,,,,                 37342,                195518,,                158176,,                195518,,                              0.49,,                              0.48,,,                 34706,                              0,                  7780,,                              0,                  5144
3062,2013年07月01日至2013年09月30日,,              3776288,,              3494546,                281742,                281742,,,                 49848,,                 40428,,                114212,                204488,                 77254,,,                 20201,,                -18057,,                  1132,,                 -7132,                 -6120,                 71134,,                 37771,                 33363,                 33363,,,,,,,,,                 -5747,                 27616,,                 33363,,                 27616,,                              0.10,,                              0.10,,,                 -6924,,,,,                 -1177
3062,2013年04月01日至2013年06月30日,,              3387928,,              3169882,                218046,                218046,,,                 19452,,                 35388,,                113017,                167857,                 50189,,,                 46410,,                 -4636,,                  2125,,                 -3681,                 35968,                 86157,,                 18374,                 67783,                 67783,,,,,,,,,                  7875,                 75658,,                 67783,,                 75658,,                              0.21,,                              0.21,,,                  9488,,,,,                  1613
3062,2013年01月01日至2013年12月31日,,             12910859,,             12095093,                815766,                815766,,,                143914,,                138318,,                402126,                684358,                131408,,,                176690,,                -19856,,                  2033,,                -64189,                 90612,                222020,,                 63844,                158176,                158176,,,,,,,,,                 37342,                195518,,                158176,,                195518,,                              0.49,,                              0.48,,,                 34706,,                  7780,,,                  5144
3062,2013年01月01日至2013年09月30日,,              9318812,,              8631765,                687047,                687047,,,                 97882,,                112612,,                320588,                531082,                155965,,,                113579,,                -25641,,                  3331,,                -12076,                 72531,                228496,,                 68617,                159879,                159879,,,,,,,,,                 21567,                181446,,                159879,,                181446,,                              0.49,,                              0.49,,,                 25984,                              0,                              0,,,                  4417
3062,2013年01月01日至2013年06月30日,,              5542524,,              5137219,                405305,                405305,,,                 48034,,                 72184,,                206376,                326594,                 78711,,,                 93378,,                 -7584,,                  2199,,                 -4944,                 78651,                157362,,                 30846,                126516,                126516,,,,,,,,,                 27314,                153830,,                126516,,                153830,,                              0.39,,                              0.39,,,                 32908,                              0,,,,                  5594
3062,2013年01月01日至2013年03月31日,,              2154596,,              1967337,                187259,                187259,,,                 28582,,                 36796,,                 93359,                158737,                 28522,,,                 46968,,                 -2948,,                     74,,                 -1263,                 42683,                 71205,,                 12472,                 58733,                 58733,,,,,,,,,                 19439,                 78172,,                 58733,,                 78172,,                              0.18,,                              0.18,,              2154596,                 23420,,,,,                  3981
3062,2012年07月01日至2012年09月30日,,              2457330,,              2224246,                233084,                233084,,,                 80953,,                 34498,,                 92732,                208183,                 24901,,,                  7839,,                  4413,,                     85,,                              0,                 12167,                 37068,,                 15536,                 21532,                 21532,,,,,,,,,                 -8159,                 13373,,                 21532,,                 13373,,                              0.06,,                              0.06,,,                 -9831,,,,,                 -1672
3062,2012年04月01日至2012年06月30日,,              2170420,,              1956574,                213846,                213846,,,                 23273,,                 27955,,                101442,                152670,                 61176,,,                 18450,,                  3358,,                    511,,                              0,                 21297,                 82473,,                 70768,                 11705,                 11705,,,,,,,,,                  4915,                 16620,,                 11705,,                 16620,,                              0.04,,                              0.04,,,                  5922,,,,,                  1007
3062,2012年01月01日至2012年12月31日,,              9719472,,              9099555,                619917,                619917,,,                 79385,,                124349,,                393150,                596884,                 23033,,,                 98982,,                 16103,,                  1667,,                              0,                113418,                136451,,                 76397,                 60054,                 60054,,,,,,,,,                -20063,                 39991,,                 60054,,                 39991,,                              0.18,,                              0.18,,,                -23689,,                   -146,,,                 -3772
3062,2012年01月01日至2012年09月30日,,              7107830,,              6544578,                563252,                563252,,,                127739,,                 92233,,                281618,                501590,                 61662,,,                 49112,,                 38397,,                    904,,                              0,                 86605,                148267,,                 91439,                 56828,                 56828,,,,,,,,,                -19493,                 37335,,                 56828,,                 37335,,                              0.17,,                              0.17,,,                -23486,,,,,                 -3993
3062,2012年01月01日至2012年06月30日,,              4650500,,              4320332,                330168,                330168,,,                 46786,,                 57735,,                188886,                293407,                 36761,,,                 41273,,                 33984,,                    819,,                              0,                 74438,                111199,,                 75903,                 35296,                 35296,,,,,,,,,                -11334,                 23962,,                 35296,,                 23962,,                              0.11,,                              0.11,,,                -13655,,,,,                 -2321
3062,2012年01月01日至2012年03月31日,,              2480080,,              2363758,                116322,                116322,,,                 23513,,                 29780,,                 87444,                140737,                -24415,,,                 22823,,                 30626,,                    308,,                              0,                 53141,                 28726,,                  5135,                 23591,                 23591,,,,,,,,,                -16249,                  7342,,                 23591,,                  7342,,                              0.07,,                              0.07,,              2480080,                -19577,,,,,                 -3328
