證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3149,2015年第3季,,              1769747,,              2050135,               -280388,               -280388,,,                 25233,,                115451,,                 63322,                204006,               -484394,,,                  2325,,                -12074,,                 76643,                -86392,               -570786,,                    136,               -570922,               -570922,,,                              0,                              0,                              0,,                 53689,                 -1605,                              0,                 52084,                 52084,               -518838,,               -564222,                 -6700,,               -515517,                 -3321,,                             -2.10,                             -2.10,,                             -2.10,                             -2.10,,
3149,2015年第2季,,                964029,,              1637900,               -673871,               -673871,,,                 26003,,                 88604,,                 78219,                192826,               -866697,,,                  2140,,             -2046033,,                 71675,             -2115568,             -2982265,,                  1363,             -2983628,             -2983628,,,                              0,                              0,                              0,,                -51049,                  3187,                              0,                -47862,                -47862,             -3031490,,             -2974756,                 -8872,,             -3021241,                -10249,,                            -11.07,                            -11.07,,                            -11.07,                            -11.07,,
3149,2015年01月01日至2015年09月30日,,              4024339,,              5482452,             -1458113,             -1458113,,,                 73547,,                333653,,                213566,                620766,             -2078879,,,                  7233,,             -1651442,,                223045,             -1867254,             -3946133,,                  1499,             -3947632,             -3947632,,,                  1397,                              0,                  1397,,                -25716,                              0,                              0,                -25716,                -24319,             -3971951,,             -3921880,                -25752,,             -3947965,                -23986,,                            -14.60,                            -14.60,,                            -14.60,                            -14.60,,
3149,2015年01月01日至2015年06月30日,,              2254592,,              3432317,             -1177725,             -1177725,,,                 48314,,                218202,,                150244,                416760,             -1594485,,,                  4908,,             -1639368,,                146402,             -1780862,             -3375347,,                  1363,             -3376710,             -3376710,,,                  1397,                              0,                  1397,,                -79405,                  1605,                              0,                -77800,                -76403,             -3453113,,             -3357658,                -19052,,             -3432448,                -20665,,                            -12.49,                            -12.49,,                            -12.49,                            -12.49,,
3149,2015年01月01日至2015年03月31日,,              1290563,,              1794417,               -503854,               -503854,,,                 22311,,                129598,,                 72025,                223934,               -727788,,,                  2768,,                406665,,                 74727,                334706,               -393082,,                              0,               -393082,               -393082,,,                  1397,                              0,                  1397,,                -28356,                 -1582,                              0,                -29938,                -28541,               -421623,,               -382902,                -10180,,               -411207,                -10416,,                             -1.42,                             -1.42,,                             -1.42,                             -1.42,,
3149,2014年第3季,,              2331529,,              2230411,                101118,                101118,,,                 23110,,                174531,,                169359,                367000,               -265882,,,                  4367,,                 41083,,                 76742,                -31292,               -297174,,                 -8654,               -288520,               -288520,,,                              0,                              0,                              0,,                 87978,                              0,                              0,                 87978,                 87978,               -200542,,               -279145,                 -9375,,               -193545,                 -6997,,                             -1.04,                             -1.04,,                             -1.04,                             -1.04,,
3149,2014年第2季,,              1831205,,              1899559,                -68354,                -68354,,,                 22492,,                126185,,                183895,                332572,               -400926,,,                  3921,,                 23152,,                 72737,                -45664,               -446590,,                    460,               -447050,               -447050,,,                              0,                              0,                              0,,                -63823,                              0,                              0,                -63823,                -63823,               -510873,,               -437090,                 -9960,,               -498596,                -12277,,                             -1.63,                             -1.63,,                             -1.63,                             -1.63,,
3149,2014年度,,              7894843,,              8113133,               -218290,               -218290,,,                 93817,,                615849,,                589980,              1299646,             -1517936,,,                 11511,,               -350593,,                315335,               -654417,             -2172353,,                 -3380,             -2168973,             -2168973,,,,,,,,,,,                109247,             -2059726,,             -2132341,                -36632,,             -2029838,                -29888,,                             -7.93,                             -7.93,,                              0.00,                              0.00,                109247,                              0
3149,2014年01月01日至2014年09月30日,,              5895763,,              5922727,                -26964,                -26964,,,                 64472,,                455029,,                503338,              1022839,             -1049803,,,                  9495,,                 91665,,                223047,               -121887,             -1171690,,                 -8194,             -1163496,             -1163496,,,                              0,                              0,                              0,,                 22604,                              0,                              0,                 22604,                 22604,             -1140892,,             -1137088,                -26408,,             -1117310,                -23582,,                             -4.23,                             -4.23,,                             -4.23,                             -4.23,,
3149,2014年01月01日至2014年06月30日,,              3564234,,              3692316,               -128082,               -128082,,,                 41362,,                280498,,                333979,                655839,               -783921,,,                  5128,,                 50582,,                146305,                -90595,               -874516,,                    460,               -874976,               -874976,,,                              0,                              0,                              0,,                -65374,                              0,                              0,                -65374,                -65374,               -940350,,               -857943,                -17033,,               -923765,                -16585,,                             -3.19,                             -3.19,,                             -3.19,                             -3.19,,
