證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）
3231,2015年第3季,,,            152416106,            152416106,,            144622806,              7793300,              7793300,,,              2869275,,                701883,,              3360215,              6931373,                861927,,,                434902,,                415938,,                456788,,                 60199,                454251,              1316178,,                652191,                652191,                663987,                663987,,,              4200440,               -109091,,                 -9224,                 -3576,              4085701,              4085701,              4749688,,                656557,                  7430,,              4737595,                 12093,,                              0.27,,                              0.27,,,,,,,
3231,2015年第2季,,,            146073368,            146073368,,            139233890,              6839478,              6839478,,,              2720931,,                644114,,              3455908,              6820953,                 18525,,,                539275,,                 58575,,                468128,,                 -3037,                126685,                145210,,                 91793,                 91793,                 53417,                 53417,,,               -598531,               -245476,,                -21712,                    314,               -866033,               -866033,               -812616,,                 76624,                -23207,,               -788762,                -23854,,                              0.03,,                              0.03,,,,,,,
3231,2015年01月01日至2015年09月30日,,,            449194178,            449194178,,            427531359,             21662819,             21662819,,,              8181296,,              1920055,,              9864486,             19965837,              1696982,,,              1584633,,                539322,,              1432299,,                124751,                816407,              2513389,,              1062249,              1062249,              1451140,              1451140,,,              2620769,               -376924,,                -82718,                -18240,              2179367,              2179367,              3630507,,              1456120,                 -4980,,              3632136,                 -1629,,                              0.59,,                              0.57,,,,,,,
3231,2015年01月01日至2015年06月30日,,,            296778072,            296778072,,            282908553,             13869519,             13869519,,,              5312021,,              1218172,,              6504271,             13034464,                835055,,,              1149731,,                123384,,                975511,,                 64552,                362156,              1197211,,                410058,                410058,                787153,                787153,,,             -1579671,               -267833,,                -73494,                -14664,             -1906334,             -1906334,             -1119181,,                799563,                -12410,,             -1105459,                -13722,,                              0.32,,                              0.31,,,,,,,
3231,2015年01月01日至2015年03月31日,,,            150704704,            150704704,,            143674663,              7030041,              7030041,,,              2591090,,                574058,,              3048363,              6213511,                816530,,,                610456,,                 64809,,                507383,,                 67589,                235471,              1052001,,                318265,                318265,                733736,                733736,,,               -981140,                -22357,,                -51782,                -14978,             -1040301,             -1040301,               -306565,,                722939,                 10797,,               -316697,                 10132,,                              0.30,,                              0.29,,,,,,,
3231,2014年第3季,,,            155753805,            155753805,,            147575900,              8177905,              8177905,,,              2761484,,                611710,,              3475004,              6848198,              1329707,,,                899948,,                290733,,                592061,,                -22182,                576438,              1906145,,                456490,                456490,              1449655,              1449655,,,                863530,               -321392,,                 31861,                -15867,                589866,                589866,              2039521,,              1447519,                  2136,,              2036294,                  3227,,                              0.59,,                              0.58,,,,,,,
3231,2014年第2季,,,            135884930,            135884930,,            127345671,              8539259,              8539259,,,              3023690,,                585425,,              3306395,              6915510,              1623749,,,                894360,,               -308151,,                606551,,                 20319,                    -23,              1623726,,                407760,                407760,              1215966,              1215966,,,             -1180389,                127581,,                -22736,                  5850,             -1081394,             -1081394,                134572,,              1210791,                  5175,,                129408,                  5164,,                              0.50,,                              0.49,,,,,,,
3231,2014年度,,,            592346734,            592346734,,            561229960,             31116774,             31116774,,,             11636494,,              2291418,,             13424842,             27352754,              3764020,,,              3109558,,                384209,,              2398574,,                -16813,              1078380,              4842400,,,              1253409,              3588991,              3588991,,,,,,,,,              3125537,              6714528,,              3578536,                 10455,,              6700606,                 13922,,                              1.50,,                              1.47,              1253409,              3072094,                -53354,,                 90903,                -15894,
3231,2014年01月01日至2014年09月30日,,,            417457003,            417457003,,            394189843,             23267160,             23267160,,,              8444004,,              1742391,,              9912255,             20098650,              3168510,,,              2448991,,                115101,,              1769851,,                 20657,                814898,              3983408,,                975846,                975846,              3007562,              3007562,,,                722272,               -183762,,                 12795,                -24374,                575679,                575679,              3583241,,              3000270,                  7292,,              3574855,                  8386,,                              1.23,,                              1.20,,,,,,,
3231,2014年01月01日至2014年06月30日,,,            261703198,            261703198,,            246613943,             15089255,             15089255,,,              5682520,,              1130681,,              6437251,             13250452,              1838803,,,              1549043,,               -175632,,              1177790,,                 42839,                238460,              2077263,,                519356,                519356,              1557907,              1557907,,,               -141258,                137630,,                -19066,                 -8507,                -14187,                -14187,              1543720,,              1552751,                  5156,,              1538561,                  5159,,                              0.64,,                              0.62,,,,,,,
3231,2014年01月01日至2014年03月31日,,,            125818268,            125818268,,            119268272,              6549996,              6549996,,,              2658830,,                545256,,              3130856,              6334942,                215054,,,                654683,,                132519,,                571239,,                 22520,                238483,                453537,,                111596,                111596,                341941,                341941,,,              1039131,                 10049,,                  3670,                -14357,              1067207,              1067207,              1409148,,                341960,                    -19,,              1409153,                     -5,,                              0.14,,                              0.14,,,,,,,
3231,2013年第3季,,,            159887702,            159887702,,            151807253,              8080449,              8080449,,,              2358071,,                593166,,              3290935,              6242172,              1838277,,,                354231,,                 82814,,                479416,,                142786,                100415,              1938692,,,                470076,              1468616,              1468616,,,,,,,,,             -1107217,                361399,,              1470889,                 -2273,,                363040,                 -1641,,                              0.62,,                              0.62,                470076,               -796116,               -311035,,                -26088,                -26022,
3231,2013年第2季,,,            162950452,            162950452,,            156194333,              6756119,              6756119,,,              1457992,,                518962,,              3152355,              5129309,              1626810,,,                312547,,                713961,,                470345,,                 94440,                650603,              2277413,,,                534318,              1743095,              1743095,,,,,,,,,                126633,              1869728,,              1740405,                  2690,,              1867064,                  2664,,                              0.74,,                              0.66,                534318,                351301,               -269686,,                 37382,                 -7636,
3231,2013年度,,,            624009073,            624009073,,            593806022,             30203051,             30203051,,,              8956231,,              2193606,,             12967288,             24117125,              6085926,,,              1582941,,              1851417,,              2017697,,                412600,              1829261,              7915187,,,              2160459,              5754728,              5754728,,,,,,,,,              1134976,              6889704,,              5751341,                  3387,,              6886361,                  3343,,                              2.45,,                              2.34,              2160459,              1282078,               -246956,,                 85507,                -14347,
3231,2013年07月01日至2013年09月30日,,,            159887702,            159887702,,            151807253,              8080449,              8080449,,,              2358071,,                593166,,              3290935,              6242172,              1838277,,,                338449,,                 98596,,                479416,,                142786,                100415,              1938692,,,                470076,              1468616,              1468616,,,,,,,,,             -1107217,                361399,,              1470889,                 -2273,,                363040,                 -1641,,                              0.64,,                              0.63,,               -813014,               -320225,,,                -26022,
3231,2013年04月01日至2013年06月30日,,,            162950452,            162950452,,            156194333,              6756119,              6756119,,,              1457992,,                518962,,              3152355,              5129309,              1626810,,,                290578,,                735930,,                470345,,                 94440,                650603,              2277413,,,                534318,              1743095,              1743095,,,,,,,,,                126633,              1869728,,              1740405,                  2690,,              1867064,                  2664,,                              0.76,,                              0.68,,                365018,               -246021,,,                 -7636,
3231,2013年01月01日至2013年12月31日,,,            624009073,            624009073,,            593806022,             30203051,             30203051,,,              8956231,,              2193606,,             12967288,             24117125,              6085926,,,              1582941,,              1851417,,              2017697,,                412600,              1829261,              7915187,,,              2160459,              5754728,              5754728,,,,,,,,,              1134976,              6889704,,              5751341,                  3387,,              6886361,                  3343,,                              2.51,,                              2.40,              2160459,              1282078,               -246956,,                 85507,                -14347,                              0
