證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他綜合損益,　　 銷貨成本,　　　 銷貨成本合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　 停業單位損益,　　 停業單位損益合計,　　 其他營業收入,　　　 其他營業收入淨額,　 其他收益及費損淨額,　　 其他收益及費損淨額
3308,2015年第3季,,,,                358788,                    109,                  2277,                356402,                356402,,                299899,                 56503,                 56503,,,                 42854,,                 12521,                 55375,                  1128,,,,                  3203,                     98,                  1476,                  4777,,                              0,                 32444,                  1477,                  2265,                 31656,,                  4741,                  4741,                 31692,                 32820,,                  6323,                 26497,                 26497,,,                 34615,                  5884,                 28731,                 28731,                 55228,,                 26497,,                 55228,,                              0.27,,                              0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2015年第2季,,,,                441335,                    217,                  4359,                436759,                436759,,                372725,                 64034,                 64034,,,                 38368,,                 10520,                 48888,                 15146,,,,                  5496,                    965,                  6602,                 13063,,                     -3,                -12759,                    176,                              0,                -12586,,                  4597,                  4597,                 -4120,                 11026,,                     -1,                 11027,                 11027,,,                 -6655,                 -1131,                 -5524,                 -5524,                  5503,,                 11027,,                  5503,,                              0.11,,                              0.11,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2015年01月01日至2015年09月30日,,,,              1153360,                  1817,                  8321,              1143222,              1143222,,                981679,                161543,                161543,,,                122716,,                 35428,                158144,                  3399,,,,                 14572,                  1063,                  9213,                 24848,,                     -3,                 10795,                  1653,                  2265,                 10180,,                 14023,                 14023,                 21005,                 24404,,                  2672,                 21732,                 21732,,,                 22690,                  3857,                 18833,                 18833,                 40565,,                 21732,,                 40565,,                              0.22,,                              0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2015年01月01日至2015年06月30日,,,,                794572,                  1708,                  6044,                786820,                786820,,                681780,                105040,                105040,,,                 79862,,                 22907,                102769,                  2271,,,,                 11369,                    965,                  7737,                 20071,,                     -3,                -21649,                    176,                              0,                -21476,,                  9282,                  9282,                -10687,                 -8416,,                 -3651,                 -4765,                 -4765,,,                -11925,                 -2027,                 -9898,                 -9898,                -14663,,                 -4765,,                -14663,,                             -0.05,,                             -0.05,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2015年01月01日至2015年03月31日,,,,                353237,                  1491,                  1685,                350061,                350061,,                309055,                 41006,                 41006,,,                 41494,,                 12387,                 53881,                -12875,,,,                  5873,                              0,                  1135,                  7008,,                              0,                 -8890,,,                 -8890,,                  4685,                  4685,                 -6567,                -19442,,                 -3650,                -15792,                -15792,,,                    896,,                    896,                 -4374,                -20166,,                -15792,,                -20166,,                             -0.16,,                             -0.16,                              0,                              0,                              0,                              0,,,                 -5270,                 -5270,,,,,,,,,,,,,,,,,,,,,,,
3308,2014年第3季,,,,                533353,                  9986,                  1113,                522254,                522254,,                473249,                 49005,                 49005,,,                 41232,,                  9321,                 50553,                 -1548,,,,                  5570,                              0,                  6328,                 11898,,                    199,                 29324,                              0,                              0,                 29523,,                  4356,                  4356,                 37065,                 35517,,                  4160,                 31357,                 31357,,,                  5906,                  1004,                  4902,                  4902,                 36259,,                 31357,,                 36259,,                              0.31,,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2014年第2季,,,,                559177,                    819,                  2607,                555751,                555751,,                510933,                 44818,                 44818,,,                 51440,,                 11364,                 62804,                -17986,,,,                  4998,                              0,                    783,                  5781,,                 -3499,                -20270,                              0,                     12,                -23781,,                  4874,                  4874,                -22874,                -40860,,                 13460,                -54320,                -54320,,,                 -8401,                 -1428,                 -6973,                 -6973,                -61293,,                -54320,,                -61293,,                             -0.55,,                             -0.55,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2014年度,,,,              1924474,                 14754,                  5049,              1904671,              1904671,,              1733903,                170768,                170768,,,                175614,,                 43907,                219521,                -48753,,,,                 21382,                    820,                 22211,                 44413,,                 -3543,                 10282,,                    312,                  6427,,                 18820,                 18820,                 32020,                -16733,,                 16650,                -33383,                -33383,,,,,,                 24991,                 -8392,,                -33383,,                 -8392,,                             -0.33,,                             -0.33,                              0,                              0,                              0,                              0,,,,,                 30698,                   -489,                  5218,,,,,,,,,,,,,,,,,,,,
3308,2014年01月01日至2014年09月30日,,,,              1410354,                 13171,                  4525,              1392658,              1392658,,              1294155,                 98503,                 98503,,,                138170,,                 33100,                171270,                -72767,,,,                 15782,                    637,                  7885,                 24304,,                 -3476,                 -5931,                              0,                     12,                 -9419,,                 14186,                 14186,                    699,                -72068,,                  8278,                -80346,                -80346,,,                 10745,                  1827,                  8918,                  8918,                -71428,,                -80346,,                -71428,,                             -0.81,,                             -0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2014年01月01日至2014年06月30日,,,,                877001,                  3185,                  3412,                870404,                870404,,                820906,                 49498,                 49498,,,                 96938,,                 23779,                120717,                -71219,,,,                 10212,                    637,                  1557,                 12406,,                 -3675,                -35255,                              0,                     12,                -38942,,                  9830,                  9830,                -36366,               -107585,,                  4118,               -111703,               -111703,,,                  4839,                    823,                  4016,                  4016,               -107687,,               -111703,,               -107687,,                             -1.12,,                             -1.12,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,
