證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3413,2015年第3季,,              1410932,,              1155404,                255528,                255528,,,                 49530,,                 60012,,                 13769,                123311,                132217,,,                 21358,,                 23280,,                  1549,,                              0,                 43089,                175306,,                 10142,                165164,,                              0,                165164,,,                 25382,               -110094,,                    319,                -13212,                -71181,                -71181,                 93983,,                165164,,                 93983,,                              2.51,                              0.00,                              2.51,,                              2.49,                              0.00,                              2.49,,,,,,
3413,2015年第2季,,              1164596,,                955171,                209425,                209425,,,                 43146,,                 41122,,                 10172,                 94440,                114985,,,                  9055,,                  6502,,                  1679,,                      3,                 13881,                128866,,                 26198,                102668,,                              0,                102668,,,                 -8323,               -177223,,                   -123,                -21267,               -164402,               -164402,                -61734,,                102668,,                -61734,,                              1.71,                              0.00,                              1.71,,                              1.70,                              0.00,                              1.70,,,,,,
3413,2015年01月01日至2015年09月30日,,              3577868,,              2930449,                647419,                647419,,,                137466,,                144667,,                 35945,                318078,                329341,,,                 40633,,                 14013,,                  5255,,                   -173,                 49218,                378559,,                 32261,                346298,,                              0,                346298,,,                 11544,               -244353,,                    134,                -29323,               -203352,               -203352,                142946,,                346298,,                142946,,                              5.59,                              0.00,                              5.59,,                              5.53,                              0.00,                              5.53,,,,,,
3413,2015年01月01日至2015年06月30日,,              2166936,,              1775045,                391891,                391891,,,                 87936,,                 84655,,                 22176,                194767,                197124,,,                 19275,,                 -9267,,                  3706,,                   -173,                  6129,                203253,,                 22119,                181134,,                              0,                181134,,,                -13838,               -134259,,                   -185,                -16111,               -132171,               -132171,                 48963,,                181134,,                 48963,,                              3.02,                              0.00,                              3.02,,                              3.00,                              0.00,                              3.00,,,,,,
3413,2015年01月01日至2015年03月31日,,              1002340,,                819874,                182466,                182466,,,                 44790,,                 43533,,                 12004,                100327,                 82139,,,                 10220,,                -15769,,                  2027,,                   -176,                 -7752,                 74387,,                 -4079,                 78466,,                              0,                 78466,,,                 -5515,                 42964,,                    -62,                  5156,                 32231,                 32231,                110697,,                 78466,,                110697,,                              1.31,                              0.00,                              1.31,,                              1.31,                              0.00,                              1.31,,,,,,
3413,2014年第3季,,                965681,,                837226,                128455,                128455,,,                 59743,,                 59579,,                 17005,                136327,                 -7872,,,                 38066,,                 18801,,                  1292,,                    277,                 55852,                 47980,,                  3792,                 44188,,                 88419,                132607,,,                  9993,               -117200,,                   -380,                 24220,               -131807,               -131807,                    800,,                132607,,                    800,,                              0.74,                              1.47,                              2.21,,                              0.73,                              1.47,                              2.20,,,,,,
3413,2014年第2季,,              1303569,,              1116860,                186709,                186709,,,                 45521,,                 33938,,                 10501,                 89960,                 96749,,,                 15505,,                -19699,,                  1670,,                   -267,                 -6131,                 90618,,                  1078,                 89540,,                 24138,                113678,,,                 -4012,                -61020,,                    200,                -45607,                -19225,                -19225,                 94453,,                113678,,                 94453,,                              1.49,                              0.40,                              1.89,,                              1.49,                              0.40,                              1.89,,,,,,
3413,2014年度,,              4602925,,              4048224,                554701,                554701,,,                180546,,                172708,,                 48337,                401591,                153110,,,                 68174,,                 -2342,,                  5584,,                   -390,                 59858,                212968,,                  6909,                206059,,                117020,                323079,,,,,,,,,                -51763,                271316,,                323079,,                271316,,                              3.43,                              1.95,                              5.38,,                              3.42,                              1.93,                              5.35,                 13063,                -73147,                   -129,,                   -328,                 -8778
3413,2014年上半年度,,              2517248,,              2181752,                335496,                335496,,,                 85766,,                 64321,,                 19139,                169226,                166270,,,                 21480,,                -39856,,                  2424,,                   -411,                -21211,                145059,,                    158,                144901,,                 21479,                166380,,,,,,,,,                194347,                360727,,                166380,,                360727,,                              2.41,                              0.36,                              2.77,,                              2.41,                              0.36,                              2.77,                 -9885,                188287,,,                    255,                -15690
3413,2014年01月01日至2014年09月30日,,              3482929,,              3018978,                463951,                463951,,,                145509,,                123900,,                 36144,                305553,                158398,,,                 59546,,                -21055,,                  3716,,                   -134,                 34641,                193039,,                  3950,                189089,,                109898,                298987,,,                    108,                 71087,,                   -125,                  8530,                 62540,                 62540,                361527,,                298987,,                361527,,                              3.15,                              1.83,                              4.98,,                              3.14,                              1.82,                              4.96,,,,,,
3413,2014年01月01日至2014年06月30日,,              2517248,,              2181752,                335496,                335496,,,                 85766,,                 64321,,                 19139,                169226,                166270,,,                 21480,,                -39856,,                  2424,,                   -411,                -21211,                145059,,                    158,                144901,,                 21479,                166380,,,                 -9885,                188287,,                    255,                -15690,                194347,                194347,                360727,,                166380,,                360727,,                              2.41,                              0.36,                              2.77,,                              2.41,                              0.36,                              2.77,,,,,,
3413,2014年01月01日至2014年03月31日,,              1213679,,              1064892,                148787,                148787,,,                 40245,,                 30383,,                  8638,                 79266,                 69521,,,                  5975,,                -20157,,                    754,,                   -144,                -15080,                 54441,,                   -920,                 55361,,                 -2659,                 52702,,,                 -5873,                249307,,                     55,                 29917,                213572,                213572,                266274,,                 52702,,                266274,,                              0.92,                             -0.04,                              0.88,,                              0.92,                             -0.04,                              0.88,,,,,,
3413,2013年度,,              2468753,,              2145334,                323419,                323419,,,                104055,,                123002,,                 30770,                257827,                 65592,,,                 33063,,                 56692,,                 19274,,                    162,                 70643,                136235,,                 11011,                125224,,                -82353,                 42871,,,,,,,,,                414544,                457415,,                 42871,,                457415,,                              4.79,                             -3.15,                              1.64,,                              4.79,                             -3.15,                              1.64,                 19086,                449785,                    583,,                   -897,                 54013
3413,2013年上半年度,,                905527,,                798085,                107442,                107442,,,                 50419,,                 61459,,                 15460,                127338,                -19896,,,                  6712,,                 31466,,                 13555,,                    254,                 24877,                  4981,,                 10929,                 -5948,,                -42728,                -48676,,,,,,,,,                312231,                263555,,                -48676,,                263555,,                             -0.27,                             -1.98,                             -2.25,,                             -0.27,                             -1.98,                             -2.25,                 14768,                338593,,,                   -559,                 40571
3413,2013年01月01日至2013年12月31日,,              2468753,,              2145334,                323419,                323419,,,                104055,,                123002,,                 30770,                257827,                 65592,,,                 33063,,                 56692,,                 19274,,                    162,                 70643,                136235,,                 11011,                125224,,                -82353,                 42871,,,,,,,,,                414544,                457415,,                 42871,,                457415,,                              4.79,                             -3.15,                              1.64,,,,,                 19086,                449785,                    583,,                   -897,                 54013
3413,2013年01月01日至2013年06月30日,,                905527,,                798085,                107442,                107442,,,                 50419,,                 61459,,                 15460,                127338,                -19896,,,                  6712,,                 31466,,                 13555,,                    254,                 24877,                  4981,,                 10929,                 -5948,,                -42728,                -48676,,,,,,,,,                312231,                263555,,                -48676,,                263555,,                             -0.05,                             -0.40,                             -0.45,,,,,                 14768,                338593,                              0,,                   -559,                 40571
3413,2012年01月01日至2012年12月31日,,              2679903,,              2200085,                479818,                479818,,,                 91823,,                162443,,                 23533,                277799,                202019,,,                 25413,,                 43689,,                 41770,,                    965,                 28297,                230316,,                 26905,                203411,,               -592419,               -389008,,,,,,,,,                -15468,               -404476,,               -389008,,               -404476,,                              9.42,                            -27.43,                            -18.01,,,,,                -11397,                              0,                 -3864,,                   -864,                   -657
