證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計
3416,2015年第3季,,                319991,,                191821,                128170,                128170,,,                 19046,,                 18209,,                 30857,                 68112,                 60058,,,                  4382,,                 12738,,                 -7683,                  9437,                 69495,,                 14478,                 55017,                 55017,,,                  2195,                 -1301,                    373,                    521,                    521,                 55538,,                 55017,,                 55538,,                              0.91,,                              0.91,,,,,,,,,,,,
3416,2015年第2季,,                365977,,                233139,                132838,                132838,,,                 17622,,                 21605,,                 33409,                 72636,                 60202,,,                  4688,,                -12251,,                   -543,                 -8108,                 52094,,                  6222,                 45872,                 45872,,,                   -477,                  2179,                    -81,                  1783,                  1783,                 47655,,                 45872,,                 47655,,                              0.76,,                              0.76,,                      2,                              0,                              0,,,,,,,,
3416,2015年01月01日至2015年09月30日,,              1067215,,                669960,                397255,                397255,,,                 61129,,                 54274,,                 98924,                214327,                182928,,,                 12533,,                 -4575,,                 -8467,                   -509,                182419,,                 29881,                152538,                152538,,,                   -848,                  3847,                   -144,                  3143,                  3143,                155681,,                152538,,                155681,,                              2.53,,                              2.51,,,,,,,,,,,,
3416,2015年01月01日至2015年06月30日,,                747224,,                478139,                269085,                269085,,,                 42083,,                 36065,,                 68067,                146215,                122870,,,                  8151,,                -17311,,                   -784,                 -9946,                112924,,                 15403,                 97521,                 97521,,,                 -3043,                  5148,                   -517,                  2622,                  2622,                100143,,                 97521,,                100143,,                              1.62,,                              1.60,,                      2,                              0,                              0,,,,,,,,
3416,2014年第3季,,                404923,,                251764,                153159,                153159,,,                 23862,,                 16161,,                 35493,                 75516,                 77643,,,                  4420,,                  5533,,                   -317,                  9636,                 87279,,                 12906,                 74373,                 74373,,,                     65,                 -3440,                     11,                 -3386,                 -3386,                 70987,,                 74373,,                 70987,,                              1.33,,                              1.32,,,,,,,,,,,,
3416,2014年第2季,,                370480,,                237832,                132648,                132648,,,                 19247,,                 19314,,                 37206,                 75767,                 56881,,,                  3716,,                 -2696,,                    149,                  1167,                 58048,,                  7607,                 50441,                 50441,,,                   -140,                 -2321,                    -24,                 -2437,                 -2437,                 48004,,                 50441,,                 48004,,                              0.91,,                              0.91,,                      2,                              0,                              0,,,,,,,,
3416,2014年度,,              1515954,,                973313,                542641,                542641,,,                 88486,,                 67626,,                148719,                304831,                237810,,,                 15998,,                 16510,,                   -459,                 32043,                269853,,                 36715,                233138,                233138,,,,,,,                    914,                234052,,                233138,,                234052,,                              4.12,,                              4.07,,                      6,                              0,                              0,                              0,                              0,                    205,                  1167,                   -510,                    -52,,
3416,2014年01月01日至2014年09月30日,,              1102909,,                702855,                400054,                400054,,,                 61933,,                 51012,,                108447,                221392,                178662,,,                 11197,,                  8016,,                   -218,                 18995,                197657,,                 27457,                170200,                170200,,,                   -507,                   -208,                    -86,                   -629,                   -629,                169571,,                170200,,                169571,,                              3.07,,                              3.03,,,,,,,,,,,,
3416,2014年01月01日至2014年06月30日,,                697986,,                451091,                246895,                246895,,,                 38071,,                 34851,,                 72954,                145876,                101019,,,                  6777,,                  2485,,                     99,                  9359,                110378,,                 14551,                 95827,                 95827,,,                   -572,                  3232,                    -97,                  2757,                  2757,                 98584,,                 95827,,                 98584,,                              1.74,,                              1.72,,                      2,                              0,                              0,,,,,,,,
3416,2014年01月01日至2014年03月31日,,                327506,,                213259,                114247,                114247,,,                 18824,,                 15537,,                 35748,                 70109,                 44138,,,                  3061,,                  5181,,                    -50,                  8192,                 52330,,                  6944,                 45386,                 45386,,,,,,,                  5194,                 50580,,                 45386,,                 50580,,                              0.90,,                              0.90,,                              0,                              0,                              0,                              0,                              0,                   -432,                  5553,,                    -73,,                              0
