證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 處分不動產、廠房及設備損失
3443,2015年第3季,,              2089825,,              1544955,                544870,                544870,,,                 77085,,                 52878,,                270774,                400737,                144133,,,                  4893,,                 -3003,,                     27,                  1863,                145996,,                 22821,                123175,                123175,,,,,,                  8980,                  8980,                  8980,                132155,,                123175,                              0,                              0,,                132155,,,,                              0.92,,                              0.91,,              2089825,,              1544955,                              0.92,                              0.91,,,,,,,,,,,
3443,2015年第2季,,              1947926,,              1441954,                505972,                505972,,,                 65409,,                 54412,,                288309,                408130,                 97842,,,                  6675,,                  3727,,                      7,                 10395,                108237,,                 19158,                 89079,                 89079,,,,,,                 -2219,                 -2219,                 -2219,                 86860,,                 89079,                              0,                              0,,                 86860,,,,                              0.66,,                              0.66,,              1947926,,              1441954,                              0.66,                              0.66,,,,,,,,,,,
3443,2015年度,,              7762132,,              5568157,              2193975,              2193975,,,                294828,,                211545,,              1125149,              1631522,                562453,,,                 13301,,                  6563,,                     43,                 19821,                582274,,                 88034,                494240,                494240,,,                 -1813,                 -1813,,                  3578,                  3578,                  1765,                496005,,                494240,                              0,                              0,,                496005,                              0,                              0,,                              3.69,,                              3.66,,,,,,,,,,,,,,,,,
3443,2015年01月01日至2015年09月30日,,              5770228,,              4199092,              1571136,              1571136,,,                210194,,                157335,,                825835,              1193364,                377772,,,                  8057,,                     42,,                     43,                  8056,                385828,,                 62434,                323394,                323394,,,,,,                  4644,                  4644,                  4644,                328038,,                323394,                              0,                              0,,                328038,,,,                              2.41,,                              2.40,,              5770228,,              4199092,                              2.41,                              2.40,,,,,,,,,,,
3443,2015年01月01日至2015年06月30日,,              3680403,,              2654137,              1026266,              1026266,,,                133109,,                104457,,                555061,                792627,                233639,,,                  3164,,                  3045,,                     16,                  6193,                239832,,                 39613,                200219,                200219,,,,,,                 -4336,                 -4336,                 -4336,                195883,,                200219,                              0,                              0,,                195883,,,,                              1.49,,                              1.48,,              3680403,,              2654137,                              1.49,                              1.48,,,,,,,,,,,
3443,2015年01月01日至2015年03月31日,,              1732477,,              1212183,                520294,                520294,,,                 67700,,                 50045,,                266752,                384497,                135797,,,                 -3511,,                   -682,,                      9,                 -4202,                131595,,                 20455,                111140,                111140,,,,,,,                 -2117,                 -2117,                109023,,                111140,,,,                109023,,,,                              0.83,,                              0.82,,              1732477,,,                              0.83,                              0.82,                 -2117,,,,,,,,,,
3443,2014年第3季,,              1924989,,              1464058,                460931,                460931,,,                 61873,,                 55508,,                250407,                367788,                 93143,,,                 14803,,                  4434,,                     10,                 19227,                112370,,                 19014,                 93356,                 93356,,,,,,                  1159,                  1159,                  1159,                 94515,,                 93356,                              0,                              0,,                 94515,,,,                              0.70,,                              0.69,,              1924989,,              1464058,                              0.70,                              0.69,,,,,,,,,,,
3443,2014年第2季,,              1736024,,              1252961,                483063,                483063,,,                 66201,,                 53177,,                231184,                350562,                132501,,,                 11424,,                 -5840,,                     44,                  5540,                138041,,                 23310,                114731,                114731,,,,,,                 -2727,                 -2727,                 -2727,                112004,,                114731,                              0,                              0,,                112004,,,,                              0.86,,                              0.85,,              1736024,,              1252961,                              0.86,                              0.85,,,,,,,,,,,
3443,2014年度,,              6952281,,              5066955,              1885326,              1885326,,,                238992,,                218320,,                952969,              1410281,                475045,,,                 41717,,                 -3020,,                     72,                 38625,                513670,,                 75154,                438516,                438516,,,                  3893,                  3893,,                  6011,                  6011,                  9904,                448420,,                438516,                              0,                              0,,                448420,                              0,                              0,,                              3.27,,                              3.26,,,,,,,,,,,,,,,,,
3443,2014年01月01日至2014年09月30日,,              5334287,,              3917841,              1416446,              1416446,,,                176125,,                161952,,                692176,              1030253,                386193,,,                 30520,,                  1089,,                     72,                 31537,                417730,,                 71191,                346539,                346539,,,,,,                  1886,                  1886,                  1886,                348425,,                346539,                              0,                              0,,                348425,,,,                              2.59,,                              2.57,,              5334287,,              3917841,                              2.59,                              2.57,,,,,,,,,,,
