證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3550,2015年第3季,,,                886433,                886433,,,                731035,                731035,                155398,                155398,,,                 45202,,                 70316,,                 17660,                133178,                 22220,,,                  7425,,                 34662,,                  3788,,                    625,                 38924,                 61144,,                 19491,                 41653,                 41653,,,                 34426,                 34426,                 34426,                 76079,,                 40753,                    900,,                 73342,                  2737,,                              0.48,,                              0.48,,
3550,2015年第2季,,,                911892,                911892,,,                747860,                747860,                164032,                164032,,,                 40602,,                 67225,,                 17048,                124875,                 39157,,,                  8827,,                -11098,,                  3645,,                 -1701,                 -7617,                 31540,,                 10984,                 20556,                 20556,,,                 -9824,                 -9824,                 -9824,                 10732,,                 20089,                    467,,                 11063,                   -331,,                              0.24,,                              0.24,,
3550,2015年01月01日至2015年09月30日,,,              2646771,              2646771,,,              2184953,              2184953,                461818,                461818,,,                129808,,                201016,,                 50952,                381776,                 80042,,,                 23448,,                 19512,,                 11076,,                 -2192,                 29692,                109734,,                 40294,                 69440,                 69440,,,                -10730,                -10730,                -10730,                 58710,,                 67377,                  2063,,                 56977,                  1733,,                              0.79,,                              0.79,,
3550,2015年01月01日至2015年06月30日,,,              1760338,              1760338,,,              1453918,              1453918,                306420,                306420,,,                 84606,,                130700,,                 33292,                248598,                 57822,,,                 16023,,                -15150,,                  7288,,                 -2817,                 -9232,                 48590,,                 20803,                 27787,                 27787,,,                -45156,                -45156,                -45156,                -17369,,                 26624,                  1163,,                -16365,                 -1004,,                              0.31,,                              0.31,,
3550,2015年01月01日至2015年03月31日,,,                848446,                848446,,,                706058,                706058,                142388,                142388,,,                 44004,,                 63475,,                 16244,                123723,                 18665,,,                  7196,,                 -4052,,                  3643,,                 -1116,                 -1615,                 17050,,                  9819,                  7231,                  7231,,,                -35332,                -35332,                -35332,                -28101,,                  6535,                    696,,                -27428,                   -673,,                              0.08,,                              0.08,,
3550,2014年第3季,,,              1036844,              1036844,,,                877334,                877334,                159510,                159510,,,                 37241,,                 63411,,                 13277,                113929,                 45581,,,                  6377,,                  6942,,                  3703,,                  1662,                 11278,                 56859,,                 13109,                 43750,                 43750,,,                 21317,                 21317,                 21317,                 65067,,                 42672,                  1078,,                 62720,                  2347,,                              0.50,,                              0.50,,
3550,2014年第2季,,,              1131738,              1131738,,,                945845,                945845,                185893,                185893,,,                 37922,,                 78158,,                 15596,                131676,                 54217,,,                  8010,,                 -8436,,                  4955,,                 -1602,                 -6983,                 47234,,                 17237,                 29997,                 29997,,,                -24075,                -24075,                -24075,                  5922,,                 28700,                  1297,,                  5911,                     11,,                              0.34,,                              0.34,,
3550,2014年度,,,              4107407,              4107407,,,              3462551,              3462551,                644856,                644856,,,                155499,,                293358,,                 57600,                506457,                138399,,,                 28496,,                 28112,,                 18620,,                  2344,                 40332,                178731,,                 71953,                106778,                106778,,,,,                 78112,                184890,,                103186,                  3592,,                177054,                  7836,,                              1.21,,                              1.21,                 78355,                   -243
3550,2014年01月01日至2014年09月30日,,,              3124765,              3124765,,,              2631116,              2631116,                493649,                493649,,,                112849,,                210036,,                 40870,                363755,                129894,,,                 20660,,                     70,,                 13548,,                      7,                  7189,                137083,,                 42013,                 95070,                 95070,,,                 11179,                 11179,                 11179,                106249,,                 91879,                  3191,,                102323,                  3926,,                              1.08,,                              1.08,,
3550,2014年01月01日至2014年06月30日,,,              2087921,              2087921,,,              1753782,              1753782,                334139,                334139,,,                 75608,,                146625,,                 27593,                249826,                 84313,,,                 14283,,                 -6872,,                  9845,,                 -1655,                 -4089,                 80224,,                 28904,                 51320,                 51320,,,                -10138,                -10138,                -10138,                 41182,,                 49207,                  2113,,                 39603,                  1579,,                              0.58,,                              0.58,,
