證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4142,2015年第3季,,                108786,,                193853,                -85067,                -85067,,,                  4276,,                 47863,,                 58824,                110963,               -196030,,,                  5258,,                    270,,                  6497,                   -969,               -196999,,                              0,               -196999,               -196999,,,                -72247,                -72247,                -72247,               -269246,,               -191402,                 -5597,,               -263649,                 -5597,,                             -0.81,                             -0.81,,,
4142,2015年第2季,,                 27527,,                 30449,                 -2922,                 -2922,,,                  5015,,                 59875,,                 34889,                 99779,               -102701,,,                 15757,,                   -428,,                  6494,                  8835,                -93866,,                              0,                -93866,                -93866,,,                 40271,                 40271,                 40271,                -53595,,                -92528,                 -1338,,                -52257,                 -1338,,                             -0.39,                             -0.39,,,
4142,2015年01月01日至2015年09月30日,,                164094,,                311687,               -147593,               -147593,,,                 14748,,                144148,,                142503,                301399,               -448992,,,                 23278,,                   -402,,                 18974,                  3902,               -445090,,                   -922,               -444168,               -444168,,,                 27348,                 27348,                 27348,               -416820,,               -426472,                -17696,,               -399124,                -17696,,                             -1.81,                             -1.81,,,
4142,2015年01月01日至2015年06月30日,,                 55308,,                117834,                -62526,                -62526,,,                 10472,,                 96285,,                 83679,                190436,               -252962,,,                 18020,,                   -672,,                 12477,                  4871,               -248091,,                   -922,               -247169,               -247169,,,                 99595,                 99595,                 99595,               -147574,,               -235070,                -12099,,               -135475,                -12099,,                             -1.00,                             -1.00,,,
4142,2015年01月01日至2015年03月31日,,                 27781,,                 87385,                -59604,                -59604,,,                  5457,,                 36410,,                 48790,                 90657,               -150261,,,                  2263,,                   -244,,                  5983,                 -3964,               -154225,,                   -922,               -153303,               -153303,,,                 59324,                 59324,                 59324,                -93979,,               -142542,                -10761,,                -83218,                -10761,,                             -0.61,                             -0.61,,,
4142,2014年第3季,,                 66678,,                175319,               -108641,               -108641,,,                  4119,,                 43663,,                 41764,                 89546,               -198187,,,                  7108,,                -10227,,                 11232,                -14351,               -212538,,                 -7334,               -205204,               -205204,,,                -14262,                -14262,                -14262,               -219466,,               -250452,                 45248,,               -264714,                 45248,,                             -1.23,                             -1.23,,,
4142,2014年第2季,,                260616,,                199709,                 60907,                 60907,,,                  4189,,                 60831,,                 49964,                114984,                -54077,,,                  6328,,                 -3826,,                 11473,                 -8971,                -63048,,                -32863,                -30185,                -30185,,,                  6743,                  6743,                  6743,                -23442,,                 16798,                -46983,,                 23541,                -46983,,                              0.09,                              0.09,,,
4142,2014年度,,                480506,,                685700,               -205194,               -205194,,,                 20368,,                183211,,                238831,                442410,               -647604,,,                 42834,,                -13647,,                 40637,                -11450,               -659054,,                -41013,               -618041,               -618041,,,,,                 18107,               -599934,,               -614422,                 -3619,,               -596315,                 -3619,,                             -3.04,                             -3.04,                 16811,                  1352,                     56
4142,2014年01月01日至2014年09月30日,,                332475,,                433424,               -100949,               -100949,,,                 12884,,                143336,,                140946,                297166,               -398115,,,                 17071,,                -12960,,                 33740,                -29629,               -427744,,                -40197,               -387547,               -387547,,,                 -4741,                 -4741,                 -4741,               -392288,,               -385581,                 -1966,,               -390322,                 -1966,,                             -1.90,                             -1.90,,,
4142,2014年01月01日至2014年06月30日,,                265797,,                258105,                  7692,                  7692,,,                  8765,,                 99673,,                 99182,                207620,               -199928,,,                  9963,,                 -2733,,                 22508,                -15278,               -215206,,                -32863,               -182343,               -182343,,,                  9521,                  9521,                  9521,               -172822,,               -135129,                -47214,,               -125608,                -47214,,                             -0.73,                             -0.73,,,
4142,2014年01月01日至2014年03月31日,,                  5181,,                 58396,                -53215,                -53215,,,                  4576,,                 38842,,                 49218,                 92636,               -145851,,,                  3635,,                  1093,,                 11035,                 -6307,               -152158,,                              0,               -152158,               -152158,,,                  2778,                  2778,                  2778,               -149380,,               -151927,                   -231,,               -149149,                   -231,,                             -0.82,                             -0.82,,,
4142,2013年第3季,,                125474,,                125865,                   -391,                   -391,,,                 20553,,                 36403,,                 42477,                 99433,                -99824,,,                  2631,,                   -231,,                 10860,                 -8460,               -108284,,                              0,               -108284,               -108284,,,,,                 15006,                -93278,,               -108284,                              0,,                -93278,                              0,,                             -0.59,                             -0.59,                 15006,,
4142,2013年第2季,,                141685,,                214908,                -73223,                -73223,,,                  2865,,                 32050,,                 24024,                 58939,               -132162,,,                 10067,,                  1552,,                 10888,                    731,               -131431,,                  9722,               -141153,               -141153,,,,,                 -4213,               -145366,,               -141153,                              0,,               -145366,                              0,,                             -0.77,                             -0.77,                 -4213,,
