證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入
4722,2015年第3季,,,,              1110421,                  1332,                    206,              1108883,              1108883,,                903791,                205092,                205092,,,                 70242,,                 24679,,                 10545,                105466,                 99626,,,,                    192,                    192,,                 46447,,                  3195,                 43444,                143070,,                 27274,                115796,                115796,,,                 18081,                -25655,                 -1288,                 -6286,                 -6286,                109510,,                115796,,                109510,,                              1.31,                              1.31,,                              1.31,                              1.31,,,,,
4722,2015年第2季,,,,              1176911,                  3176,                    352,              1173383,              1173383,,                976802,                196581,                196581,,,                 63087,,                 26676,,                  9684,                 99447,                 97134,,,,                    764,                    764,,                   -547,,                  3127,                 -2910,                 94224,,                 20823,                 73401,                 73401,,,                 -3681,                 -4811,                 -1443,                 -7049,                 -7049,                 66352,,                 73401,,                 66352,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,
4722,2015年01月01日至2015年09月30日,,,,              3387561,                  4746,                    920,              3381895,              3381895,,              2778089,                603806,                603806,,,                198711,,                 76553,,                 30403,                305667,                298139,,,,                  1449,                  1449,,                 23869,,                  9793,                 15525,                313664,,                 64283,                249381,                249381,,,                  8976,                -27000,                 -3066,                -14958,                -14958,                234423,,                249381,,                234423,,                              2.83,                              2.83,,                              2.82,                              2.82,,,,,
4722,2015年01月01日至2015年06月30日,,,,              2277140,                  3414,                    714,              2273012,              2273012,,              1874298,                398714,                398714,,,                128469,,                 51874,,                 19858,                200201,                198513,,,,                  1257,                  1257,,                -22578,,                  6598,                -27919,                170594,,                 37009,                133585,                133585,,,                 -9105,                 -1345,                 -1778,                 -8672,                 -8672,                124913,,                133585,,                124913,,                              1.51,                              1.51,,                              1.51,                              1.51,,,,,
4722,2015年01月01日至2015年03月31日,,,,              1100229,                    238,                    362,              1099629,              1099629,,                897496,                202133,                202133,,,                 65382,,                 25198,,                 10174,                100754,                101379,,,,                    493,                    493,,                -22031,,                  3471,                -25009,                 76370,,                 16186,                 60184,                 60184,,,                 -5424,                  3466,                   -335,                 -1623,                 -1623,                 58561,,                 60184,,                 58561,,,                              0.68,,,                              0.68,,,,,
4722,2014年第3季,,,,              1290824,                  1767,                    961,              1288096,              1288096,,              1136233,                151863,                151863,,,                 63118,,                 22648,,                 10060,                 95826,                 56037,,,,                    353,                    353,,                 19793,,                  3562,                 16584,                 72621,,                 15243,                 57378,                 57378,,,                  6808,                  8059,                  2529,                 12338,                 12338,                 69716,,                 57378,,                 69716,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,
4722,2014年第2季,,,,              1243453,                  1176,                    363,              1241914,              1241914,,              1095696,                146218,                146218,,,                 62854,,                 24233,,                  8703,                 95790,                 50428,,,,                    377,                    377,,                 -9676,,                  3338,                -12637,                 37791,,                 11700,                 26091,                 26091,,,                 -7095,                  2566,                   -531,                 -3998,                 -3998,                 22093,,                 26091,,                 22093,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,
4722,2014年度,,,,              5007523,                  9263,                  1818,              4996442,              4996442,,              4396647,                599795,                599795,,,                259046,,                103288,,                 37272,                399606,                200189,,,,                  2048,                  2048,,                 38587,,                 13726,                 26909,                227098,,                 48324,                178774,                178774,,,,,,,                 23810,                202584,,                178774,,                202584,,                              2.03,                              2.03,,                              2.02,                              2.02,                 22095,                 10219,                 -3163,                  5341,
4722,2014年01月01日至2014年09月30日,,,,              3659127,                  8797,                  1689,              3648641,              3648641,,              3232891,                415750,                415750,,,                185235,,                 76466,,                 26778,                288479,                127271,,,,                  1637,                  1637,,                 18959,,                 10073,                 10523,                137794,,                 31270,                106524,                106524,,,                  5249,                  3302,                  1829,                  6722,                  6722,                113246,,                106524,,                113246,,                              1.21,                              1.21,,                              1.21,                              1.21,,,,,
4722,2014年01月01日至2014年06月30日,,,,              2368303,                  7030,                    728,              2360545,              2360545,,              2096658,                263887,                263887,,,                122117,,                 53818,,                 16718,                192653,                 71234,,,,                  1284,                  1284,,                   -834,,                  6511,                 -6061,                 65173,,                 16027,                 49146,                 49146,,,                 -1559,                 -4757,                   -700,                 -5616,                 -5616,                 43530,,                 49146,,                 43530,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,
4722,2014年01月01日至2014年03月31日,,,,              1124850,                  5854,                    365,              1118631,              1118631,,              1000962,                117669,                117669,,,                 59263,,                 29585,,                  8015,                 96863,                 20806,,,,                    907,                    907,,                  8842,,                  3173,                  6576,                 27382,,                  4327,                 23055,                 23055,,,                  5536,                 -7323,                   -169,                 -1618,                 -1618,                 21437,,                 23055,,                 21437,,,                              0.26,,,                              0.26,,,,,
4722,2013年第3季,,,,              1215720,                  3106,                    547,              1212067,              1212067,,              1065941,                146126,                146126,,,                 69396,,                 21622,,                  8045,                 99063,                 47063,,,,                    906,                    906,,                  8634,,                  4367,                  5173,                 52236,,                  9541,                 42695,                 42695,,,,,,,                -15273,                 27422,,                 42695,,                 27422,,                              0.48,                              0.48,,                              0.48,                              0.48,                 -3636,                -10836,,                    801,
4722,2013年第2季,,,,              1234118,                  5490,                    811,              1227817,              1227817,,              1086527,                141290,                141290,,,                 65174,,                 34077,,                  8706,                107957,                 33333,,,,                    698,                    698,,                 10508,,                  3741,                  7465,                 40798,,                 16053,                 24745,                 24745,,,,,,,                 41779,                 66524,,                 24745,,                 66524,,                              0.28,                              0.28,,                              0.28,                              0.28,                  5277,                 34864,,                 -1638,
