證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
4763,2015年第3季,,                356623,,                255599,                101024,                101024,,,                 22727,,                 13482,,                  3169,                 39378,                 61646,,,                  4093,,                 16023,,                    434,                 19682,                 81328,,                 14096,                 67232,                 67232,,,                 36707,                 36707,                 36707,                103939,,                 67232,,                103939,,                              1.64,,                              0.00,
4763,2015年上半年度,,                729099,,                534472,                194627,                194627,,,                 30832,,                 24231,,                  8177,                 63240,                131387,,,                  4318,,                  8134,,                  2028,                 10424,                141811,,                 22956,                118855,                118855,,,                -18168,                -18168,                -18168,                100687,,                118855,,                100687,,                              2.91,,,
4763,2015年01月01日至2015年09月30日,,              1085722,,                790071,                295651,                295651,,,                 53559,,                 37713,,                 11346,                102618,                193033,,,                  8411,,                 24157,,                  2462,                 30106,                223139,,                 37052,                186087,                186087,,,                 18539,                 18539,                 18539,                204626,,                186087,,                204626,,                              4.55,,                              0.00,
4763,2014年第3季,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0.00,,                              0.00,
4763,2014年度,,              1376124,,              1006902,                369222,                369222,,,                 51423,,                 27744,,                 26290,                105457,                263765,,,                  6050,,                  1679,,                  8758,                 -1029,                262736,,                 38701,                224035,                224035,,,,,                 25019,                249054,,                224035,,                249054,,                              5.60,,,                 25019
4763,2014年上半年度,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0.00,,,
4763,2014年01月01日至2014年09月30日,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0.00,,                              0.00,
4763,2013年度,,                800759,,                625658,                175101,                175101,,,                 32722,,                 22435,,                  7340,                 62497,                112604,,,                  2015,,                -14513,,                  7151,                -19649,                 92955,,                 12107,                 80848,                 80848,,,,,                 26351,                107199,,                 80848,,                107199,,                              2.02,,,                 26351
4763,2013年01月01日至2013年12月31日,,                800759,,                625658,                175101,                175101,,,                 32722,,                 23692,,                  7340,                 63754,                111347,,,                  2015,,                -14513,,                  7151,                -19649,                 91698,,                 12107,                 79591,                 79591,,,,,                 22350,                101941,,                 79591,,                101941,,                              1.99,,,                 22350
4763,2012年01月01日至2012年12月31日,,                533010,,                453765,                 79245,                 79245,,,                 29378,,                 17780,,                  4169,                 51327,                 27918,,,                  1745,,                  2894,,                  5430,                   -791,                 27127,,                  4225,                 22902,                 22902,,,,,                 -9452,                 13450,,                 22902,,                 13450,,                              0.57,,,                 -9452
