證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 財務成本,　　　 財務成本淨額
5269,2015年第3季,,                431717,,                225837,                205880,                205880,,,                 14958,,                 17537,,                109122,                141617,                 64263,,,                  2707,,                 36352,                 39059,                103322,,                 11810,                 91512,                 91512,                 91512,,                 91512,,                 91512,,                              1.62,                              1.62,,                              1.60,                              1.60,,,,,,
5269,2015年第2季,,                296060,,                163154,                132906,                132906,,,                 13699,,                 11915,,                 91829,                117443,                 15463,,,                  3022,,                 -8612,                 -5590,                  9873,,                  3317,                  6556,                  6556,                  6556,,                  6556,,                  6556,,                              0.12,                              0.12,,                              0.11,                              0.11,,,,,,
5269,2015年01月01日至2015年09月30日,,              1116802,,                601226,                515576,                515576,,,                 43774,,                 44445,,                304285,                392504,                123072,,,                  8525,,                 22023,                 30548,                153620,,                 19224,                134396,                134396,                134396,,                134396,,                134396,,                              2.38,                              2.38,,                              2.35,                              2.35,,,,,,
5269,2015年01月01日至2015年06月30日,,                685085,,                375389,                309696,                309696,,,                 28816,,                 26908,,                195163,                250887,                 58809,,,                  5818,,                -14329,                 -8511,                 50298,,                  7414,                 42884,                 42884,                 42884,,                 42884,,                 42884,,                              0.76,                              0.76,,                              0.75,                              0.75,,,,,,
5269,2015年01月01日至2015年03月31日,,                389025,,                212235,                176790,                176790,,,                 15117,,                 14993,,                103334,                133444,                 43346,,,                  2796,,                 -5717,                 -2921,                 40425,,                  4097,                 36328,                 36328,                 36328,,                 36328,,                 36328,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,
5269,2014年第3季,,                387383,,                226017,                161366,                161366,,,                 14388,,                 11630,,                 82944,                108962,                 52404,,,                  2129,,                 10324,                 12453,                 64857,,                  9660,                 55197,                 55197,                 55197,,                 55197,,                 55197,,                              0.98,                              0.98,,                              0.98,                              0.98,,,,,,
5269,2014年第2季,,                432377,,                243487,                188890,                188890,,,                 16057,,                 14190,,                 78792,                109039,                 79851,,,                  2584,,                 -4793,                 -2209,                 77642,,                  9404,                 68238,                 68238,                 68238,,                 68238,,                 68238,,                              1.21,                              1.21,,                              1.21,                              1.21,,,,,,
5269,2014年度,,              1523927,,                886983,                636944,                636944,,,                 56956,,                 49602,,                310040,                416598,                220346,,,                  8062,,                 34063,                 42125,                262471,,                 34449,                228022,                228022,                228000,,                228022,,                228000,,                              4.04,                              4.04,,                              4.03,                              4.03,,                    -26,                     -4,                    -22,,
5269,2014年01月01日至2014年09月30日,,              1181469,,                675638,                505831,                505831,,,                 43596,,                 38928,,                240705,                323229,                182602,,,                  5749,,                  9806,                 15555,                198157,,                 26830,                171327,                171327,                171327,,                171327,,                171327,,                              3.04,                              3.04,,                              3.03,                              3.03,,,,,,
5269,2014年01月01日至2014年06月30日,,                794086,,                449621,                344465,                344465,,,                 29208,,                 27298,,                157761,                214267,                130198,,,                  3620,,                   -518,                  3102,                133300,,                 17170,                116130,                116130,                116130,,                116130,,                116130,,                              2.06,                              2.06,,                              2.06,                              2.06,,,,,,
5269,2014年01月01日至2014年03月31日,,                361709,,                206134,                155575,                155575,,,                 13151,,                 13108,,                 78969,                105228,                 50347,,,                  1036,,                  4275,                  5311,                 55658,,                  7766,                 47892,                 47892,                 47892,,                 47892,,                 47892,,                              0.85,                              0.85,,                              0.85,                              0.85,,,,,,
5269,2013年第3季,,                277783,,                176657,                101126,                101126,,,                 12170,,                  8682,,                 61872,                 82724,                 18402,,,                    637,,                 -2739,                 -2102,                 16300,,                  2640,                 13660,                 13660,                 13660,,                 13660,,                 13660,,                              0.24,                              0.24,,                              0.23,                              0.23,,,,,,
