證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　 其他利息收入,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資損失之份額
5469,2015年第3季,,             10330241,,              9248016,              1082225,              1082225,,,                280290,,                566571,,                107526,                954387,                127838,,,,                 96448,                 16835,                              0,                 30300,                143583,,                  6325,                 13802,                131977,                  5468,,                  1353,                  1265,                157660,,                117440,,                  1370,                185173,                313011,,                 20641,                292370,                292370,,,              1064853,                 27209,,                  8149,              1100211,              1100211,              1392581,,                276817,                 15553,,                912066,                480515,,                              0.62,                              0.62,,                              0.61,                              0.61,,,,,,,,,,,,,,
5469,2015年第2季,,              9546203,,              8703947,                842256,                842256,,,                274971,,                493085,,                 86554,                854610,                -12354,,,,                 96715,                              0,                              0,                 62554,                159269,,                 65851,                  3583,                 22349,                 53210,,                  5059,                  5003,                145049,,                118838,,                 -2682,                182798,                170444,,                 48730,                121714,                121714,,,               -342704,                -70544,,                 -3162,               -416410,               -416410,               -294696,,                 72981,                 48733,,               -228259,                -66437,,                              0.16,                              0.16,,,,,,,,,,,,,,,,,
5469,2015年01月01日至2015年09月30日,,             29817263,,             27088069,              2729194,              2729194,,,                860613,,              1689399,,                280749,              2830761,               -101567,,,,                311002,                 16835,                  4155,                120335,                452327,,                 71680,                 18563,                186606,                108018,,                 14033,                 12914,                385986,,                371178,,                 -2649,                464486,                362919,,                118367,                244552,                244552,,,                476204,                 29346,,                  2782,                508332,                508332,                752884,,                318231,                -73679,,                564422,                188462,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,,,,,,,,,,,
5469,2015年01月01日至2015年06月30日,,             19487022,,             17840053,              1646969,              1646969,,,                580323,,              1122828,,                173223,              1876374,               -229405,,,,                214554,                              0,                  4155,                 90035,                308744,,                 65355,                  4761,                 54629,                102550,,                 12680,                 11649,                228326,,                253738,,                 -4019,                279313,                 49908,,                 97726,                -47818,                -47818,,,               -588649,                  2137,,                 -5367,               -591879,               -591879,               -639697,,                 41414,                -89232,,               -347644,               -292053,,                              0.09,                              0.09,,,,,,,,,,,,,,,,,
5469,2015年01月01日至2015年03月31日,,              9940819,,              9136106,                804713,                804713,,,                305352,,                629743,,                 86669,              1021764,               -217051,,,,                117839,,                  4155,                 27481,                149475,,                   -496,                  1178,                 32280,                 49340,,                  7621,                  6646,                 83277,,                134900,,                 -1337,                 96515,               -120536,,                 48996,               -169532,               -169532,,,               -245945,                 72681,,                 -2205,               -175469,               -175469,               -345001,,                -31567,               -137965,,               -119385,               -225616,,                             -0.07,                             -0.07,,,,,,,,,,,,,,,,,
5469,2014年第3季,,             13187925,,             11863831,              1324094,              1324094,,,                347275,,                611945,,                 93752,              1052972,                271122,,,,                168399,                  1450,                              0,                 40360,                210209,,                -11202,                              0,                 36299,                 24158,,                  1866,                  5308,                 45813,,                149737,,                  5603,                111888,                383010,,                 25102,                357908,                357908,,,                574339,                -12169,,                  2800,                564970,                564970,                922878,,                296826,                 61082,,                720773,                202105,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,,,,,,,,,,
5469,2014年第2季,,             12066209,,             10991153,              1075056,              1075056,,,                284607,,                571319,,                 87586,                943512,                131544,,,,                183814,                    655,                              0,                 35773,                220242,,                 -2588,                              0,                 11320,                  7081,,                  9700,                  1288,                 24225,,                153737,,                  3867,                 94597,                226141,,                 43253,                182888,                182888,,,               -393235,                100196,,                 -1440,               -294479,               -294479,               -111591,,                159777,                 23111,,                 -2120,               -109471,,                              0.35,                              0.35,,,,,,,,,,,,,,,,,
5469,2014年度,,             48662451,,             44035241,              4627210,              4627210,,,              1215984,,              2383392,,                359502,              3958878,                668332,,,,                649215,                  2182,                 10120,                154029,                815546,,,                              0,,                 84775,,,                 35040,                  5726,,                599289,,                 23789,                245772,                914104,,                116751,                797353,                797353,,,,,,,,              1118337,              1915690,,                705560,                 91793,,              1389961,                525729,,                              1.57,                              1.57,,                              1.56,                              1.56,                 -9869,                 32669,,                 21209,                976298,                125671,                 11868,,                  6475,                  1975,,,,
5469,2014年01月01日至2014年09月30日,,             36639712,,             33302236,              3337476,              3337476,,,                908616,,              1738558,,                269059,              2916233,                421243,,,,                517198,                  2105,                  5476,                119268,                644047,,                 11888,                              0,                -35975,                 35306,,                 19209,                  9508,                 20920,,                452593,,                 21848,                234222,                655465,,                102102,                553363,                553363,,,                235385,                103071,,                  1033,                339489,                339489,                892852,,                479165,                 74198,,                681563,                211289,,                              1.06,                              1.06,,                              1.06,                              1.06,,,,,,,,,,,,,,
5469,2014年01月01日至2014年06月30日,,             23451787,,             21438405,              2013382,              2013382,,,                561341,,              1126613,,                175307,              1863261,                150121,,,,                348799,                    655,                  5476,                 78908,                433838,,                 23090,                              0,                -72274,                 11148,,                 17343,                  4200,                -24893,,                302856,,                 16245,                122334,                272455,,                 77000,                195455,                195455,,,               -338954,                115240,,                 -1767,               -225481,               -225481,                -30026,,                182339,                 13116,,                -39210,                  9184,,                              0.40,                              0.40,,,,,,,,,,,,,,,,,
