證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
5607,2015年第3季,,                320852,,                167852,                153000,                153000,,,                 20035,,                 61227,                 81262,                 71738,,,                 13987,,                   -718,,                 14385,                 -1116,                 70622,,                              0,                 70622,                 70622,,,                 13558,                 13558,                 13558,                 84180,,                 61159,                  9463,,                 74717,                  9463,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,
5607,2015年第2季,,                313829,,                164047,                149782,                149782,,,                 20923,,                 60521,                 81444,                 68338,,,                    890,,                   -525,,                 14811,                -14446,                 53892,,                              0,                 53892,                 53892,,,                -21304,                -21304,                -21304,                 32588,,                 43184,                 10708,,                 21880,                 10708,,                              0.25,                              0.25,,                              0.25,                              0.25,,                              0,                              0,,
5607,2015年01月01日至2015年09月30日,,                936705,,                492052,                444653,                444653,,,                 60933,,                182014,                242947,                201706,,,                 15964,,                 -1779,,                 43932,                -29747,                171959,,                              0,                171959,                171959,,,                -16877,                -16877,                -16877,                155082,,                142202,                 29757,,                125325,                 29757,,                              0.84,                              0.84,,                              0.84,                              0.84,,,,,
5607,2015年01月01日至2015年06月30日,,                615853,,                324200,                291653,                291653,,,                 40898,,                120787,                161685,                129968,,,                  1977,,                 -1061,,                 29547,                -28631,                101337,,                              0,                101337,                101337,,,                -30435,                -30435,                -30435,                 70902,,                 81043,                 20294,,                 50608,                 20294,,                              0.48,                              0.48,,                              0.48,                              0.48,,                              0,                              0,,
5607,2015年01月01日至2015年03月31日,,                302024,,                160153,                141871,                141871,,,                 19975,,                 60266,                 80241,                 61630,,,                  1087,,                   -536,,                 14736,                -14185,                 47445,,                              0,                 47445,                 47445,,,                 -9131,                 -9131,                 -9131,                 38314,,                 37859,                  9586,,                 28728,                  9586,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,
5607,2014年第3季,,                325621,,                159830,                165791,                165791,,,                 25119,,                 58601,                 83720,                 82071,,,                  9243,,                   -745,,                 14935,                 -6437,                 75634,,                     25,                 75609,                 75609,,,                -26561,                -26561,                -26561,                 49048,,                 61642,                 13967,,                 35081,                 13967,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,
5607,2014年第2季,,                326292,,                151903,                174389,                174389,,,                 24727,,                 58823,                 83550,                 90839,,,                    653,,                 16923,,                 14719,                  2857,                 93696,,                     36,                 93660,                 93660,,,                -62253,                -62253,                -62253,                 31407,,                 77505,                 16155,,                 15252,                 16155,,                              0.45,                              0.45,,                              0.45,                              0.45,,                              0,                              0,,
5607,2014年度,,              1289493,,                626454,                663039,                663039,,,                 98258,,                239146,                337404,                325635,,,                  9561,,                 14943,,                 58947,                -34443,                291192,,                  8459,                282733,                282733,,,,,                -66993,                215740,,                226425,                 56308,,                158535,                 57205,,                              1.33,                              1.33,,                              1.33,                              1.33,,,,                -70553,                  3560
5607,2014年01月01日至2014年09月30日,,                953236,,                455123,                498113,                498113,,,                 71261,,                175867,                247128,                250985,,,                 10954,,                 15800,,                 43817,                -17063,                233922,,                     97,                233825,                233825,,,                -81067,                -81067,                -81067,                152758,,                189664,                 44161,,                108597,                 44161,,                              1.12,                              1.12,,                              1.12,                              1.12,,,,,
5607,2014年01月01日至2014年06月30日,,                627615,,                295293,                332322,                332322,,,                 46142,,                117266,                163408,                168914,,,                  1711,,                 16545,,                 28882,                -10626,                158288,,                     72,                158216,                158216,,,                -54506,                -54506,                -54506,                103710,,                128022,                 30194,,                 73516,                 30194,,                              0.75,                              0.75,,                              0.75,                              0.75,,                              0,                              0,,
5607,2014年01月01日至2014年03月31日,,                301323,,                143390,                157933,                157933,,,                 21415,,                 58443,                 79858,                 78075,,,                  1058,,                   -378,,                 14163,                -13483,                 64592,,                     36,                 64556,                 64556,,,                  7747,                  7747,                  7747,                 72303,,                 50517,                 14039,,                 58264,                 14039,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,
