證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 分期付款銷貨收入,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 利息收入-營業收入,　　　 地產出售收入（開發投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 利息費用,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 管理費用,　　　 管理費用合計,　　 其他收益,　　 其他費損
5871,2015年第3季,,,,              2125878,              2125878,                              0,              2125878,,              5241532,                              0,              5241532,,                638188,                638188,,              1308074,              1308074,              9313672,,,              1864860,              1864860,,              1198685,              1198685,,                461796,                461796,                207486,              3732827,              5580845,              5580845,,              3337691,,                 11620,              2254774,,,,                 23246,                 57533,                 80779,,                 95897,,                 -1917,                174759,              2429533,,                613322,              1816211,              1816211,,,              1107207,                -38786,                 55322,               -135165,                              0,                 73369,                915209,                915209,              2731420,,              1731694,                 84517,,              2665862,                 65558,,                              1.52,                              1.52,,,,,,,,,,,,,
5871,2015年第2季,,,,              2257313,              2257313,,              2257313,,              5003478,,              5003478,,                585106,                585106,,              1246363,              1246363,              9092260,,,              1997979,              1997979,,              1183857,              1183857,,,                436579,                206042,              3824457,              5267803,              5267803,,              3269067,,                   -490,              1998246,,,,                 16471,                  9885,                 26356,,                419055,,                     83,                445494,              2443740,,                653679,              1790061,              1790061,,,               -525755,                -12611,                 -2833,                 31907,                              0,                -30770,               -478522,               -478522,              1311539,,              1706985,                 83076,,              1330963,                -19424,,                              1.50,                              1.50,,                              0,,,,,,,,,,,
5871,2015年01月01日至2015年09月30日,,,,              6019174,              6019174,                              0,              6019174,,             15255436,                              0,             15255436,,              1790940,              1790940,,              3843431,              3843431,             26908981,,,              5305701,              5305701,,              3586386,              3586386,,              1287171,              1287171,                602909,             10782167,             16126814,             16126814,,              9607887,,                 76321,              6595248,,,,                 60551,                 67418,                127969,,                548072,,                -10106,                665935,              7261183,,              1859735,              5401448,              5401448,,,                335136,                -39706,                 51572,                -78457,                              0,                 28173,                240372,                240372,              5641820,,              5148125,                253323,,              5511365,                130455,,                              4.52,                              4.52,,,,,,,,,,,,,
5871,2015年01月01日至2015年06月30日,,,,              3893296,              3893296,,              3893296,,             10013904,,             10013904,,              1152752,              1152752,,              2535357,              2535357,             17595309,,,              3440841,              3440841,,              2387701,              2387701,,,                825375,                395423,              7049340,             10545969,             10545969,,              6270196,,                 64701,              4340474,,,,                 37305,                  9885,                 47190,,                452175,,                 -8189,                491176,              4831650,,              1246413,              3585237,              3585237,,,               -772071,                   -920,                 -3750,                 56708,                              0,                -45196,               -674837,               -674837,              2910400,,              3416431,                168806,,              2845503,                 64897,,                              3.00,                              3.00,,                              0,,,,,,,,,,,
5871,2015年01月01日至2015年03月31日,,,,              1635983,              1635983,,              1635983,,              5010426,,              5010426,,                567646,                567646,,              1288994,              1288994,              8503049,,,              1442862,              1442862,,              1203844,              1203844,,                388796,                388796,                189381,              3224883,              5278166,              5278166,,              3001129,,                 65191,              2342228,,,,                 20834,,                 20834,,                 33120,,                 -8272,                 45682,              2387910,,                592734,              1795176,              1795176,,,               -246316,                 11691,                   -917,                 24801,                              0,                -14426,               -196315,               -196315,              1598861,,              1709446,                 85730,,              1514540,                 84321,,                              1.56,                              1.56,,,,,,,,,,,,,
5871,2014年第3季,,,,              2492148,              2492148,                              0,              2492148,,              4637709,                              0,              4637709,,                486172,                486172,,              1413347,              1413347,              9029376,,,              2158784,              2158784,,              1107274,              1107274,,                279485,                279485,                202332,              3747875,              5281501,              5281501,,              3053100,,                 30344,              2258745,,,,                 18240,                 28473,                 46713,,                373363,,                 -4474,                415602,              2674347,,                685135,              1989212,              1989212,,,                596589,                 31670,                 -7682,                -45198,                -20979,                 25371,                529029,                529029,              2518241,,              1905870,                 83342,,              2436512,                 81729,,                              1.67,                              1.67,,,,,,,,,,,,,
5871,2014年第2季,,,,              2320324,              2320324,,              2320324,,              4352469,,              4352469,,                456067,                456067,,              1286247,              1286247,              8415107,,,              2019830,              2019830,,              1035605,              1035605,,,                352909,                186340,              3594684,              4820423,              4820423,,              2796061,,                 35571,              2059933,,,,                 20442,                  2853,                 23295,,                363592,,                 -2828,                384059,              2443992,,                704510,              1739482,              1739482,,,               -480344,                -57860,                  6797,                 45865,                 58329,                -26997,               -400216,               -400216,              1339266,,              1656976,                 82506,,              1252673,                 86593,,                              1.45,                              1.45,,                              0,,,,,,,,,,,
5871,2014年度,,,,              8546786,              8546786,,              8546786,,             18159384,,             18159384,,              1905331,              1905331,,              5941173,              5941173,             34552674,,,              7445911,              7445911,,              4357416,              4357416,,              1354572,              1354572,              1320394,             14478293,             20074381,             20074381,,             11508104,,                190463,              8756740,,,,                 89186,                 33691,                122877,,                808174,,                -11077,                919974,              9676714,,              2521945,              7154769,              7154769,,,,,,,,,,                994987,              8149756,,              6825408,                329361,,              7710169,                439587,,                              6.23,                              6.23,,,              1228190,               -147405,                 74858,               -163818,                 17181,                 49141,                 63160,,,,
5871,2014年01月01日至2014年09月30日,,,,              6674000,              6674000,                              0,              6674000,,             13236233,                750535,             13986768,,              1393607,              1393607,,              3837032,              3837032,             25891407,,,              5824375,              5824375,,              3158315,              3158315,,                964839,                964839,              1111528,             11059057,             14832350,             14832350,,              8422086,,                101382,              6511646,,,,                 62750,                 31326,                 94076,,                730246,,                 -8845,                815477,              7327123,,              1960626,              5366497,              5366497,,,                296652,               -132796,                 60523,                -52348,                 -4412,                  8347,                159272,                159272,              5525769,,              5124667,                241830,,              5220467,                305302,,                              4.50,                              4.50,,,,,,,,,,,,,
5871,2014年01月01日至2014年06月30日,,,,              4181852,              4181852,,              4181852,,              8598524,,              8598524,,                907435,                907435,,              3174220,              3174220,             16862031,,,              3665591,              3665591,,              2051041,              2051041,,,                685354,                909196,              7311182,              9550849,              9550849,,              5368986,,                 71038,              4252901,,,,                 44510,                  2853,                 47363,,                356883,,                 -4371,                399875,              4652776,,              1275491,              3377285,              3377285,,,               -299937,               -164466,                 68205,                 -7150,                 16567,                -17024,               -369757,               -369757,              3007528,,              3218797,                158488,,              2783955,                223573,,                              2.83,                              2.83,,                              0,,,,,,,,,,,
