證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 已實現銷貨（損）益,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 處分投資利益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 透過損益按公允價值衡量之金融資產（負債）利益
6116,2015年第3季,,              3991941,,              4264484,               -272543,                 -1152,               -271391,,,                232974,,                197134,,                184055,                614163,               -885554,,,                 44827,,                 46539,,                 11877,,                 35404,                114893,               -770661,,                -63455,               -707206,               -707206,,,                              0,,                              0,                              0,                              0,,                 83294,               -172050,                              0,,                -34978,                              0,               -123734,               -123734,               -830940,,               -707206,,               -830940,,                             -0.22,                             -0.22,,                             -0.22,                             -0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2015年第2季,,              4127744,,              4138119,                -10375,                 -1593,                 -8782,,,                189757,,                235610,,                209835,                635202,               -643984,,,                 34776,,                -48394,,                 14008,,                -77652,               -105278,               -749262,,                102396,               -851658,               -851658,,,                              0,,                              0,                              0,                              0,,                -31374,               -121308,                              0,,                -81514,                              0,               -234196,               -234196,             -1085854,,               -851658,,             -1085854,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2015年01月01日至2015年09月30日,,             13409749,,             12876367,                533382,                 -8864,                542246,,,                626385,,                727042,,                537210,              1890637,             -1348391,,,                144252,,                463252,,                 44339,,                -29767,                533398,               -814993,,                 38941,               -853934,               -853934,,,                     14,,                  7056,                      2,                  7068,,                 41573,               -299531,                 23644,,               -137683,                              0,               -371997,               -364929,             -1218863,,               -853934,,             -1218863,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2015年01月01日至2015年06月30日,,              9417808,,              8611883,                805925,                 -7712,                813637,,,                393411,,                529908,,                353155,              1276474,               -462837,,,                 99425,,                416713,,                 32462,,                -65171,                418505,                -44332,,                102396,               -146728,               -146728,,,                     14,,                  7056,                      2,                  7068,,                -41721,               -127481,                 23644,,               -102705,                              0,               -248263,               -241195,               -387923,,               -146728,,               -387923,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2015年01月01日至2015年03月31日,,              5290064,,              4473764,                816300,                 -6119,                822419,,,                203654,,                294298,,                143320,                641272,                181147,,,                 64649,,                465107,,                 18454,,                 12481,                523783,                704930,,                              0,                704930,                704930,,,                     14,,                  7056,                      2,                  7068,,                -10347,                 -6173,                 23644,,                -21191,,                -14067,                 -6999,                697931,,                704930,,                697931,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年第3季,,              5647281,,              4727818,                919463,                 -3306,                922769,,,                228292,,                208345,,                247043,                683680,                239089,,,                 40653,,               -837356,,                 18938,,                 -3881,               -819522,               -580433,,                              0,               -580433,               -580433,,,                              0,,                              0,                              0,                              0,,                 64295,                543911,                -68270,,                -12003,                              0,                527933,                527933,                -52500,,               -580433,,                -52500,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年第2季,,              6135497,,              4648876,              1486621,                  1480,              1485141,,,                205915,,                271338,,                342768,                820021,                665120,,,                 42589,,                -16488,,                 19665,,                 33270,                 39706,                704826,,                    281,                704545,                704545,,,                              0,,                              0,                              0,                              0,,                -75505,                 31425,                 58198,,                  4122,                              0,                 18240,                 18240,                722785,,                704545,,                722785,,                              0.21,                              0.21,,                              0.21,                              0.21,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年度,,             23674608,,             19290951,              4383657,                 -5976,              4389633,,,                770905,,                991002,,              1057496,              2819403,              1570230,,,                205059,,             -1187566,,                 76078,,                 60357,               -998228,                572002,,                 31078,                540924,                540924,,,,,,,,,,,,,,,,                719372,              1260296,,                540924,,              1260296,,                              0.16,                              0.16,,                              0.16,                              0.16,,,                171145,                819210,               -233921,                  2393,,                -39049,                    406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年01月01日至2014年09月30日,,             17407680,,             13309744,              4097936,                 -2407,              4100343,,,                616632,,                721896,,                840957,              2179485,              1920858,,,                132757,,               -871586,,                 58929,,                 77389,               -720369,              1200489,,                    281,              1200208,              1200208,,,                              0,,                              0,                              0,                              0,,                 39287,                770621,                -90161,,                 -8228,                              0,                711519,                711519,              1911727,,              1200208,,              1911727,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年01月01日至2014年06月30日,,             11760399,,              8581926,              3178473,                    899,              3177574,,,                388340,,                513551,,                593914,              1495805,              1681769,,,                 92104,,                -34230,,                 39991,,                 81270,                 99153,              1780922,,                    281,              1780641,              1780641,,,                              0,,                              0,                              0,                              0,,                -25008,                226710,                -21891,,                  3775,                              0,                183586,                183586,              1964227,,              1780641,,              1964227,,                              0.54,                              0.54,,                              0.54,                              0.54,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
