證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）
6136,2015年第3季,,                204942,,                144021,                 60921,                 60921,,,                 40282,,                 28411,                 68693,                 -7772,,,                143379,,                 -5082,,                   -548,                137749,                129977,,                    -69,                130046,                130046,,,                  3781,               -369295,               -365514,               -365514,               -235468,,                129737,                    309,,               -236502,                  1034,,                              1.12,                              1.12,,                              1.12,,,,,,,
6136,2015年第2季,,                186705,,                130671,                 56034,                 56034,,,                 26020,,                 26471,                 52491,                  3543,,,                  9396,,                 60870,,                   -504,                 69762,                 73305,,                  3851,                 69454,                 69454,,,                   -797,               -158801,               -159598,               -159598,                -90144,,                 69385,                     69,,                -90059,                    -85,,                              0.60,                              0.60,,                              0.60,,,,,,,
6136,2015年01月01日至2015年09月30日,,                559880,,                386450,                173430,                173430,,,                 86301,,                 73938,                160239,                 13191,,,                158093,,                 53754,,                 -1767,                210080,                223271,,                  7244,                216027,                216027,,,                  2186,               -336152,               -333966,               -333966,               -117939,,                215514,                    513,,               -118869,                    930,,                              1.87,                              1.87,,                              1.85,,,,,,,
6136,2015年01月01日至2015年06月30日,,                354938,,                242430,                112508,                112508,,,                 46019,,                 45525,                 91544,                 20964,,,                 14714,,                 58835,,                 -1219,                 72330,                 93294,,                  7313,                 85981,                 85981,,,                 -1595,                 33143,                 31548,                 31548,                117529,,                 85776,                    205,,                117632,                   -103,,                              0.74,                              0.74,,                              0.74,,,,,,,
6136,2015年01月01日至2015年03月31日,,                168233,,                111759,                 56474,                 56474,,,                 19999,,                 19054,                 39053,                 17421,,,                  5318,,                 -2035,,                   -715,                  2568,                 19989,,                  3461,                 16528,                 16528,,,                   -798,                191944,                191146,                191146,                207674,,                 16391,                    137,,                207691,                    -17,,                              0.14,                              0.14,,,,,,,,,
6136,2014年第3季,,                172720,,                118896,                 53824,                 53824,,,                 33094,,                 28404,                 61498,                 -7674,,,                135286,,                  8597,,                   -266,                143617,                135943,,                    585,                135358,                135358,,,                  1396,               -228681,               -227285,               -227285,                -91927,,                134969,                    389,,                -92587,                    660,,                              1.17,                              1.17,,                              1.16,,,,,,,
6136,2014年第2季,,                170763,,                120167,                 50596,                 50596,,,                 27456,,                 23412,                 50868,                   -272,,,                  5543,,                 62005,,                   -277,                 67271,                 66999,,                  3369,                 63630,                 63630,,,                 -1267,                191464,                190197,                190197,                253827,,                 63281,                    349,,                253722,                    105,,                              0.55,                              0.55,,                              0.54,,,,,,,
6136,2014年度,,                711465,,                481392,                230073,                230073,,,                111267,,                 92608,                203875,                 26198,,,                151819,,                 67234,,                 -1227,                217826,                244024,,                 10599,                233425,                233425,,,,,,                 88424,                321849,,                232191,                  1234,,                320104,                  1745,,,                              2.01,,                              2.00,,                              0,                  3205,                 85745,                   -530,                     -4,                              2.01
6136,2014年01月01日至2014年09月30日,,                533959,,                363789,                170170,                170170,,,                 88264,,                 72508,                160772,                  9398,,,                144177,,                 69881,,                   -713,                213345,                222743,,                  7185,                215558,                215558,,,                    696,                105217,                105913,                105913,                321471,,                214502,                  1056,,                320286,                  1185,,                              1.86,                              1.86,,                              1.84,,,,,,,
6136,2014年01月01日至2014年06月30日,,                361239,,                244893,                116346,                116346,,,                 55170,,                 44103,                 99273,                 17073,,,                  8891,,                 61283,,                   -447,                 69727,                 86800,,                  6600,                 80200,                 80200,,,                   -700,                333898,                333198,                333198,                413398,,                 79534,                    666,,                412872,                    526,,                              0.69,                              0.69,,                              0.68,,,,,,,
6136,2014年01月01日至2014年03月31日,,                190475,,                124724,                 65751,                 65751,,,                 27714,,                 20693,                 48407,                 17344,,,                  3348,,                   -722,,                   -169,                  2457,                 19801,,                  3231,                 16570,                 16570,,,                    568,                142433,                143001,                143001,                159571,,                 16253,                    317,,                159150,                    421,,                              0.14,                              0.14,,,,,,,,,
6136,2013年第3季,,                198586,,                141364,                 57222,                 57222,,,                 31157,,                 26192,                 57349,                   -127,,,                152242,,                 -3734,,                   -666,                147841,                147714,,                    301,                147413,                147413,,,,,,                -43036,                104377,,                147328,                     85,,                104404,                    -27,,                              1.28,                              1.28,,                              1.27,,                      1,                   -591,                -42445,,,
6136,2013年第2季,,                185447,,                129158,                 56289,                 56289,,,                 31002,,                 22389,                 53391,                  2898,,,                  4104,,                    280,,                     56,                  4440,                  7338,,                  1790,                  5548,                  5548,,,,,,                 72946,                 78494,,                  5056,                    492,,                 78363,                    131,,,                              0.04,,                              0.00,,,                    183,                 72763,,,
6136,2013年度,,                786517,,                540440,                246077,                246077,,,                121836,,                 90412,                212248,                 33829,,,                162198,,                 49648,,                 -1399,                210446,                244275,,                 11301,                232974,                232974,,,,,,               -275259,                -42285,,                231874,                  1100,,                -43877,                  1592,,,                              2.01,,                              1.99,,                      1,                  2587,               -280480,                  3173,                    539,                              2.01
6136,2013年07月01日至2013年09月30日,,                198586,,                141364,                 57222,                 57222,,,                 31157,,                 26192,                 57349,                   -127,,,                152242,,                 -3734,,                   -666,                147841,                147714,,                    301,                147413,                147413,,,,,,                -43036,                104377,,                147328,                     85,,                104404,                    -27,,                              1.27,                              1.28,,                              1.27,,                      1,                   -591,                -42445,,,
6136,2013年04月01日至2013年06月30日,,                185447,,                129158,                 56289,                 56289,,,                 31002,,                 22389,                 53391,                  2898,,,                  4104,,                    280,,                     56,                  4440,                  7338,,                  1790,                  5548,                  5548,,,,,,                 72946,                 78494,,                  5056,                    492,,                 78363,                    131,,,                              0.04,,,,,                    183,                 72763,,,
6136,2013年01月01日至2013年12月31日,,                786517,,                540440,                246077,                246077,,,                121836,,                 90412,                212248,                 33829,,,                162198,,                 49648,,                 -1399,                210446,                244275,,                 11301,                232974,                232974,,,,,,               -275259,                -42285,,                231874,                  1100,,                -43877,                  1592,,,                              2.01,,                              1.99,,                      1,                  2587,               -280480,                  3173,                    539,
6136,2013年01月01日至2013年09月30日,,                582339,,                401657,                180682,                180682,,,                 89867,,                 64849,                154716,                 25966,,,                159018,,                 -4633,,                 -1368,                153016,                178982,,                  7182,                171800,                171800,,,,,,               -192079,                -20279,,                170706,                  1094,,                -21755,                  1476,,                              1.48,                              1.48,,                              1.47,,                      1,                  1956,               -194035,,,
6136,2013年01月01日至2013年06月30日,,                383753,,                260293,                123460,                123460,,,                 58711,,                 38657,                 97368,                 26092,,,                  6776,,                   -899,,                   -701,                  5176,                 31268,,                  6881,                 24387,                 24387,,,,,,               -149537,               -125150,,                 23378,                  1009,,               -126159,                  1009,,,                              0.20,,                              0.00,,,                  2052,               -151589,,,
6136,2013年01月01日至2013年03月31日,,                198306,,                131135,                 67171,                 67171,,,                 27709,,                 16267,                 43976,                 23195,,,                  2672,,                 -1179,,                   -758,                    735,                 23930,,                  5092,                 18838,                 18838,,,,,,               -222483,               -203645,,                 18322,                    516,,               -204523,                    878,,,                              0.16,,,,,                  1870,               -224353,,,
6136,2012年07月01日至2012年09月30日,,                223747,,                157801,                 65946,                 65946,,,                 43861,,                 33006,                 76867,                -10921,,,                173966,,                   -550,,                              0,                173416,                162495,,                    -13,                162508,                162508,,,,,,                259844,                422352,,                161647,                    861,,                421100,                  1252,,                              1.39,                              1.40,,                              1.39,,                              0,                   -245,                260089,,,
6136,2012年04月01日至2012年06月30日,,                223127,,                156895,                 66232,                 66232,,,                 39761,,                 24742,                 64503,                  1729,,,                  8259,,                 15918,,                              0,                 24177,                 25906,,                  2219,                 23687,                 23687,,,,,,               -350979,               -327292,,                 22494,                  1193,,               -328634,                  1342,,,                              0.19,,,,,                    621,               -351600,,,
6136,2012年01月01日至2012年12月31日,,                882391,,                618275,                264116,                264116,,,                160390,,                 93992,                254382,                  9734,,,                195096,,                 67747,,                              0,                262843,                272577,,                 12853,                259724,                259724,,,,,,                103515,                363239,,                256718,                  3006,,                361254,                  1985,,,                              2.22,,                              2.20,,                              0,                 -1685,                113820,                -10385,                 -1765,
6136,2012年01月01日至2012年09月30日,,                690770,,                483625,                207145,                207145,,,                127386,,                 78935,                206321,                    824,,,                188223,,                 15503,,                              0,                203726,                204550,,                  5315,                199235,                199235,,,,,,                245342,                444577,,                196600,                  2635,,                442134,                  2443,,                              1.68,                              1.70,,                              1.68,,                              0,                 -1362,                246704,,,
6136,2012年01月01日至2012年06月30日,,                467023,,                325823,                141200,                141200,,,                 83525,,                 45930,                129455,                 11745,,,                 14258,,                 16052,,                              0,                 30310,                 42055,,                  5328,                 36727,                 36727,,,,,,                -13919,                 22808,,                 34953,                  1774,,                 21034,                  1774,,,                              0.30,,,,,                   -534,                -13385,,,
6136,2012年01月01日至2012年03月31日,,                243896,,                168928,                 74968,                 74968,,,                 43764,,                 21188,                 64952,                 10016,,,                  5999,,                    134,,                              0,                  6133,                 16149,,                  3108,                 13041,                 13041,,,,,,                337060,                350101,,                 12459,                    582,,                349668,                    433,,,                              0.11,,,,,                 -1155,                338215,,,
