證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6166,2015年第3季,,              2333149,,              1417655,                915494,                915494,,,                219718,,                196157,,                346958,                762833,                152661,,,                 11277,,                 30161,,                  5002,                 36436,                189097,,                 31840,                157257,                157257,,,                 99554,                  2423,                 16807,                 85170,                 85170,                242427,,                156621,                    636,,                241101,                  1326,,                              0.78,                              0.78,,                              0.78,                              0.78,,,,
6166,2015年第2季,,              2393703,,              1438346,                955357,                955357,,,                216562,,                204148,,                313664,                734374,                220983,,,                 11642,,                -12694,,                  4220,                 -5272,                215711,,                 51068,                164643,                164643,,,                -15461,,                 -2590,                -12871,                -12871,                151772,,                164212,                    431,,                151567,                    205,,                              0.82,                              0.82,,                              0.81,                              0.81,,,,
6166,2015年01月01日至2015年09月30日,,              6911029,,              4063843,              2847186,              2847186,,,                654762,,                613025,,                936738,              2204525,                642661,,,                 32027,,                 -8023,,                 14610,                  9394,                652055,,                139897,                512158,                512158,,,                 21402,                  2423,                  3580,                 20245,                 20245,                532403,,                510209,                  1949,,                530113,                  2290,,                              2.55,                              2.55,,                              2.52,                              2.52,,,,
6166,2015年01月01日至2015年06月30日,,              4577880,,              2646188,              1931692,              1931692,,,                435044,,                416868,,                589780,              1441692,                490000,,,                 20750,,                -38184,,                  9608,                -27042,                462958,,                108057,                354901,                354901,,,                -78152,,                -13227,                -64925,                -64925,                289976,,                353588,                  1313,,                289012,                    964,,                              1.77,                              1.77,,                              1.75,                              1.75,,,,
6166,2015年01月01日至2015年03月31日,,              2184177,,              1207842,                976335,                976335,,,                218482,,                212720,,                276116,                707318,                269017,,,                  9108,,                -25490,,                  5388,                -21770,                247247,,                 56989,                190258,                190258,,,                -62691,,                -10637,                -52054,                -52054,                138204,,                189376,                    882,,                137445,                    759,,                              1.03,                              1.03,,                              1.02,                              1.02,                  9108,,,
6166,2014年第3季,,              2037800,,              1195304,                842496,                842496,,,                196888,,                187334,,                270926,                655148,                187348,,,                 10986,,                  8905,,                  3258,                 16633,                203981,,                 52030,                151951,                151951,,,                  7840,                              0,                  1401,                  6439,                  6439,                158390,,                152038,                    -87,,                158875,                   -485,,                              0.76,                              0.76,,                              0.75,                              0.75,,,,
6166,2014年第2季,,              2254937,,              1317808,                937129,                937129,,,                212005,,                201112,,                250354,                663471,                273658,,,                 11331,,                -15619,,                  3317,                 -7605,                266053,,                 65492,                200561,                200561,,,                -42638,,                 -7243,                -35395,                -35395,                165166,,                200038,                    523,,                164676,                    490,,                              1.00,                              1.00,,                              1.00,                              1.00,,,,
6166,2014年度,,              8047304,,              4701195,              3346109,              3346109,,,                838708,,                741105,,              1075158,              2654971,                691138,,,                 48697,,                 30271,,                 15033,                 63935,                755073,,                164964,                590109,                590109,,,,,,,                 64833,                654942,,                588442,                  1667,,                653789,                  1153,,                              3.21,                              3.21,,                              3.17,                              3.17,                 48697,                 70657,                  7559,                 13383
6166,2014年01月01日至2014年09月30日,,              5962060,,              3452364,              2509696,              2509696,,,                604444,,                548148,,                769955,              1922547,                587149,,,                 26104,,                  3777,,                  9152,                 20729,                607878,,                146689,                461189,                461189,,,                  1652,                              0,                    312,                  1340,                  1340,                462529,,                459842,                  1347,,                461367,                  1162,,                              2.31,                              2.31,,                              2.28,                              2.28,,,,
6166,2014年01月01日至2014年06月30日,,              3924260,,              2257060,              1667200,              1667200,,,                407556,,                360814,,                499029,              1267399,                399801,,,                 15118,,                 -5128,,                  5894,                  4096,                403897,,                 94659,                309238,                309238,,,                 -6188,,                 -1089,                 -5099,                 -5099,                304139,,                307804,                  1434,,                302492,                  1647,,                              1.54,                              1.54,,                              1.52,                              1.52,,,,
6166,2014年01月01日至2014年03月31日,,              1669323,,                939252,                730071,                730071,,,                195551,,                159702,,                248675,                603928,                126143,,,                  3787,,                 10491,,                  2577,                 11701,                137844,,                 29167,                108677,                108677,,,                 36450,,                  6154,                 30296,                 30296,                138973,,                107766,                    911,,                137816,                  1157,,                              0.59,                              0.59,,                              0.58,                              0.58,                  3787,,,
6166,2013年第3季,,              1710158,,              1020495,                689663,                689663,,,                183350,,                150832,,                202080,                536262,                153401,,,                  2632,,                 -1503,,                  3687,                 -2558,                150843,,                 31571,                119272,                119272,,,,,,,                -13009,                106263,,                118527,                    745,,                105556,                    707,,                              0.65,                              0.65,,                              0.65,                              0.65,                  2632,                -15667,,                 -2658
6166,2013年第2季,,              1816428,,              1068538,                747890,                747890,,,                181493,,                167072,,                204567,                553132,                194758,,,                  5406,,                 14024,,                  5886,                 13544,                208302,,                 36606,                171696,                171696,,,,,,,                 18502,                190198,,                171486,                    210,,                190221,                    -23,,                              0.94,                              0.94,,                              0.93,                              0.93,                  5406,                 22340,,                  3838
6166,2013年度,,              6479834,,              3848805,              2631029,              2631029,,,                725005,,                573343,,                817700,              2116048,                514981,,,                 14062,,                 20409,,                 19174,                 15297,                530278,,                114434,                415844,                415844,,,,,,,                 40970,                456814,,                414797,                  1047,,                456604,                    210,,                              2.27,                              2.27,,                              2.24,                              2.24,                 14062,                 69080,                -19547,                  8563
6166,2013年07月01日至2013年09月30日,,              1710158,,              1020495,                689663,                689663,,,                183350,,                150832,,                202080,                536262,                153401,,,                  2632,,                 -1503,,                  3687,                 -2558,                150843,,                 31571,                119272,                119272,,,,,,,                -13009,                106263,,                118527,                    745,,                105556,                    707,,                              0.69,                              0.69,,                              0.69,                              0.69,                  2632,                -15667,,                 -2658
6166,2013年04月01日至2013年06月30日,,              1816428,,              1068538,                747890,                747890,,,                181493,,                167072,,                204567,                553132,                194758,,,                  5406,,                 14024,,                  5886,                 13544,                208302,,                 36606,                171696,                171696,,,,,,,                 18502,                190198,,                171486,                    210,,                190221,                    -23,,                              1.00,                              1.00,,                              1.00,                              1.00,,                 15642,,                 -2860
6166,2013年01月01日至2013年12月31日,,              6479834,,              3848805,              2631029,              2631029,,,                725005,,                573343,,                817700,              2116048,                514981,,,                 14062,,                 20409,,                 19174,                 15297,                530278,,                114434,                415844,                415844,,,,,,,                 40970,                456814,,                414797,                  1047,,                456604,                    210,,                              2.43,                              2.43,,                              2.40,                              2.40,                 14062,                 69080,                -19547,                  8563
6166,2013年01月01日至2013年09月30日,,              4877820,,              2889443,              1988377,              1988377,,,                528754,,                460161,,                595382,              1584297,                404080,,,                  9769,,                 17509,,                 16159,                 11119,                415199,,                 78934,                336265,                336265,,,,,,,                 37982,                374247,,                335267,                    998,,                373735,                    512,,                              1.84,                              1.84,,                              1.82,                              1.82,                  9769,                 45860,,                  7878
6166,2013年01月01日至2013年06月30日,,              3167662,,              1868948,              1298714,              1298714,,,                345404,,                309329,,                393302,              1048035,                250679,,,                  7137,,                 19012,,                 12472,                 13677,                264356,,                 47363,                216993,                216993,,,,,,,                 50991,                267984,,                216740,                    253,,                268179,                   -195,,                              1.19,                              1.19,,                              1.18,                              1.18,                  7137,                 61527,,                 10536
6166,2013年01月01日至2013年03月31日,,              1351234,,                800410,                550824,                550824,,,                163911,,                142257,,                188735,                494903,                 55921,,,                  1731,,                  4988,,                  6586,                    133,                 56054,,                 10757,                 45297,                 45297,,,,,,,                 32489,                 77786,,                 45254,                     43,,                 77958,                   -172,,                              0.27,                              0.27,,                              0.26,                              0.26,,                 39187,,                  6698
