證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 與其他綜合損益組成部分相關之所得稅
6176,2015年第3季,,,             15400025,             15400025,,             13103987,              2296038,              2296038,,,                 51426,,                329956,,                540827,                922209,,                 56736,              1430565,,,                191318,,                 73826,,                 71423,                193721,              1624286,,                330596,              1293690,,                              0,              1293690,,,                645850,                              0,                645850,                645850,              1939540,,              1293690,,              1939540,,                              2.78,,                              2.66,,,,,,,,,
6176,2015年第2季,,,              9332608,              9332608,,              8502667,                829941,                829941,,,                 59898,,                270128,,                498618,                828644,,                 68055,                 69352,,,                152078,,                -53264,,                 65463,                 33351,                102703,,                 87857,                 14846,,,                 14846,,,               -255202,                              0,               -255202,               -255202,               -240356,,                 14846,,               -240356,,                              0.03,,                              0.03,,,,,,,,,
6176,2015年01月01日至2015年09月30日,,,             34168595,             34168595,,             30079751,              4088844,              4088844,,,                167735,,                878290,,              1505824,              2551849,,                202644,              1739639,,,                503501,,                134130,,                198250,                439381,              2179020,,                474879,              1704141,,                              0,              1704141,,,                -18897,                              0,                -18897,                -18897,              1685244,,              1704141,,              1685244,,                              3.66,,                              3.50,,,,,,,,,
6176,2015年01月01日至2015年06月30日,,,             18768570,             18768570,,             16975764,              1792806,              1792806,,,                116309,,                548334,,                964997,              1629640,,                145908,                309074,,,                312183,,                 60304,,                126827,                245660,                554734,,                144283,                410451,,,                410451,,,               -664747,                              0,               -664747,               -664747,               -254296,,                410451,,               -254296,,                              0.88,,                              0.86,,,,,,,,,
6176,2015年01月01日至2015年03月31日,,,              9435962,              9435962,,              8473097,                962865,                962865,,,                 56411,,                278206,,                466379,                800996,,                 77853,                239722,,,                160105,,                113568,,                 61364,                212309,                452031,,                 56426,                395605,,,                395605,,,               -409545,,               -409545,               -409545,                -13940,,                395605,,                -13940,,                              0.85,,                              0.73,,,,,,,,,
6176,2014年第3季,,,             13031225,             13031225,,             11260011,              1771214,              1771214,,,                 65417,,                322504,,                509412,                897333,,                 81833,                955714,,,                197970,,                115568,,                 73967,                239571,              1195285,,                283534,                911751,,                              0,                911751,,,                462473,                              0,                462473,                462473,              1374224,,                911751,,              1374224,,                              1.96,,                              1.82,,,,,,,,,
6176,2014年第2季,,,             10741004,             10741004,,              9319320,              1421684,              1421684,,,                 67262,,                271768,,                438154,                777184,,                 65777,                710277,,,                224384,,                 50011,,                 61675,                212720,                922997,,                281056,                641941,,,                641941,,,               -519419,                              0,               -519419,               -519419,                122522,,                641941,,                122522,,                              1.38,,                              1.38,,,,,,,,,
6176,2014年度,,,             51371790,             51371790,,             44365687,              7006103,              7006103,,,                209922,,              1245807,,              1797209,              3252938,,                226236,              3979401,,,                765054,,                297447,,                251508,                810993,              4790394,,              1063910,              3726484,,                              0,              3726484,,,,,,              1463813,              5190297,,              3726484,,              5190297,,                              8.01,,                              7.50,                              0,                              0,              1474994,                -11181,                              0,                              0,                              0,                              0,
6176,2014年01月01日至2014年09月30日,,,             36340069,             36340069,,             31449700,              4890369,              4890369,,,                150298,,                896794,,              1330389,              2377481,,                184986,              2697874,,,                583450,,                 -4296,,                185013,                394141,              3092015,,                753071,              2338944,,                              0,              2338944,,,                272137,                              0,                272137,                272137,              2611081,,              2338944,,              2611081,,                              5.03,,                              4.85,,,,,,,,,
6176,2014年01月01日至2014年06月30日,,,             23308844,             23308844,,             20189689,              3119155,              3119155,,,                 84881,,                574290,,                820977,              1480148,,                103153,              1742160,,,                385480,,               -119864,,                111046,                154570,              1896730,,                469537,              1427193,,,              1427193,,,               -190336,                              0,               -190336,               -190336,              1236857,,              1427193,,              1236857,,                              3.07,,                              3.04,,,,,,,,,
6176,2014年01月01日至2014年03月31日,,,             12567840,             12567840,,             10870369,              1697471,              1697471,,,                 17619,,                302522,,                382823,                702964,,                 37376,              1031883,,,                161096,,               -169875,,                 49371,                -58150,                973733,,                188481,                785252,,,                785252,,,                329083,,                329083,                329083,              1114335,,                785252,,              1114335,,                              1.69,,                              1.67,,,,,,,,,
6176,2013年第3季,,,             14750148,             14750148,,             12576285,              2173863,              2173863,,,                138930,,                282051,,                408311,                829292,,                 50472,              1395043,,,                155874,,                -52577,,                 50064,                 53233,              1448276,,                397214,              1051062,,                              0,              1051062,,,,,,               -219168,                831894,,              1051062,,                831894,,                              2.26,,                              2.24,,,               -219168,,,,,,                              0
