證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
6197,2015年第3季,,              1548730,,              1297748,                250982,                250982,,,                109571,,                 59726,,                 48803,                218100,                 32882,,,                  4188,,                119835,,                              0,,                    -79,                123944,                156826,,                 21772,                135054,                135054,,,                 58510,                 -5255,,                    740,                 53995,                 53995,                189049,,                135054,                              0,,                189049,                              0,,                              0.79,                              0.79,,                              0.78,                              0.78,,,,,,
6197,2015年第2季,,              1214119,,              1016780,                197339,                197339,,,                 66549,,                 53143,,                 45748,                165440,                 31899,,,                  3164,,                 -7113,,                      1,,                    -55,                 -4005,                 27894,,                 -5354,                 33248,                 33248,,,                -18486,                   -909,,                    -80,                -19475,                -19475,                 13773,,                 33248,                              0,,                 13773,                              0,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,
6197,2015年01月01日至2015年09月30日,,              4013752,,              3264551,                749201,                749201,,,                273135,,                167469,,                136178,                576782,                172419,,,                 10366,,                 93287,,                      1,,                     58,                103710,                276129,,                 43238,                232891,                232891,,,                 25157,                -17222,,                    539,                  8474,                  8474,                241365,,                232891,                              0,,                241365,                              0,,                              1.36,                              1.36,,                              1.35,                              1.35,,,,,,
6197,2015年01月01日至2015年06月30日,,              2465022,,              1966803,                498219,                498219,,,                163564,,                107743,,                 87375,                358682,                139537,,,                  6178,,                -26548,,                      1,,                    137,                -20234,                119303,,                 21466,                 97837,                 97837,,,                -33353,                -11967,,                   -201,                -45521,                -45521,                 52316,,                 97837,                              0,,                 52316,                              0,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,
6197,2015年01月01日至2015年03月31日,,              1250903,,                950023,                300880,                300880,,,                 97015,,                 54600,,                 41627,                193242,                107638,,,                  3014,,                -19435,,                              0,,                    192,                -16229,                 91409,,                 26820,                 64589,                 64589,,,                -14867,                -11058,,                   -121,                -26046,                -26046,                 38543,,                 64589,                              0,,                 38543,                              0,,                              0.38,                              0.38,,                              0.37,                              0.37,,,,,,
6197,2014年第3季,,              1188742,,                926226,                262516,                262516,,,                 97941,,                 56057,,                 42250,                196248,                 66268,,,                  6821,,                 12411,,                    772,,                    -15,                 18445,                 84713,,                 12100,                 72613,                 72613,,,                 39140,                 -4717,,                 -1302,                 33121,                 33121,                105734,,                 72553,                     60,,                105686,                     48,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,
6197,2014年第2季,,              1071274,,                860735,                210539,                210539,,,                 76048,,                 51786,,                 26101,                153935,                 56604,,,                  5335,,                -12726,,                  2496,,                     90,                 -9797,                 46807,,                  1863,                 44944,                 44944,,,                -31069,                 -7144,,                  1302,                -36911,                -36911,                  8033,,                 45148,                   -204,,                  8407,                   -374,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,
6197,2014年度,,              4636807,,              3642332,                994475,                994475,,,                358228,,                222437,,                140009,                720674,                273801,,,                 23602,,                 87524,,                  5765,,                 -1092,                104269,                378070,,                 63035,                315035,                315035,,,,,,,,                 53581,                368616,,                314976,                     59,,                368387,                    229,,                              1.82,                              1.82,,                              1.80,                              1.80,                 48523,                  7611,                 -4466,,                  1390,                   -523
6197,2014年01月01日至2014年09月30日,,              3307444,,              2602263,                705181,                705181,,,                259539,,                167128,,                 92586,                519253,                185928,,,                 19929,,                 38306,,                  5764,,                 -1217,                 51254,                237182,,                 35849,                201333,                201333,,,                  1951,                 -1543,,                     79,                    487,                    487,                201820,,                201274,                     59,,                201863,                    -43,,                              1.16,                              1.16,,                              1.15,                              1.15,,,,,,
6197,2014年01月01日至2014年06月30日,,              2118702,,              1676037,                442665,                442665,,,                161598,,                111071,,                 50336,                323005,                119660,,,                 13108,,                 25895,,                  4992,,                 -1202,                 32809,                152469,,                 23749,                128720,                128720,,,                -37189,                  3174,,                  1381,                -32634,                -32634,                 96086,,                128721,                     -1,,                 96177,                    -91,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,
