證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
6235,2015年第3季,,,                429649,                429649,,,                372059,                372059,                 57590,                 57590,,,                 31444,,                 30401,,                 17455,                 79300,                -21710,,,                 17673,,                 -8411,,                  1585,                  7677,                -14033,,                              0,                -14033,                -14033,,,                 49764,                  8460,                 41304,                 41304,                 27271,,                -14033,,                 27271,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,
6235,2015年第2季,,,                384931,                384931,,,                314558,                314558,                 70373,                 70373,,,                 28432,,                 13012,,                 17340,                 58784,                 11589,,,                 38419,,                -29543,,                  1538,                  7338,                 18927,,                              0,                 18927,                 18927,,,                 -8748,                 -1490,                 -7258,                 -7258,                 11669,,                 18927,,                 11669,,                              0.12,                              0.12,,                              0.12,                              0.12,,,
6235,2015年01月01日至2015年09月30日,,,              1223083,              1223083,,,              1052468,              1052468,                170615,                170615,,,                 77982,,                 66515,,                 49854,                194351,                -23736,,,                 66816,,                -46476,,                  4759,                 15581,                 -8155,,                              0,                 -8155,                 -8155,,,                 30540,                  5190,                 25350,                 25350,                 17195,,                 -8155,,                 17195,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,
6235,2015年01月01日至2015年06月30日,,,                793434,                793434,,,                680409,                680409,                113025,                113025,,,                 46538,,                 36114,,                 32399,                115051,                 -2026,,,                 49143,,                -38065,,                  3174,                  7904,                  5878,,                              0,                  5878,                  5878,,,                -19224,                 -3270,                -15954,                -15954,                -10076,,                  5878,,                -10076,,                              0.04,                              0.04,,                              0.04,                              0.04,,,
6235,2015年01月01日至2015年03月31日,,,                408503,                408503,,,                365851,                365851,                 42652,                 42652,,,                 18106,,                 23102,,                 15059,                 56267,                -13615,,,                 10724,,                 -8522,,                  1636,                    566,                -13049,,                              0,                -13049,                -13049,,,                -10476,                 -1780,                 -8696,                 -8696,                -21745,,                -13049,,                -21745,,                             -0.08,                             -0.08,,,,,,
6235,2014年第3季,,,                305300,                305300,,,                292530,                292530,                 12770,                 12770,,,                 17688,,                 73264,,                 14611,                105563,                -92793,,,                 32562,,                 -8442,,                  2026,                 22094,                -70699,,                              0,                -70699,                -70699,,,                 15796,                  2690,                 13106,                 13106,                -57593,,                -70699,,                -57593,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,,,
6235,2014年第2季,,,                272973,                272973,,,                278952,                278952,                 -5979,                 -5979,,,                 19652,,                 24977,,                 15788,                 60417,                -66396,,,                  8114,,                -14831,,                  2488,                 -9205,                -75601,,                              0,                -75601,                -75601,,,                -19898,                 -3390,                -16508,                -16508,                -92109,,                -75601,,                -92109,,                             -0.47,                             -0.47,,                             -0.47,                             -0.47,,,
6235,2014年度,,,              1397804,              1397804,,,              1310219,              1310219,                 87585,                 87585,,,                 72770,,                167785,,                 60077,                300632,               -213047,,,                 70510,,                -48925,,                  8897,                 12688,               -200359,,                    627,               -200986,               -200986,,,,,,                 43847,               -157139,,               -200986,,               -157139,,                             -1.24,                             -1.24,,,,                 53223,                   -326,                 -9050
6235,2014年01月01日至2014年09月30日,,,              1013463,              1013463,,,                978640,                978640,                 34823,                 34823,,,                 54018,,                136815,,                 44662,                235495,               -200672,,,                 51729,,                -40737,,                  7086,                  3906,               -196766,,                              0,               -196766,               -196766,,,                 12216,                  2080,                 10136,                 10136,               -186630,,               -196766,,               -186630,,                             -1.22,                             -1.22,,                             -1.22,                             -1.22,,,
6235,2014年01月01日至2014年06月30日,,,                708163,                708163,,,                686110,                686110,                 22053,                 22053,,,                 41932,,                 57949,,                 30051,                129932,               -107879,,,                 19167,,                -32295,,                  5060,                -18188,               -126067,,                              0,               -126067,               -126067,,,                 -3580,                   -610,                 -2970,                 -2970,               -129037,,               -126067,,               -129037,,                             -0.78,                             -0.78,,                             -0.78,                             -0.78,,,
6235,2014年01月01日至2014年03月31日,,,                435190,                435190,,,                407158,                407158,                 28032,                 28032,,,                 22280,,                 32972,,                 14263,                 69515,                -41483,,,                 11053,,                -17464,,                  2572,                 -8983,                -50466,,                              0,                -50466,                -50466,,,                 16318,                  2780,                 13538,                 13538,                -36928,,                -50466,,                -36928,,                             -0.31,                             -0.31,,,,,,
6235,2013年第3季,,,                457883,                457883,,,                484745,                484745,                -26862,                -26862,,,                 15791,,                 36354,,                 22389,                 74534,               -101396,,,                 12948,,                -16833,,                  1995,                 -5880,               -107276,,                    374,               -107650,               -107650,,,,,,                -14238,               -121888,,               -107650,,               -121888,,,                             -0.67,,,,                -17155,,                  2917
6235,2013年第2季,,,                539351,                539351,,,                510975,                510975,                 28376,                 28376,,,                 21520,,                 29561,,                 14319,                 65400,                -37024,,,                  7310,,                 -1350,,                  2138,                  3822,                -33202,,                 -2213,                -30989,                -30989,,,,,,                 11737,                -19252,,                -30989,,                -19252,,,                             -0.19,,,,                 14137,,                 -2400
6235,2013年度,,,              2291230,              2291230,,,              2111060,              2111060,                180170,                180170,,,                 89083,,                136724,,                 67838,                293645,               -113475,,,                 59104,,                -23022,,                  8724,                 27358,                -86117,,                  8126,                -94243,                -94243,,,,,,                 35384,                -58859,,                -94243,,                -58859,,                             -0.58,                             -0.58,,,,                 42578,                     36,                 -7230
6235,2013年07月01日至2013年09月30日,,,                457883,                457883,,,                484745,                484745,                -26862,                -26862,,,                 15791,,                 36354,,                 22389,                 74534,               -101396,,,                 12948,,                -16833,,                  1995,                 -5880,               -107276,,                    374,               -107650,               -107650,,,,,,                -14238,               -121888,,               -107650,,               -121888,,                             -0.67,                             -0.67,,,,                -17155,,                  2917
6235,2013年04月01日至2013年06月30日,,,                539351,                539351,,,                510975,                510975,                 28376,                 28376,,,                 21520,,                 29561,,                 14319,                 65400,                -37024,,,                  7310,,                 -1350,,                  2138,                  3822,                -33202,,                 -2213,                -30989,                -30989,,,,,,                 11737,                -19252,,                -30989,,                -19252,,                             -0.19,                             -0.19,,,,                 14137,,                 -2400
6235,2013年01月01日至2013年12月31日,,,              2291230,              2291230,,,              2111060,              2111060,                180170,                180170,,,                 89083,,                136724,,                 67838,                293645,               -113475,,,                 59104,,                -23022,,                  8724,                 27358,                -86117,,                  8126,                -94243,                -94243,,,,,,                 35384,                -58859,,                -94243,,                -58859,,                             -0.58,                             -0.58,,,,                 42578,                     36,                 -7230
6235,2013年01月01日至2013年09月30日,,,              1621433,              1621433,,,              1551906,              1551906,                 69527,                 69527,,,                 61539,,                 94070,,                 52660,                208269,               -138742,,,                 51664,,                -19385,,                  6600,                 25679,               -113063,,                  3343,               -116406,               -116406,,,,,,                 25437,                -90969,,               -116406,,                -90969,,,                             -0.72,,,,                 30640,,                 -5203
6235,2013年01月01日至2013年06月30日,,,              1163550,              1163550,,,              1067161,              1067161,                 96389,                 96389,,,                 45748,,                 57716,,                 30271,                133735,                -37346,,,                 38716,,                 -2552,,                  4605,                 31559,                 -5787,,                  2969,                 -8756,                 -8756,,,,,,                 39675,                 30919,,                 -8756,,                 30919,,,                             -0.05,,,,                 47795,,                 -8120
6235,2013年01月01日至2013年03月31日,,,                624199,                624199,,,                556186,                556186,                 68013,                 68013,,,                 24228,,                 28155,,                 15952,                 68335,                   -322,,,                 31406,,                 -1202,,                  2467,                 27737,                 27415,,                  5182,                 22233,                 22233,,,,,,                 27938,                 50171,,                 22233,,                 50171,,                              0.14,                              0.14,,,,                 33658,,                 -5720
6235,2012年07月01日至2012年09月30日,,,                513183,                513183,,,                493505,                493505,                 19678,                 19678,,,                 26751,,                 26983,,                 35826,                 89560,                -69882,,,                 11225,,                 -3829,,                  2781,                  4615,                -65267,,                     24,                -65291,                -65291,,,,,,                -20320,                -85611,,                -65291,,                -85611,,                             -0.40,                             -0.40,,,,                -24490,,                  4170
6235,2012年04月01日至2012年06月30日,,,                456909,                456909,,,                409590,                409590,                 47319,                 47319,,,                 23401,,                 22929,,                 32431,                 78761,                -31442,,,                  8535,,                 -7257,,                  3127,                 -1849,                -33291,,                    328,                -33619,                -33619,,,,,,                 11033,                -22586,,                -33619,,                -22586,,                             -0.21,                             -0.21,,,,                 13303,,                 -2270
6235,2012年01月01日至2012年12月31日,,,              2156208,              2156208,,,              1927249,              1927249,                228959,                228959,,,                102335,,                 90726,,                119582,                312643,                -83684,,,                 48147,,               -148222,,                 13708,               -113783,               -197467,,                 10411,               -207878,               -207878,,,,,,                -32836,               -240714,,               -207878,,               -240714,,                             -1.29,                             -1.29,,,,                -47177,                  7629,                  6712
6235,2012年01月01日至2012年09月30日,,,              1387080,              1387080,,,              1262579,              1262579,                124501,                124501,,,                 69847,,                 76952,,                 89909,                236708,               -112207,,,                 28146,,                -13355,,                 10904,                  3887,               -108320,,                    659,               -108979,               -108979,,,,,,                -36482,               -145461,,               -108979,,               -145461,,                             -0.67,                             -0.67,,,,                -43952,,                  7470
6235,2012年01月01日至2012年06月30日,,,                873897,                873897,,,                769074,                769074,                104823,                104823,,,                 43096,,                 49969,,                 54083,                147148,                -42325,,,                 16921,,                 -9526,,                  8123,                   -728,                -43053,,                    635,                -43688,                -43688,,,,,,                -16162,                -59850,,                -43688,,                -59850,,                             -0.27,                             -0.27,,,,                -19462,,                  3300
6235,2012年01月01日至2012年03月31日,,,                416988,                416988,,,                359484,                359484,                 57504,                 57504,,,                 19695,,                 27040,,                 21652,                 68387,                -10883,,,                  8386,,                 -2269,,                  4996,                  1121,                 -9762,,                    307,                -10069,                -10069,,,,,,                -27195,                -37264,,                -10069,,                -37264,,                             -0.06,                             -0.06,,,,                -32765,,                  5570
