證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資性不動產利益,　　　 什項支出,　　 遞延所得稅費用（利益）,　　　 銷貨成本,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 勞務收入,　　　 勞務收入合計,　　　 採用權益法認列之關聯企業及合資損失之份額
6285,2015年第3季,,,             13718655,             13718655,,,             11872003,             11872003,              1846652,              1846652,,,                430419,,                238365,,                545771,              1214555,                632097,,,,                  5654,                  1168,                              0,                  3441,                 10263,,                              0,                  3381,                155674,                    359,                 11423,                              0,                              0,                147991,,                  7132,                  7132,,                  6116,                  6116,                157238,                789335,,                184278,                184278,                605057,                605057,,,                214612,                 -2314,                 36483,                175815,                175815,                780872,,                605057,,                780872,,                              1.83,,                              1.79,,,,,,,,,,,,,,,,,
6285,2015年第2季,,,             12587951,             12587951,,,             11022760,             11022760,              1565191,              1565191,,,                393773,,                228980,,                491668,              1114421,                450770,,,,                  6416,                  1154,                 37367,                 12138,                 57075,,                     67,                  1874,                  3481,                              0,,                              0,                    480,                  4942,,                  7361,                  7361,,                  1771,                  1771,                 56427,                507197,,                110972,                110972,                396225,                396225,,,                -55583,                   -615,                 -9449,                -46749,                -46749,                349476,,                396225,,                349476,,                              1.22,,                              1.20,,,,,,,,,,,,,,,,,
6285,2015年01月01日至2015年09月30日,,,             37818709,             37818709,,,             32787884,             32787884,              5030825,              5030825,,,              1195372,,                675509,,              1492308,              3363189,              1667636,,,,                 17835,                  3453,                 37367,                 24891,                 83546,,                              0,                  7246,                144885,                  1229,                 11147,                              0,                              0,                142213,,                 21625,                 21625,,                 10226,                 10226,                214360,              1881996,,                419216,                419216,              1462780,              1462780,,,                101250,                 -3412,                 17212,                 80626,                 80626,              1543406,,              1462780,,              1543406,,                              4.43,,                              4.32,,,,,,,,,,,,,,,,,
6285,2015年01月01日至2015年06月30日,,,             24100054,             24100054,,,             20915881,             20915881,              3184173,              3184173,,,                764953,,                437144,,                946537,              2148634,              1035539,,,,                 12181,                  2285,                 37367,                 21450,                 73283,,                    276,                  3865,                              0,                    870,,                 10789,                              0,                 -5778,,                 14493,                 14493,,                  4110,                  4110,                 57122,              1092661,,                234938,                234938,                857723,                857723,,,               -113362,                 -1098,                -19271,                -95189,                -95189,                762534,,                857723,,                762534,,                              2.65,,                              2.59,,,,,,,,,,,,,,,,,
6285,2015年01月01日至2015年03月31日,,,,             11512103,,,,              9893121,              1618982,              1618982,,,                371180,,                208164,,                454869,              1034213,                584769,,,,                  5765,                  1131,,                  9312,                 16208,,                    209,                  1991,                              0,                  1350,                              0,                 14270,,                -10720,,                  7132,                  7132,,                  2339,                  2339,                    695,                585464,,,                123966,                461498,                461498,,,                -57779,                   -483,                 -9822,                -48440,                -48440,                413058,,                461498,,                413058,,                              1.43,,                              1.40,,,,,,,,,,,,,,,,,
6285,2014年第3季,,,             10842709,             10842709,,,              9411722,              9411722,              1430987,              1430987,,,                342829,,                181415,,                433706,                957950,                473037,,,,                  6458,                  1061,                 -1508,                  2607,                  8618,,                    117,                  4178,                              0,                              0,                              0,                  1273,                  1385,                  1637,,                  7319,                  7319,,                  3572,                  3572,                  6508,                479545,,                118320,                118320,                361225,                361225,,,                112413,                 -2371,                 19110,                 90932,                 90932,                452157,,                361225,,                452157,,                              1.10,,                              1.08,,,,,,,,,,,,,,,,,
6285,2014年第2季,,,             10002751,             10002751,,,              8601761,              8601761,              1400990,              1400990,,,                306520,,                225021,,                421621,                953162,                447828,,,,                 11920,                  1110,                  1508,                 15811,                 30349,,                    994,                  8362,                              0,                              0,,                 12039,                    176,                 -2859,,                 17759,                 17759,,                  2516,                  2516,                 12247,                460075,,                 89367,                 89367,                370708,                370708,,,                -73421,                 -5640,                -12482,                -66579,                -66579,                304129,,                370708,,                304129,,                              1.16,,                              1.11,,,,,,,,,,,,,,,,,
6285,2014年度,,,             40326918,             40326918,,,             34906664,             34906664,              5420254,              5420254,,,              1259763,,                804941,,              1646923,              3711627,              1708627,,,,                 35198,                  4648,                              0,                 33901,                 73747,,                    581,                 17475,                 19720,                              0,                              0,,                    396,                 37380,,                 50085,                 50085,,                 10520,                 10520,                 71562,              1780189,,,                403801,              1376388,              1376388,,,,,,,                144625,              1521013,,              1376388,,              1521013,,                              4.28,,                              4.11,                403801,                189560,                 -8149,                 -5495,                 31291,,,,,,,,,,,,
6285,2014年01月01日至2014年09月30日,,,             29062861,             29062861,,,             25191922,             25191922,              3870939,              3870939,,,                877188,,                577190,,              1193734,              2648112,              1222827,,,,                 29647,                  3809,                              0,                 26420,                 59876,,                  1037,                 15237,                              0,                              0,                              0,                 12317,                    911,                  3046,,                 42947,                 42947,,                  8982,                  8982,                 28957,              1251784,,                273569,                273569,                978215,                978215,,,                 23350,                 -7522,                  3969,                 11859,                 11859,                990074,,                978215,,                990074,,                              2.99,,                              2.86,,,,,,,,,,,,,,,,,
6285,2014年01月01日至2014年06月30日,,,             18220152,             18220152,,,             15780200,             15780200,              2439952,              2439952,,,                534359,,                395775,,                760028,              1690162,                749790,,,,                 23189,                  2748,                  1508,                 23813,                 51258,,                    920,                 11059,                              0,                    474,,                 11044,                              0,                  1409,,                 35628,                 35628,,                  5410,                  5410,                 22449,                772239,,                155249,                155249,                616990,                616990,,,                -89063,                 -5151,                -15141,                -79073,                -79073,                537917,,                616990,,                537917,,                              1.92,,                              1.82,,,,,,,,,,,,,,,,,
6285,2014年01月01日至2014年03月31日,,,,              8217401,,,,              7178439,              1038962,              1038962,,,                227839,,                170754,,                338407,                737000,                301962,,,,                 11269,                  1638,,                  8002,                 20909,,                              0,                  2697,                    995,                    650,                     74,                              0,,                  4268,,                 17869,                 17869,,                  2894,                  2894,                 10202,                312164,,,                 65882,                246282,                246282,,,                -15642,                    489,                 -2659,                -12494,                -12494,                233788,,                246282,,                233788,,                              0.76,,                              0.74,,,,,,,,,,,,,,,,,
6285,2013年第3季,,,             10702181,             10702181,,,              9091763,              9091763,              1610418,              1610418,,,                344000,,                145099,,                417815,                906914,                703504,,,,                  9601,                  5019,                   -110,                  7941,                 22451,,                  1712,                    457,                              0,                              0,,                  7718,                  1597,                 -7146,,                 14565,                 14565,,                  3497,                  3497,                  4237,                707741,,,                153260,                554481,                554481,,,,,,,                -17798,                536683,,                554481,,                536683,,                              1.74,,                              1.65,                153260,                -46774,                  3244,,                -25732,,,,,,,,,,,,
6285,2013年第2季,,,              8586836,              8586836,,,              7369484,              7369484,              1217352,              1217352,,,                309645,,                135301,,                388121,                833067,                384285,,,,                  7485,                  7625,                 49603,                  6339,                 71052,,                    297,                  1834,                 32719,                  1571,                              0,                              0,                              0,                 36421,,                 17904,                 17904,,                  2242,                  2242,                 91811,                476096,,,                 99935,                376161,                376161,,,,,,,                 41576,                417737,,                376161,,                417737,,                              1.20,,                              1.14,                 99935,                 70384,                    938,,                 29746,,,,,,,,,,,,
6285,2013年度,,,             36653661,             36653661,,,             31462617,             31462617,              5191044,              5191044,,,              1273558,,                584802,,              1549548,              3407908,              1783136,,,,                 34232,                 23639,                 48139,                 18699,                124709,,                              0,                  7633,                 99836,                    183,                    301,,                              0,                107351,,                 65304,                 65304,,                 10211,                 10211,                176967,              1960103,,,                441772,              1518331,              1518331,,,,,,,                167222,              1685553,,              1518331,,              1685553,,                              4.75,,                              4.51,                441772,                204223,                  4446,                 -8108,                 33339,,,,,,,,,,,,
6285,2013年07月01日至2013年09月30日,,,,             10702181,,,              9091763,              9091763,              1610418,              1610418,,,                344000,,                145099,,                417815,                906914,                703504,,,,                  9601,                  5019,                   -110,                  7941,                 22451,,                  1712,                    457,                              0,                              0,                              0,                  7718,                  1597,                 -7146,,                 14565,                 14565,,                  3497,                  3497,                  4237,                707741,,,                153260,                554481,                554481,,,,,,,                -17798,                536683,,                554481,,                536683,,                              1.77,,                              1.68,                153260,                -46774,                  3244,,                -25732,,,,              9091763,,,,,,,,
6285,2013年04月01日至2013年06月30日,,,              8508542,              8586836,,,              7369484,              7369484,              1217352,              1217352,,,                309645,,                135301,,                388121,                833067,                384285,,,,                  7485,,                 49603,                 13964,                 71052,,                    297,                  1834,                 32719,                  1571,                              0,                              0,,                 36421,,                 17904,                 17904,,                  2242,                  2242,                 91811,                476096,,,                 99935,                376161,                376161,,,,,,,                 41576,                417737,,                376161,,                417737,,                              1.24,,                              1.17,                 99935,                 70384,                    938,,                 29746,,,,              7369484,,              8529294,              8529294,                  7138,                 13614,,                 78294,
6285,2013年01月01日至2013年12月31日,,,,             36653661,,,             31462617,             31462617,              5191044,              5191044,,,              1273558,,                584802,,              1549548,              3407908,              1783136,,,,                 34232,                 19568,                 48139,                 22770,                124709,,,                  7633,                 99836,                    183,                    301,                              0,                              0,                107351,,                 65304,                 65304,,                 10211,                 10211,                176967,              1960103,,,                441772,              1518331,              1518331,,,,,,,                167222,              1685553,,              1518331,,              1685553,,                              4.84,,                              4.60,                395706,                204223,                  4446,                 -8108,                 33339,,,                 46066,,,,,,,,,
6285,2013年01月01日至2013年09月30日,,,             27338678,             27338678,,,             23418311,             23418311,              3920367,              3920367,,,                948910,,                420164,,              1155558,              2524632,              1395735,,,,                 24691,                 17942,                 49493,                 10839,                102965,,                  1548,                  4947,                 77710,                    393,,                              0,                              0,                 84598,,                 49084,                 49084,,                  8056,                  8056,                146535,              1542270,,,                332519,              1209751,              1209751,,,,,,,                110174,              1319925,,              1209751,,              1319925,,                              3.78,,                              3.59,                332519,                128202,                  3766,,                 21794,,,,,,,,,,,,
6285,2013年01月01日至2013年06月30日,,,             16636497,             16636497,,,             14326548,             14326548,              2309949,              2309949,,,                604910,,                275065,,                737743,              1617718,                692231,,,,                 15090,                 15037,                 49603,                    784,                 80514,,                              0,                  4490,                 85428,                  1990,                    164,                              0,                              0,                 91744,,                 34519,                 34519,,                  4559,                  4559,                142298,                834529,,,                179259,                655270,                655270,,,,,,,                127972,                783242,,                655270,,                783242,,                              2.09,,                              1.99,                179259,                174976,                    522,,                 47526,,,,,,,,,,,,
6285,2013年01月01日至2013年03月31日,,,,              8049661,,,              6957064,              6957064,              1092597,              1092597,,,                295265,,                139764,,                349622,                784651,                307946,,,,                  7605,                  7412,,                 -5555,                  9462,,,                  2656,                 52709,                    419,                              0,                              0,,                 55323,,                 16615,                 16615,,                  2317,                  2317,                 50487,                358433,,,                 79324,                279109,                279109,,,,,,,                 86396,                365505,,                279109,,                365505,,                              0.89,,                              0.85,                 79324,                104592,                   -416,,                 17780,                              0,                    461,,,,,,,,,,
6285,2012年07月01日至2012年09月30日,,,,              9643912,,,              8375350,              8375350,              1268562,              1268562,,,                341388,,                133348,,                372555,                847291,                421271,,,,                  8864,                  6356,                              0,                  2096,                 17316,,                              0,                  2262,                 21967,                      1,                    364,                              0,                              0,                 23866,,                 25211,                 25211,,                    543,                    543,                 16514,                437785,,,                 97285,                340500,                340500,,,,,,,                -30338,                310162,,                340500,,                310162,,                              1.09,,                              1.04,                 97285,                -37969,                  1176,,                 -6455,,,,              8375350,,,,,,,,
6285,2012年04月01日至2012年06月30日,,,              8267618,              8416013,,,              7257228,              7257228,              1158785,              1158785,,,                313808,,                129183,,                341054,                784045,                374740,,,,                 11335,,                              0,                 17673,                 29008,,                      9,                    185,                              0,                 -1251,                              0,                 15740,,                -16797,,                 23484,                 23484,,                  9994,                  9994,                 -1279,                373461,,,                 65931,                307530,                307530,,,,,,,                 14343,                321873,,                307530,,                321873,,                              1.01,,                              0.97,                 65931,                 13863,                  2837,,                  2357,,,,              7257228,,              8288560,              8288560,                 10169,                 10773,,                148395,
6285,2012年01月01日至2012年12月31日,,,,             34434519,,,             29779275,             29779275,              4655244,              4655244,,,              1222639,,                555035,,              1393851,              3171525,              1483719,,,,                 37024,                 25377,                              0,                 25360,                 87761,,,                  7390,                              0,                              0,                    183,                 51623,                    754,                -45170,,                100712,                100712,,                  6773,                  6773,                -51348,              1432371,,,                322623,              1109748,              1109748,,,,,,,                -68058,              1041690,,              1109748,,              1041690,,                              3.55,,                              3.36,                308394,                -95281,                  3742,                  8775,                -14706,,,                 14229,,,,,,,,,
6285,2012年01月01日至2012年09月30日,,,,             26213473,,,             22689946,             22689946,              3523527,              3523527,,,                892516,,                422038,,              1022608,              2337162,              1186365,,,,                 28576,                 19037,                              0,                 21351,                 68964,,                              0,                  4114,                              0,                              0,                    111,                 57302,                     56,                -53355,,                 78944,                 78944,,                  9171,                  9171,                -54164,              1132201,,,                241040,                891161,                891161,,,,,,,                -84119,                807042,,                891161,,                807042,,                              2.85,,                              2.70,                241040,               -106705,                  4446,,                -18140,,,,             22689946,,,,,,,,
6285,2012年01月01日至2012年06月30日,,,             16309901,             16569561,,,             14314596,             14314596,              2254965,              2254965,,,                551128,,                288690,,                650053,              1489871,                765094,,,,                 19712,,                              0,                 31936,                 51648,,                    253,                  1852,                              0,                    -57,                              0,                 79269,,                -77221,,                 53733,                 53733,,                  8628,                  8628,                -70678,                694416,,,                143755,                550661,                550661,,,,,,,                -53781,                496880,,                550661,,                496880,,                              1.82,,                              1.72,                143755,                -68736,                  3270,,                -11685,,,,             14314596,,             16341216,             16341216,                 10169,                 21146,,                259660,
6285,2012年01月01日至2012年03月31日,,,              8042283,              8153548,,,              7057368,              7057368,              1096180,              1096180,,,                237320,,                159507,,                308999,                705826,                390354,,,,                  8378,,,,                  8378,,,                  1667,                              0,                  1194,,                 63529,,                -46162,,                 30249,                 30249,,                              0,                 -1366,                -69399,                320955,,,                 77824,                243131,                243131,,,,,,,                -68124,                175007,,                243131,,                175007,,                              0.80,,                              0.76,                 77824,                -68557,                    433,,                              0,,                -14506,                              0,              7057368,,              8052656,              8052656,                  8549,                  1824,,                111265,                  1366
