證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
6422,2015年第3季,,                522891,,                306075,                216816,                216816,,,                 35837,,                 82734,,                 22000,                140571,                 76245,,,                  2381,,                  3313,,                    477,                  5217,                 81462,,                 23618,                 57844,                 57844,,,                 47038,                 47038,                 47038,                104882,,                 57844,,                104882,,                              1.58,                              1.58,,,
6422,2015年第2季,,                515866,,                312347,                203519,                203519,,,                 36715,,                 77187,,                 13403,                127305,                 76214,,,                  2987,,                 -2448,,                    460,                     79,                 76293,,                 22791,                 53502,                 53502,,,                -17757,                -17757,                -17757,                 35745,,                 53502,,                 35745,,                              1.46,                              1.46,,,
6422,2015年01月01日至2015年09月30日,,              1517647,,                910047,                607600,                607600,,,                104885,,                242336,,                 48753,                395974,                211626,,,                  5927,,                    444,,                  4297,                  2074,                213700,,                 56358,                157342,                157342,,,                 17739,                 17739,                 17739,                175081,,                157342,,                175081,,                              4.29,                              4.29,,,
6422,2015年01月01日至2015年06月30日,,                994756,,                603972,                390784,                390784,,,                 69048,,                159602,,                 26753,                255403,                135381,,,                  3546,,                 -2869,,                  3820,                 -3143,                132238,,                 32740,                 99498,                 99498,,,                -29299,                -29299,                -29299,                 70199,,                 99498,,                 70199,,                              2.71,                              2.71,,,
6422,2015年01月01日至2015年03月31日,,                478890,,                291625,                187265,                187265,,,                 32333,,                 82415,,                 13350,                128098,                 59167,,,                    559,,                   -421,,                  3360,                 -3222,                 55945,,                  9949,                 45996,                 45996,,,                -11542,                -11542,                -11542,                 34454,,                 45996,,                 34454,,                              1.32,                              1.32,,,
6422,2014年第3季,,                496376,,                297441,                198935,                198935,,,                 29905,,                 74920,,                  9209,                114034,                 84901,,,                  2587,,                 -2305,,                  3223,                 -2941,                 81960,,                 30644,                 51316,                 51316,,,                 14776,                 14776,                 14776,                 66092,,                 51316,,                 66092,,                              1.59,                              1.59,,,
6422,2014年第2季,,                495464,,                292106,                203358,                203358,,,                 31984,,                 73301,,                  4567,                109852,                 93506,,,                  3857,,                   -704,,                  3277,                   -124,                 93382,,                 31625,                 61757,                 61757,,,                -12989,                -12989,                -12989,                 48768,,                 61757,,                 48768,,                              1.91,                              1.91,,,
6422,2014年度,,              1959789,,              1164394,                795395,                795395,,,                124380,,                293450,,                 38697,                456527,                338868,,,                 12008,,                 -6412,,                 11395,                 -5799,                333069,,                117913,                215156,                215156,,,,,                 27658,                242814,,                215156,,                242814,,                              6.97,                              6.97,                 27658,                              0,                              0
6422,2014年01月01日至2014年09月30日,,              1424569,,                842558,                582011,                582011,,,                 91903,,                220897,,                 20009,                332809,                249202,,,                  9574,,                 -4335,,                  9561,                 -4322,                244880,,                 87133,                157747,                157747,,,                    559,                    559,                    559,                158306,,                157747,,                158306,,                              4.88,                              4.88,,,
6422,2014年01月01日至2014年06月30日,,                928193,,                545117,                383076,                383076,,,                 61998,,                145977,,                 10800,                218775,                164301,,,                  6987,,                 -2030,,                  6338,                 -1381,                162920,,                 56489,                106431,                106431,,,                -14217,                -14217,                -14217,                 92214,,                106431,,                 92214,,                              3.29,                              3.29,,,
