證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）
6442,2015年第3季,,,              1027822,              1027822,,                835654,                192168,                192168,,,                 21330,,                 71818,,                 24894,                118042,                 74126,,,                    309,,                 78409,,                    468,                    468,                 78250,                152376,,                 34431,                117945,                117945,,,                 28875,                   -443,                  4908,                 23524,                 23524,                141469,,                117945,,                141469,,                              1.81,,                              1.80,,,,,,,,,,,,,,,,,
6442,2015年第2季,,,              1070831,              1070831,,                870246,                200585,                200585,,,                 22109,,                 68799,,                 24966,                115874,                 84711,,,                    861,,                -13678,,                    997,                    997,                -13814,                 70897,,                 31976,                 38921,                 38921,,,                 -8980,                      6,                 -1526,                 -7448,                 -7448,                 31473,,                 38921,,                 31473,,                              0.65,,                              0.64,,,,,,,,,,,,,,,,,
6442,2015年01月01日至2015年09月30日,,,              3150012,              3150012,,              2543850,                606162,                606162,,,                 61731,,                210080,,                 72909,                344720,                261442,,,                  2367,,                 53360,,                  2305,                  2305,                 53422,                314864,,                 84725,                230139,                230139,,,                  4853,                   -437,                    825,                  3591,                  3591,                233730,,                230139,,                233730,,                              3.73,,                              3.69,,,,,,,,,,,,,,,,,
6442,2015年01月01日至2015年06月30日,,,              2122190,              2122190,,              1708196,                413994,                413994,,,                 40401,,                138262,,                 48015,                226678,                187316,,,                  2058,,                -25049,,                  1837,                  1837,                -24828,                162488,,                 50294,                112194,                112194,,,                -24022,                      6,                 -4083,                -19933,                -19933,                 92261,,                112194,,                 92261,,                              1.87,,                              1.85,,,,,,,,,,,,,,,,,
6442,2015年01月01日至2015年03月31日,,,              1051359,              1051359,,                837950,                213409,                213409,,,                 18292,,                 69463,,                 23049,                110804,                102605,,,                  1197,,                -11371,,                    840,                    840,                -11014,                 91591,,                 18318,                 73273,                 73273,,,                -15042,,                 -2557,                -12485,                -12485,                 60788,,                 73273,,                 60788,,                              1.22,,                              1.20,,                837950,                              0,                              0,,                              0,,                              0,                              0,                              0,,,,,,,
6442,2014年第3季,,,              1020766,              1020766,,                830646,                190120,                190120,,,                 22641,,                 58041,,                 21329,                102011,                 88109,,,                    466,,                 13824,,                    942,                    942,                 13348,                101457,,                 19945,                 81512,                 81512,,,                 17981,                              0,                  3056,                 14925,                 14925,                 96437,,                 81512,,                 96437,,                              1.36,,                              1.35,,,,,,,,,,,,,,,,,
6442,2014年第2季,,,                987297,                987297,,                808386,                178911,                178911,,,                 22645,,                 98145,,                 19919,                140709,                 38202,,,                    873,,                -19956,,                    963,                    963,                -20046,                 18156,,                 11478,                  6678,                  6678,,,                -17756,                              0,                 -3019,                -14737,                -14737,                 -8059,,                  6678,,                 -8059,,                              0.11,,                              0.11,,,,,,,,,,,,,,,,,
6442,2014年度,,,              3919141,              3919141,,              3196382,                722759,                722759,,,                 89205,,                314927,,                 83763,                487895,                234864,,,                  4638,,                 63730,,                  3534,                  3534,                 64834,                299698,,                 66777,                232921,                232921,,,,,,,                 41163,                274084,,                232921,,                274084,,                              3.88,,                              3.83,,              3196382,,,,,,,,,                 54677,                 -5083,                  8431,                              0,                              0,                              0,                              0
6442,2014年上半年度,,,              1827974,              1827974,,              1510541,                317433,                317433,,,                 41880,,                164500,,                 39948,                246328,                 71105,,,                  2011,,                  7022,,                  1733,                  1733,                  7300,                 78405,,                 23496,                 54909,                 54909,,,,,,,                 -5260,                 49649,,                 54909,,                 49649,,                              1.02,,                              1.01,,              1510541,                              0,                              0,,,,,,,                 -6337,,                 -1077,                              0,                              0,                              0,                              0
6442,2014年01月01日至2014年09月30日,,,              2848740,              2848740,,              2341187,                507553,                507553,,,                 64521,,                222541,,                 61277,                348339,                159214,,,                  2477,,                 20846,,                  2675,                  2675,                 20648,                179862,,                 43441,                136421,                136421,,,                 11644,                              0,                  1979,                  9665,                  9665,                146086,,                136421,,                146086,,                              2.27,,                              2.26,,,,,,,,,,,,,,,,,
6442,2014年01月01日至2014年06月30日,,,              1827974,              1827974,,              1510541,                317433,                317433,,,                 41880,,                164500,,                 39948,                246328,                 71105,,,                  2011,,                  7022,,                  1733,                  1733,                  7300,                 78405,,                 23496,                 54909,                 54909,,,                 -6337,                              0,                 -1077,                 -5260,                 -5260,                 49649,,                 54909,,                 49649,,                              0.92,,                              0.91,,,,,,,,,,,,,,,,,
6442,2014年01月01日至2014年03月31日,,,                840677,                840677,,                702155,                138522,                138522,,,                 19235,,                 66355,,                 20029,                105619,                 32903,,,                  1138,,                 26978,,                    770,                    770,                 27346,                 60249,,                 12018,                 48231,                 48231,,,                 11419,,                  1942,                  9477,                  9477,                 57708,,                 48231,,                 57708,,                              0.80,,                              0.80,,                702155,                              0,                              0,,                              0,,                              0,                              0,                              0,,,,,,,
6442,2013年度,,,              3276152,              3276152,,              2771227,                504925,                504925,,,                 71513,,                231283,,                 73775,                376571,                128354,,,                  5798,,                 18791,,                  4158,                  4158,                 20431,                148785,,                 31279,                117506,                117506,,,,,,,                 37818,                155324,,                117506,,                155324,,                              1.96,,                              1.94,,              2771227,,,,,,,,,                 35732,                  9832,                  7746,                              0,                              0,                              0,                              0
6442,2013年上半年度,,,              1588435,              1588435,,              1359911,                228524,                228524,,,                 35796,,                101789,,                 36002,                173587,                 54937,,,                  2635,,                 26266,,                  2098,                  2098,                 26803,                 81740,,                 20614,                 61126,                 61126,,,,,,,                 27556,                 88682,,                 61126,,                 88682,,                              1.13,,                              1.12,,              1359911,                              0,                              0,,,,,,,                 33199,,                  5643,                              0,                              0,                              0,                              0
