證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額
6452,2015年第3季,,,              1123723,              1123723,,,                663172,                663172,                460551,                460551,,,                113834,,                 39616,,                  1230,                154680,                305871,,,,                  7642,                  2029,                  9671,,                 26000,                              0,                 26000,,                              0,                              0,                 35671,                341542,,                 84233,                257309,                257309,,,                195176,                195176,                195176,                452485,,                257309,                              0,,                452485,                              0,,                              4.03,                              4.03,,                              4.03,                              4.03,,
6452,2015年第2季,,,              1068914,              1068914,,,                633191,                633191,                435723,                435723,,,                107072,,                 38350,,                  5209,                150631,                285092,,,,                  7086,                  1971,                  9057,,                  9293,                  3541,                  5752,,                              0,                              0,                 14809,                299901,,                 74929,                224972,                224972,,,                -69308,                -69308,                -69308,                155664,,                224972,                              0,,                155664,                              0,,                              3.50,                              3.50,,                              3.50,                              3.50,,
6452,2015年度,,,              4410116,              4410116,,,              2628689,              2628689,              1781427,              1781427,,,                448574,,                167227,,                 10921,                626722,              1154705,,,,                 27025,                  8046,                 35071,,                 27986,                  4132,                 23854,,                              0,                              0,                 58925,              1213630,,                183347,              1030283,              1030283,,,               -113188,               -113188,               -113188,                917095,,              1030283,                              0,,                917095,                              0,,                             16.54,                             16.54,,                             16.52,                             16.52,,
6452,2015年01月01日至2015年09月30日,,,              3182078,              3182078,,,              1883707,              1883707,              1298371,              1298371,,,                313965,,                113153,,                  9141,                436259,                862112,,,,                 19274,                  6017,                 25291,,                 34547,                  3541,                 31006,,                              0,                              0,                 56297,                918409,,                231617,                686792,                686792,,,                 69292,                 69292,                 69292,                756084,,                686792,                              0,,                756084,                              0,,                             11.15,                             11.15,,                             11.15,                             11.15,,
6452,2015年01月01日至2015年06月30日,,,              2058355,              2058355,,,              1220535,              1220535,                837820,                837820,,,                200131,,                 73537,,                  7911,                281579,                556241,,,,                 11632,                  3988,                 15620,,                  8547,                  3541,                  5006,,                              0,                              0,                 20626,                576867,,                147384,                429483,                429483,,,               -125884,               -125884,               -125884,                303599,,                429483,                              0,,                303599,                              0,,                              7.11,                              7.11,,                              7.11,                              7.11,,
6452,2015年01月01日至2015年03月31日,,,                989441,                989441,,,                587344,                587344,                402097,                402097,,,                 93059,,                 35187,,                  2702,                130948,                271149,,,,                  4546,                  2017,                  6563,,,,                   -746,,                              0,                              0,                  5817,                276966,,                 72455,                204511,                204511,,,                -56576,                -56576,                -56576,                147935,,                204511,                              0,,                147935,                              0,,                              3.66,                              3.66,,,,                    746,
6452,2014年第3季,,,                992678,                992678,,,                583602,                583602,                409076,                409076,,,                100983,,                 33566,,                  5453,                140002,                269074,,,,                    515,                  1931,                  2446,,                              0,                              0,                              0,,                  1324,                  1324,                  1122,                270196,,                 71103,                199093,                199093,,,                 69740,                 69740,                 69740,                268833,,                199093,                              0,,                268833,                              0,,                              3.62,                              3.62,,                              3.62,                              3.62,,
6452,2014年第2季,,,                959365,                959365,,,                572455,                572455,                386910,                386910,,,                101137,,                 44159,,                  1317,                146613,                240297,,,,                    511,                  1943,                  2454,,                              0,                              0,                              0,,                  2818,                  2818,                   -364,                239933,,                 68041,                171892,                171892,,,                -70643,                -70643,                -70643,                101249,,                 21204,                150688,,                 17555,                 83694,,                              3.13,                              3.13,,                              3.13,                              3.13,,
6452,2014年度,,,              3943551,              3943551,,,              2332545,              2332545,              1611006,              1611006,,,                388658,,                164838,,                 18257,                571753,              1039253,,,,                  3331,                  7864,                 11195,,                              0,                              0,                              0,,                  7005,                  7005,                  4190,              1043443,,                277798,                765645,                765645,,,                106657,                106657,                106657,                872302,,                424329,                341316,,                585109,                287193,,                             13.92,                             13.92,,                             13.92,                             13.92,,
6452,2014年01月01日至2014年09月30日,,,              2792086,              2792086,,,              1639246,              1639246,              1152840,              1152840,,,                278228,,                100623,,                  7904,                386755,                766085,,,,                  1578,                  5862,                  7440,,                              0,                              0,                              0,,                  6963,                  6963,                    477,                766562,,                204949,                561613,                561613,,,                 11968,                 11968,                 11968,                573581,,                220297,                341316,,                286388,                287193,,                             10.21,                             10.21,,                             10.21,                             10.21,,
