證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
8201,2015年第3季,,                171362,,                161824,                  9538,                 -1356,                              0,                 10894,,,                 31695,,                 32517,,                 24434,                 88646,                -77752,,,                  8123,,                 49230,,                     67,,                   -611,                 56675,                -21077,,                  6286,                -27363,                -27363,,,,,,,                  8494,                 -8374,,                    229,                  1483,                 -1134,                 -1134,                -28497,,                -27363,,,                -28497,,,                             -0.31,,,,,,
8201,2015年第2季,,                213499,,                190998,                 22501,                    108,                              0,                 22393,,,                 29508,,                 31079,,                 24716,                 85303,                -62910,,,                 10215,,                 -4582,,                    774,,                 -1220,                  3639,                -59271,,                   -301,                -58970,                -58970,,,,,,,                 -5497,                  6711,,                    280,                   -887,                  2381,                  2381,                -56589,,                -58970,                              0,,                -56589,                              0,,                             -0.66,,,,,,
8201,2015年度,,                960881,,                867637,                 93244,                    536,                  1516,                 94224,,,                138079,,                135764,,                117644,                391487,               -297263,,,                 38734,,                 27539,,                  3079,,                 -4504,                 58690,               -238573,,                  6094,               -244667,               -244667,,,                    183,                              0,                    183,,                -11823,                 43597,,                   -819,                 -2149,                 33104,                 33287,               -211380,,               -244667,                              0,,               -211380,                              0,,                             -2.75,,,,,,
8201,2015年01月01日至2015年09月30日,,                767382,,                665832,                101550,                    615,                  1516,                102451,,,                100582,,                102611,,                 77265,                280458,               -178007,,,                 34276,,                 41897,,                  3153,,                 -3345,                 69675,               -108332,,                  6092,               -114424,               -114424,,,,,,,                 -4217,                 -2696,,                   -926,                   -874,                 -6965,                 -6965,               -121389,,               -114424,,,               -121389,,,                             -1.28,,,,,,
8201,2015年01月01日至2015年06月30日,,                596020,,                504008,                 92012,                  1971,                  1516,                 91557,,,                 68887,,                 70094,,                 52831,                191812,               -100255,,,                 26153,,                 -7333,,                  3086,,                 -2734,                 13000,                -87255,,                   -194,                -87061,                -87061,,,,,,,                -12711,                  5678,,                 -1155,                 -2357,                 -5831,                 -5831,                -92892,,                -87061,                              0,,                -92892,                              0,,                             -0.98,,,,,,
8201,2015年01月01日至2015年03月31日,,                382521,,                313010,                 69511,                  1863,                  1516,                 69164,,,                 39379,,                 39015,,                 28115,                106509,                -37345,,,                 15938,,                 -2751,,                  2312,,                 -1514,                  9361,                -27984,,                    107,                -28091,                -28091,,,,,,,                 -7214,                 -1033,,                 -1435,                 -1470,                 -8212,                 -8212,                -36303,,                -28091,                              0,,                -36303,                              0,,                             -0.32,,,,,,
8201,2014年第3季,,                311262,,                268697,                 42565,                  1195,                              0,                 41370,,,                 42086,,                 40130,,                 30261,                112477,                -71107,,,                 26245,,                 35907,,                  6317,,                 -2969,                 52866,                -18241,,                              0,                -18241,                -18241,,,,,,,                 13548,                 -2045,,                    -58,                  2293,                  9152,                  9152,                 -9089,,                -18241,,,                 -9089,,,                             -0.20,,,,,,
8201,2014年第2季,,                195119,,                166261,                 28858,                   -352,                              0,                 29210,,,                 38865,,                 38313,,                 29845,                107023,                -77813,,,                 25029,,                -13781,,                  6753,,                 -4412,                     83,                -77730,,                              0,                -77730,                -77730,,,,,,,                -12139,                  1940,,                   -514,                 -2151,                 -8562,                 -8562,                -86292,,                -77730,                              0,,                -86292,                              0,,                             -0.87,,,,,,
8201,2014年度,,              1574853,,              1335375,                239478,                  1516,                    739,                238701,,,                190617,,                179368,,                121316,                491301,               -252600,,,                 99975,,                -20934,,                 24829,,                -12431,                 41781,               -210819,,                 57087,               -267906,               -267906,,,                -11364,                              0,                -11364,,                 31469,                -10367,,                    609,                  5453,                 16258,                  4894,               -263012,,               -267906,                              0,,               -263012,                              0,,                             -3.01,                 31469,                -10367,                -11364,,                    609,                  5453
8201,2014年01月01日至2014年09月30日,,              1394674,,              1160191,                234483,                  1674,                    739,                233548,,,                142317,,                119760,,                 86679,                348756,               -115208,,,                 74412,,                -33263,,                 19118,,                -11793,                 10238,               -104970,,                  6544,               -111514,               -111514,,,,,,,                  8286,                 -5940,,                    510,                  1495,                  1361,                  1361,               -110153,,               -111514,,,               -110153,,,                             -1.25,,,,,,
