證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
8374,2015年第3季,,                902830,,                779502,                123328,                123328,,,                120218,,                 48785,                169003,                -45675,,,                    205,,                -33653,,                  4422,,                   -184,                -38054,                -83729,,                    -74,                -83655,                -83655,,,                 49660,                 -2146,                              0,                 47514,                 47514,                -36141,,                -83644,                    -11,,                -36119,                    -22,,                             -0.95,,                             -0.95,,,,,,,,,,,,,,
8374,2015年第2季,,              1133654,,                934998,                198656,                198656,,,                123843,,                 47282,                171125,                 27531,,,                    366,,                   -231,,                  8220,,                   -569,                 -8654,                 18877,,                  3381,                 15496,                 15496,,,                -16204,                 -4141,,                -20345,                -20345,                 -4849,,                 15508,                    -12,,                 -4840,                     -9,,                              0.18,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
8374,2015年01月01日至2015年09月30日,,              2988649,,              2523072,                465577,                465577,,,                370444,,                148443,                518887,                -53310,,,                  3140,,                -40351,,                 20366,,                   -940,                -58517,               -111827,,                 -4359,               -107468,               -107468,,,                 20783,                 -2375,                              0,                 18408,                 18408,                -89060,,               -107435,                    -33,,                -89022,                    -38,,                             -1.23,,                             -1.23,,,,,,,,,,,,,,
8374,2015年01月01日至2015年06月30日,,              2085819,,              1743570,                342249,                342249,,,                250226,,                 99658,                349884,                 -7635,,,                  2935,,                 -6698,,                 15944,,                   -756,                -20463,                -28098,,                 -4285,                -23813,                -23813,,,                -28877,                   -229,,                -29106,                -29106,                -52919,,                -23791,                    -22,,                -52903,                    -16,,                             -0.27,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
8374,2015年01月01日至2015年03月31日,,                952165,,                808572,                143593,                143593,,,                126383,,                 52376,                178759,                -35166,,,                  2569,,                 -6467,,                  7724,,                   -187,                -11809,                -46975,,                 -7666,                -39309,                -39309,,,                -12673,                  3912,                              0,                 -8761,                 -8761,                -48070,,                -39299,                    -10,,                -48063,                     -7,,                             -0.45,,,,,,,,,,,,,,,,
8374,2014年第3季,,              1156145,,                988152,                167993,                167993,,,                 98943,,                 52243,                151186,                 16807,,,                 11007,,                  4195,,                  8264,,                   -710,                  6228,                 23035,,                 10850,                 12185,                 12185,,,                 31969,                    716,                              0,                 32685,                 32685,                 44870,,                 12078,                    107,,                 44773,                     97,,                              0.14,,                              0.14,,,,,,,,,,,,,,
8374,2014年第2季,,              1187379,,              1003594,                183785,                183785,,,                112433,,                 51254,                163687,                 20098,,,                 13831,,                -24293,,                  9894,,                   -118,                -20474,                   -376,,                 -1709,                  1333,                  1333,,,                -26272,                  2709,,                -23563,                -23563,                -22230,,                  1511,                   -178,,                -22056,                   -174,,                              0.02,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
8374,2014年度,,              4356304,,              3675680,                680624,                680624,,,                457074,,                200091,                657165,                 23459,,,                 28637,,               -127535,,                 37559,,                 -2182,               -138639,               -115180,,                 16450,               -131630,               -131630,,,,,,,                 51708,                -79922,,               -130945,                   -685,,                -79228,                   -694,,                             -1.49,,                             -1.49,,,,,,,,,,,,                 46929,                  4779,                              0
8374,2014年01月01日至2014年09月30日,,              3185745,,              2693109,                492636,                492636,,,                314603,,                147572,                462175,                 30461,,,                 25753,,                -35951,,                 25715,,                   -828,                -36741,                 -6280,,                 -5722,                   -558,                   -558,,,                  6637,                  3918,                              0,                 10555,                 10555,                  9997,,                    158,                   -716,,                 10716,                   -719,,                              0.00,,                              0.00,,,,,,,,,,,,,,
8374,2014年01月01日至2014年06月30日,,              2029600,,              1704957,                324643,                324643,,,                215660,,                 95329,                310989,                 13654,,,                 14746,,                -40146,,                 17451,,                   -118,                -42969,                -29315,,                -16572,                -12743,                -12743,,,                -25332,                  3202,,                -22130,                -22130,                -34873,,                -11920,                   -823,,                -34057,                   -816,,                             -0.14,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
