證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 勞務成本,　　　　 勞務成本,　　　　 勞務成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
8926,2015年第3季,,,                290662,,                226062,,                 53061,                569785,,,                190721,,                206493,                 53743,                450957,                118828,                118828,,                 48805,                 70023,,,                              0,                  4551,                  4551,,                 28349,,                 11667,,                261279,                282512,                352535,,                 15014,                337521,                337521,,,                              0,,                              0,                              0,                              0,                              0,,                  6482,                 18800,,                  2872,                  1197,                  4069,                  4990,                 24361,                 24361,                361882,,                337521,                              0,                              0,,                361882,                              0,                              0,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,,,,,,
8926,2015年第2季,,,                244147,,                 63629,,                 39750,                347526,,,                196157,,                  8370,                 40198,                244725,                102801,                102801,,                 45417,                 57384,,,                              0,                 11414,                 11414,,                 -6493,,                 11992,,                341869,                334798,                392182,,                 62477,                329705,                329705,,,                              0,,                              0,                              0,                              0,                              0,,                 -5865,                   -400,,                 -1769,                  1198,                   -571,                 -1162,                 -5674,                 -5674,                324031,,                329705,                              0,                              0,,                324031,                              0,                              0,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,,,,,,,,
8926,2015年01月01日至2015年09月30日,,,                743730,,                357744,,                122939,              1224413,,,                551739,,                277526,                124520,                953785,                270628,                270628,,                137117,                133511,,,                              0,                 19099,                 19099,,                 16798,,                 36068,,                837302,                837131,                970642,,                 80471,                890171,                890171,,,                    275,,                     79,                     79,                     47,                    307,,                 -3302,                 31600,,                   -306,                  3627,                  3321,                  5376,                 26243,                 26550,                916721,,                890171,                              0,                              0,,                916721,                              0,                              0,,                              1.51,                              1.51,,                              1.51,                              1.51,,,,,,,,,,,,
8926,2015年01月01日至2015年06月30日,,,                453068,,                131682,,                 69878,                654628,,,                361018,,                 71033,                 70777,                502828,                151800,                151800,,                 88312,                 63488,,,                              0,                 14548,                 14548,,                -11551,,                 24401,,                576023,                554619,                618107,,                 65457,                552650,                552650,,,                    275,,                     79,                     79,                     47,                    307,,                 -9784,                 12800,,                 -3178,                  2430,                   -748,                    386,                  1882,                  2189,                554839,,                552650,                              0,                              0,,                554839,                              0,                              0,,                              0.94,                              0.94,,                              0.94,                              0.94,,,,,,,,,,,,
8926,2015年01月01日至2015年03月31日,,,                208921,,                 68053,,                 30128,                307102,,,                164861,,                 62663,                 30579,                258103,                 48999,                 48999,,                 42895,                  6104,,,                              0,                  3134,                  3134,,                 -5058,,                 12409,,                234154,                219821,                225925,,                  2980,                222945,                222945,,,                    275,,                     79,                     79,                     47,                    307,,                 -3919,                 13200,,                 -1409,                  1232,                   -177,                  1548,                  7556,                  7863,                230808,,                222945,,,,                230808,,,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,,,,
8926,2014年第3季,,,                288321,,                 46213,,                 48341,                382875,,,                183675,,                 63564,                 48877,                296116,                 86759,                 86759,,                 59589,                 27170,,,                 27899,                  4028,                 31927,,                  8179,,                 10063,,                373550,                403593,                430763,,                -52643,                483406,                483406,,,                              0,,                              0,                              0,                              0,                              0,,                 -1190,                -20800,,                  1910,                  1436,                  3346,                 -3170,                -15474,                -15474,                467932,,                483406,                              0,                              0,,                467932,                              0,                              0,,                              0.82,                              0.82,,                              0.82,                              0.82,,,,,,,,,,,,
8926,2014年第2季,,,                263466,,                168963,,                 36811,                469240,,,                190216,,                165486,                 37277,                392979,                 76261,                 76261,,                 52295,                 23966,,,                              0,                 11948,                 11948,,                 -7266,,                 10421,,                386134,                380395,                404361,,                 10479,                393882,                393882,,,                              0,,                              0,                              0,                              0,                              0,,                  1694,                -20000,,                 -2869,                    990,                 -1879,                 -3431,                -16754,                -16754,                377128,,                393882,                              0,                              0,,                377128,                              0,                              0,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,,,,,,,,,
8926,2014年度,,,              1037781,,                467306,,                146093,              1651180,,,                746987,,                492127,                148772,              1387886,                263294,                263294,,                207303,                 55991,,,                402379,                 29763,                432142,,                 23184,,                 41203,,              1284180,              1698303,              1754294,,                 25854,              1728440,              1728440,,,,,,,,,,,,,,,,,,                 25378,              1753818,,              1728440,,,,              1753818,,,,                              2.93,                              2.93,,                              2.93,                              2.93,,                492127,                492127,                 14239,                  8800,                  1202,,                  3542,                  4461,                 -1385,                  6618,                  5481
8926,2014年01月01日至2014年09月30日,,,                777889,,                342130,,                112456,              1232475,,,                544827,,                345672,                113747,              1004246,                228229,                228229,,                171581,                 56648,,,                402379,                 20655,                423034,,                  9268,,                 28690,,                990230,              1393842,              1450490,,                 16431,              1434059,              1434059,,,                              0,,                              0,                              0,                              0,                              0,,                  2972,                -14200,,                 -1381,                  3583,                  2202,                 -1535,                 -7491,                 -7491,              1426568,,              1434059,                              0,                              0,,              1426568,                              0,                              0,,                              2.43,                              2.43,,                              2.42,                              2.42,,,,,,,,,,,,
8926,2014年01月01日至2014年06月30日,,,                489568,,                295917,,                 64115,                849600,,,                361152,,                282108,                 64870,                708130,                141470,                141470,,                111992,                 29478,,,                374480,                 16627,                391107,,                  1089,,                 18627,,                616680,                990249,              1019727,,                 69074,                950653,                950653,,,                              0,,                              0,                              0,                              0,                              0,,                  4162,                  6600,,                 -3291,                  2147,                 -1144,                  1635,                  7983,                  7983,                958636,,                950653,                              0,                              0,,                958636,                              0,                              0,,                              1.61,                              1.61,,                              1.61,                              1.61,,,,,,,,,,,,
