證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
9931,2015年第3季,,                247769,,                213746,                 34023,                 34023,,,                  6669,,                 13969,                 20638,                 13385,,,                  8660,,                 -1815,,                      1,,                 -1829,                  5015,                 18400,,                  6551,                 11849,                 11849,,,                 52893,                              0,                 52893,                 52893,                 64742,,                 12076,                   -227,,                 64172,                    570,,                              0.12,,                              0.12,,,,,
9931,2015年第2季,,                341806,,                250898,                 90908,                 90908,,,                  5968,,                 20223,                 26191,                 64717,,,                  2198,,                 19439,,                      1,,                 -1130,                 20506,                 85223,,                 14492,                 70731,                 70731,,,                 -9636,                              0,                 -9636,                 -9636,                 61095,,                 70635,                     96,,                 61256,                   -161,,                              0.69,,                              0.69,,,,,
9931,2015年01月01日至2015年09月30日,,                985155,,                795877,                189278,                189278,,,                 19635,,                 49212,                 68847,                120431,,,                 16915,,                 23376,,                      4,,                 -4262,                 36025,                156456,,                 34097,                122359,                122359,,,                 48892,                              0,                 48892,                 48892,                171251,,                122559,                   -200,,                170791,                    460,,                              1.20,,                              1.20,,,,,
9931,2015年01月01日至2015年06月30日,,                737386,,                582131,                155255,                155255,,,                 12966,,                 35243,                 48209,                107046,,,                  8255,,                 25191,,                      3,,                 -2433,                 31010,                138056,,                 27546,                110510,                110510,,,                 -4001,                              0,                 -4001,                 -4001,                106509,,                110483,                     27,,                106619,                   -110,,                              1.08,,                              1.08,,,,,
9931,2015年01月01日至2015年03月31日,,                395580,,                331233,                 64347,                 64347,,,                  6998,,                 15020,                 22018,                 42329,,,                  6057,,                  5752,,                      2,,                 -1303,                 10504,                 52833,,                 13054,                 39779,                 39779,,,                  5635,                              0,                  5635,                  5635,                 45414,,                 39848,                    -69,,                 45363,                     51,,                              0.39,,                              0.39,,,,,
9931,2014年第3季,,                331013,,                294501,                 36512,                 36512,,,                  8310,,                 12686,                 20996,                 15516,,,                  5548,,                 -1176,,                     79,,                 -2324,                  1969,                 17485,,                  3815,                 13670,                 13670,,,                  4079,                              0,                  4079,                  4079,                 17749,,                 13289,                    381,,                 17129,                    620,,                              0.13,,                              0.13,,,,,
9931,2014年第2季,,                404276,,                313770,                 90506,                 90506,,,                  5880,,                 11766,                 17646,                 72860,,,                  1898,,                  9613,,                     74,,                 -4384,                  7053,                 79913,,                 14331,                 65582,                 65582,,,                   -377,                              0,                   -377,                   -377,                 65205,,                 65425,                    157,,                 65004,                    201,,                              0.64,,                              0.64,,,,,
9931,2014年度,,              1577204,,              1357707,                219497,                219497,,,                 23480,,                 47318,                 70798,                148699,,,                 13994,,                 60794,,                    177,,                 -7414,                 67197,                215896,,                 53214,                162682,                162682,,,,,,                 14041,                176723,,                160761,                  1921,,                174333,                  2390,,                              1.57,,                              1.57,                  9768,                  5148,                    875,,
9931,2014年01月01日至2014年09月30日,,              1191782,,              1008895,                182887,                182887,,,                 21016,,                 38041,                 59057,                123830,,,                 10723,,                 37575,,                    155,,                -11245,                 36898,                160728,,                 45796,                114932,                114932,,,                 -1664,                              0,                 -1664,                 -1664,                113268,,                114017,                    915,,                111990,                  1278,,                              1.12,,                              1.11,,,,,
9931,2014年01月01日至2014年06月30日,,                860769,,                714394,                146375,                146375,,,                 12706,,                 25355,                 38061,                108314,,,                  5175,,                 38751,,                     76,,                 -8921,                 34929,                143243,,                 41981,                101262,                101262,,,                 -5743,                              0,                 -5743,                 -5743,                 95519,,                100728,                    534,,                 94861,                    658,,                              0.99,,                              0.98,,,,,
