證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換利益,　　　 處分不動產、廠房及設備損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 處分不動產、廠房及設備利益
9938,2015年第3季,,,              2362429,              2362429,,              1485500,                876929,                876929,,,                215966,,                114641,,                 69470,                400077,                476852,,,,                 22706,                 16110,                 38816,,                              0,                  9275,                -15877,                  6602,,                 14630,                 14630,,                    101,                 30889,                507741,,                155318,                352423,                352423,,,                394590,                 54453,                340137,                340137,                692560,,                297100,                 55323,,                562973,                129587,,                              1.00,,                              1.00,,,,,,,,,
9938,2015年01月01日至2015年09月30日,,,              6897320,              6897320,,              4345249,              2552071,              2552071,,,                633406,,                343359,,                182350,              1159115,              1392956,,,,                 69413,                 35694,                105107,,                 15398,                 21594,                 -2281,                 -3915,,                 40161,                 40161,,                  1146,                 62177,              1455133,,                441452,              1013681,              1013681,,,                180278,                 26089,                154189,                154189,              1167870,,                829916,                183765,,                957292,                210578,,                              2.79,,                              2.78,,,,,,,,,
9938,2014年第3季,,,              2211350,              2211350,,              1487384,                723966,                723966,,,                210399,,                120006,,                 56773,                387178,                336788,,,,                 18845,                 13320,                 32165,,                              0,                 26031,                 -2035,                -23996,,                 11289,                 11289,,                    992,                 -2128,                334660,,                 81801,                252859,                252859,,,                184311,                 22882,                161429,                161429,                414288,,                216401,                 36458,,                328125,                 86163,,                              0.73,,                              0.73,,,,,,,,,
9938,2014年第2季,,,,              2286219,,              1477311,                808908,                808908,,,                208008,,                102321,,                 56982,                367311,                441597,,,,                 16540,                  7385,                 23925,,,                  8961,,                -16397,,                 11876,                 11876,,                     76,                 -4272,                437325,,                131016,                306309,                306309,,,,,,               -131476,                174833,,                253959,                 52350,,                161638,                 13195,,                              0.85,,                              0.85,                 -7436,,               -158976,,,                -27500,                     76,,
9938,2014年度,,,,              9115700,,              6061453,              3054247,              3054247,,,                820972,,                473899,,                226139,              1521010,              1533237,,,,                 68589,                 43641,                112230,,,                 40941,,                -31859,,                 47712,                 47712,,                    528,                 33187,              1566424,,                416625,              1149799,              1149799,,,,,,                295461,              1445260,,                979717,                170082,,              1235138,                210122,,                              3.29,,                              3.28,                 14649,                  5567,                368169,                -27338,                -45370,,,,
9938,2014年01月01日至2014年09月30日,,,              6611693,              6611693,,              4391228,              2220465,              2220465,,,                618697,,                330907,,                162499,              1112103,              1108362,,,,                 46668,                 30451,                 77119,,                              0,                 39890,                  3015,                -42905,,                 35526,                 35526,,                  1029,                   -283,              1108079,,                300405,                807674,                807674,,,                 52309,                  3890,                 48419,                 48419,                856093,,                688677,                118997,,                749623,                106470,,                              2.31,,                              2.31,,,,,,,,,
9938,2014年01月01日至2014年06月30日,,,,              4400343,,              2903844,              1496499,              1496499,,,                408298,,                210901,,                105726,                724925,                771574,,,,                 27823,                 17131,                 44954,,,                 13859,,                -18909,,                 24237,                 24237,,                     37,                  1845,                773419,,                218604,                554815,                554815,,,,,,               -113010,                441805,,                472276,                 82539,,                421498,                 20307,,                              1.59,,                              1.58,                 -5050,,               -132002,,,                -18992,                     37,,
9938,2014年01月01日至2014年03月31日,,,,              2114124,,              1426533,                687591,                687591,,,                200290,,                108580,,                 48744,                357614,                329977,,,,                 11283,                  9746,                 21029,,,                  4898,,                 -2512,,                 12361,                 12361,,                    -39,                  6117,                336094,,                 87588,                248506,                248506,,,,,,                 18466,                266972,,                218317,                 30189,,                259860,                  7112,,                              0.73,,                              0.73,                  2386,,                 26974,,,                  8508,,                     39,
9938,2013年第3季,,,              2023916,              2023916,,              1419537,                604379,                604379,,,                193311,,                114004,,                 50703,                358018,                246361,,,,                 12983,                  8569,                 21552,,,                 10563,,                -23165,,                 11846,                 11846,,                     78,                -13381,                232980,,                 54118,                178862,                178862,,,,,,                -76990,                101872,,                159743,                 19119,,                 97803,                  4069,,                              0.54,,                              0.54,                -12602,,                -89676,,,                -12686,,,
9938,2013年第2季,,,,              2139944,,              1425524,                714420,                714420,,,                192514,,                107245,,                 52787,                352546,                361874,,,,                 11652,                 30222,                 41874,,,                 15724,,                -15980,,                 10277,                 10277,,                    612,                 16229,                378103,,                125196,                252907,                252907,,,,,,                 93311,                346218,,                223491,                 29416,,                295273,                 50945,,                              0.75,,                              0.75,                   -256,,                108013,,,                 14702,                    612,,
