證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 非控制權益（綜合損益）,　 已實現銷貨（損）益,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資性不動產利益,　　　 處分不動產、廠房及設備損失,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 遞延所得稅費用（利益）
1303,2015年第3季,,             71304590,,             64395448,              6909142,                -15391,              6924533,,,              2315620,,              1953297,              4268917,              2655616,,,              2620262,,              2485352,,                451503,                451503,,              4536985,              4536985,              9191096,             11846712,,              1668273,              1668273,             10178439,             10178439,,,                 -1545,                              0,                 -1545,,              6135946,             -4108416,,             -2246576,                370182,               -589228,               -590773,              9587666,,             10035085,                143354,,              9470478,                117188,,                              1.27,                              1.27,,,,,,,,,,,,,,,,,,,,,,
1303,2015年第2季,,             82023829,,             69668004,             12355825,                  3586,             12352239,,,              2475211,,              2041181,              4516392,              7835847,,,                620726,,               -258283,,                471542,                471542,,              8251150,              8251150,              8142051,             15977898,,              3419351,              3419351,             12558547,             12558547,,,                    248,                              0,                    248,,             -1394268,             -8910530,,             -2521025,                -56897,            -12768926,            -12768678,               -210131,,             12558411,                    136,,                156279,               -366410,,                              1.58,                              1.58,,,,,,,,,,,,,,,,,,,,,,
1303,2015年01月01日至2015年09月30日,,            232854191,,            202543924,             30310267,                -12019,             30322286,,,              7308317,,              5998651,             13306968,             17015318,,,              3811267,,              2283208,,              1396906,              1396906,,             15929695,             15929695,             20627264,             37642582,,              6736255,              6736255,             30906327,             30906327,,,                 -1059,                              0,                 -1059,,              2878661,            -15636083,,             -4549157,                259791,            -17566370,            -17567429,             13338898,,             30543664,                362663,,             13690240,               -351342,,                              3.85,                              3.85,,,,,,,,,,,,,,,,,,,,,,
1303,2015年01月01日至2015年06月30日,,            161549601,,            138148476,             23401125,                  3372,             23397753,,,              4992697,,              4045354,              9038051,             14359702,,,              1191005,,               -202144,,                945403,                945403,,             11392710,             11392710,             11436168,             25795870,,              5067982,              5067982,             20727888,             20727888,,,                    486,                              0,                    486,,             -3257285,            -11527667,,             -2302581,               -110391,            -16977142,            -16976656,              3751232,,             20508579,                219309,,              4219762,               -468530,,                              2.59,                              2.59,,,,,,,,,,,,,,,,,,,,,,
1303,2015年01月01日至2015年03月31日,,             79525772,,             68480472,             11045300,                   -214,             11045514,,,              2517486,,              2004173,              4521659,              6523855,,,                570279,,                 56139,,                473861,                473861,,              3141560,              3141560,              3294117,              9817972,,              1648631,              1648631,              8169341,              8169341,,,                    238,                              0,                    238,,             -1863017,             -2617137,,                218444,                -53494,             -4208216,             -4207978,              3961363,,              7950168,                219173,,              4063483,,,                              1.00,                              1.00,               -102120,,,,,,,,,,,,,,,,,,,,,
1303,2014年第3季,,             84887468,,             77002829,              7884639,                 -5779,              7890418,,,              2526556,,              2053148,              4579704,              3310714,,,              2129320,,                825920,,                563831,                563831,,              5264057,              5264057,              7655466,             10966180,,              1332956,              1332956,              9633224,              9633224,,,                   -293,                              0,                   -293,,              2376986,             -8469511,,             -1972753,                 84945,             -8150223,             -8150516,              1482708,,              9352679,                280545,,              1772163,               -289455,,                              1.18,                              1.18,,,,,,,,,,,,,,,,,,,,,,
1303,2014年第2季,,             83215022,,             75051584,              8163438,                 10241,              8153197,,,              2530273,,              1995749,              4526022,              3627175,,,                781849,,                437818,,                556334,                556334,,              4403040,              4403040,              5066373,              8693548,,             -1643337,             -1643337,             10336885,             10336885,,,                    335,                              0,                    335,,             -2795517,             18204691,,              3932878,                -93097,             19435149,             19435484,             29772369,,             10016687,                320198,,             28007925,              1764444,,                              1.26,                              1.26,,,,,,,,,,,,,,,,,,,,,,
1303,2014年度,,            325473146,,            296426556,             29046590,                              0,             29033098,,,              9973544,,              8068366,             18041910,             10991188,,,              4386359,,              5770598,,,              2147670,,,             15515623,             23524910,             34516098,,,              1699345,             32816753,             32816753,,,,,,,,,,,,,             19282981,             52099734,,             31785279,              1031474,,             51068260,,,                              4.01,                              4.01,              1031474,                -13492,              1699345,              7993127,              8469631,,              3114468,                 -6942,                287303,,,,,,,,,,,,,
1303,2014年01月01日至2014年09月30日,,            245576449,,            222584047,             22992402,                  6221,             22986181,,,              7501770,,              5971548,             13473318,              9512863,,,              3680910,,              3923776,,              1659238,              1659238,,             14646492,             14646492,             20591940,             30104803,,                769969,                769969,             29334834,             29334834,,,                   -274,                              0,                   -274,,              1460045,              7862604,,              1443944,                 76324,             10690269,             10689995,             40024829,,             28698111,                636723,,             38444435,              1580394,,                              3.62,                              3.62,,,,,,,,,,,,,,,,,,,,,,
1303,2014年01月01日至2014年06月30日,,            160688981,,            145581218,             15107763,                 12000,             15095763,,,              4975214,,              3918400,              8893614,              6202149,,,              1551590,,              3097856,,              1095407,              1095407,,              9382435,              9382435,             12936474,             19138623,,               -562987,               -562987,             19701610,             19701610,,,                     19,                              0,                     19,,               -916941,             16332115,,              3416697,                 -8621,             18840492,             18840511,             38542121,,             19345432,                356178,,             36672272,              1869849,,                              2.44,                              2.44,,,,,,,,,,,,,,,,,,,,,,
