證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額
1304,2015年第3季,,             12405533,,             11523304,                882229,                882229,,,                440322,,                322693,,                114381,                877396,                  4833,,,                212144,,                -35451,,                 54740,,                 -2973,                118980,                123813,,                 44398,                 79415,,                -19244,                 60171,,,                256557,               -572646,                 24552,               -340641,               -340641,               -280470,,                138033,                -77862,,               -128321,               -152149,,                              0.14,                             -0.01,                              0.13,,                              0.14,                             -0.01,                              0.13,,,,,,,,,,
1304,2015年第2季,,             14074878,,             12302247,              1772631,              1772631,,,                477402,,                313790,,                121299,                912491,                860140,,,                134854,,                -24878,,                 55335,,                 -1737,                 52904,                913044,,                210951,                702093,,                 -7013,                695080,,,               -123814,               -161576,                -12073,               -273317,               -273317,                421763,,                315609,                379471,,                 76595,                345168,,                              0.31,,                              0.31,,                              0.31,,                              0.31,,,,,,,,,,
1304,2015年01月01日至2015年09月30日,,             39546827,,             35538456,              4008371,              4008371,,,              1415691,,                942057,,                364925,              2722673,              1285698,,,                436152,,                -50037,,                169696,,                 -3711,                212708,              1498406,,                318872,              1179534,,                -32871,              1146663,,,                -48896,               -737977,                 -5652,               -781221,               -781221,                365442,,                641387,                505276,,                 -5437,                370879,,                              0.63,                             -0.01,                              0.62,,                              0.63,                             -0.01,                              0.62,,,,,,,,,,
1304,2015年01月01日至2015年06月30日,,             27141294,,             24015152,              3126142,              3126142,,,                975369,,                619364,,                250544,              1845277,              1280865,,,                224008,,                -14586,,                114956,,                   -738,                 93728,              1374593,,                274474,              1100119,,                -13627,              1086492,,,               -305453,               -165331,                -30204,               -440580,               -440580,                645912,,                503354,                583138,,                122884,                523028,,                              0.49,,                              0.49,,                              0.49,,                              0.49,,,,,,,,,,
1304,2015年01月01日至2015年03月31日,,             13066416,,             11712905,              1353511,              1353511,,,                497967,,                305574,,                129245,                932786,                420725,,,                 89154,,                 10292,,                 59621,,                    999,                 40824,                461549,,                 63523,                398026,,                 -6614,                391412,,,               -181639,                 -3755,                -18131,               -167263,               -167263,                224149,,                187745,                203667,,                 46289,                177860,,,,                              0.18,,,,                              0.18,,             13066416,,             11712905,,,,,,
1304,2014年第3季,,             16573248,,             15613979,                959269,                959269,,,                477949,,                319583,,                120023,                917555,                 41714,,,                172995,,                227692,,                 63017,,                              0,                337670,                379384,,                 59853,                319531,,                 -7000,                312531,,,                156233,               -142637,                 17360,                 -3764,                 -3764,                308767,,                247033,                 65498,,                118214,                190553,,                              0.24,                              0.00,                              0.24,,                              0.24,                              0.00,                              0.24,,,,,,,,,,
1304,2014年第2季,,             16403254,,             15171604,              1231650,              1231650,,,                521099,,                295209,,                 94020,                910328,                321322,,,                167247,,               -126116,,                 65925,,                              0,                -24794,                296528,,                 77343,                219185,,                 -6351,                212834,,,               -191924,                206880,                -19050,                 34006,                 34006,                246840,,                178020,                 34814,,                271113,                -24273,,                              0.17,,                              0.17,,                              0.17,,                              0.17,,,,,,,,,,
1304,2014年度,,             59704563,,             55799072,              3905491,              3905491,,,              1930503,,              1186324,,                441113,              3557940,                347551,,,                559724,,                217765,,                247363,,                   -325,                529801,                877352,,                222110,                655242,,                -26566,                628676,,,,,,,                442852,              1071528,,                640838,                -12162,,                923137,                148391,,,,                              0.62,,,,                              0.62,,             59704563,,             55799072,                513958,                 52464,                -45180,                 78390,,
1304,2014年01月01日至2014年09月30日,,             46688252,,             43425088,              3263164,              3263164,,,              1429806,,                882634,,                299983,              2612423,                650741,,,                406314,,                 58392,,                186236,,                              0,                278470,                929211,,                201209,                728002,,                -21189,                706813,,,                140282,                 42093,                 14692,                167683,                167683,                874496,,                565780,                141033,,                591987,                282509,,                              0.55,                              0.00,                              0.55,,                              0.55,                              0.00,                              0.55,,,,,,,,,,
1304,2014年01月01日至2014年06月30日,,             30115004,,             27811109,              2303895,              2303895,,,                951857,,                563051,,                179960,              1694868,                609027,,,                233319,,               -169300,,                123219,,                              0,                -59200,                549827,,                141356,                408471,,                -14189,                394282,,,                -15951,                184730,                 -2668,                171447,                171447,                565729,,                318747,                 75535,,                473773,                 91956,,                              0.31,,                              0.31,,                              0.31,,                              0.31,,,,,,,,,,
1304,2014年01月01日至2014年03月31日,,             13711750,,             12639505,              1072245,              1072245,,,                430758,,                267842,,                 85940,                784540,                287705,,,                 66072,,                -43184,,                 57294,,                              0,                -34406,                253299,,                 64013,                189286,,                 -7838,                181448,,,                175973,                -22150,                 16382,                137441,                137441,                318889,,                140727,                 40721,,                202660,                116229,,,,                              0.14,,,,                              0.14,,             13711750,,             12639505,,,,,,
1304,2013年第3季,,             15498790,,             14309473,              1189317,              1189317,,,                473997,,                270474,,                 85759,                830230,                359087,,,                180188,,                -73838,,                 48413,,,                 57937,                417024,,                 61435,                355589,,                 -5723,                349866,,,,,,,               -274252,                 75614,,                194186,                155680,,                 87708,                -12094,,,,                              0.19,,,,                              0.19,,,,,               -113252,               -173672,,                -12672,,
1304,2013年第2季,,             15406388,,             14284473,              1121915,              1121915,,,                495201,,                259061,,                 90673,                844935,                273074,,,                189520,,                121978,,                 52773,,,                258725,                531799,,                125621,                406178,,                 -2588,                403590,,,,,,,                -13860,                389730,,                177532,                226058,,                118006,                271724,,                              0.17,,                              0.17,,                              0.17,,                              0.17,,,,,                126482,               -125696,,                 14646,,                 -3906
1304,2013年度,,             58678881,,             53963133,              4715748,              4715748,,,              1961012,,              1045100,,                350067,              3356179,              1359569,,,                568430,,                379817,,                202810,,                              0,                745437,              2105006,,                396737,              1708269,,                -17515,              1690754,,,,,,,                319496,              2010250,,                817164,                873590,,              1066935,                943315,,,,                              0.79,,,,                              0.79,,             58678881,,             53963133,                376660,                 62472,                -69342,                 50294,,
1304,2013年07月01日至2013年09月30日,,             15498790,,             14309473,              1189317,              1189317,,,                473997,,                267511,,                 85759,                827267,                359087,,,                180188,,                -73838,,                 48413,,                              0,                 57937,                417024,,                 61435,                355589,,                 -5723,                349866,,,,,,,               -274252,                 75614,,                194186,                155680,,                 87708,                -12094,,,,                              0.19,,,,                              0.19,,,,,               -113252,               -173672,,                -12672,,                 -2963
1304,2013年04月01日至2013年06月30日,,             15406388,,             14284473,              1121915,              1121915,,,                495201,,                259061,,                 90673,                844935,                273074,,,                189520,,                121978,,                 52773,,                              0,                258725,                531799,,                125621,                406178,,                 -2588,                403590,,,,,,,                -13860,                389730,,                177532,                226058,,                118006,                271724,,,,                              0.17,,,,                              0.17,,,,,                126482,               -125696,,                 14646,,                 -3906
1304,2013年01月01日至2013年12月31日,,             58678881,,             53963133,              4715748,              4715748,,,              1961012,,              1032286,,                350067,              3343365,              1359569,,,                568430,,                379817,,                202810,,                              0,                745437,              2105006,,                396737,              1708269,,                -17515,              1690754,,,,,,,                319496,              2010250,,                817164,                873590,,              1066935,                943315,,,,                              0.79,,,,                              0.79,,             58678881,,             53963133,                376660,                 62472,                -69342,                 50294,,                -12814
1304,2013年01月01日至2013年09月30日,,             43606581,,             40131095,              3475486,              3475486,,,              1382009,,                806769,,                249841,              2438619,              1036867,,,                444138,,                324428,,                152510,,,                616056,              1652923,,                255516,              1397407,,                -14020,              1383387,,,,,,,                 75715,              1459102,,                654322,                729065,,                696098,                763004,,,,                              0.63,,,,                              0.63,,,,,                256139,               -152056,,                 28368,,
1304,2013年01月01日至2013年06月30日,,             28107791,,             25821622,              2286169,              2286169,,,                908012,,                529191,,                164082,              1601285,                677780,,,                263950,,                398266,,                104097,,,                558119,              1235899,,                194081,              1041818,,                 -8297,              1033521,,,,,,,                349967,              1383488,,                460136,                573385,,                608390,                775098,,                              0.44,,                              0.44,,                              0.44,,                              0.44,,,,,                369391,                 21616,,                 41040,,                 -7104
1304,2013年01月01日至2013年03月31日,,             12701403,,             11537149,              1164254,              1164254,,,                412811,,                270130,,                 73409,                756350,                404706,,,                 74430,,                276288,,                 51324,,,                299394,                704100,,                 68460,                635640,,                 -5709,                629931,,,,,,,                363827,                993758,,                282604,                347327,,                490384,                503374,,,,                              0.27,,,,                              0.27,,             12701403,,             11537149,                242909,                147312,,                 26394,,                 -3198
1304,2012年07月01日至2012年09月30日,,             14447208,,             12961693,              1485515,              1485515,,,                494711,,                313387,,                 88004,                896102,                584722,,,                196443,,                113544,,                 60429,,                              0,                249558,                834280,,                 54232,                780048,,                 -7920,                772128,,,,,,,                113217,                885345,,                396151,                375977,,                590833,                294512,,,,                              0.38,,,,                              0.38,,,,,               -164235,                256713,,                -20739,,                 -4691
1304,2012年04月01日至2012年06月30日,,             14049601,,             12754378,              1295223,              1295223,,,                463480,,                273390,,                 97473,                834343,                459167,,,                797075,,                -17841,,                 64062,,                              0,                715172,              1174339,,                296432,                877907,,                 -7816,                870091,,,,,,,                206678,              1076769,,                741826,                128265,,                744780,                331989,,,,                              0.71,,,,                              0.71,,,,,                 52138,                158702,,                  4162,,                 -1713
1304,2012年01月01日至2012年12月31日,,             55275829,,             49111650,              6164179,              6164179,,,              2342549,,              1111877,,                366913,              3821339,              2327061,,,              1188883,,                 98672,,                240734,,                    -22,              1046799,              3373860,,                528380,              2845480,,                -28713,              2816767,,,,,,,                285799,              3102566,,              1690434,              1126333,,              2033828,              1068738,,,,                              1.63,,,,                              1.63,,             55275829,,             49111650,               -320485,                621447,                -81435,                -66272,,                -15779
1304,2012年01月01日至2012年09月30日,,             42024175,,             37314845,              4709330,              4709330,,,              1387524,,                859083,,                273662,              2520269,              2179173,,,              1060835,,                211395,,                186297,,                    -22,              1085911,              3265084,,                490093,              2774991,,                -27656,              2747335,,,,,,,                528530,              3275865,,              1746455,              1000880,,              2267332,              1008533,,,,                              1.68,,,,                              1.68,,,,,               -296895,                788216,,                -37209,,                 -9888
1304,2012年01月01日至2012年06月30日,,             27576967,,             24353152,              3223815,              3223815,,,                892813,,                545696,,                185658,              1624167,              1594451,,,                864392,,                 97852,,                125868,,                    -22,                836354,              2430805,,                435861,              1994944,,                -19737,              1975207,,,,,,,                415313,              2390520,,              1350304,                624903,,              1676499,                714021,,,,                              1.30,,,,                              1.30,,,,,               -132660,                531503,,                -16470,,                 -5197
1304,2012年01月01日至2012年03月31日,,             13527366,,             11598774,              1928592,              1928592,,,                429333,,                272306,,                 88185,                789824,              1135284,,,                 67317,,                115693,,                 61806,,                    -22,                121182,              1256466,,                139429,              1117037,,                -11921,              1105116,,,,,,,                208635,              1313751,,                608478,                496638,,                931719,                382032,,,,                              0.59,,,,                              0.59,,             13527366,,             11598774,               -184798,                372801,,                -20632,,                 -3484
