證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1319,2015年第3季,,              5237296,,              4075560,              1161736,                    144,              1161880,,,                407205,,                257508,,                157423,                822136,                339744,,,                 30477,,                169858,,                 37105,,                 64601,                227831,                567575,,                 85054,                482521,                482521,,,                127754,,                165280,                 44450,                248584,                248584,                731105,,                484583,                 -2062,,                701607,                 29498,,                              0.82,,                              0.80,,,,,,
1319,2015年第2季,,              5485092,,              4270862,              1214230,                    146,              1214376,,,                430498,,                255397,,                158084,                843979,                370397,,,                 60852,,               -282243,,                 36446,,                 98690,               -159147,                211250,,                 76631,                134619,                134619,,,                -38916,,                -35237,                -11078,                -63075,                -63075,                 71544,,                129381,                  5238,,                 75293,                 -3749,,                              0.22,,                              0.22,,,,,,
1319,2015年01月01日至2015年09月30日,,             16334937,,             12654247,              3680690,                    435,              3681125,,,              1274068,,                769009,,                446428,              2489505,              1191620,,,                129005,,               -169893,,                109842,,                240142,                 89412,              1281032,,                233194,              1047838,              1047838,,,                 42073,,                 95220,                 20727,                116566,                116566,              1164404,,              1026712,                 21126,,              1127908,                 36496,,                              1.74,,                              1.69,,,,,,
1319,2015年01月01日至2015年06月30日,,             11097641,,              8578687,              2518954,                    291,              2519245,,,                866863,,                511501,,                289005,              1667369,                851876,,,                 98528,,               -339751,,                 72737,,                175541,               -138419,                713457,,                148140,                565317,                565317,,,                -85681,,                -70060,                -23723,               -132018,               -132018,                433299,,                542129,                 23188,,                426301,                  6998,,                              0.92,,                              0.90,,,,,,
1319,2015年01月01日至2015年03月31日,,              5612549,,              4307825,              1304724,                    145,              1304869,,,                436365,,                256104,,                130921,                823390,                481479,,,                 37676,,                -57508,,                 36291,,                 76851,                 20728,                502207,,                 71509,                430698,                430698,,,                -46765,,                -34823,                -12645,                -68943,                -68943,                361755,,                412748,                 17950,,                351008,                 10747,,                              0.70,,                              0.68,,,,,,
1319,2014年第3季,,              5082064,,              4010280,              1071784,                    146,              1071930,,,                477086,,                283742,,                144574,                905402,                166528,,,                 25898,,                 35522,,                 31950,,                 81406,                110876,                277404,,                 35923,                241481,                241481,,,                 91716,,                 50499,                 20910,                121305,                121305,                362786,,                226723,                 14758,,                326585,                 36201,,                              0.38,,                              0.38,,,,,,
1319,2014年第2季,,              5314394,,              4077475,              1236919,                    145,              1237064,,,                521326,,                235099,,                141399,                897824,                339240,,,                 43191,,                -64293,,                 31684,,                114094,                 61308,                400548,,                132200,                268348,                268348,,,                -63005,,                -73801,                -21058,               -115748,               -115748,                152600,,                261017,                  7331,,                155508,                 -2908,,                              0.44,,                              0.43,,,,,,
1319,2014年度,,             21141658,,             16413331,              4728327,                    581,              4728908,,,              2051482,,              1011681,,                577360,              3640523,              1088385,,,                151203,,               -335339,,                126847,,                422607,                111624,              1200009,,                247486,                952523,                952523,,,,,,,,                184952,              1137475,,                909886,                 42637,,              1068006,                 69469,,                              1.54,,                              1.51,                 98972,                              0,                 18854,,                 99559,                 32433
1319,2014年01月01日至2014年09月30日,,             15597307,,             12080911,              3516396,                    436,              3516832,,,              1489578,,                757614,,                423163,              2670355,                846477,,,                105997,,                 17680,,                 92664,,                281080,                312093,              1158570,,                244056,                914514,                914514,,,                  1072,,                -14922,                 -2696,                -11154,                -11154,                903360,,                884596,                 29918,,                871435,                 31925,,                              1.50,,                              1.46,,,,,,
1319,2014年01月01日至2014年06月30日,,             10515243,,              8070631,              2444612,                    290,              2444902,,,              1012492,,                473872,,                278589,              1764953,                679949,,,                 80099,,                -17842,,                 60714,,                199674,                201217,                881166,,                208133,                673033,                673033,,,                -90644,,                -65421,                -23606,               -132459,               -132459,                540574,,                657873,                 15160,,                544850,                 -4276,,                              1.11,,                              1.09,,,,,,
