證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 權益工具投資之利益（損失）
1432,2015年第3季,,                136770,,                 57169,                 79601,                 79601,,,                  6376,,                140746,                147122,                -67521,,,                  7297,,                 75325,,                  5674,,                 -5712,                 71236,                  3715,,                  9248,                 -5533,,                              0,                 -5533,,,                 11663,                 -4089,,                 -1332,                  6242,                  6242,                    709,,                 -2996,                 -2537,,                  3246,                 -2537,,                             -0.02,                              0.00,                             -0.02,,                             -0.02,                              0.00,                             -0.02,,,,,
1432,2015年第2季,,                 54533,,                 43904,                 10629,                 10629,,,                  7312,,                 63669,                 70981,                -60352,,,                    872,,                  2843,,                  4289,,                 -3207,                 -3781,                -64133,,                  2614,                -66747,,                110607,                 43860,,,                -30654,                -23385,,                   -327,                -54366,                -54366,                -10506,,                 45953,                 -2093,,                 -8413,                 -2093,,                             -0.40,                              0.68,                              0.28,,                             -0.40,                              0.68,                              0.28,,,,,
1432,2015年01月01日至2015年09月30日,,                252248,,                153390,                 98858,                 98858,,,                 20612,,                254388,                275000,               -176142,,,                  8958,,                 83610,,                 13667,,                -12055,                 66846,               -109296,,                 11862,               -121158,,                 79645,                -41513,,,                -24486,                 -4798,,                 -2181,                -31465,                -31465,                -72978,,                -33987,                 -7526,,                -65452,                 -7526,,                             -0.70,                              0.49,                             -0.21,,                             -0.70,                              0.49,                             -0.21,,,,,
1432,2015年01月01日至2015年06月30日,,                115478,,                 96221,                 19257,                 19257,,,                 14236,,                113642,                127878,               -108621,,,                  1661,,                  8285,,                  7993,,                 -6343,                 -4390,               -113011,,                  2614,               -115625,,                 79645,                -35980,,,                -36149,                   -709,,                   -849,                -37707,                -37707,                -73687,,                -30991,                 -4989,,                -68698,                 -4989,,                             -0.68,                              0.49,                             -0.19,,                             -0.68,                              0.49,                             -0.19,,,,,
1432,2015年01月01日至2015年03月31日,,                 60945,,                 52317,                  8628,                  8628,,,                  6924,,                 49973,                 56897,                -48269,,,                    789,,                  5442,,                  3704,,                 -3136,                   -609,                -48878,,                              0,                -48878,,                -30962,                -79840,,,                 -5495,                 22676,,                   -522,                 16659,                 16659,                -63181,,                -76944,                 -2896,,                -60285,                 -2896,,                             -0.29,                             -0.19,                             -0.48,,                             -0.29,                             -0.19,                             -0.48,,,,,
1432,2014年第3季,,                 37002,,                 31455,                  5547,                  5547,,,                  4617,,                 30254,                 34871,                -29324,,,                  2267,,                 88011,,                  1860,,                 -3882,                 84536,                 55212,,                  6972,                 48240,,                 -1783,                 46457,,,                 15255,                  3538,,                 -1362,                 17431,                 17431,                 63888,,                 46812,                   -355,,                 64243,                   -355,,                              0.30,                             -0.01,                              0.29,,                              0.30,                             -0.01,                              0.29,,,,,
1432,2014年第2季,,                 37500,,                 18639,                 18861,                 18861,,,                  4956,,                 54059,                 59015,                -40154,,,                  2324,,                 -1099,,                  2057,,                 -3147,                 -3979,                -44133,,                 -1584,                -42549,,                 -4225,                -46774,,,                 -9609,                    478,,                  1387,                 -7744,                 -7744,                -54518,,                -47305,                    531,,                -55049,                    531,,                             -0.26,                             -0.03,                             -0.29,,                             -0.26,                             -0.03,                             -0.29,,,,,
1432,2014年度,,                131832,,                 69385,                 62447,                 62447,,,                 19632,,                209933,                229565,               -167118,,,                 19561,,                104490,,                  7133,,                -11455,                105463,                -61655,,                  9480,                -71135,,                -74669,               -145804,,,,,,,,                 81240,                -64564,,               -142195,                 -3609,,                -60955,                 -3609,,                             -0.41,                             -0.46,                             -0.87,,                             -0.41,                             -0.46,                             -0.87,                 19006,                 63406,,                 -1172,
1432,2014年01月01日至2014年09月30日,,                101588,,                 64536,                 37052,                 37052,,,                 14103,,                128376,                142479,               -105427,,,                  6741,,                 97852,,                  5148,,                 -7748,                 91697,                -13730,,                  8982,                -22712,,                -38235,                -60947,,,                  4277,                  6660,,                   -730,                 10207,                 10207,                -50740,,                -61256,                    309,,                -51049,                    309,,                             -0.14,                             -0.23,                             -0.37,,                             -0.14,                             -0.23,                             -0.37,,,,,
1432,2014年01月01日至2014年06月30日,,                 64586,,                 33081,                 31505,                 31505,,,                  9486,,                 98122,                107608,                -76103,,,                  4474,,                  9841,,                  3288,,                 -3866,                  7161,                -68942,,                  2010,                -70952,,                -36452,               -107404,,,                -10978,                  3122,,                    632,                 -7224,                 -7224,               -114628,,               -108068,                    664,,               -115292,                    664,,                             -0.44,                             -0.22,                             -0.66,,                             -0.44,                             -0.22,                             -0.66,,,,,
1432,2014年01月01日至2014年03月31日,,                 27086,,                 14442,                 12644,                 12644,,,                  4530,,                 44063,                 48593,                -35949,,,                  2150,,                 10940,,                  1231,,                   -719,                 11140,                -24809,,                  3594,                -28403,,                -32227,                -60630,,,                 -1369,                  2644,,                   -755,                    520,                    520,                -60110,,                -60763,                    133,,                -60243,                    133,,                             -0.17,                             -0.20,                             -0.37,,                             -0.17,                             -0.20,                             -0.37,,,,,
1432,2013年第3季,,                304989,,                255203,                 49786,                 49786,,,                 14974,,                 56314,                 71288,                -21502,,,                  6042,,                  4215,,                  3158,,                   -117,                  6982,                -14520,,                 -1498,                -13022,,,                -13022,,,,,,,,                 -8389,                -21411,,                -14157,                  1135,,                -22546,                  1135,,                             -0.11,,                             -0.11,,                             -0.11,,                             -0.11,                 -6159,                 -2230,,                              0,                              0
1432,2013年第2季,,                367865,,                310333,                 57532,                 57532,,,                 10292,,                 40433,                 50725,                  6807,,,                    956,,                    138,,                  9376,,                   -125,                 -8407,                 -1600,,                  2916,                 -4516,,,                 -4516,,,,,,,,                 -7777,                -12293,,                 -4744,                    228,,                -12521,                    228,,                             -0.04,,                             -0.04,,                             -0.04,,                             -0.04,                  9299,                -17076,,                              0,
1432,2013年度,,                122707,,                 48057,                 74650,                 74650,,,                 21162,,                192189,                213351,               -138701,,,                 15417,,                 53380,,                  4781,,                   -453,                 63563,                -75138,,                  4774,                -79912,,                -34061,               -113973,,,,,,,,                 -1675,               -115648,,               -114414,                    441,,               -116089,                    441,,                             -0.61,                             -0.26,                             -0.87,,                             -0.61,                             -0.26,                             -0.87,                 27013,                -28688,,                              0,
1432,2013年07月01日至2013年09月30日,,                304989,,                255203,                 49786,                 49786,,,                 14974,,                 56314,                 71288,                -21502,,,                  6042,,                  4215,,                  3158,,                   -117,                  6982,                -14520,,                 -1498,                -13022,,,                -13022,,,,,,,,                 -8389,                -21411,,                -14157,                  1135,,                -22546,                  1135,,                             -0.11,,                             -0.11,,                             -0.11,,                             -0.11,                 -6159,                 -2230,,,
1432,2013年04月01日至2013年06月30日,,                367865,,                310333,                 57532,                 57532,,,                 10292,,                 40433,                 50725,                  6807,,,                    956,,                    138,,                  9376,,                   -125,                 -8407,                 -1600,,                  2916,                 -4516,,,                 -4516,,,,,,,,                 -7777,                -12293,,                 -4744,                    228,,                -12521,                    228,,                             -0.05,,                             -0.05,,                             -0.05,,                             -0.05,                  9299,                -17076,,,
1432,2013年01月01日至2013年12月31日,,                897937,,                758995,                138942,                138942,,,                 51729,,                244421,                296150,               -157208,,,                 23283,,                 49521,,                 24342,,                   -453,                 48009,               -109199,,                  4774,               -113973,,,               -113973,,,,,,,,                 -1675,               -115648,,               -114414,                    441,,               -116089,                    441,,                             -0.87,,                             -0.87,,                             -0.87,,                             -0.87,                 27013,                -28688,,,
1432,2013年01月01日至2013年09月30日,,                790754,,                675240,                115514,                115514,,,                 37532,,                154059,                191591,                -76077,,,                  8541,,                  7181,,                 13726,,                   -344,                  1652,                -74425,,                  1418,                -75843,,,                -75843,,,,,,,,                 16274,                -59569,,                -76931,                  1088,,                -60657,                  1088,,                             -0.62,,                             -0.62,,                             -0.62,,                             -0.62,                 17807,                 -1533,,                              0,                              0
1432,2013年01月01日至2013年06月30日,,                485765,,                420037,                 65728,                 65728,,,                 22558,,                 97745,                120303,                -54575,,,                  2499,,                  2966,,                 10568,,                   -227,                 -5330,                -59905,,                  2916,                -62821,,,                -62821,,,,,,,,                 24663,                -38158,,                -62774,                    -47,,                -38111,                    -47,,                             -0.51,,                             -0.51,,                             -0.51,,                             -0.51,                 23966,                    697,,                              0,
1432,2013年01月01日至2013年03月31日,,                117900,,                109704,                  8196,                  8196,,,                 12266,,                 57312,                 69578,                -61382,,,                  1543,,                  2828,,                  1192,,                   -102,                  3077,                -58305,,                              0,                -58305,,,                -58305,,,,,,,,                 32440,                -25865,,                -58030,                   -275,,                -25590,                   -275,,                             -0.47,,                             -0.47,,                             -0.47,,                             -0.47,                 14667,                 17773,,                              0,
1432,2012年07月01日至2012年09月30日,,                310860,,                276414,                 34446,                 34446,,,                 13017,,                 29005,                 42022,                 -7576,,,                    733,,                 -2551,,                  1773,,                   -117,                 -3708,                -11284,,                              0,                -11284,,,                -11284,,,,,,,,                -22015,                -33299,,                -11815,                    531,,                -33830,                    531,,                             -0.10,,                             -0.10,,                             -0.10,,                             -0.10,                -22015,                              0,,,
1432,2012年04月01日至2012年06月30日,,                321123,,                285482,                 35641,                 35641,,,                 11457,,                 30978,                 42435,                 -6794,,,                  4779,,                 -4265,,                  4104,,                   -164,                 -3754,                -10548,,                  1564,                -12112,,,                -12112,,,,,,,,                 15421,                  3309,,                -11821,                   -291,,                  3600,                   -291,,                             -0.13,,                             -0.13,,                             -0.13,,                             -0.13,                 14841,                    580,,,
1432,2012年01月01日至2012年12月31日,,                913751,,                823109,                 90642,                 90642,,,                 55981,,                142315,                198296,               -107654,,,                 10639,,                597285,,                  4144,,                   -905,                602875,                495221,,                -78105,                573326,,,                573326,,,,,,,,                 24393,                597719,,                573897,                   -571,,                598290,                   -571,,                              4.67,,                              4.67,,                              4.67,,                              4.67,                -17844,                 42237,,,
1432,2012年01月01日至2012年09月30日,,                777968,,                718705,                 59263,                 59263,,,                 30994,,                 85035,                116029,                -56766,,,                  6332,,                 -3556,,                 10781,,                   -749,                 -8754,                -65520,,                  1448,                -66968,,,                -66968,,,,,,,,                -21941,                -88909,,                -66903,                    -65,,                -88844,                    -65,,                             -0.54,,                             -0.54,,                             -0.54,,                             -0.54,                -21941,                              0,,,
1432,2012年01月01日至2012年06月30日,,                467108,,                442291,                 24817,                 24817,,,                 17977,,                 56030,                 74007,                -49190,,,                  5599,,                 -1005,,                  9008,,                   -632,                 -5046,                -54236,,                  1448,                -55684,,,                -55684,,,,,,,,                     74,                -55610,,                -55088,                   -596,,                -55014,                   -596,,                             -0.63,,                             -0.63,,                             -0.63,,                             -0.63,                     74,                              0,,,
1432,2012年01月01日至2012年03月31日,,                145985,,                156809,                -10824,                -10824,,,                  6520,,                 25052,                 31572,                -42396,,,                    820,,                  3260,,                  4904,,                   -468,                 -1292,                -43688,,                   -116,                -43572,,,                -43572,,,,,,,,                -15347,                -58919,,                -43267,                   -305,,                -58614,                   -305,,                             -0.49,,                             -0.49,,                             -0.49,,                             -0.49,                -14767,                   -580,,,
