證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　　 股利收入,　　 稀釋繼續營業單位淨利（淨損）
1467,2015年第3季,,              2084851,,              1711211,                373640,                373640,,                330191,                 43449,,,,                  4914,                  8176,                 13090,,                 -2009,,                 16372,                 16372,,                  1050,                 -1050,                 -6341,                 37108,,                 21419,                 15689,                 15689,,,                 29891,                              0,                 29891,                 29891,                 45580,,                 28850,                -13161,,                 48779,                 -3199,,                              0.14,,                              0.14,,,,,,,,
1467,2015年第2季,,              1614879,,              1299643,                315236,                315236,,                301751,                 13485,,,,                    135,                  8213,                  8348,,                 -4595,,                 15653,                 15653,,                  5468,                 -5468,                -17368,                 -3883,,                  8989,                -12872,                -12872,,,                -34261,                              0,                -34261,                -34261,                -47133,,                  3155,                -16027,,                -31215,                -15918,,                              0.02,,                              0.01,,,,,,,,
1467,2015年01月01日至2015年09月30日,,              5337678,,              4348001,                989677,                989677,,                923318,                 66359,,,,                  7844,                 24037,                 31881,,                 -8106,,                 48301,                 48301,,                  7577,                 -7577,                -32103,                 34256,,                 42549,                 -8293,                 -8293,,,               -108553,                              0,               -108553,               -108553,               -116846,,                 40247,                -48540,,                -69493,                -47353,,                              0.19,,                              0.19,,,,,,,,
1467,2015年01月01日至2015年06月30日,,              3252827,,              2636790,                616037,                616037,,                593127,                 22910,,,,                  2930,                 15861,                 18791,,                 -6097,,                 31929,                 31929,,                  6527,                 -6527,                -25762,                 -2852,,                 21130,                -23982,                -23982,,,               -138444,                              0,               -138444,               -138444,               -162426,,                 11397,                -35379,,               -118272,                -44154,,                              0.05,,                              0.05,,,,,,,,
1467,2015年01月01日至2015年03月31日,,              1637948,,              1337147,                300801,                300801,,                291376,                  9425,,,,                  2795,                  7648,                 10443,,                 -1502,,                 16276,                 16276,,                  1059,                 -1059,                 -8394,                  1031,,                 12141,                -11110,                -11110,,,               -104183,                              0,               -104183,               -104183,               -115293,,                  8242,                -19352,,                -87057,                -28236,,                              0.04,,,,,,,,,,
1467,2014年第3季,,              2191342,,              1819161,                372181,                372181,,                288770,                 83411,,,,                  2057,                  6502,                  8559,,                 -8466,,                 10964,                 10964,,                      2,                     -2,                -10873,                 72538,,                  6919,                 65619,                 65619,,,                  3681,                              0,                  3681,                  3681,                 69300,,                 73060,                 -7441,,                 65105,                  4195,,                              0.35,,                              0.35,,,,,,,,
1467,2014年第2季,,              1646836,,              1347026,                299810,                299810,,                293035,                  6775,,,,                  1626,                  6574,                  8200,,                  1018,,                 15780,                 15780,,                    639,                   -639,                 -7201,                   -426,,                  4103,                 -4529,                 -4529,,,                -59088,                              0,                -59088,                -59088,                -63617,,                  4530,                 -9059,,                -47232,                -16385,,                              0.02,,                              0.02,,,,,,,,
1467,2014年度,,              7185601,,              5802001,              1383600,              1383600,,              1252706,                130894,,,,                  9075,,                108410,,                -44895,,                 68191,                 68191,,,                 -1842,                 -6518,                124376,,                 60205,                 64171,                 64171,,,,,,                 78726,                142897,,                111589,                -47418,,                160973,                -18076,,                              0.57,,                              0.57,                 99335,                 -1842,                 70743,                  8016,                     33,                              0.57,,
1467,2014年01月01日至2014年09月30日,,              5330810,,              4358584,                972226,                972226,,                873508,                 98718,,,,                  5330,                 19571,                 24901,,                  1971,,                 44133,                 44133,,                    841,                   -841,                -18102,                 80616,,                 17307,                 63309,                 63309,,,                -29001,                              0,                -29001,                -29001,                 34308,,                 96162,                -32853,,                 61776,                -27468,,                              0.50,,                              0.50,,,,,,,,
1467,2014年01月01日至2014年06月30日,,              3139468,,              2539423,                600045,                600045,,                584738,                 15307,,,,                  3273,                 13069,                 16342,,                 10437,,                 33169,                 33169,,                    839,                   -839,                 -7229,                  8078,,                 10388,                 -2310,                 -2310,,,                -32682,                              0,                -32682,                -32682,                -34992,,                 23102,                -25412,,                 -3329,                -31663,,                              0.13,,                              0.13,,,,,,,,
1467,2014年01月01日至2014年03月31日,,              1492632,,              1192397,                300235,                300235,,                291703,                  8532,,,,                  1647,                  6495,                  8142,,                  9419,,                 17389,                 17389,,                    200,                   -200,                    -28,                  8504,,                  6285,                  2219,                  2219,,,                 26406,                              0,                 26406,                 26406,                 28625,,                 18572,                -16353,,                 43903,                -15278,,                              0.11,,,,,,,,,,
1467,2013年第3季,,              2002696,,              1627379,                375317,                375317,,                298228,                 77089,,,,                  1013,                  6509,                  7628,,                  6621,,                 10941,                 10941,,                    130,                   -130,                  3178,                 80267,,                 14375,                 65892,                 65892,,,,,,                -45018,                 20874,,                 69458,                 -3566,,                 25480,                 -4606,,                              0.41,,                              0.41,,,                -45018,,,                              0.41,                    106,                              0.41
1467,2013年第2季,,              1637830,,              1338284,                299546,                299546,,                265320,                 34226,,,,                  1096,                  8513,                  9609,,                  6440,,                 10409,                 10409,,                    693,                   -693,                  4947,                 39173,,                 12826,                 26347,                 26347,,,,,,               -171137,               -144790,,                 37121,                -10774,,               -131347,                -13443,,                              0.22,,                              0.22,,,               -171137,,,                              0.22,,                              0.22
1467,2013年度,,              7239346,,              5898819,              1340527,              1340527,,              1177538,                162989,,,,                  4210,,                 89525,,                -14275,,                 58903,                 58903,,,                 -1113,                 15234,                178223,,                 67192,                111031,                111031,,,,,,                -87594,                 23437,,                168707,                -57676,,                 48489,                -25052,,                              1.00,,                              1.00,                 85315,                 -1113,                -96166,                  8572,                              0,                              1.00,,
1467,2013年07月01日至2013年09月30日,,              2002696,,              1627379,                375317,                375317,,                298228,                 77089,,,,                  1013,,                  7628,,                  6491,,                 10941,                 10941,,,,                  3178,                 80267,,                 14375,                 65892,                 65892,,,,,,                -45018,                 20874,,                 69458,                 -3566,,                 25480,                 -4606,,                              0.41,,                              0.41,                  6615,,                -45018,,,,,
1467,2013年04月01日至2013年06月30日,,              1637830,,              1338284,                299546,                299546,,                265320,                 34226,,,,                  1096,,                  9609,,                  5747,,                 10409,                 10409,,,,                  4947,                 39173,,                 12826,                 26347,                 26347,,,,,,               -173923,               -147576,,                 37121,                -10774,,               -131347,                -16229,,                              0.22,,                              0.22,                  8513,,               -173923,,,,,
1467,2013年01月01日至2013年12月31日,,              7239346,,              5898819,              1340527,              1340527,,              1177538,                162989,,,,                  4210,,                 89525,,                -14275,,                 58903,                 58903,,,                 -1113,                 15234,                178223,,                 67192,                111031,                111031,,,,,,                -87594,                 23437,,                168706,                -57675,,                 48489,                -25052,,                              1.00,,                              1.00,                 85315,                 -1113,                -96166,                  8572,,,,
