證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1471,2015年第3季,,                434072,,                461413,                -27341,                -27341,,,                 11193,,                 49015,,                    277,                 60485,                -87826,,,                 10734,,                 33035,,                    305,                 43464,                -44362,,                    -36,                -44326,                -44326,,,                 54725,                -41052,                 13673,                 13673,                -30653,,                -44326,,                -30653,,                             -0.22,                             -0.22,,,,,,
1471,2015年第2季,,                441698,,                490367,                -48669,                -48669,,,                  9092,,                 47875,,                    382,                 57349,               -106018,,,                 11582,,                -10790,,                    133,                    659,               -105359,,                  1256,               -106615,               -106615,,,                -21782,                -14156,                -35938,                -35938,               -142553,,               -106615,,               -142553,,                             -0.53,                             -0.53,,,,,,
1471,2015年01月01日至2015年09月30日,,              1397314,,              1498661,               -101347,               -101347,,,                 28658,,                148934,,                  1157,                178749,               -280096,,,                 32251,,                 14504,,                  1128,                 45627,               -234469,,                    823,               -235292,               -235292,,,                 18754,                -43096,                -24342,                -24342,               -259634,,               -235292,,               -259634,,                             -1.17,                             -1.17,,,,,,
1471,2015年01月01日至2015年06月30日,,                963242,,              1037248,                -74006,                -74006,,,                 17465,,                 99919,,                    880,                118264,               -192270,,,                 21517,,                -18531,,                    823,                  2163,               -190107,,                    859,               -190966,               -190966,,,                -35971,                 -2044,                -38015,                -38015,               -228981,,               -190966,,               -228981,,                             -0.95,                             -0.95,,,,,,
1471,2015年01月01日至2015年03月31日,,                521544,,                546881,                -25337,                -25337,,,                  8373,,                 52044,,                    498,                 60915,                -86252,,,                  9935,,                 -7741,,                    690,                  1504,                -84748,,                   -397,                -84351,                -84351,,,                -14189,                 12112,                 -2077,                 -2077,                -86428,,                -84351,,                -86428,,                             -0.42,                             -0.42,,,,,,
1471,2014年第3季,,              1081162,,              1050378,                 30784,                 30784,,,                 12321,,                 50907,,                    210,                 63438,                -32654,,,                  8999,,                 30883,,                    213,                 39669,                  7015,,                  2429,                  4586,                  4586,,,                 44463,                 34240,                 78703,                 78703,                 83289,,                  4586,,                 83289,,                              0.02,                              0.02,,,,,,
1471,2014年第2季,,              1128075,,              1065151,                 62924,                 62924,,,                 16169,,                 51919,,                    289,                 68377,                 -5453,,,                 15562,,                -26590,,                  1037,                -12065,                -17518,,                  1712,                -19230,                -19230,,,                -28897,                              0,                -28897,                -28897,                -48127,,                -19230,,                -48127,,                             -0.10,                             -0.10,,,,,,
1471,2014年度,,              3857161,,              3759373,                 97788,                 97788,,,                 52954,,                217255,,                  2618,                272827,               -175039,,,                 49790,,                 59343,,                  3288,                105845,                -69194,,                  9446,                -78640,                -78640,,,,,,                 84716,                  6076,,                -78640,,                  6076,,                             -0.39,                             -0.39,                 54171,                 30150,                    395,,,
1471,2014年01月01日至2014年09月30日,,              3057845,,              2954564,                103281,                103281,,,                 43443,,                163380,,                  2237,                209060,               -105779,,,                 28103,,                 24072,,                  2324,                 49851,                -55928,,                  5448,                -61376,                -61376,,,                  6914,                 34240,                 41154,                 41154,                -20222,,                -61376,,                -20222,,                             -0.30,                             -0.30,,,,,,
1471,2014年01月01日至2014年06月30日,,              1976683,,              1904186,                 72497,                 72497,,,                 31122,,                112473,,                  2027,                145622,                -73125,,,                 19104,,                 -6811,,                  2111,                 10182,                -62943,,                  3019,                -65962,                -65962,,,                -37549,                              0,                -37549,                -37549,               -103511,,                -65962,,               -103511,,                             -0.33,                             -0.33,,,,,,
1471,2014年01月01日至2014年03月31日,,                848608,,                839035,                  9573,                  9573,,,                 14953,,                 60554,,                  1738,                 77245,                -67672,,,                  3542,,                 19779,,                  1074,                 22247,                -45425,,                  1307,                -46732,                -46732,,,                 -8652,                              0,                 -8652,                 -8652,                -55384,,                -46732,,                -55384,,                             -0.23,                             -0.23,,,,,,
1471,2013年第3季,,              1349719,,              1271732,                 77987,                 77987,,,                 19757,,                 61085,,                  3487,                 84329,                 -6342,,,                  3108,,                -15893,,                    969,                -13754,                -20096,,                    683,                -20779,                -20779,,,,,,                -14617,                -35396,,                -20779,,                -35396,,                             -0.10,                             -0.10,                -14617,                              0,,,,
1471,2013年第2季,,              1813991,,              1705473,                108518,                108518,,,                 20752,,                 57607,,                  3894,                 82253,                 26265,,,                  3461,,                 12011,,                    944,                 14528,                 40793,,                  6262,                 34531,                 34531,,,,,,                 22741,                 57272,,                 34531,,                 57272,,                              0.17,                              0.17,                 22741,,,,,
1471,2013年度,,              5655955,,              5334496,                321459,                321459,,,                 83444,,                252173,,                 13383,                349000,                -27541,,,                 28094,,                 37757,,                  3507,                 62344,                 34803,,                  3641,                 31162,                 31162,,,,,,                 81909,                113071,,                 31162,,                113071,,                              0.15,                              0.15,                 81623,                              0,                    286,,,
1471,2013年07月01日至2013年09月30日,,              1349719,,              1271732,                 77987,                 77987,,,                 19757,,                 61085,,                  3487,                 84329,                 -6342,,,                  3108,,                -15893,,                    969,                -13754,                -20096,,                    683,                -20779,                -20779,,,,,,                -14617,                -35396,,                -20779,,                -35396,,                             -0.10,                             -0.10,                -14617,                              0,,,,
1471,2013年04月01日至2013年06月30日,,              1813991,,              1705473,                108518,                108518,,,                 20752,,                 57607,,                  3894,                 82253,                 26265,,,                  3461,,                 12011,,                    944,                 14528,                 40793,,                  6262,                 34531,                 34531,,,,,,                 22741,                 57272,,                 34531,,                 57272,,                              0.17,                              0.17,                 22741,                              0,,,                              0.17,                              0.17
