證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他營業成本
1512,2015年第3季,,,                851148,,                    367,                851515,,,                763877,                763877,                 87638,                 87638,,,                 68992,,                 68725,,                    723,                138440,                -50802,,,                 10804,                 10804,,                 63076,,                 18769,                 55111,                  4309,,                  7484,                 -3175,                 -3175,,,                 39458,                -17671,                 -1180,                 22967,                 22967,                 19792,,                 -7078,                  3903,,                 10539,                  9253,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,
1512,2015年第2季,,,                820578,,                     44,                820622,,,                757365,                757365,                 63257,                 63257,,,                 63798,,                 77026,,                    703,                141527,                -78270,,,                  4993,                  4993,,                -11197,,                 19814,                -26018,               -104288,,                  5561,               -109849,               -109849,,,                -15620,                   -109,                 -6838,                 -8891,                 -8891,               -118740,,               -100175,                 -9674,,               -106977,                -11763,,                             -0.56,                             -0.56,,                             -0.56,                             -0.56,,,,,
1512,2015年01月01日至2015年09月30日,,,              2631263,,                    770,              2632033,,,              2354675,              2354675,                277358,                277358,,,                187094,,                220850,,                  2267,                410211,               -132853,,,                 19125,                 19125,,                 32056,,                 60615,                 -9434,               -142287,,                 29893,               -172180,               -172180,,,                 -2619,                -17769,                -12515,                 -7873,                 -7873,               -180053,,               -168656,                 -3524,,               -178831,                 -1222,,                             -0.93,                             -0.93,,                             -0.93,                             -0.93,,,,,
1512,2015年01月01日至2015年06月30日,,,              1780115,,                    403,              1780518,,,              1590798,              1590798,                189720,                189720,,,                118102,,                152125,,                  1544,                271771,                -82051,,,                  8321,                  8321,,                -31020,,                 41846,                -64545,               -146596,,                 22409,               -169005,               -169005,,,                -42077,                    -98,                -11335,                -30840,                -30840,               -199845,,               -161578,                 -7427,,               -189370,                -10475,,                             -0.89,                             -0.89,,                             -0.89,                             -0.89,,,,,
1512,2015年01月01日至2015年03月31日,,,                959537,,                    359,                959896,,,                833433,                833433,                126463,                126463,,,                 54304,,                 75099,,                    841,                130244,                 -3781,,,,                  3328,,                -19823,,                 22032,                -38527,                -42308,,                 16848,                -59156,                -59156,,,                -26457,                     11,                 -4497,                -21949,                -21949,                -81105,,                -61403,                  2247,,                -82393,                  1288,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,,,,
1512,2014年第3季,,,                905163,,                  1794,                906957,,,                820758,                820758,                 86199,                 86199,,,                 54752,,                 72430,,                    860,                128042,                -41843,,,                 10693,                 10693,,                 21647,,                 23692,                  8648,                -33195,,                 25967,                -59162,                -59162,,,                 31604,                    -70,                  5373,                 26161,                 26161,                -33001,,                -60445,                  1283,,                -35354,                  2353,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,,,,
1512,2014年第2季,,,                983166,,                    491,                983657,,,                863698,                863698,                119959,                119959,,,                 68874,,                 75578,,                    789,                145241,                -25282,,,                  4238,                  4238,,                -21596,,                 20159,                -37517,                -62799,,                  2949,                -65748,                -65748,,,                -33429,                     95,                 -5683,                -27651,                -27651,                -93399,,                -66199,                    451,,                -92722,                   -677,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,,,,,
1512,2014年度,,,              3933209,,                  3120,              3936329,,,              3521852,              3521852,                414477,                414477,,,                280516,,                292853,,                  3780,                577149,               -162672,,,                 25129,                 25129,,                 50845,,                 88497,                -12523,               -175195,,                 54297,               -229492,               -229492,,,,,,,                 58038,               -171454,,               -237172,                  7680,,               -182294,                 10840,,                             -1.30,                             -1.30,,                             -1.30,                             -1.30,                 98644,                    127,                -28872,                 11861,
1512,2014年01月01日至2014年09月30日,,,              2744432,,                  2581,              2747013,,,              2432661,              2432661,                314352,                314352,,,                207253,,                221114,,                  2843,                431210,               -116858,,,                 17511,                 17511,,                  5802,,                 64410,                -41097,               -157955,,                 43690,               -201645,               -201645,,,                 19611,                     85,                  3334,                 16362,                 16362,               -185283,,               -205527,                  3882,,               -189815,                  4532,,                             -1.13,                             -1.13,,                             -1.13,                             -1.13,,,,,
1512,2014年01月01日至2014年06月30日,,,              1839269,,                    787,              1840056,,,              1611903,              1611903,                228153,                228153,,,                152501,,                148684,,                  1983,                303168,                -75015,,,                  6818,                  6818,,                -15845,,                 40718,                -49745,               -124760,,                 17723,               -142483,               -142483,,,                -11993,                    155,                 -2039,                 -9799,                 -9799,               -152282,,               -145082,                  2599,,               -154461,                  2179,,                             -0.80,                             -0.80,,                             -0.80,                             -0.80,,,,,
