證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
1526,2015年第3季,,,,                233264,                              0,                      4,                233260,                233260,,                182615,                 50645,                 50645,,,                  7768,,                 16439,,                  4558,                 28765,                 21880,,,                    451,,                 34310,,                  1768,                 32993,                 54873,,                  6494,                 48379,,                              0,                 48379,,,                              0,                              0,,                  5196,                    883,                  4313,                  4313,                 52692,,                 48379,,                 52692,,                              0.97,,                              0.97,,,,,
1526,2015年第2季,,,,                256765,                              0,                     14,                256751,                256751,,                196558,                 60193,                 60193,,,                 10106,,                 18137,,                  5034,                 33277,                 26916,,,                    600,,                   -252,,                  1567,                 -1219,                 25697,,                  6370,                 19327,,                              0,                 19327,,,                              0,                              0,,                   -641,                   -109,                   -532,                   -532,                 18795,,                 19327,,                 18795,,                              0.39,,                              0.39,,,,,
1526,2015年第1季,,,,                199607,                    286,,                199321,                199321,,                153019,                 46302,                 46302,,,                  8335,,                 14633,,                  5103,                 28071,                 18231,,,                  1027,,                -10955,,                  1396,                -11324,                  6907,,                  2423,                  4484,,                              0,                  4484,,,                              0,                              0,,                   -530,                    -90,                   -440,                   -440,                  4044,,                  4484,,                  4044,,                              0.09,,                              0.09,,,,,
1526,2015年01月01日至2015年09月30日,,,,                689636,                    286,                     18,                689332,                689332,,                532192,                157140,                157140,,,                 26209,,                 49209,,                 14695,                 90113,                 67027,,,                  2078,,                 23103,,                  4731,                 20450,                 87477,,                 15287,                 72190,,                              0,                 72190,,,                              0,                              0,,                  4025,                    684,                  3341,                  3341,                 75531,,                 72190,,                 75531,,                              1.44,,                              1.44,,,,,
1526,2015年01月01日至2015年06月30日,,,,                456372,                    286,                     14,                456072,                456072,,                349577,                106495,                106495,,,                 18441,,                 32770,,                 10137,                 61348,                 45147,,,                  1627,,                -11207,,                  2963,                -12543,                 32604,,                  8793,                 23811,,                              0,                 23811,,,                              0,                              0,,                 -1171,                   -199,                   -972,                   -972,                 22839,,                 23811,,                 22839,,                              0.48,,                              0.48,,,,,
1526,2014年第3季,,,,                186536,                              0,                     86,                186450,                186450,,                144548,                 41902,                 41902,,,                  7736,,                 14932,,                  4524,                 27192,                 14710,,,                    695,,                   -246,,                  1256,                   -807,                 13903,,                  1886,                 12017,,                              0,                 12017,,,                     -7,                     -7,,                  1044,                    177,                    867,                    860,                 12877,,                 12017,,                 12877,,                              0.24,,                              0.24,,,,,
1526,2014年第2季,,,,                193919,                  1131,                      5,                192783,                192783,,                147756,                 45027,                 45027,,,                  7160,,                 15115,,                  4110,                 26385,                 18642,,,                    579,,                 -3342,,                  1373,                 -4136,                 14506,,                    966,                 13540,,                              0,                 13540,,,                     -8,                     -8,,                   -861,                   -213,                   -648,                   -656,                 12884,,                 13540,,                 12884,,                              0.27,,                              0.27,,,,,
1526,2014年第1季,,,,                172720,                              0,,                172720,                172720,,                134369,                 38351,                 38351,,,                  6322,,                 16255,,                  4012,                 26589,                 11762,,,                    673,,                  3277,,                  1423,                  2527,                 14289,,                  1562,                 12727,,                              0,                 12727,,,                     -7,                     -7,,                     57,                     10,                     47,                     40,                 12767,,                 12727,,                 12767,,                              0.25,,                              0.25,,,,,
1526,2014年度,,,,                761905,                  5811,                     93,                756001,                756001,,                581596,                174405,                174405,,,                 29407,,                 71351,,                 17062,                117820,                 56585,,,                  2576,,                  7122,,                  5267,                  4431,                 61016,,                  6711,                 54305,,,                 54305,,,,,,,,,                  1262,                 55567,,                 54305,,                 55567,,                              1.09,,                              1.09,                  1758,                   -318,                    178,,
1526,2014年01月01日至2014年09月30日,,,,                553175,                  1131,                     91,                551953,                551953,,                426673,                125280,                125280,,,                 21218,,                 46302,,                 12646,                 80166,                 45114,,,                  1947,,                   -311,,                  4052,                 -2416,                 42698,,                  4414,                 38284,,                              0,                 38284,,,                    -22,                    -22,,                    240,                    -26,                    266,                    244,                 38528,,                 38284,,                 38528,,                              0.76,,                              0.76,,,,,
1526,2014年01月01日至2014年06月30日,,,,                366639,                  1131,                      5,                365503,                365503,,                282125,                 83378,                 83378,,,                 13482,,                 31370,,                  8122,                 52974,                 30404,,,                  1252,,                    -65,,                  2796,                 -1609,                 28795,,                  2528,                 26267,,                              0,                 26267,,,                    -15,                    -15,,                   -804,                   -203,                   -601,                   -616,                 25651,,                 26267,,                 25651,,                              0.52,,                              0.52,,,,,
1526,2014年01月01日至2014年03月31日,,,,                172720,                              0,                              0,                172720,                172720,,                134369,                 38351,                 38351,,,                  6322,,                 16262,,                  4012,                 26596,                 11755,,,                    673,,                  3277,,                  1423,                  2527,                 14282,,                  1562,                 12720,,,                 12720,,,,,,,,,                     47,                 12767,,                 12720,,                 12767,,                              0.25,,                              0.25,                     57,,                     10,,
1526,2013年第3季,,,,                160851,                    515,                    202,                160134,                160134,,                128272,                 31862,                 31862,,,                  6204,,                 15256,,                  3357,                 24817,                  7045,,,                    680,,                    939,,                  1554,                     65,                  7110,,                    798,                  6312,,                              0,                  6312,,,,,,,,,                   -353,                  5959,,                  6312,,                  5959,,                              0.13,,                              0.13,                   -425,,                    -72,,
1526,2013年第2季,,,,                182310,                              0,                    579,                181731,                181731,,                145479,                 36252,                 36252,,,                  6679,,                 15203,,                  3354,                 25236,                 11016,,,                    812,,                  1503,,                  1676,                    639,                 11655,,                  1826,                  9829,,                              0,                  9829,,,,,,,,,                    437,                 10266,,                  9829,,                 10266,,                              0.19,,                              0.19,                    526,,                     89,,
1526,2013年度,,,,                713390,                  4989,                    829,                707572,                707572,,                563275,                144297,                144297,,,                 26826,,                 65688,,                 14495,                107009,                 37288,,,                  3588,,                  4712,,                  6548,                  1752,                 39040,,                  4035,                 35005,,,                 35005,,,,,,,,,                  3269,                 38274,,                 35005,,                 38274,,                              0.70,,                              0.70,                  2275,                  1664,                    670,,
1526,2013年07月01日至2013年09月30日,,,,                160851,                    515,                    202,                160134,                160134,,                128272,                 31862,                 31862,,,                  6204,,                 15256,,                  3357,                 24817,                  7045,,,                    680,,                    939,,                  1554,                     65,                  7110,,                    798,                  6312,,,                  6312,,,,,,,,,                   -353,                  5959,,                  6312,,                  5959,,                              0.13,,                              0.13,                   -425,,                    -72,                              0,                              0
1526,2013年04月01日至2013年06月30日,,,,                182310,                              0,                    579,                181731,                181731,,                145479,                 36252,                 36252,,,                  6679,,                 15203,,                  3354,                 25236,                 11016,,,                    812,,                  1503,,                  1676,                    639,                 11655,,                  1826,                  9829,,,                  9829,,,,,,,,,                    437,                 10266,,                  9829,,                 10266,,                              0.19,,                              0.19,                    526,,                     89,                              0,                              0
1526,2013年01月01日至2013年12月31日,,,,                713390,                  4989,                    829,                707572,                707572,,                563275,                144297,                144297,,,                 26826,,                 65688,,                 14495,                107009,                 37288,,,                  3588,,                  4712,,                  6548,                  1752,                 39040,,                  4035,                 35005,,                              0,                 35005,,,,,,,,,                  3269,                 38274,,                 35005,,                 38274,,                              0.70,,                              0.70,                  2275,                  1664,                    670,,
1526,2013年01月01日至2013年09月30日,,,,                512245,                  1113,                    800,                510332,                510332,,                408209,                102123,                102123,,,                 19273,,                 44282,,                 10284,                 73839,                 28284,,,                  2450,,                  2368,,                  5021,                   -203,                 28081,,                  2589,                 25492,,                              0,                 25492,,,,,,,,,                  1309,                 26801,,                 25492,,                 26801,,                              0.51,,                              0.51,                  1577,,                    268,                              0,                              0
1526,2013年01月01日至2013年06月30日,,,,                351394,                    598,                    598,                350198,                350198,,                279937,                 70261,                 70261,,,                 13069,,                 29026,,                  6927,                 49022,                 21239,,,                  1770,,                  1429,,                  3467,                   -268,                 20971,,                  1791,                 19180,,                              0,                 19180,,,,,,,,,                  1662,                 20842,,                 19180,,                 20842,,                              0.38,,                              0.38,                  2002,,                    340,,
1526,2013年01月01日至2013年03月31日,,,,                169084,                    598,                     19,                168467,                168467,,                134458,                 34009,                 34009,,,                  6390,,                 13823,,                  3573,                 23786,                 10223,,,                    958,,                    -74,,                  1791,                   -907,                  9316,,                    -35,                  9351,,,                  9351,,,,,,,,,                  1225,                 10576,,                  9351,,                 10576,,                              0.19,,                              0.19,                  1476,,                    251,,
1526,2012年07月01日至2012年09月30日,,,,                161061,                     85,                    409,                160567,                160567,,                128785,                 31782,                 31782,,,                  6083,,                 16418,,                  4179,                 26680,                  5102,,,                    808,,                    641,,                  1766,                   -317,                  4785,,                    541,                  4244,,,                  4244,,,,,,,,,                   -457,                  3787,,                  4244,,                  3787,,                              0.08,,                              0.08,                   -550,,                    -93,                              0,                              0
1526,2012年04月01日至2012年06月30日,,,,                177442,                  6799,                     47,                170596,                170596,,                138146,                 32450,                 32450,,,                  6516,,                 15020,,                  3557,                 25093,                  7357,,,                    774,,                 -3878,,                  1815,                 -4919,                  2438,,                 -1738,                  4176,,,                  4176,,,,,,,,,                    443,                  4619,,                  4176,,                  4619,,                              0.09,,                              0.09,                    533,,                     90,                              0,                              0
1526,2012年01月01日至2012年12月31日,,,,                654830,                  9788,                  1366,                643676,                643676,,                524487,                119189,                119189,,,                 25268,,                 59018,,                 15044,                 99330,                 19859,,,                  3458,,                 -2202,,                  7164,                 -5908,                 13951,,                    -24,                 13975,,                              0,                 13975,,,,,,,,,                    974,                 14949,,                 13975,,                 14949,,                              0.28,,                              0.28,                   -960,                  1771,                   -163,,
1526,2012年01月01日至2012年09月30日,,,,                486991,                  7198,                  1331,                478462,                478462,,                388470,                 89992,                 89992,,,                 19311,,                 45576,,                 10774,                 75661,                 14331,,,                  2337,,                 -3235,,                  5432,                 -6330,                  8001,,                 -1080,                  9081,,,                  9081,,,,,,,,,                   -788,                  8293,,                  9081,,                  8293,,                              0.18,,                              0.18,                   -949,,                   -161,                              0,                              0
1526,2012年01月01日至2012年06月30日,,,,                325930,                  7113,                    922,                317895,                317895,,                259685,                 58210,                 58210,,,                 13228,,                 29158,,                  6595,                 48981,                  9229,,,                  1529,,                 -3876,,                  3666,                 -6013,                  3216,,                 -1621,                  4837,,,                  4837,,,,,,,,,                   -331,                  4506,,                  4837,,                  4506,,                              0.10,,                              0.10,                   -399,,                    -68,                              0,                              0
1526,2012年01月01日至2012年03月31日,,,,                148488,                    314,                    875,                147299,                147299,,                121539,                 25760,                 25760,,,                  6712,,                 14138,,                  3038,                 23888,                  1872,,,                    755,,                      2,,                  1851,                 -1094,                    778,,                    117,                    661,,,                    661,,,,,,,,,                   -774,                   -113,,                    661,,                   -113,,                              0.01,,,                   -932,,                   -158,,
