證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 其他收入－其他
1532,2015年第3季,,              4441406,,              3262561,              1178845,              1178845,,,                138616,,                290603,                429219,,                  2548,                752174,,,                 16844,,                 60799,,                 36009,                 36009,,                -84385,                -42751,                709423,,                116771,                592652,                592652,,,                              0,                              0,,                503766,                    -22,                503744,                503744,              1096396,,                342428,                250224,,                640559,                455837,,                              0.87,,                              0.87,,,,,,,,
1532,2015年第2季,,              3744146,,              2968985,                775161,                775161,,,                161090,,                312169,                473259,,                  2343,                304245,,,                 58349,,                  7368,,                 32205,                 32205,,                 -9138,                 24374,                328619,,                 64412,                264207,                264207,,,                              0,                              0,,               -163660,                    -69,               -163729,               -163729,                100478,,                148336,                115871,,                 64220,                 36258,,                              0.38,,                              0.38,,,,,,,,
1532,2015年01月01日至2015年09月30日,,             12727606,,              9762115,              2965491,              2965491,,,                525615,,                925295,              1450910,,                  7203,              1521784,,,                104171,,                 64947,,                104412,                104412,,                -96077,                -31371,              1490413,,                254943,              1235470,              1235470,,,                              0,                              0,,                235910,                   -111,                235799,                235799,              1471269,,                720773,                514697,,                878362,                592907,,                              1.83,,                              1.83,,,,,,,,
1532,2015年01月01日至2015年06月30日,,              8286200,,              6499554,              1786646,              1786646,,,                386999,,                634692,              1021691,,                  4655,                769610,,,                 87327,,                  4148,,                 68403,                 68403,,                -11692,                 11380,                780990,,                138172,                642818,                642818,,,                              0,                              0,,               -267856,                    -89,               -267945,               -267945,                374873,,                378345,                264473,,                237803,                137070,,                              0.96,,                              0.96,,,,,,,,
1532,2015年01月01日至2015年03月31日,,              4542054,,              3530569,              1011485,              1011485,,,                225909,,                322523,                548432,,                  2312,                465365,,,                 28978,,                 -3220,,                 36198,                 36198,,                 -2554,                -12994,                452371,,                 73760,                378611,                378611,,,                              0,                              0,,               -104196,                    -20,               -104216,               -104216,                274395,,                230009,                148602,,                173583,                100812,,                              0.58,,                              0.58,,,,,,,,
1532,2014年第3季,,              3613056,,              2881064,                731992,                731992,,,                119541,,                332937,                452478,,                  2111,                281625,,,                 19894,,                 23234,,                 40448,                 40448,,                -13518,                -10838,                270787,,                 85263,                185524,                185524,,,                              0,                              0,,                259081,                    -42,                259039,                259039,                444563,,                 87855,                 97669,,                229588,                214975,,                              0.22,,                              0.22,,,,,,,,
1532,2014年第2季,,              3878767,,              3016118,                862649,                862649,,,                119694,,                346896,                466590,,                  1909,                397968,,,                 85472,,                -32266,,                 56582,                 56582,,                -21982,                -25358,                372610,,                259920,                112690,                112690,,,                              0,                              0,,               -198313,                     60,               -198253,               -198253,                -85563,,                -18271,                130961,,               -122203,                 36640,,                             -0.05,,                             -0.05,,,,,,,,
1532,2014年度,,             16933757,,             13104656,              3829101,              3829101,,,                546948,,              1407600,              1954548,,                  7574,              1882127,,,                194498,,               -108925,,                192663,                192663,,                -26114,               -133204,              1748923,,                569155,              1179768,              1179768,,,,,,,,,                415745,              1595513,,                534860,                644908,,                780407,                815106,,                              1.36,,                              1.36,                419942,                    -21,                 -4176,,,,,
1532,2014年01月01日至2014年09月30日,,             11181055,,              8780430,              2400625,              2400625,,,                359828,,                993451,              1353279,,                  5116,              1052462,,,                136489,,                -37038,,                154339,                154339,,                -54378,               -109266,                943196,,                455008,                488188,                488188,,,                              0,                              0,,                 54864,                    -20,                 54844,                 54844,                543032,,                155567,                332621,,                198150,                344882,,                              0.40,,                              0.39,,,,,,,,
1532,2014年01月01日至2014年06月30日,,              7567999,,              5899366,              1668633,              1668633,,,                240287,,                660514,                900801,,                  3005,                770837,,,                116595,,                -60272,,                113891,                113891,,                -40860,                -98428,                672409,,                369745,                302664,                302664,,,                              0,                              0,,               -204217,                     22,               -204195,               -204195,                 98469,,                 67712,                234952,,                -31438,                129907,,                              0.17,,                              0.17,,,,,,,,
