證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1558,2015年第3季,,              1738608,,              1270735,                467873,                467873,,,                 35103,,                 84943,,                 28068,                148114,                319759,,,                 19547,,                155024,,                    388,                174183,                493942,,                119581,                374361,                374361,,,                 30019,                  5103,                 24916,                 24916,                399277,,                372352,                  2009,,                397268,                  2009,,                              6.15,,                              6.13,,,,,
1558,2015年第2季,,              1595408,,              1176979,                418429,                418429,,,                 41648,,                 79766,,                 28418,                149832,                268597,,,                 11167,,                -18502,,                              0,                 -7335,                261262,,                 65253,                196009,                196009,,,                 -8115,                 -1379,                 -6736,                 -6736,                189273,,                193352,                  2657,,                186616,                  2657,,                              3.20,,                              3.19,,,,,
1558,2015年01月01日至2015年09月30日,,              4617882,,              3432885,              1184997,              1184997,,,                108942,,                249428,,                 82136,                440506,                744491,,,                 43987,,                120610,,                    388,                164209,                908700,,                220339,                688361,                688361,,,                 15618,                  2655,                 12963,                 12963,                701324,,                681595,                  6766,,                694558,                  6766,,                             11.26,,                             11.20,,,,,
1558,2015年01月01日至2015年06月30日,,              2879274,,              2162150,                717124,                717124,,,                 73839,,                164485,,                 54068,                292392,                424732,,,                 24440,,                -34414,,                              0,                 -9974,                414758,,                100758,                314000,                314000,,,                -14401,                 -2448,                -11953,                -11953,                302047,,                309243,                  4757,,                297290,                  4757,,                              5.11,,                              5.09,,,,,
1558,2015年01月01日至2015年03月31日,,              1283866,,                985171,                298695,                298695,,,                 32191,,                 84719,,                 25650,                142560,                156135,,,                 13273,,                -15912,,                              0,                 -2639,                153496,,                 35505,                117991,                117991,,,                 -6286,                 -1069,                 -5217,                 -5217,                112774,,                115891,                  2100,,                110674,                  2100,,                              1.91,,                              1.91,,,,,
1558,2014年第3季,,              1925540,,              1422061,                503479,                503479,,,                 39593,,                 85059,,                 28213,                152865,                350614,,,                  9190,,                 14874,,                              0,                 24064,                374678,,                 77360,                297318,                297318,,,                 25114,                  6139,                 18975,                 18975,                316293,,                295160,                  2158,,                314135,                  2158,,                              4.88,,                              4.87,,,,,
1558,2014年第2季,,              1489637,,              1121048,                368589,                368589,,,                 31678,,                 71261,,                 28118,                131057,                237532,,,                 10238,,                -19759,,                              0,                 -9521,                228011,,                 58581,                169430,                169430,,,                -11992,                   -995,                -10997,                -10997,                158433,,                167159,                  2271,,                156162,                  2271,,                              2.76,,                              2.76,,,,,
1558,2014年度,,              6246366,,              4733890,              1512476,              1512476,,,                129988,,                331056,,                108326,                569370,                943106,,,                 49255,,                 84838,,                    420,                133673,              1076779,,                239469,                837310,                837310,,,,,,                 43159,                880469,,                829346,                  7964,,                872505,                  7964,,                             13.70,,                             13.65,                 28995,                 23003,                  8839,,
1558,2014年01月01日至2014年09月30日,,              4652458,,              3503163,              1149295,              1149295,,,                106353,,                228487,,                 83645,                418485,                730810,,,                 29379,,                 29947,,                    146,                 59180,                789990,,                172907,                617083,                617083,,,                  5721,                  3886,                  1835,                  1835,                618918,,                610918,                  6165,,                612753,                  6165,,                             10.09,,                             10.05,,,,,
1558,2014年01月01日至2014年06月30日,,              2726918,,              2081102,                645816,                645816,,,                 66760,,                143428,,                 55432,                265620,                380196,,,                 20189,,                 15073,,                    146,                 35116,                415312,,                 95547,                319765,                319765,,,                -19393,                 -2253,                -17140,                -17140,                302625,,                315758,                  4007,,                298618,                  4007,,                              5.21,,                              5.20,,,,,
1558,2014年01月01日至2014年03月31日,,              1237281,,                960054,                277227,                277227,,,                 35082,,                 72167,,                 27314,                134563,                142664,,,                  9951,,                 34832,,                    146,                 44637,                187301,,                 36966,                150335,                150335,,,                 -7401,                 -1258,                 -6143,                 -6143,                144192,,                148599,                  1736,,                142456,                  1736,,                              2.45,,                              2.45,,,,,
1558,2013年第3季,,              1859498,,              1374321,                485177,                485177,,,                 35394,,                 73052,,                 27396,                135842,                349335,,,                  8368,,                -35550,,                    306,                -27488,                321847,,                 72013,                249834,                249834,,,,,,                  2528,                252362,,                246228,                  3606,,                248756,                  3606,,                              4.54,,                              4.53,                  3046,,                    518,,
1558,2013年第2季,,              1315400,,                981735,                333665,                333665,,,                 26039,,                 54944,,                 22933,                103916,                229749,,,                  5857,,                  9540,,                      9,                 15388,                245137,,                 57343,                187794,                187794,,,,,,                 12739,                200533,,                185444,                  2350,,                198183,                  2350,,                              3.42,,                              3.42,                 15349,,                  2610,,
1558,2013年度,,              5555076,,              4168762,              1386314,              1386314,,,                129340,,                300112,,                100344,                529796,                856518,,,                 65276,,                  2253,,                  1552,                 65977,                922495,,                203316,                719179,                719179,,,,,,                  4447,                723626,,                708132,                 11047,,                712579,                 11047,,                             13.05,,                             13.00,                    670,                  4688,                    911,,
1558,2013年07月01日至2013年09月30日,,              1859498,,              1374321,                485177,                485177,,,                 35394,,                 73052,,                 27396,                135842,                349335,,,                  8368,,                -35550,,                    306,                -27488,                321847,,                 72013,                249834,                249834,,,,,,                  2528,                252362,,                246228,                  3606,,                248756,                  3606,,                              4.54,,                              4.53,                  3046,,                    518,,                              0
1558,2013年04月01日至2013年06月30日,,              1315400,,                981735,                333665,                333665,,,                 26039,,                 54944,,                 22933,                103916,                229749,,,                  5857,,                  9540,,                      9,                 15388,                245137,,                 57343,                187794,                187794,,,,,,                 12739,                200533,,                185444,                  2350,,                198183,                  2350,,                              3.42,,                              3.42,                 15349,,                  2610,,                              0
1558,2013年01月01日至2013年12月31日,,              5555076,,              4168762,              1386314,              1386314,,,                129340,,                300112,,                100344,                529796,                856518,,,                 65276,,                  2253,,                  1552,                 65977,                922495,,                203316,                719179,                719179,,,,,,                  4447,                723626,,                708132,                 11047,,                712579,                 11047,,                             13.05,,                             13.00,                    670,                  4688,                    911,,                              0
1558,2013年01月01日至2013年09月30日,,              4292800,,              3220372,              1072428,              1072428,,,                 95794,,                184408,,                 73021,                353223,                719205,,,                 26181,,                   -220,,                    589,                 25372,                744577,,                163206,                581371,                581371,,,,,,                 37142,                618513,,                574363,                  7008,,                611505,                  7008,,                             10.59,,                             10.56,                 44750,,                  7608,,
1558,2013年01月01日至2013年06月30日,,              2433302,,              1846051,                587251,                587251,,,                 60400,,                111356,,                 45625,                217381,                369870,,,                 17813,,                 35330,,                    283,                 52860,                422730,,                 91193,                331537,                331537,,,,,,                 34614,                366151,,                328135,                  3402,,                362749,                  3402,,                              6.05,,                              6.04,                 41704,,                  7090,,
1558,2013年01月01日至2013年03月31日,,              1117902,,                864316,                253586,                253586,,,                 34361,,                 56412,,                 22692,                113465,                140121,,,                 12099,,                 25790,,                    417,                 37472,                177593,,                 33850,                143743,                143743,,,,,,                 21875,                165618,,                142691,                  1052,,                164566,                  1052,,                              2.63,,                              2.63,                 26355,,                  4480,,
1558,2012年07月01日至2012年09月30日,,              1512656,,              1128126,                384530,                384530,,,                 34057,,                 52243,,                 28846,                115146,                269384,,,                 12973,,                -20371,,                    981,                 -8379,                261005,,                 42974,                218031,                218031,,,,,,                 -5370,                212661,,                217389,                    642,,                212019,                    642,,                              4.15,,                              4.15,                 -6469,,                 -1099,,                              0
1558,2012年04月01日至2012年06月30日,,              1364410,,              1032133,                332277,                332277,,,                 23643,,                 78209,,                 28037,                129889,                202388,,,                 17803,,                 19426,,                    203,                 37742,                240130,,                 59723,                180407,                180407,,,,,,                  9411,                189818,,                182178,                 -1771,,                191589,                 -1771,,                              3.55,,                              3.54,                 11338,,                  1927,,                    716
1558,2012年01月01日至2012年12月31日,,              5056321,,              3823703,              1232618,              1232618,,,                128979,,                256892,,                109096,                494967,                737651,,,                 42837,,                -43516,,                  2711,                 -4727,                732924,,                144208,                588716,                588716,,,,,,                -16403,                572313,,                587836,                    880,,                571433,                    880,,                             11.13,,                             11.08,                 -4856,                -14906,                 -3359,,                 -1337
1558,2012年01月01日至2012年09月30日,,              3896876,,              2947627,                949249,                949249,,,                 92025,,                183162,,                 82032,                357219,                592030,,,                 32223,,                -33341,,                  2138,                 -4343,                587687,,                118423,                469264,                469264,,,,,,                -10549,                458715,,                469039,                    225,,                458490,                    225,,                              8.96,,                              8.95,                -12709,,                 -2160,,                 -1087
1558,2012年01月01日至2012年06月30日,,              2384220,,              1819501,                564719,                564719,,,                 57968,,                130919,,                 53186,                242073,                322646,,,                 19250,,                -12970,,                  1157,                  4036,                326682,,                 75449,                251233,                251233,,,,,,                 -5179,                246054,,                251650,                   -417,,                246471,                   -417,,                              4.90,,                              4.89,                 -6240,,                 -1061,,                 -1087
