證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 共同控制下前手權益（綜合損益）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1568,2015年第3季,,                593724,,                492761,                100963,                              0,                              0,                100963,,,                 23493,,                 24131,,                  9090,                 56714,,                              0,                 44249,,,,                    190,                    190,,                 24921,,                  4225,                 20886,                 65135,,                 11831,                 53304,,                     -6,                 53298,,,                 27008,                  3676,                 23332,                 23332,                 76630,,                 49922,                  3376,,                 67870,                  8760,,                              0.48,                              0.00,                              0.48,,                              0.48,                              0.00,                              0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2015年第2季,,                608235,,                513108,                 95127,,,                 95127,,,                 12767,,                 24042,,                  9402,                 46211,,                              0,                 48916,,,,                    264,                    264,,                  1605,,                  5019,                 -3150,                 45766,,                 15987,                 29779,,                   -313,                 29466,,,                 -7619,                 -1021,                 -6598,                 -6598,                 22868,,                 30189,                   -723,,                 25204,                 -2336,,                              0.30,                             -0.01,                              0.29,,                              0.29,                              0.00,                              0.29,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
1568,2015年01月01日至2015年09月30日,,              1738610,,              1456444,                282166,                              0,                              0,                282166,,,                 53305,,                 70296,,                 26866,                150467,,                              0,                131699,,,,                    617,                    617,,                 11954,,                 13610,                 -1039,                130660,,                 31487,                 99173,,                   -329,                 98844,,,                 13985,                  1927,                 12058,                 12058,                110902,,                 93563,                  5281,,                102970,                  7932,,                              0.91,                              0.00,                              0.91,,                              0.91,                             -0.01,                              0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2015年01月01日至2015年06月30日,,              1144886,,                963683,                181203,,,                181203,,,                 29812,,                 46165,,                 17776,                 93753,,                              0,                 87450,,,,                    427,                    427,,                -12967,,                  9385,                -21925,                 65525,,                 19656,                 45869,,                   -323,                 45546,,,                -13023,                 -1749,                -11274,                -11274,                 34272,,                 43641,                  1905,,                 35100,                   -828,,                              0.43,                             -0.01,                              0.42,,                              0.42,                              0.00,                              0.42,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
1568,2015年01月01日至2015年03月31日,,                536651,,                450575,                 86076,,,                 86076,,,                 17045,,                 22123,,                  8374,                 47542,,                              0,                 38534,,,,                    163,                    163,,                -14572,,                  4366,                -18775,                 19759,,                  3669,                 16090,,                    -10,                 16080,,,                 -5404,                   -728,                 -4676,                 -4676,                 11404,,                 13452,                  2628,,                  9896,                  1508,,                              0.13,,                              0.13,,                              0.13,,                              0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2014年第3季,,                565929,,                486778,                 79151,                              0,                              0,                 79151,,,                 17169,,                 21792,,                  7718,                 46679,,                              0,                 32472,,,,                    237,                    237,,                  6345,,                  3839,                  2743,                 35215,,                  6417,                 28798,,                 -1254,                 27544,,,                 10360,                  1380,                  8980,                  8980,                 36524,,                 27791,                   -247,,                 34529,                  1995,,                              0.28,                             -0.01,                              0.27,,                              0.28,                             -0.01,                              0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2014年第2季,,                534746,,                457301,                 77445,,,                 77445,,,                 17927,,                 27439,,                  9035,                 54401,,                              0,                 23044,,,,                    556,                    556,,                   -831,,                  5262,                 -5537,                 17507,,                    290,                 17217,,                 -5503,                 11714,,,                 -8113,                 -1098,                 -7015,                 -7015,                  4699,,                 11448,                    266,,                  6088,                 -1389,,                              0.15,                             -0.03,                              0.12,,                              0.15,                             -0.03,                              0.12,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
1568,2014年01月01日至2014年09月30日,,              1624424,,              1374719,                249705,                              0,                              0,                249705,,,                 48831,,                 74672,,                 22608,                146111,,                    158,                103752,,,,                  1177,                  1177,,                 10975,,                 14825,                 -2673,                101079,,                 15365,                 85714,,                 -6805,                 78909,,,                  3020,                    452,                  2568,                  2568,                 81477,,                 78855,                     54,,                 81065,                    412,,                              0.85,                             -0.04,                              0.81,,                              0.85,                             -0.04,                              0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2014年01月01日至2014年06月30日,,              1058495,,                887941,                170554,,,                170554,,,                 31662,,                 52880,,                 14890,                 99432,,                    158,                 71280,,,,                    940,                    940,,                  4630,,                 10986,                 -5416,                 65864,,                  8948,                 56916,,                 -5551,                 51365,,,                 -7340,                   -928,                 -6412,                 -6412,                 44953,,                 51064,                    301,,                 46536,                 -1583,,                              0.58,                             -0.04,                              0.54,,                              0.57,                             -0.03,                              0.54,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
1568,2014年01月01日至2014年03月31日,,                523749,,                430640,                 93109,,,                 93109,,,                 13735,,                 25441,,                  5855,                 45031,,                    158,                 48236,,,,                    384,                    384,,                  5461,,                  5724,                    121,                 48357,,                  8658,                 39699,,                    -48,                 39651,,,                    773,                    170,                    603,                    603,                 40254,,                 39616,                     35,,                 40448,                   -194,,                              0.43,,                              0.43,,                              0.43,,                              0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
