證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　 當期所得稅費用（利益）,　　　 採用權益法認列之關聯企業及合資利益之份額
1613,2015年第3季,,,,              9222447,              9222447,                 60424,                    400,              9161623,              9161623,,,              8959213,              8959213,              8959213,                202410,                              0,                              0,                202410,,,                 62816,,                 78065,,                  4827,                145708,                 56702,,,                 29303,,                -61829,,                146095,,                 -4740,               -183361,               -126659,,                 42023,                 42023,               -168682,               -168682,,,                -36262,                    -15,                -60912,                 -5387,                -91802,                -91802,               -260484,,               -166377,                 -2305,,               -260103,                   -381,,                             -0.73,                             -0.73,,,,,,,,,,,,,,,,,,,
1613,2015年第2季,,,,              9747097,              9747097,                 34925,                    100,              9712072,              9712072,,,              9474428,              9474428,              9474428,                237644,,,                237644,,,                 67935,,                 78148,,                  4464,                150547,                 87097,,,                 23050,,                -23560,,                111921,,                  3432,               -108999,                -21902,,                 13368,                 13368,                -35270,                -35270,,,                -10400,                    -41,                -30456,                 -4314,                -36583,                -36583,                -71853,,                -34215,                 -1055,,                -67797,                 -4056,,                             -0.15,                             -0.15,,,,,,,,,,,,,,,,,,,
1613,2015年01月01日至2015年09月30日,,,,             26896499,             26896499,                131899,                    500,             26764100,             26764100,,,             26246824,             26246824,             26246824,                517276,                              0,                              0,                517276,,,                186063,,                244492,,                 12190,                442745,                 74531,,,                 66756,,               -119523,,                388595,,                 -1208,               -442570,               -368039,,                 50728,                 50728,               -418767,               -418767,,,                -89626,                    -40,                -32609,                 -7145,               -115130,               -115130,               -533897,,               -410077,                 -8690,,               -523053,                -10844,,                             -1.80,                             -1.80,,,,,,,,,,,,,,,,,,,
1613,2015年01月01日至2015年06月30日,,,,             17674052,             17674052,                 71475,                    100,             17602477,             17602477,,,             17287611,             17287611,             17287611,                314866,,,                314866,,,                123247,,                166427,,                  7363,                297037,                 17829,,,                 37453,,                -57694,,                242500,,                  3532,               -259209,               -241380,,                  8705,                  8705,               -250085,               -250085,,,                -53364,                    -25,                 28303,                 -1758,                -23328,                -23328,               -273413,,               -243700,                 -6385,,               -262950,                -10463,,                             -1.07,                             -1.07,,,,,,,,,,,,,,,,,,,
1613,2015年01月01日至2015年03月31日,,,,              7926955,              7926955,                 36550,                              0,              7890405,              7890405,,,              7813183,              7813183,              7813183,                 77222,,,                 77222,,,                 55312,,                 88279,,                  2899,                146490,                -69268,,,                 14403,,                -34134,,                130579,,                    100,               -150210,               -219478,,                 -4663,                 -4663,               -214815,               -214815,,,                -42964,                     16,                 58759,                  2556,                 13255,                 13255,               -201560,,               -209485,                 -5330,,               -195153,                 -6407,,                             -0.92,                             -0.92,,,,,,,,,,,,,,,,,,,
1613,2014年第3季,,,,             11477531,             11477531,                 59987,                    159,             11417385,             11417385,,,             11183938,             11183938,             11183938,                233447,                              0,                              0,                233447,,,                 62801,,                 84667,,                 26916,                174384,                 59063,,,                 33380,,                -50072,,                113223,,                  8216,               -121699,                -62636,,                   -126,                   -126,                -62510,                -62510,,,                 66733,                     -3,               -100879,                 -3788,                -30361,                -30361,                -92871,,                -62627,                    117,,                -93383,                    512,,                             -0.28,                             -0.28,,,,,,,,,,,,,,,,,,,
1613,2014年第2季,,,,             12339438,             12339438,                 25395,                    429,             12313614,             12313614,,,             12116659,             12116659,             12116659,                196955,,,                196955,,,                 59535,,                 84568,,                 20146,                164249,                 32706,,,                 53509,,                  4717,,                109837,,                  3384,                -48227,                -15521,,                 22053,                 22053,                -37574,                -37574,,,                -75818,                    -15,                121707,                  4315,                 41559,                 41559,                  3985,,                -37855,                    281,,                  3413,                    572,,                             -0.17,                             -0.17,,,,,,,,,,,,,,,,,,,
1613,2014年度,,,,             46044046,             46044046,                163701,                              0,             45880345,             45880345,,,             45174747,             45174747,             45174747,                705598,,,                705598,,,                224012,,                291858,,                 73283,                589153,                116445,,,                104436,,                -85775,,                376911,,                 10538,               -347712,               -231267,,,                  1874,               -233141,               -233141,,,,,,,,                 20384,               -212757,,               -233461,                    320,,               -220500,                  7743,,                             -1.03,                             -1.03,,                 98999,                 98999,                  2444,                  2993,                              0,                              0,                 16919,                 63856,,                  5000,                121250,                    -46,               -106555,                  5021,                   -714,,,
1613,2014年01月01日至2014年09月30日,,,,             34156651,             34156651,                113232,                    912,             34042507,             34042507,,,             33412839,             33412839,             33412839,                629668,                              0,                              0,                629668,,,                175710,,                262147,,                 52047,                489904,                139764,,,                155220,,               -150741,,                348420,,                 10253,               -333688,               -193924,,                  3535,                  3535,               -197459,               -197459,,,                 36095,                    -20,                -52032,                   -942,                -15015,                -15015,               -212474,,               -198465,                  1006,,               -214048,                  1574,,                             -0.87,                             -0.87,,,,,,,,,,,,,,,,,,,
1613,2014年01月01日至2014年06月30日,,,,             22679120,             22679120,                 53245,                    753,             22625122,             22625122,,,             22228901,             22228901,             22228901,                396221,,,                396221,,,                112909,,                177480,,                 25131,                315520,                 80701,,,                121840,,               -100669,,                235197,,                  2037,               -211989,               -131288,,                  3661,                  3661,               -134949,               -134949,,,                -30638,                    -17,                 48847,                  2846,                 15346,                 15346,               -119603,,               -135838,                    889,,               -120665,                  1062,,                             -0.60,                             -0.60,,,,,,,,,,,,,,,,,,,
1613,2014年01月01日至2014年03月31日,,,,             10339682,             10339682,                 27850,                    324,             10311508,             10311508,,,             10112242,             10112242,             10112242,                199266,,,                199266,,,                 53374,,                 92912,,                  4985,                151271,                 47995,,,                 31929,,                -68984,,                125360,,                 -1347,               -163762,               -115767,,                -18392,                -18392,                -97375,                -97375,,,                 45180,                     -2,                -72860,                 -1469,                -26213,                -26213,               -123588,,                -97983,                    608,,               -124078,                    490,,                             -0.43,                             -0.43,,,,,,,,,,,,,,,,,,,
1613,2013年第3季,,,,             11259935,             11259935,                 67885,                    206,             11191844,             11191844,,,             11046727,             11046727,             11046727,                145117,,,                145117,,,                 55833,,                 89175,,                  4078,                149086,                 -3969,,,                 36562,,                119423,,                126261,,                   -135,                 29589,                 25620,,,                 15021,                 10599,                 10599,,,,,,,,                 39812,                 50411,,                -25070,                 35669,,                 50375,                     36,,                             -0.11,                             -0.11,,,,,,,,,,,,               -101441,                    -41,                145090,,                  3796,,,
1613,2013年第2季,,,,             11612715,             11612715,                 72411,                    183,             11540121,             11540121,,,             11348829,             11348829,             11348829,                191292,,,                191292,,,                 52084,,                 89985,,                  2057,                144126,                 47166,,,                 31994,,                 15332,,                124083,,                 -7968,                -84725,                -37559,,,                 22412,                -59971,                -59971,,,,,,,,                -11606,                -71577,,                -57581,                 -2390,,                -74114,                  2537,,,                             -0.25,,                 30554,                 30554,                  1440,,,,,,,,                 78908,                     10,                -94363,,                 -3839,                124083,                 22412,
1613,2013年度,,,,             44410717,             44410717,                324325,                    841,             44085551,             44085551,,,             43409053,             43409053,             43409053,                676498,,,                676498,,,                190466,,                333822,,                 21262,                545550,                130948,,,                159636,,                128679,,                485356,,                  2156,               -194885,                -63937,,,                 89703,               -153640,               -153640,,,,,,,,                161448,                  7808,,               -189175,                 35535,,                 -9758,                 17566,,                             -0.83,                             -0.83,,                140197,                140197,                  2537,                 16902,                129480,                    254,                  1055,                              0,,                              0,                144914,                     -8,                 14138,                  2175,                   -229,,,
1613,2013年07月01日至2013年09月30日,,,,             11259935,             11259935,                 67885,                    206,             11191844,             11191844,,,             11046727,             11046727,             11046727,                145117,,,                145117,,,                 55833,,                 93253,,,                149086,                 -3969,,,                 36562,,                119288,,                126261,,,                 29589,                 25620,,,                 15021,                 10599,                 10599,,,,,,,,                 39812,                 50411,,                -25070,                 35669,,                 50375,                     36,,,                             -0.11,,,,,,,,,,,,               -101441,                    -41,                141294,,,,                 15021,
1613,2013年04月01日至2013年06月30日,,,,             11612715,             11612715,                 72411,                    183,             11540121,             11540121,,,             11348829,             11348829,             11348829,                191292,,,                191292,,,                 52483,,                 91643,,,                144126,                 47166,,,                 31993,,                  9581,,                126299,,,                -84725,                -37559,,,                 22412,                -59971,                -59971,,,,,,,,                -11606,                -71577,,                -57581,                 -2390,,                -74114,                  2537,,                             -0.25,                             -0.25,,,,,                 31993,,,,,,,                 78908,                     10,                -90524,,,,,
1613,2013年01月01日至2013年12月31日,,,,             44410717,             44410717,                324325,                    841,             44085551,             44085551,,,,,             43409053,                676498,,,                676498,,,                190466,,                355084,,,                545550,                130948,,,                142734,,                161188,,                500963,,                  2156,               -194885,                -63937,,,                 89703,               -153640,               -153640,,,,,,,,                161448,                  7808,,               -189175,                 35535,,                 -9758,                 17566,,                             -0.83,                             -0.83,,,,,                142734,,,,,,,                144914,                     -8,                 14367,                  2175,,,                 89703,                  2156
1613,2013年01月01日至2013年09月30日,,,,             33288642,             33288642,                284574,                    517,             33003551,             33003551,,,             32496416,             32496416,             32496416,                507135,,,                507135,,,                146982,,                284265,,                  7437,                438684,                 68451,,,                100311,,                110056,,                387133,,                 -8853,               -185619,               -117168,,,                 50579,               -167747,               -167747,,,,,,,,                 82057,                -85690,,               -200090,                 32343,,                -97130,                 11440,,                             -0.88,                             -0.88,,,,,,,,,,,,                 87890,                    -26,                 -6819,,                 -1012,,,
1613,2013年01月01日至2013年06月30日,,,,             22028707,             22028707,                216689,                    311,             21811707,             21811707,,,             21449689,             21449689,             21449689,                362018,,,                362018,,,                 91149,,                195070,,                  3379,                289598,                 72420,,,                 63749,,                -10585,,                259654,,                 -8718,               -215208,               -142788,,,                 35558,               -178346,               -178346,,,,,,,,                 42245,               -136101,,               -175020,                 -3326,,               -147505,                 11404,,,                             -0.77,,                 62309,                 62309,                  1440,,,,,,,,                189331,                     15,               -151909,,                 -4808,                259654,                 35558,
1613,2013年01月01日至2013年03月31日,,,,             10415992,             10415992,                144278,                    128,             10271586,             10271586,,,             10100860,             10100860,             10100860,                170726,,,                170726,,,                 39065,,                105085,,                  1322,                145472,                 25254,,,                 31755,,                -25917,,                135571,,                   -750,               -130483,               -105229,,,                 13146,               -118375,               -118375,,,,,,,,                 53851,                -64524,,               -117439,                   -936,,                -73391,                  8867,,                             -0.52,                             -0.52,,,,,,,,,,,,                110423,                      5,                -57546,,                   -969,,                 13146,
1613,2012年07月01日至2012年09月30日,,,,             11525837,             11525837,                112234,                              0,             11413603,             11413603,,,             11255069,             11255069,             11255069,                158534,,,                158534,,,                 48643,,                105632,,,                154275,                  4259,,,                 28027,,                 12246,,                136703,,,                -96430,                -92171,,,                -13240,                -78931,                -78931,,,,,,,,                -74588,               -153519,,                -79072,                    141,,               -141434,                -12085,,,                             -0.35,,,,,,,,,,,,                -91523,                    -12,                 16947,,,,                -13240,
1613,2012年04月01日至2012年06月30日,,,,             12680611,             12680611,                103883,                              0,             12576728,             12576728,,,             12307102,             12307102,             12307102,                269626,,,                269626,,,                 50000,,                111494,,,                161494,                108132,,,                 52014,,                -33857,,                222036,,,               -203879,                -95747,,,                 -2155,                -93592,                -93592,,,,,,,,                  5045,                -88547,,                -92407,                 -1185,,                -90606,                  2059,,                             -0.41,                             -0.41,,,,,                 52014,,,,,,,                 38107,                     30,                -33092,,,,,
1613,2012年01月01日至2012年12月31日,,,,             46772053,             46772053,                529804,                  4316,             46237933,             46237933,,,,,             45377992,                859941,,,                859941,,,                175473,,                348815,,,                524288,                335653,,,                153880,,                 59701,,                736556,,                    607,               -522368,               -186715,,,                -26733,               -159982,               -159982,,,,,,,,               -106063,               -266045,,               -178969,                 18987,,               -263995,                 -2050,,                             -0.80,                             -0.80,,,,,                153880,,,,,,,               -118319,                     41,                 19200,                 -6985,,,                -26733,                    607
1613,2012年01月01日至2012年09月30日,,,,             35595265,             35595265,                338631,                              0,             35256634,             35256634,,,             34486109,             34486109,             34486109,                770525,,,                770525,,,                141640,,                310717,,,                452357,                318168,,,                125901,,                 13192,,                575386,,,               -436293,               -118125,,,                -28806,                -89319,                -89319,,,,,,,,               -126693,               -216012,,               -105690,                 16371,,               -207148,                 -8864,,,                             -0.47,,,,,,,,,,,,               -154312,                     70,                 27549,,,,                -28806,
1613,2012年01月01日至2012年06月30日,,,,             24069428,             24069428,                226397,                              0,             23843031,             23843031,,,             23231040,             23231040,             23231040,                611991,,,                611991,,,                 92997,,                205085,,,                298082,                313909,,,                 97874,,                    946,,                438683,,,               -339863,                -25954,,,                -15566,                -10388,                -10388,,,,,,,,                -52105,                -62493,,                -26618,                 16230,,                -65714,                  3221,,                             -0.12,                             -0.12,,,,,                 97874,,,,,,,                -62789,                     82,                 10602,,,,,
1613,2012年01月01日至2012年03月31日,,,,             11388817,             11388817,                122514,                              0,             11266303,             11266303,,,             10923938,             10923938,             10923938,                342365,,,                342365,,,,,,,,                136588,                205777,,,                 45860,,                 56812,,                238656,,,               -135984,                 69793,,,                -13411,                 83204,                 83204,,,,,,,,                -57150,                 26054,,                 65789,                 17415,,                 24892,                  1162,,                              0.29,                              0.29,,,,,,,,,,,,               -100896,                     52,                 43694,,,,,
