證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1707,2015年第3季,,              1728440,,                215326,              1513114,              1513114,,,                931913,,                100961,,                 22897,              1055771,                457343,,,                 23529,,                    459,,                  9160,                 14828,                472171,,                 79403,                392768,                392768,,,                 11605,                              0,                 11605,                 11605,                404373,,                261632,                131136,,                273237,                131136,,                              2.01,,                              1.98,,,
1707,2015年第2季,,              1858141,,                223837,              1634304,              1634304,,,              1075042,,                109498,,                 21559,              1206099,                428205,,,                 22430,,                    -36,,                  2921,                 19473,                447678,,                 90782,                356896,                356896,,,                 -4031,                              0,                 -4031,                 -4031,                352865,,                244327,                112569,,                240296,                112569,,                              1.87,,                              1.87,,,
1707,2015年01月01日至2015年09月30日,,              5237333,,                631556,              4605777,              4605777,,,              2950187,,                294860,,                 76487,              3321534,              1284243,,,                 66592,,                    384,,                 12101,                 54875,              1339118,,                242420,              1096698,              1096698,,,                  4878,                              0,                  4878,                  4878,              1101576,,                743749,                352949,,                748627,                352949,,                              5.71,,                              5.66,,,
1707,2015年01月01日至2015年06月30日,,              3508893,,                416230,              3092663,              3092663,,,              2018274,,                193899,,                 53590,              2265763,                826900,,,                 43063,,                    -75,,                  2941,                 40047,                866947,,                163017,                703930,                703930,,,                 -6727,                              0,                 -6727,                 -6727,                697203,,                482117,                221813,,                475390,                221813,,                              3.70,,                              3.68,,,
1707,2015年01月01日至2015年03月31日,,              1650752,,                192393,              1458359,              1458359,,,                943232,,                 84401,,                 32031,              1059664,                398695,,,                 20633,,                    -39,,                     20,                 20574,                419269,,                 72235,                347034,                347034,,,                 -2696,                              0,                 -2696,                 -2696,                344338,,                237790,                109244,,                235094,                109244,,                              1.83,,                              1.81,,,
1707,2014年第3季,,              1510096,,                176612,              1333484,              1333484,,,                789901,,                123338,,                 18868,                932107,                401377,,,                 19134,,                  9382,,                     21,                 28495,                429872,,                 68333,                361539,                361539,,,                 -3119,                   -530,                 -2589,                 -2589,                358950,,                245832,                115707,,                243243,                115707,,                              1.89,,                              1.89,,,
1707,2014年第2季,,              1629151,,                204647,              1424504,              1424504,,,                931263,,                104039,,                 11374,              1046676,                377828,,,                 17751,,                 -8337,,                     20,                  9394,                387222,,                 77771,                309451,                309451,,,                  2151,                    366,                  1785,                  1785,                311236,,                210649,                 98802,,                212434,                 98802,,                              1.62,,                              1.62,,,
1707,2014年度,,              6282859,,                721624,              5561235,              5561235,,,              3416177,,                461010,,                 84256,              3961443,              1599792,,,                 91820,,                 -2308,,                     86,                 89426,              1689218,,                302705,              1386513,              1386513,,,,,,                  7702,              1394215,,                942483,                444030,,                950233,                443982,,                              7.24,,                              7.20,                  8300,                   -234,                    364
1707,2014年01月01日至2014年09月30日,,              4524940,,                536546,              3988394,              3988394,,,              2488002,,                318493,,                 64101,              2870596,              1117798,,,                 52637,,                 -2350,,                     61,                 50226,              1168024,,                208330,                959694,                959694,,,                   -565,                    -96,                   -469,                   -469,                959225,,                651093,                308601,,                650624,                308601,,                              5.00,,                              4.98,,,
1707,2014年01月01日至2014年06月30日,,              3014845,,                360323,              2654522,              2654522,,,              1698101,,                195177,,                 45233,              1938511,                716011,,,                 33524,,                -11343,,                     40,                 22141,                738152,,                139997,                598155,                598155,,,                  2554,                    434,                  2120,                  2120,                600275,,                405261,                192894,,                407381,                192894,,                              3.11,,                              3.11,,,
1707,2014年01月01日至2014年03月31日,,              1385694,,                155676,              1230018,              1230018,,,                766838,,                 91138,,                 33859,                891835,                338183,,,                 15773,,                 -3006,,                     20,                 12747,                350930,,                 62226,                288704,                288704,,,                    403,                     68,                    335,                    335,                289039,,                194612,                 94092,,                194947,                 94092,,                              1.49,,                              1.49,,,
1707,2013年第3季,,              1385842,,                149749,              1236093,              1236093,,,                762239,,                 91064,,                 26470,                879773,                356320,,,                 17327,,                 -4484,,                     25,                 12818,                369138,,                 64889,                304249,                304249,,,,,,                    678,                304927,,                205910,                 98339,,                206588,                 98339,,                              1.58,,                              1.58,                    817,,                    139
1707,2013年第2季,,              1518923,,                181148,              1337775,              1337775,,,                923366,,                 90311,,                 17177,              1030854,                306921,,,                 16446,,                  8031,,                     37,                 24440,                331361,,                 58410,                272951,                272951,,,,,,                 -1156,                271795,,                200951,                 72000,,                199795,                 72000,,                              1.54,,,                 -1393,,                   -237
1707,2013年度,,              5639456,,                656433,              4983023,              4983023,,,              3206990,,                354139,,                 91965,              3653094,              1329929,,,                 73354,,                 24128,,                    132,                 97350,              1427279,,                245850,              1181429,              1181429,,,,,,                  4709,              1186138,,                835762,                345667,,                840428,                345710,,                              6.42,,                              6.39,                 -4693,                 10366,                    964
1707,2013年07月01日至2013年09月30日,,              1389154,,                149926,              1239228,              1239228,,,                762239,,                 91064,,                 26470,                879773,                359455,,,                 14015,,                 -4307,,                     25,                  9683,                369138,,                 64889,                304249,                304249,,,,,,                    678,                304927,,                205910,                 98339,,                206588,                 98339,,                              1.58,,,                    817,,                    139
1707,2013年04月01日至2013年06月30日,,              1518923,,                181148,              1337775,              1337775,,,                923366,,                 90311,,                 17177,              1030854,                306921,,,                 16446,,                  8031,,                     37,                 24440,                331361,,                 58410,                272951,                272951,,,,,,                 -1156,                271795,,                200951,                 72000,,                199795,                 72000,,                              1.54,,,                 -1393,,                   -237
1707,2013年01月01日至2013年12月31日,,              5652413,,                657393,              4995020,              4995020,,,              3206990,,                354139,,                 91965,              3653094,              1341926,,,                 60397,,                 25088,,                    132,                 85353,              1427279,,                245850,              1181429,              1181429,,,,,,                  4709,              1186138,,                835762,                345667,,                840428,                345710,,                              6.42,,,                 -4693,                 10366,                    964
1707,2013年01月01日至2013年09月30日,,              4126706,,                484457,              3642249,              3642249,,,              2420743,,                255308,,                 58131,              2734182,                908067,,,                 54776,,                 16735,,                    103,                 71408,                979475,,                168823,                810652,                810652,,,,,,                 -2588,                808064,,                580032,                230620,,                577444,                230620,,                              4.45,,                              4.44,                 -3118,,                   -530
1707,2013年01月01日至2013年06月30日,,              2746876,,                335066,              2411810,              2411810,,,              1658504,,                164244,,                 31661,              1854409,                557401,,,                 31437,,                 21577,,                     78,                 52936,                610337,,                103934,                506403,                506403,,,,,,                 -3266,                503137,,                374122,                132281,,                370856,                132281,,                              2.87,,,                 -3935,,                   -669
1707,2013年01月01日至2013年03月31日,,              1227953,,                153918,              1074035,              1074035,,,                735137,,                 74079,,                 14484,                823700,                250335,,,                 15137,,                 13546,,                     41,                 28642,                278977,,                 45525,                233452,                233452,,,,,,                 -2110,                231342,,                173171,                 60281,,                171061,                 60281,,                              1.33,,,                 -2542,,                   -432
1707,2012年07月01日至2012年09月30日,,              1161059,,                149144,              1011915,              1011915,,,                624554,,                107304,,                 16122,                747980,                263935,,,                 10788,,                    -92,,                    461,                 10235,                274170,,                 58118,                216052,                216052,,,,,,                    555,                216607,,                155090,                 60962,,                155645,                 60962,,                              1.19,,,                    668,,                    113
1707,2012年04月01日至2012年06月30日,,              1158422,,                147885,              1010537,              1010537,,,                540772,,                214073,,                 33261,                788106,                222431,,,                 13876,,                   -613,,                    467,                 12796,                235227,,                 38628,                196599,                196599,,,,,,                    -94,                196505,,                138761,                 57838,,                138667,                 57838,,                              1.07,,,                   -114,,                    -20
1707,2012年01月01日至2012年12月31日,,              4611719,,                583533,              4028186,              4028186,,,              2447363,,                534545,,                 77654,              3059562,                968624,,,                 53063,,                 -4138,,                  1839,                 47086,              1015710,,                179714,                835996,                835996,,,,,,                    982,                836978,,                608381,                227615,,                609477,                227501,,                              4.67,,,                  2315,                 -1132,                    201
1707,2012年01月01日至2012年09月30日,,              3300623,,                418976,              2881647,              2881647,,,              1732373,,                380531,,                 61698,              2174602,                707045,,,                 40410,,                 -5535,,                  1383,                 33492,                740537,,                132555,                607982,                607982,,,,,,                  1945,                609927,,                442943,                165039,,                444888,                165039,,                              3.40,,,                  2343,,                    398
