證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 金融資產減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 銷貨退回,　　　 銷貨折讓,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1711,2015年第3季,,,,              2269669,              2269669,              2269669,              2269669,,,              1710733,              1710733,              1710733,                558936,                558936,,,                196965,,                 98663,,                 98493,                394121,                164815,,,,                  1186,                  1186,                 56661,                 57847,,                   -273,                              0,                 21878,                  1396,,                              0,                              0,                -13636,                 36637,,                 13350,                 13350,,                 -8251,                              0,                 -8251,                 72883,                237698,,                 49603,                 49603,                188095,                188095,,,                 68553,               -150788,,                   -671,                -82906,                -82906,                105189,,                187848,                    247,,                 97542,                  7647,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,,,,,,,,,,
1711,2015年第2季,,,,              2464246,              2464246,              2464246,              2464246,,,              1920813,              1920813,              1920813,                543433,                543433,,,                213018,,                 96849,,                 98745,                408612,                134821,,,,                  1794,                  1794,                    617,                  2411,,                    -37,                              0,                  7568,                 -2655,,,,                -11949,                 16825,,                 12907,                 12907,,                 -4363,                              0,                 -4363,                  1966,                136787,,                 18031,                 18031,                118756,                118756,,,                -18305,                 18653,,,                    348,                    348,                119104,,                114316,                  4440,,                116428,                  2676,,                              0.22,                              0.22,,                              0.22,                              0.22,,                              0,                              0,,,,,,,,,,,,,,,
1711,2015年01月01日至2015年09月30日,,,,              7166771,              7166771,              7166771,              7166771,,,              5491831,              5491831,              5491831,              1674940,              1674940,,,                598272,,                287570,,                289720,              1175562,                499378,,,,                  3927,                  3927,                 57278,                 61205,,                 10065,                              0,                 16928,                 -2583,,                              0,                              0,                -34240,                 58650,,                 39022,                 39022,,                -17734,                              0,                -17734,                 63099,                562477,,                107797,                107797,                454680,                454680,,,                 28515,               -133646,,                   -671,               -105802,               -105802,                348878,,                447016,                  7664,,                336923,                 11955,,                              0.86,                              0.86,,                              0.85,                              0.85,,,,,,,,,,,,,,,,,,
1711,2015年01月01日至2015年06月30日,,,,              4897102,              4897102,              4897102,              4897102,,,              3781098,              3781098,              3781098,              1116004,              1116004,,,                401307,,                188907,,                191227,                781441,                334563,,,,                  2741,                  2741,                    617,                  3358,,                 10338,                              0,                 -4950,                 -3979,,,,                -20604,                 22013,,                 25672,                 25672,,                 -9483,                              0,                 -9483,                 -9784,                324779,,                 58194,                 58194,                266585,                266585,,,                -40038,                 17142,,,                -22896,                -22896,                243689,,                259168,                  7417,,                239381,                  4308,,                              0.50,                              0.50,,                              0.50,                              0.50,,                              0,                              0,,,,,,,,,,,,,,,
1711,2015年01月01日至2015年03月31日,,,,              2439792,              2439792,              2432856,              2432856,,,              1860285,              1860285,              1860285,                572571,                572571,,,                188289,,                 92058,,                 92482,                372829,                199742,,,,                    947,                    947,,                    947,,                 10375,                              0,                              0,,,,,                 -8655,                  5188,,                 12765,                 12765,,                 -5120,,                 -5120,                -11750,                187992,,                 40163,                 40163,                147829,                147829,,,                -21733,                 -1511,,,                -23244,                -23244,                124585,,                144852,                  2977,,                122953,                  1632,,                              0.29,                              0.29,,                              0.29,                              0.29,,                              0,                              0,                  4098,                  2838,,                              0,                              0,                              0,                 12518,                  1324,,,,,,,
1711,2014年第3季,,,,              2395979,              2395979,              2395979,              2395979,,,              1862436,              1862436,              1862436,                533543,                533543,,,                187166,,                116366,,                 97157,                400689,                132854,,,,                  1609,                  1609,                 42130,                 43739,,                    155,                              0,                -10070,                  1836,,                              0,                              0,                -22764,                 14685,,                 14431,                 14431,,                 -6009,                              0,                 -6009,                 37984,                170838,,                 24707,                 24707,                146131,                146131,,,                 29900,               -214389,,                   -421,               -184910,               -184910,                -38779,,                147261,                 -1130,,                -40249,                  1470,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,,,,,,,,,,,,,
1711,2014年第2季,,,,              2842628,              2842628,              2842628,              2842628,,,              2112761,              2112761,              2112761,                729867,                729867,,,                200845,,                106880,,                 94160,                401885,                327982,,,,                  1581,                  1581,                              0,                  1581,,                   -617,                              0,                   -641,                  2227,,,,                 -5001,                  5970,,                 12743,                 12743,,                   -497,                              0,                   -497,                 -5689,                322293,,                 70233,                 70233,                252060,                252060,,,                -27324,                106041,,,                 78717,                 78717,                330777,,                245917,                  6143,,                327128,                  3649,,                              0.47,                              0.47,,                              0.47,                              0.47,,                              0,                              0,,,,,,,,,,,,,,,
1711,2014年度,,,,              9899878,              9899878,              9899878,              9899878,,,              7651988,              7651988,              7651988,              2247890,              2247890,,,                743696,,                451929,,                374965,              1570590,                677300,,,,                  5246,                  5246,                 45154,                 50400,,,                 11235,                  3858,                     16,,,,                -63146,                 74659,,                 53610,                 53610,,                              0,                    399,                   -399,                 71050,                748350,,,                160124,                588226,                588226,,,,,,,,                 70508,                658734,,                578435,                  9791,,                642764,                 15970,,                              1.16,                              1.16,,                              1.16,                              1.16,,                  2394,                  2394,,,,,                  1202,                              0,,,                160124,                 52857,                 21067,                 -5575,,                  1211,                   -948
1711,2014年01月01日至2014年09月30日,,,,              7581023,              7581023,              7581023,              7581023,,,              5746696,              5746696,              5746696,              1834327,              1834327,,,                549678,,                335117,,                274354,              1159149,                675178,,,,                  4802,                  4802,                 42130,                 46932,,                   -425,                 11235,                 -2369,                 -1393,,                              0,                              0,                -39781,                 46829,,                 40252,                 40252,,                  2352,                              0,                  2352,                 55861,                731039,,                134189,                134189,                596850,                596850,,,                  8113,                 35810,,                   -421,                 43502,                 43502,                640352,,                584753,                 12097,,                626135,                 14217,,                              1.12,                              1.12,,                              1.12,                              1.12,,,,,,,,,,,,,,,,,,
1711,2014年01月01日至2014年06月30日,,,,              5185044,              5185044,              5185044,              5185044,,,              3884260,              3884260,              3884260,              1300784,              1300784,,,                362512,,                218751,,                177197,                758460,                542324,,,,                  3193,                  3193,                              0,                  3193,,                   -580,                 11235,                  7701,                 -3229,,,,                -17017,                 32144,,                 25821,                 25821,,                  8361,                              0,                  8361,                 17877,                560201,,                109482,                109482,                450719,                450719,,,                -21787,                250199,,,                228412,                228412,                679131,,                437492,                 13227,,                666384,                 12747,,                              0.84,                              0.84,,                              0.84,                              0.84,,                              0,                              0,,,,,,,,,,,,,,,
