證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益
1725,2015年第3季,,,              2283739,              2283739,,,              2168583,              2168583,                115156,                115156,,,                 31530,,                 29414,                 60944,                 54212,,,                 36860,,                 26762,,                  3133,                 60489,                114701,,                 10655,                104046,                104046,,,                 11460,               -182209,                  1949,               -172698,               -172698,                -68652,,                104046,                              0,,                -68652,                              0,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,
1725,2015年第2季,,,              2310080,              2310080,,,              2221697,              2221697,                 88383,                 88383,,,                 28648,,                 26947,                 55595,                 32788,,,                  3141,,                  6869,,                  3522,                  6488,                 39276,,                  9263,                 30013,                 30013,,,                 -4636,                 -2005,                   -788,                 -5853,                 -5853,                 24160,,                 30013,                              0,,                 24160,                              0,,                              0.17,                              0.17,,                              0.16,                              0.16,,,,,,
1725,2015年01月01日至2015年09月30日,,,              6893916,              6893916,,,              6587848,              6587848,                306068,                306068,,,                 92749,,                 84062,                176811,                129257,,,                 42624,,                 32185,,                 10215,                 64594,                193851,,                 25866,                167985,                167985,,,                   -526,               -167078,                    -89,               -167515,               -167515,                    470,,                167985,                              0,,                    470,                              0,,                              0.92,                              0.92,,                              0.92,                              0.92,,,,,,
1725,2015年01月01日至2015年06月30日,,,              4610177,              4610177,,,              4419265,              4419265,                190912,                190912,,,                 61219,,                 54648,                115867,                 75045,,,                  5764,,                  5423,,                  7082,                  4105,                 79150,,                 15211,                 63939,                 63939,,,                -11986,                 15131,                 -2038,                  5183,                  5183,                 69122,,                 63939,                              0,,                 69122,                              0,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,,
1725,2015年01月01日至2015年03月31日,,,              2300097,              2300097,,,              2197568,              2197568,                102529,                102529,,,                 32571,,                 27701,                 60272,                 42257,,,                  2623,,                 -1446,,                  3560,                 -2383,                 39874,,                  5948,                 33926,                 33926,,,                 -7350,                 17136,                 -1250,                 11036,                 11036,                 44962,,                 33926,                              0,,                 44962,                              0,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,
1725,2014年第3季,,,              2846156,              2846156,,,              2706937,              2706937,                139219,                139219,,,                 31574,,                 29374,                 60948,                 78271,,,                 40659,,                -19095,,                  4825,                 16739,                 95010,,                  9694,                 85316,                 85316,,,                  8695,                 16621,                  1478,                 23838,                 23838,                109154,,                 85316,                              0,,                109154,                              0,,                              0.47,                              0.47,,                              0.47,                              0.47,,,,,,
1725,2014年第2季,,,              2662430,              2662430,,,              2569525,              2569525,                 92905,                 92905,,,                 27519,,                 26457,                 53976,                 38929,,,                  2622,,                 -9403,,                  4419,                -11200,                 27729,,                  7929,                 19800,                 19800,,,                 -9375,                119053,                 -1593,                111271,                111271,                131071,,                 19800,                              0,,                131071,                              0,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,
1725,2014年度,,,             10472666,             10472666,,,             10058582,             10058582,                414084,                414084,,,                126596,,                109886,                236482,                177602,,,                 50682,,                 -6918,,                 16683,                 27081,                204683,,                 32984,                171699,                171699,,,,,,,                 97024,                268723,,                171699,                              0,,                268723,                              0,,                              0.94,                              0.94,,                              0.94,                              0.94,                 27343,                 74143,                    186,                 -4648,,
1725,2014年01月01日至2014年09月30日,,,              7889031,              7889031,,,              7576744,              7576744,                312287,                312287,,,                 85263,,                 82821,                168084,                144203,,,                 48351,,                -18558,,                 13504,                 16289,                160492,,                 23962,                136530,                136530,,,                  5419,                 94551,                    921,                 99049,                 99049,                235579,,                136530,                              0,,                235579,                              0,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,,,
1725,2014年01月01日至2014年06月30日,,,              5042875,              5042875,,,              4869807,              4869807,                173068,                173068,,,                 53689,,                 53447,                107136,                 65932,,,                  7692,,                    537,,                  8679,                   -450,                 65482,,                 14268,                 51214,                 51214,,,                 -3276,                 77930,                   -557,                 75211,                 75211,                126425,,                 51214,                              0,,                126425,                              0,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,
