證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 繼續營業單位淨利（淨損）,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2010,2015年第3季,,              3997660,,              3752709,                244951,                244951,,,                 93614,,                101900,                195514,                 49437,,,                 47206,,                -24273,,                 11891,,                 15036,                 26078,                 75515,,                 16362,                 59153,                 59153,,,                105868,                -44572,                 61296,                 61296,                120449,,                 73490,                -14337,,                148525,                -28076,,                              0.11,,                              0.11,,,,,,,,
2010,2015年第2季,,              4179834,,              3912894,                266940,                266940,,,                118941,,                109114,                228055,                 38885,,,                 44572,,                  4622,,                 12552,,                 31899,                 68541,                107426,,                 18343,                 89083,                 89083,,,                -39094,                -12420,                -51514,                -51514,                 37569,,                101069,                -11986,,                 49472,                -11903,,                              0.16,,                              0.16,,,,,,,,
2010,2015年01月01日至2015年09月30日,,             12315334,,             11545347,                769987,                769987,,,                288685,,                352799,                641484,                128503,,,                152517,,                -12740,,                 39020,,                 63177,                163934,                292437,,                 43023,                249414,                249414,,,                 39330,                -31420,                  7910,                  7910,                257324,,                281267,                -31853,,                301959,                -44635,,                              0.43,,                              0.43,,,,,,,,
2010,2015年01月01日至2015年06月30日,,              8317674,,              7792638,                525036,                525036,,,                195071,,                250899,                445970,                 79066,,,                105311,,                 11533,,                 27129,,                 48141,                137856,                216922,,                 26661,                190261,                190261,,,                -66538,                 13152,                -53386,                -53386,                136875,,                207777,                -17516,,                153434,                -16559,,                              0.32,,                              0.32,,,,,,,,
2010,2015年01月01日至2015年03月31日,,              4137840,,              3879744,                258096,                258096,,,                 76130,,                141785,                217915,                 40181,,,                 60739,,                  6911,,                 14577,,                 16242,                 69315,                109496,,                  8318,                101178,                101178,,,                -27444,                 25572,                 -1872,                 -1872,                 99306,,                106708,                 -5530,,                103962,                 -4656,,                              0.16,,                              0.16,,,,,,,,
2010,2014年第3季,,              5286839,,              4934183,                352656,                352656,,,                115662,,                115915,                231577,                121079,,,                 34372,,                 -5025,,                 18491,,                 17462,                 28318,                149397,,                  6711,                142686,                142686,,,                 73988,                -23963,                 50025,                 50025,                192711,,                152060,                 -9374,,                197629,                 -4918,,                              0.23,,                              0.23,,,,,,,,
2010,2014年第2季,,              5578207,,              5261440,                316767,                316767,,,                127307,,                109871,                237178,                 79589,,,                 24127,,                 18649,,                 16860,,                 22703,                 48619,                128208,,                 14697,                113511,                113511,,,                -51242,                 -2806,                -54048,                -54048,                 59463,,                118086,                 -4575,,                 62634,                 -3171,,                              0.18,,                              0.18,,,,,,,,
2010,2014年度,,             20431330,,             19137874,              1293456,              1293456,,,                457783,,                439298,                897081,                396375,,,                119851,,                 11684,,                 68655,,                 73250,                136130,                532505,,                105770,                426735,                426735,,,,,,                 24213,                450948,,                466759,                -40024,,                510058,                -59110,,                              0.72,,                              0.72,                 81009,                -34527,                -20967,,                 -1302,                              0.72,,
2010,2014年01月01日至2014年09月30日,,             15472713,,             14490738,                981975,                981975,,,                357174,,                343159,                700333,                281642,,,                 90351,,                 10407,,                 50701,,                 49462,                 99519,                381161,,                 36197,                344964,                344964,,,                 -5653,                -34616,                -40269,                -40269,                304695,,                363141,                -18177,,                335910,                -31215,,                              0.56,,                              0.56,,,,,,,,
2010,2014年01月01日至2014年06月30日,,             10185874,,              9556555,                629319,                629319,,,                241512,,                227244,                468756,                160563,,,                 55979,,                 15432,,                 32210,,                 32000,                 71201,                231764,,                 29486,                202278,                202278,,,                -79641,                -10653,                -90294,                -90294,                111984,,                211081,                 -8803,,                138281,                -26297,,                              0.33,,                              0.33,,,,,,,,
