證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 繼續營業單位淨利（淨損）,　　　 其他收入－其他
2014,2015年第3季,,,              7453321,,                  1004,,                174789,,                 11700,              7640814,,              7420345,                220469,                220469,,,                201993,,                 83565,                285558,                -65089,,,                 53836,,                480474,,                 64462,,                104150,                573998,                508909,,                   -263,                509172,                509172,,,               -186801,,               -589188,               -775989,               -775989,               -266817,,                509172,,               -266817,,                              0.35,,,,,,
2014,2015年第2季,,,              7435846,,,,                187270,,                 10616,              7633732,,              8134199,               -500467,               -500467,,,                209892,,                 78004,                287896,               -788363,,,                 22949,,              1121494,,                 67023,,                 -2340,              1075080,                286717,,                   -321,                287038,                287038,,,                -43225,,               -145946,               -189171,               -189171,                 97867,,                287038,,                 97867,,                              0.20,,,,,,
2014,2015年01月01日至2015年09月30日,,,             22471112,,                  1004,,                500630,,                 36796,             23009542,,             24377916,             -1368374,             -1368374,,,                607207,,                237924,                845131,             -2213505,,,                 97762,,              1606562,,                198002,,                 99011,              1605333,               -608172,,                 -1838,               -606334,               -606334,,,               -239863,,               -767566,             -1007429,             -1007429,             -1613763,,               -606334,,             -1613763,,                             -0.42,,,,,,
2014,2015年01月01日至2015年06月30日,,,             15017791,,,,                325841,,                 25096,             15368728,,             16957571,             -1588843,             -1588843,,,                405214,,                154359,                559573,             -2148416,,,                 43926,,              1126088,,                133540,,                 -5139,              1031335,             -1117081,,                 -1575,             -1115506,             -1115506,,,                -53062,,               -178378,               -231440,               -231440,             -1346946,,             -1115506,,             -1346946,,                             -0.78,,,,,,
2014,2015年01月01日至2015年03月31日,,,              7581945,,,,                138571,,                 14480,              7734996,,              8823372,             -1088376,             -1088376,,,                195322,,                 76355,                271677,             -1360053,,,                 20977,,                  4594,,                 66517,,                 -2799,                -43745,             -1403798,,                 -1254,             -1402544,             -1402544,,,                 -9837,,                -32432,                -42269,                -42269,             -1444813,,             -1402544,,             -1444813,,                             -0.98,,,,,,
2014,2014年第3季,,,              9304057,,                    689,,                199927,,                 36434,              9541107,,              9260948,                280159,                280159,,,                197278,,                 82446,                279724,                    435,,,                 42706,,                 10996,,                 64260,,                 70266,                 59708,                 60143,,                   -294,                 60437,                 60437,,,                 47483,,                149797,                197280,                197280,                257717,,                 60437,,                257717,,                              0.04,,,,,,
2014,2014年第2季,,,              9171125,,,,                251772,,                 48076,              9470973,,              9193010,                277963,                277963,,,                151498,,                 74609,                226107,                 51856,,,                 19635,,                 11032,,                 65776,,                 -2611,                -37720,                 14136,,                   -249,                 14385,                 14385,,,                 10873,,                -57818,                -46945,                -46945,                -32560,,                 14385,,                -32560,,                              0.01,,,,,,
2014,2014年度,,,             36242931,,                    689,,                774338,,                114711,             37132669,,             35838297,              1294372,              1294372,,,                705777,,                322529,              1028306,                266066,,,                106959,,                 36514,,                261758,,                 62020,                -56265,                209801,,                  1404,                208397,                208397,,,,,,,                -68482,                139915,,                208397,,                139915,,                              0.15,                 23347,                -74311,,                -17518,,
2014,2014年01月01日至2014年09月30日,,,             28288448,,                    689,,                610775,,                102109,             29002021,,             27969838,              1032183,              1032183,,,                527304,,                239046,                766350,                265833,,,                 81642,,                 11991,,                193897,,                 65097,                -35167,                230666,,                   -338,                231004,                231004,,,                 13936,,                -49950,                -36014,                -36014,                194990,,                231004,,                194990,,                              0.16,,,,,,
2014,2014年01月01日至2014年06月30日,,,             18984391,,,,                410848,,                 65675,             19460914,,             18708890,                752024,                752024,,,                330026,,                156600,                486626,                265398,,,                 38936,,                    995,,                129637,,                 -5169,                -94875,                170523,,                    -44,                170567,                170567,,,                -33547,,               -199747,               -233294,               -233294,                -62727,,                170567,,                -62727,,                              0.12,,,,,,
2014,2014年01月01日至2014年03月31日,,,              9813266,,,,                159076,,                 17599,              9989941,,              9515880,                474061,                474061,,,                178528,,                 81991,                260519,                213542,,,                 19301,,                -10037,,                 63861,,                 -2558,                -57155,                156387,,                    205,                156182,                156182,,,                -44420,,               -141929,               -186349,               -186349,                -30167,,                156182,,                -30167,,                              0.11,,,,,,
2014,2013年第3季,,,              9768114,,                    390,,                129174,,                 10080,              9907758,,              9896363,                 11395,                 11395,,,                165397,,                 95536,                260933,               -249538,,,                 37532,,                 -7763,,                 71078,,                 39443,                 -1866,               -251404,,                 -2411,               -248993,               -248993,,,,,,,                243615,                 -5378,,               -248993,,                 -5378,,                             -0.17,                 70874,,,                172741,,
2014,2013年第2季,,,              8048722,,,,                293198,,                 13380,              8355300,,              8316969,                 38331,                 38331,,,                196217,,                118990,                315207,               -276876,,,                 20666,,                 -3620,,                 70845,,                 -3903,                -57702,               -334578,,                    863,               -335441,               -335441,,,,,,,               -223407,               -558848,,               -335441,,               -558848,,                             -0.23,                -67269,,,               -156138,,
2014,2013年度,,,             38092689,,                    390,,                713355,,                 48796,             38855230,,             37526651,              1328579,              1328579,,,                745970,,                412433,              1158403,                170176,,,                 99931,,                126182,,                285041,,                 28737,                -30191,                139985,,                    628,                139357,                139357,,,,,,,                -98955,                 40402,,                139357,,                 40402,,                              0.10,                -84502,                 -6126,,                 -8327,,
2014,2013年07月01日至2013年09月30日,,,              9768114,,                    390,,                129174,,                 10080,              9907758,,              9896363,                 11395,                 11395,,,                165397,,                 95536,                260933,               -249538,,,                 37532,,                 -7763,,                 71078,,                 39443,                 -1866,               -251404,,                 -2411,               -248993,               -248993,,,,,,,                243615,                 -5378,,               -248993,,                 -5378,,                             -0.17,                 70874,,,                172741,,
2014,2013年04月01日至2013年06月30日,,,              8048722,,,,                293198,,                 13380,              8355300,,              8316969,                 38331,                 38331,,,                196217,,                118990,                315207,               -276876,,,                 20666,,                 -3620,,                 70845,,                 -3903,                -57702,               -334578,,                    863,               -335441,               -335441,,,,,,,               -223407,               -558848,,               -335441,,               -558848,,                             -0.23,                -67269,,,               -156138,,
2014,2013年01月01日至2013年12月31日,,,             38092689,,                    390,,                713355,,                 48796,             38855230,,             37526651,              1328579,              1328579,,,                745970,,                412433,              1158403,                170176,,,                 99931,,                126182,,                285041,,                 28737,                -30191,                139985,,                    628,                139357,                139357,,,,,,,                -98955,                 40402,,                139357,,                 40402,,                              0.10,                -84502,                 -6126,,                 -8327,                              0.10,
2014,2013年01月01日至2013年09月30日,,,             29774056,,                    390,,                561976,,                 33880,             30370302,,             29535745,                834557,                834557,,,                613189,,                317231,                930420,                -95863,,,                 81370,,                 21868,,                215899,,                 31696,                -80965,               -176828,,                  1755,               -178583,               -178583,,,,,,,               -171202,               -349785,,               -178583,,               -349785,,                             -0.12,                -52485,,,               -118717,,
2014,2013年01月01日至2013年06月30日,,,             20005942,,,,                432802,,                 23800,             20462544,,             19639382,                823162,                823162,,,                447792,,                221695,                669487,                153675,,,                 43838,,                 29631,,                144821,,                 -7747,                -79099,                 74576,,                  4166,                 70410,                 70410,,,,,,,               -414817,               -344407,,                 70410,,               -344407,,                              0.05,               -123359,,,               -291458,,
