證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 稀釋繼續營業單位淨利（淨損）,　　 租賃成本,　　　 租賃成本合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 其他綜合損益,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 租賃收入,　　　 銷貨成本,　　　 租賃成本,　　　 廉價購買利益,　 停業單位損益,　　 停業單位損益合計
2038,2015年第3季,,,              1914439,,                              0,,                 15669,              1930108,,,              1953274,,                  7383,              1960657,                -30549,                -30549,,,                 25671,,                 18774,,                    408,                 44853,                -75402,,,                  4698,                  4698,,                 -2713,,                 12550,                -10565,                -85967,,                -14495,                -71472,                -71472,                -71472,,                -72666,                  1194,,                -72666,                  1194,,                             -0.42,                             -0.42,,                             -0.42,,,,,,,,,,,,,,,,,
2038,2015年第2季,,,              2142819,,                              0,,                 13819,              2156638,,,              2145336,,                  7665,              2153001,                  3637,                  3637,,,                 22749,,                 14219,,                    399,                 37367,                -33730,,,                 33945,                 33945,,                 20077,,                 12313,                 41709,                  7979,,                 -2877,                 10856,                 10856,                 10856,,                 10142,                    714,,                 10142,                    714,,                              0.06,                              0.06,,                              0.06,,,,,,,,,,,,,,,,,
2038,2015年01月01日至2015年09月30日,,,              6373958,,                              0,,                 47607,              6421565,,,              6478173,,                 23366,              6501539,                -79974,                -79974,,,                 75205,,                 51423,,                    942,                127570,               -207544,,,                 42633,                 42633,,                 29603,,                 39049,                 33187,               -174357,,                -35706,               -138651,               -138651,               -138651,,               -141235,                  2584,,               -141235,                  2584,,                             -0.82,                             -0.82,,                             -0.82,,,,,,,,,,,,,,,,,
2038,2015年01月01日至2015年06月30日,,,              4459519,,                              0,,                 31938,              4491457,,,              4524899,,                 15983,              4540882,                -49425,                -49425,,,                 49534,,                 32649,,                    534,                 82717,               -132142,,,                 37935,                 37935,,                 32316,,                 26499,                 43752,                -88390,,                -21211,                -67179,                -67179,                -67179,,                -68569,                  1390,,                -68569,                  1390,,                             -0.40,                             -0.40,,                             -0.40,,,,,,,,,,,,,,,,,
2038,2015年01月01日至2015年03月31日,,,              2316700,,,,                 18119,              2334819,,,              2379563,,                  8318,              2387881,                -53062,                -53062,,,                 26785,,                 18430,,                    135,                 45350,                -98412,,,                  3990,                  3990,,                 12239,,                 14186,                  2043,                -96369,,                -18334,                -78035,                -78035,                -78035,,                -78711,                    676,,                -78711,                    676,,                             -0.46,                             -0.46,,                             -0.46,                             -0.46,,,,,,,,,,,,,,,,
2038,2014年第3季,,,              2820276,,                              0,,                 14779,              2835055,,,              2792272,,                  5037,              2797309,                 37746,                 37746,,,                 24280,,                 18982,,                    902,                 44164,                 -6418,,,                 22024,                 22024,,                 21057,,                 12143,                 30938,                 24520,,                  6768,                 17752,                 17752,                 17752,,                 14015,                  3737,,                 14015,                  3737,,                              0.08,                              0.08,,                              0.08,,,,,,,,,,,,,,,,,
2038,2014年第2季,,,              2831605,,                  1932,,                 12080,              2845617,,,              2804806,,                  3146,              2807952,                 37665,                 37665,,,                 25434,,                 17545,,                    400,                 43379,                 -5714,,,                  1450,                  1450,,                 -6276,,                 10140,                -14966,                -20680,,                 -5807,                -14873,                -14873,                -14873,,                -15009,                    136,,                -15009,                    136,,                             -0.09,                             -0.09,,                             -0.09,,,,,,,,,,,,,,,,,
2038,2014年度,,,             10880504,,                  1932,,                 57675,             10940111,,,             10891292,,                  8058,             10919704,                 20407,                 20407,,,                103849,,                 71598,,                  1680,                177127,               -156720,,,                 34556,                 34556,,                 -6840,,                 47651,                -19935,               -176655,,                -28993,               -147662,               -147662,               -149280,,               -152890,                  5228,,               -154508,                  5228,,                             -0.89,                             -0.89,,                             -0.89,                             -0.89,,                 20354,,                 -1949,                   -331,                 -1618,,,,,,,,,,
2038,2014年01月01日至2014年09月30日,,,              8746355,,                  1932,,                 38191,              8786478,,,              8690968,,                 10673,              8701641,                 84837,                 84837,,,                 77865,,                 55536,,                  1711,                135112,                -50275,,,                 27034,                 27034,,                  8762,,                 32896,                  2900,                -47375,,                 -7546,                -39829,                -39829,                -39829,,                -43188,                  3359,,                -43188,                  3359,,                             -0.25,                             -0.25,,                             -0.25,,,,,,,,,,,,,,,,,
2038,2014年01月01日至2014年06月30日,,,              5926079,,                  1932,,                 23412,              5951423,,,              5898696,,                  5636,              5904332,                 47091,                 47091,,,                 53585,,                 36554,,                    809,                 90948,                -43857,,,                  5010,                  5010,,                -12295,,                 20753,                -28038,                -71895,,                -14314,                -57581,                -57581,                -57581,,                -57203,                   -378,,                -57203,                   -378,,                             -0.33,                             -0.33,,                             -0.33,,,,,,,,,,,,,,,,,
