證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（綜合損益）,　　 其他綜合損益
2101,2015年第3季,,              2591194,,              1993835,                597359,                597359,,,                191396,,                 96775,,                 21189,                309360,,                              0,                287999,,,                 44335,,                 38388,,                 29574,,                -13026,                 40123,                328122,,                 97693,                230429,                230429,,,                156875,                156875,                156875,                387304,,                230429,                              0,,                387304,,                              0.28,,                              0.00,,,,,,
2101,2015年第2季,,              3010421,,              2405841,                604580,                604580,,,                206507,,                 91924,,                 20219,                318650,,                              0,                285930,,,                109030,,                 26701,,                 28953,,                 -5204,                101574,                387504,,                 75908,                311596,                311596,,,                -73087,                -73087,                -73087,                238509,,                311596,,,                238509,,                              0.37,,                              0.00,,,,,,
2101,2015年01月01日至2015年09月30日,,              8418743,,              6782350,              1636393,              1636393,,,                603029,,                276853,,                 62173,                942055,,                              0,                694338,,,                163133,,                182039,,                 84650,,                -86141,                174381,                868719,,                236465,                632254,                632254,,,                -27881,                -27881,                -27881,                604373,,                632254,                              0,,                604373,,                              0.76,,                              0.00,,,,,,
2101,2015年01月01日至2015年06月30日,,              5827549,,              4788515,              1039034,              1039034,,,                411633,,                180078,,                 40984,                632695,,                              0,                406339,,,                118798,,                143651,,                 55076,,                -73115,                134258,                540597,,                138772,                401825,                401825,,,               -184756,               -184756,               -184756,                217069,,                401825,,,                217069,,                              0.48,,                              0.00,,,,,,
2101,2015年01月01日至2015年03月31日,,              2817128,,              2382674,                434454,                434454,,,                205126,,                 88154,,                 20765,                314045,,                              0,                120409,,,                  9768,,                116950,,                 26123,,                -67911,                 32684,                153093,,                 62864,                 90229,                 90229,,,               -111669,               -111669,               -111669,                -21440,,                 90229,,,                -21440,,                              0.11,,                              0.00,                              0,,,,,
2101,2014年第3季,,              2784282,,              2313442,                470840,                470840,,,                226211,,                108590,,                 19053,                353854,,                              0,                116986,,,                 11313,,                -61753,,                 32331,,                 -7237,                -90008,                 26978,,                 46427,                -19449,                -19449,,,                133477,                133477,                133477,                114028,,                -19449,                              0,,                114028,,                             -0.02,,                             -0.02,,,,,,
2101,2014年第2季,,              3794877,,              3022004,                772873,                772873,,,                268666,,                 94929,,                 21470,                385065,,                -39339,                348469,,,                  9039,,                 33283,,                 33500,,                -44945,                -36123,                312346,,                114599,                197747,                197747,,,               -190269,               -190269,               -190269,                  7478,,                197747,,,                  7478,,                              0.24,,                              0.23,,,,,,
2101,2014年度,,             12356784,,             10243154,              2113630,              2113630,,,                932586,,                383226,,                 91474,              1407286,,                -39339,                667005,,,                 39173,,                 16688,,                125173,,                -47885,               -117197,                549808,,                215593,                334215,                334215,,,,,                389686,                723901,,                334215,                              0,,                723901,,                              0.40,,                              0.00,,                391199,                 -1823,                   -310,                              0,
2101,2014年01月01日至2014年09月30日,,              9745803,,              7979546,              1766257,              1766257,,,                707553,,                299767,,                 63172,              1070492,,                -39339,                656426,,,                 30471,,                -19743,,                 97282,,                -52010,               -138564,                517862,,                197061,                320801,                320801,,,                 62831,                 62831,                 62831,                383632,,                320801,                              0,,                383632,,                              0.38,,                              0.38,,,,,,
2101,2014年01月01日至2014年06月30日,,              6961521,,              5666104,              1295417,              1295417,,,                481342,,                191177,,                 44119,                716638,,                -39339,                539440,,,                 19158,,                 42010,,                 64951,,                -44773,                -48556,                490884,,                150634,                340250,                340250,,,                -70646,                -70646,                -70646,                269604,,                340250,,,                269604,,                              0.41,,                              0.40,,,,,,
2101,2014年01月01日至2014年03月31日,,              3166644,,              2644100,                522544,                522544,,,                212676,,                 96248,,                 22649,                331573,,                              0,                190971,,,                 10119,,                  8727,,                 31451,,                    172,                -12433,                178538,,                 36035,                142503,                142503,,,                119623,                119623,                119623,                262126,,                142503,,,                262126,,                              0.17,,                              0.17,                              0,,,,,
2101,2013年第3季,,              3444848,,              2848396,                596452,                596452,,,                225288,,                 87790,,                 29548,                342626,,                     20,                253846,,,                  9164,,                 43661,,                 30765,,                 17899,                 39959,                293805,,                 51384,                242421,                242421,,,,,                -81471,                160950,,                242421,                              0,,                160950,,                              0.29,,                              0.28,,                -81471,,,                              0,                              0
