證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額
2206,2015年第3季,,              9498434,,              7933747,              1564687,              1564687,,,                756162,,                467320,,                131613,              1355095,                209592,,,                 41044,,              3119146,,               -137996,,                147571,              3445757,              3655349,,                597663,              3057686,              3057686,,,                460148,                   -635,,                129030,                 87717,                500826,                500826,              3558512,,              3059599,                 -1913,,              3487868,                 70644,,                              3.44,,                              3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年第2季,,              8613122,,              7197634,              1415488,              1415488,,,                817791,,                361683,,                123071,              1302545,                112943,,,                119853,,                 87877,,                101106,,                126497,                233121,                346064,,                 38325,                307739,                307739,,,               -166264,                 -2791,,                -44075,                -29190,               -183940,               -183940,                123799,,                310689,                 -2950,,                168173,                -44374,,                              0.36,,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年01月01日至2015年09月30日,,             26787833,,             22540126,              4247707,              4247707,,,              2280528,,              1270795,,                373734,              3925057,                322650,,,                273872,,              3245047,,                 34138,,                295059,              3779840,              4102490,,                683085,              3419405,              3419405,,,                152639,                 -2500,,                 52473,                 33143,                169469,                169469,              3588874,,              3426130,                 -6725,,              3587948,                    926,,                              3.83,,                              3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年01月01日至2015年06月30日,,             17289399,,             14606379,              2683020,              2683020,,,              1524366,,                803475,,                242121,              2569962,                113058,,,                232828,,                125901,,                172134,,                147488,                334083,                447141,,                 85422,                361719,                361719,,,               -307509,                 -1865,,                -76557,                -54574,               -331357,               -331357,                 30362,,                366531,                 -4812,,                100080,                -69718,,                              0.42,,                              0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年01月01日至2015年03月31日,,              8676277,,              7408745,              1267532,              1267532,,,                706575,,                441792,,                119050,              1267417,                    115,,,                112975,,                 38024,,                 71028,,                 20991,                100962,                101077,,                 47097,                 53980,                 53980,,,               -141245,                    926,,                -32482,                -25384,               -147417,               -147417,                -93437,,                 55842,                 -1862,,                -68093,                -25344,,                              0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年第3季,,              9769343,,              8625417,              1143926,              1143926,,,                902181,,                273512,,                119686,              1295379,               -151453,,,                 94729,,               -239839,,                 66052,,                 70196,               -140966,               -292419,,                 60414,               -352833,               -352833,,,                151617,                 -1714,,                 70470,                 32601,                187772,                187772,               -165061,,               -351824,                 -1009,,               -192655,                 27594,,                             -0.39,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年第2季,,             10404545,,              8818833,              1585712,              1585712,,,                973040,,                406044,,                251243,              1630327,                -44615,,,                124805,,                517472,,                157873,,                 20547,                504951,                460336,,                208726,                251610,                251610,,,               -227565,               -115367,,                -45768,                -37985,               -350715,               -350715,                -99105,,                229311,                 22299,,                 42701,               -141806,,                              0.27,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年度,,             36457248,,             31828465,              4628783,              4628783,,,              3079743,,              1652174,,                740279,              5472196,               -843413,,,                356623,,                249921,,                324073,,                416732,                699203,               -144210,,                207596,               -351806,               -351806,,,,,,,,,                222460,               -129346,,               -278539,                -73267,,                -10205,               -119141,,                             -0.32,,,                412855,               -123465,               -135538,,                130346,                 61738,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年01月01日至2014年09月30日,,             28173818,,             24394734,              3779084,              3779084,,,              2504865,,              1142373,,                544495,              4191733,               -412649,,,                286417,,                302355,,                275779,,                 82563,                395556,                -17093,,                237185,               -254278,               -254278,,,                103789,               -109440,,                 23312,                 17468,                    193,                    193,               -254085,,               -234348,                -19930,,               -149063,               -105022,,                             -0.27,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年01月01日至2014年06月30日,,             18404475,,             15769317,              2635158,              2635158,,,              1700015,,                771530,,                424809,              2896354,               -261196,,,                191688,,                542194,,                209727,,                 12367,                536522,                275326,,                176771,                 98555,                 98555,,,                -47828,               -107726,,                -47158,                -15133,               -187579,               -187579,                -89024,,                117476,                -18921,,                 43592,               -132616,,                              0.14,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
