證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
2313,2015年第3季,,             12543166,,             10637746,              1905420,              1905420,,,                243482,,                320892,,                 77853,                642227,,                 -5267,              1257926,,,                 78516,,                -12631,,                 76981,                -11096,              1246830,,                292480,                954350,                954350,,,                476908,                 -1600,                 81075,                394233,                394233,              1348583,,                954350,,              1348583,,                              0.80,,                              0.80,,,,,,,
2313,2015年第2季,,              9422746,,              7982562,              1440184,              1440184,,,                200277,,                247021,,                 73854,                521152,,                   -877,                918155,,,                 47817,,               -121858,,                 71830,               -145871,                772284,,                294365,                477919,                477919,,,               -188837,                -18700,                -32102,               -175435,               -175435,                302484,,                477919,,                302484,,                              0.40,,                              0.40,,,,,,,
2313,2015年01月01日至2015年09月30日,,             30643167,,             26036366,              4606801,              4606801,,,                659984,,                793789,,                224323,              1678096,,                 -8581,              2920124,,,                170019,,               -263044,,                223355,               -316380,              2603744,,                718142,              1885602,              1885602,,,                148846,                -32700,                 25304,                 90842,                 90842,              1976444,,              1885602,,              1976444,,                              1.58,,                              1.58,,,,,,,
2313,2015年01月01日至2015年06月30日,,             18100001,,             15398620,              2701381,              2701381,,,                416502,,                472897,,                146470,              1035869,,                 -3314,              1662198,,,                 91503,,               -250413,,                146374,               -305284,              1356914,,                425662,                931252,                931252,,,               -328062,                -31100,                -55771,               -303391,               -303391,                627861,,                931252,,                627861,,                              0.78,,                              0.78,,,,,,,
2313,2015年01月01日至2015年03月31日,,              8677255,,              7416058,              1261197,              1261197,,,                216225,,                225876,,                 72616,                514717,,                 -2437,                744043,,,                 43686,,               -128555,,                 74544,               -159413,                584630,,                131297,                453333,                453333,,,               -139225,                -12400,                -23669,               -127956,               -127956,                325377,,                453333,,                325377,,                              0.38,,                              0.38,                              0,                              0,,,,,
2313,2014年第3季,,              8993805,,              7696095,              1297710,              1297710,,,                212073,,                242155,,                 73346,                527574,,                 -5570,                764566,,,                 48263,,                 19998,,                 60201,                  8060,                772626,,                191473,                581153,                581153,,,                324716,                  9900,                 55202,                279414,                279414,                860567,,                581153,,                860567,,                              0.49,,                              0.49,,,,,,,
2313,2014年第2季,,              7677448,,              6666783,              1010665,              1010665,,,                183455,,                214425,,                 66872,                464752,,                 22709,                568622,,,                 47027,,               -117948,,                 60865,               -131786,                436836,,                153466,                283370,                283370,,,               -245790,                 20800,                -41784,               -183206,               -183206,                100164,,                283370,,                100164,,                              0.24,,                              0.24,,,,,,,
2313,2014年度,,             33849513,,             29029879,              4819634,              4819634,,,                803592,,                899323,,                282421,              1985336,,                 16407,              2850705,,,                217067,,               -131599,,                252317,               -166849,              2683856,,                697208,              1986648,              1986648,,,,,,,                463576,              2450224,,              1986648,,              2450224,,                              1.67,,                              1.66,,,                535753,                 40100,                -25541,                 86736,
2313,2014年01月01日至2014年09月30日,,             23862886,,             20594750,              3268136,              3268136,,,                564035,,                676481,,                202462,              1442978,,                 18859,              1844017,,,                148291,,               -166295,,                181749,               -199753,              1644264,,                445402,              1198862,              1198862,,,                 71137,                 32500,                 12094,                 91543,                 91543,              1290405,,              1198862,,              1290405,,                              1.01,,                              1.00,,,,,,,
2313,2014年01月01日至2014年06月30日,,             14869081,,             12898655,              1970426,              1970426,,,                351962,,                434326,,                129116,                915404,,                 24429,              1079451,,,                100028,,               -186293,,                121548,               -207813,                871638,,                253929,                617709,                617709,,,               -253579,                 22600,                -43108,               -187871,               -187871,                429838,,                617709,,                429838,,                              0.52,,                              0.52,,,,,,,
2313,2014年01月01日至2014年03月31日,,              7191633,,              6231872,                959761,                959761,,,                168507,,                219901,,                 62244,                450652,,                  1720,                510829,,,                 53001,,                -68345,,                 60683,                -76027,                434802,,                100463,                334339,                334339,,,                 -7789,                  1800,                 -1324,                 -4665,                 -4665,                329674,,                334339,,                329674,,                              0.28,,                              0.28,                              0,                              0,,,,,
2313,2013年第3季,,              8498643,,              7175866,              1322777,              1322777,,,                184157,,                189200,,                 63505,                436862,,                -20880,                865035,,,                 68739,,                -88662,,                 59991,                -79914,                785121,,                223152,                561969,                561969,,,,,,,               -104394,                457575,,                561969,,                457575,,                              0.47,,                              0.47,,,               -127462,                  1400,,,                 21668
2313,2013年第2季,,              6925710,,              5907056,              1018654,              1018654,,,                209944,,                181780,,                 58734,                450458,,                  8815,                577011,,,                 30197,,                -33930,,                 63595,                -67328,                509683,,                174567,                335116,                335116,,,,,,,                180453,                515569,,                335116,,                515569,,                              0.28,,                              0.28,,,                210497,                  5740,,,                -35784
2313,2013年度,,             30897875,,             26331041,              4566834,              4566834,,,                729007,,                805624,,                244964,              1779595,,                -20100,              2767139,,,                207410,,                -89626,,                251634,               -133850,              2633289,,                779120,              1854169,              1854169,,,,,,,                560000,              2414169,,              1854169,,              2414169,,                              1.56,,                              1.55,,,                682576,                  5740,                -14792,                113524,
2313,2013年07月01日至2013年09月30日,,              8498643,,              7175866,              1322777,              1322777,,,                184157,,                189200,,                 63505,                436862,,                -20880,                865035,,,                 68739,,                -88662,,                 59991,                -79914,                785121,,                223152,                561969,                561969,,,,,,,               -104394,                457575,,                561969,,                457575,,                              0.47,,                              0.47,,,               -127462,                  1400,,,                 21668
2313,2013年04月01日至2013年06月30日,,              6925710,,              5907056,              1018654,              1018654,,,                209944,,                181780,,                 58734,                450458,,                  8815,                577011,,,                 30197,,                -33930,,                 63595,                -67328,                509683,,                174567,                335116,                335116,,,,,,,                180453,                515569,,                335116,,                515569,,                              0.28,,                              0.28,,,                210497,                  5740,,,                -35784
2313,2013年01月01日至2013年12月31日,,             30897875,,             26331041,              4566834,              4566834,,,                729007,,                805624,,                244964,              1779595,,                -20100,              2767139,,,                207410,,                -89626,,                251634,               -133850,              2633289,,                779120,              1854169,              1854169,,,,,,,                560000,              2414169,,              1854169,,              2414169,,                              1.56,,                              1.55,,,                682576,                  5740,                -14792,                113524,
2313,2013年01月01日至2013年09月30日,,             22122971,,             18931340,              3191631,              3191631,,,                547224,,                554827,,                179524,              1281575,,                -13761,              1896295,,,                124272,,                -98934,,                190598,               -165260,              1731035,,                555160,              1175875,              1175875,,,,,,,                353322,              1529197,,              1175875,,              1529197,,                              0.99,,                              0.99,,,                414918,                  8940,,,                -70536
2313,2013年01月01日至2013年06月30日,,             13624328,,             11755474,              1868854,              1868854,,,                363067,,                365627,,                116019,                844713,,                  7119,              1031260,,,                 55533,,                -10272,,                130607,                -85346,                945914,,                332008,                613906,                613906,,,,,,,                457716,              1071622,,                613906,,              1071622,,                              0.51,,                              0.51,,,                542380,                  7540,,,                -92204
2313,2013年01月01日至2013年03月31日,,              6698618,,              5848418,                850200,                850200,,,                153123,,                183847,,                 57285,                394255,,                 -1696,                454249,,,                 25336,,                 23658,,                 67012,                -18018,                436231,,                157441,                278790,                278790,,,,,,,                277263,                556053,,                278790,,                556053,,                              0.23,,                              0.23,                              0,                              0,                331883,                  1800,,,                -56420
