證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 權利金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2332,2015年第3季,,,              6914961,,                 24969,              6939930,,,              5182936,              5182936,              5182936,              1756994,              1756994,,,              1363673,,                352202,,                315878,              2031753,               -274759,,,,                  7350,                    610,                    170,                  1145,                  9250,                 18525,,                    179,                              0,                 85812,,                              0,                              0,                  7920,                              0,                289403,                              0,,                  2510,                  2510,               -213842,,                 23930,,                -58336,               -277583,               -552342,,                -39322,               -513020,               -513020,,,,                149643,                149643,,                335369,                -76730,                 54450,                204189,                353832,               -159188,,               -527746,                 14726,,               -189244,                 30056,,                             -0.81,                             -0.81,,                             -0.81,                             -0.81,,,,,,,,,,,,,,,
2332,2015年第2季,,,              6375309,,                 25345,              6400654,,,              4715829,              4715829,              4715829,              1684825,              1684825,,,              1210191,,                350251,,                314710,              1875152,               -190327,,,,                  7983,                    610,                              0,                              0,                 13897,                 22490,,                 46670,                 64482,                              0,,                              0,                              0,                  4492,,                              0,                 37609,,                  4960,                  4960,                 64091,,                  7520,,                  4819,                 83880,               -106447,,                 13379,               -119826,               -119826,,,,                -33899,                -33899,,                  8007,               -102499,                  3096,                -97588,               -131487,               -251313,,               -132205,                 12379,,               -253468,                  2155,,                             -0.21,                             -0.21,,                             -0.21,                             -0.21,,,,,,,,,,,,,,,
2332,2015年01月01日至2015年09月30日,,,             19987063,,                 73183,             20060246,,,             14840520,             14840520,             14840520,              5219726,              5219726,,,              3839002,,              1043264,,                950346,              5832612,               -612886,,,,                 24358,                  1830,                    512,                  1481,                 30787,                 58968,,                 47429,                              0,                 25839,,                              0,                              0,                 16529,                              0,                317403,                              0,,                  9870,                  9870,               -270534,,                 39488,,                 13249,               -237805,               -850691,,                  6454,               -857145,               -857145,,,,                 92483,                 92483,,               -267873,               -195098,                -46123,               -416848,               -324365,             -1181510,,               -892255,                 35110,,             -1220182,                 38672,,                             -1.37,                             -1.37,,                             -1.37,                             -1.37,,,,,,,,,,,,,,,
2332,2015年01月01日至2015年06月30日,,,             13072102,,                 48214,             13120316,,,              9657584,              9657584,              9657584,              3462732,              3462732,,,              2475329,,                691062,,                634468,              3800859,               -338127,,,,                 17008,                  1220,                              0,                              0,                 22215,                 40443,,                 47250,                              0,                              0,,                              0,                              0,                  8609,,                 28000,                 59973,,                  7360,                  7360,                -56692,,                 15558,,                 71585,                 39778,               -298349,,                 45776,               -344125,               -344125,,,,                -57160,                -57160,,               -603242,               -118368,               -100573,               -621037,               -678197,             -1022322,,               -364509,                 20384,,             -1030938,                  8616,,                             -0.59,                             -0.59,,                             -0.59,                             -0.59,,,,,,,,,,,,,,,
2332,2015年01月01日至2015年03月31日,,,              6696793,,                 22869,              6719662,,,              4941755,              4941755,              4941755,              1777907,              1777907,,,              1265138,,                340811,,                319758,              1925707,               -147800,,,,                  9025,                    610,,,                  8318,                 17953,,                    580,                              0,                -22364,,,,                  4117,,                 92482,,,                  2400,                  2400,               -120783,,                  8038,,                 66766,                -44102,               -191902,,                 32397,               -224299,               -224299,,,,                              0,                              0,,               -611249,                -15869,               -103669,               -546710,               -546710,               -771009,,               -232304,                  8005,,               -777470,                  6461,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -23261,,,,,,
2332,2014年第3季,,,              7529917,,                 34391,              7564308,,,              5561183,              5561183,              5561183,              2003125,              2003125,,,              1324831,,                364360,,                265608,              1954799,                 48326,,,,                 17625,                    645,                    171,                 18647,                  5874,                 42962,,                  4402,                              0,                 37441,,                              0,                              0,                -15391,                              0,                276917,                              0,,                  1790,                  1790,               -221473,,                  5466,,                 32811,               -151166,               -102840,,                 13116,               -115956,               -115956,,,,                 29042,                 29042,,               -134059,               -100766,                -21966,               -212859,               -183817,               -299773,,               -129010,                 13054,,               -308121,                  8348,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,,,,,,,,,,,,,,,
2332,2014年第2季,,,              7158506,,                 26253,              7184759,,,              5186647,              5186647,              5186647,              1998112,              1998112,,,              1356343,,                351421,,                260947,              1968711,                 29401,,,,                  9245,                    687,                              0,                              0,                  9153,                 19085,,                 16119,                 65644,                              0,,                              0,                              0,                 28049,,                              0,                  9718,,                  3200,                  3200,                 40796,,                  5595,,                 32489,                 86775,                116176,,                 42074,                 74102,                 74102,,,,                -30606,                -30606,,               -165042,                -54901,                -25508,               -194435,               -225041,               -150939,,                 62815,                 11287,,               -148733,                 -2206,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,,,,,,
2332,2014年度,,,             30183546,,                122256,             30305802,,,             22032098,             22032098,             22032098,              8273704,              8273704,,,              5450997,,              1391263,,              1124419,              7966679,                307025,,,,                 52443,                  2589,                 13122,                 19091,                 60217,                147462,,                 88417,                              0,                 44923,,                              0,                              0,                 40666,,                512278,,,                 11800,                 11800,               -431404,,                 21696,,                142070,               -163568,                143457,,                 31996,                111461,                111461,,,,,,,,,,,                 84571,                196032,,                 61543,                 49918,,                153339,                 42693,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,                166706,                -82541,                 -7503,,                 37553,                 29644
2332,2014年01月01日至2014年09月30日,,,             21841652,,                 89263,             21930915,,,             15907125,             15907125,             15907125,              6023790,              6023790,,,              4004434,,              1056226,,                799420,              5860080,                163710,,,,                 43770,                  1976,                 12952,                 18647,                 28050,                105395,,                 22603,                              0,                 32045,,                              0,                              0,                 30580,                              0,                210728,                              0,,                  7890,                  7890,               -194550,,                 19384,,                 88263,                -20276,                143434,,                 99756,                 43678,                 43678,,,,                  2971,                  2971,,                -61238,                -72137,                 -8401,               -124974,               -122003,                -78325,,                 14329,                 29349,,                -95989,                 17664,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,,,,,,
2332,2014年01月01日至2014年06月30日,,,             14311735,,                 54872,             14366607,,,             10345942,             10345942,             10345942,              4020665,              4020665,,,              2679603,,                691866,,                533812,              3905281,                115384,,,,                 26145,                  1331,                              0,                              0,                 34957,                 62433,,                 18201,                 66189,                              0,,                              0,                              0,                 45971,,                              0,                  5396,,                  6100,                  6100,                 26923,,                 13918,,                 55452,                130890,                246274,,                 86640,                159634,                159634,,,,                -26071,                -26071,,                 72821,                 28629,                 13565,                 87885,                 61814,                221448,,                143339,                 16295,,                212132,                  9316,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,,,,,,,
