證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
2355,2015年第3季,,,              5917183,              5917183,,              4949267,                967916,                967916,,,                160062,,                119832,,                 51012,                330906,                637010,,,                147469,,                133222,,                  8230,                272461,                909471,,                249626,                659845,                659845,,,                278109,                 -9946,                              0,                268163,                268163,                928008,,                678921,                -19076,,                948794,                -20786,,                              1.71,,                              1.70,,,,,,,,,,
2355,2015年第2季,,,              5548155,              5548155,,              4872048,                676107,                676107,,,                154817,,                123120,,                 45151,                323088,                353019,,,                121394,,                -47668,,                  6270,                 67456,                420475,,                126096,                294379,                294379,,,               -145845,                 -9653,                              0,               -155498,               -155498,                138881,,                313864,                -19485,,                189518,                -50637,,                              0.79,,                              0.78,,,,,,,,,,
2355,2015年01月01日至2015年09月30日,,,             16950891,             16950891,,             14587997,              2362894,              2362894,,,                470997,,                344848,,                142492,                958337,              1404557,,,                376822,,                 66732,,                 26059,                417495,              1822052,,                499432,              1322620,              1322620,,,                 65269,                -24561,                              0,                 40708,                 40708,              1363328,,              1370946,                -48326,,              1446038,                -82710,,                              3.45,,                              3.42,,,,,,,,,,
2355,2015年01月01日至2015年06月30日,,,             11033708,             11033708,,              9638730,              1394978,              1394978,,,                310935,,                225016,,                 91480,                627431,                767547,,,                229353,,                -66490,,                 17829,                145034,                912581,,                249806,                662775,                662775,,,               -212840,                -14615,                              0,               -227455,               -227455,                435320,,                692025,                -29250,,                497244,                -61924,,                              1.74,,                              1.73,,,,,,,,,,
2355,2015年01月01日至2015年03月31日,,,              5485553,              5485553,,              4766682,                718871,                718871,,,                156118,,                101896,,                 46329,                304343,                414528,,,                107959,,                -18822,,                 11559,                 77578,                492106,,                123710,                368396,                368396,,,                -66995,                 -4962,                              0,                -71957,                -71957,                296439,,                378161,                 -9765,,                307726,                -11287,,                              0.95,,                              0.95,,,,,,,,,,
2355,2014年第3季,,,              5307659,              5307659,,              4620391,                687268,                687268,,,                157993,,                 97556,,                 41260,                296809,                390459,,,                135436,,                 69286,,                  8545,                196177,                586636,,                164365,                422271,                422271,,,                183929,                 -8277,                              0,                175652,                175652,                597923,,                429721,                 -7450,,                592199,                  5724,,                              1.08,,                              1.08,,,,,,,,,,
2355,2014年第2季,,,              5286710,              5286710,,              4576043,                710667,                710667,,,                163274,,                109989,,                 42417,                315680,                394987,,,                138940,,                -57547,,                  7991,                 73402,                468389,,                157146,                311243,                311243,,,               -137038,                  9271,                              0,               -127767,               -127767,                183476,,                315984,                 -4741,,                200418,                -16942,,                              0.79,,                              0.79,,,,,,,,,,
2355,2014年度,,,             21303660,             21303660,,             18415768,              2887892,              2887892,,,                655845,,                394680,,                171613,              1222138,              1665754,,,                570319,,                148024,,                 39196,                679147,              2344901,,                603251,              1741650,              1741650,,,,,,,                305077,              2046727,,              1768992,                -27342,,              2033525,                 13202,,                              4.45,,                              4.42,                302493,                 -7769,                 13010,                  2657,,,,,,
2355,2014年01月01日至2014年09月30日,,,             15790629,             15790629,,             13609986,              2180643,              2180643,,,                494263,,                313963,,                127682,                935908,              1244735,,,                413047,,                 54133,,                 23527,                443653,              1688388,,                451806,              1236582,              1236582,,,                 89011,                -11040,                              0,                 77971,                 77971,              1314553,,              1248152,                -11570,,              1305574,                  8979,,                              3.14,,                              3.12,,,,,,,,,,
2355,2014年01月01日至2014年06月30日,,,             10482970,             10482970,,              8989595,              1493375,              1493375,,,                336270,,                216407,,                 86422,                639099,                854276,,,                277611,,                -15153,,                 14982,                247476,              1101752,,                287441,                814311,                814311,,,                -94918,                 -2763,                              0,                -97681,                -97681,                716630,,                818431,                 -4120,,                713375,                  3255,,                              2.06,,                              2.04,,,,,,,,,,
