證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2357,2015年第3季,,            119315891,,            101625841,             17690050,             17690050,,,              6095493,,              2992248,,              3434393,             12522134,              5167916,,,              1974468,,             -1833644,,                 85695,,                 10430,                 65559,              5233475,,                946430,              4287045,              4287045,,,                              0,                              0,,              3209396,             -3432915,                 17227,,                    320,                521750,               -727722,               -727722,              3559323,,              4215081,                 71964,,              3477226,                 82097,,                              5.67,                              5.67,,                              5.65,                              5.65,,,,,,,
2357,2015年第2季,,            108406938,,             92361255,             16045683,             16045683,,,              5680513,,              2246503,,              3245214,             11172230,              4873453,,,                760915,,                669434,,                100801,,                  1038,              1330586,              6204039,,              1563391,              4640648,              4640648,,,                              0,                              0,,               -861527,                161547,             -1080591,,                   -210,               -149998,             -1630783,             -1630783,              3009865,,              4658086,                -17438,,              3030979,                -21114,,                              6.27,                              6.27,,                              6.24,                              6.24,,,,,,,
2357,2015年01月01日至2015年09月30日,,            339612346,,            290545406,             49066940,             49066940,,,             17375319,,              7017049,,              9498367,             33890735,             15176205,,,              2875677,,             -1438027,,                278705,,                 14019,              1172964,             16349169,,              3724484,             12624685,             12624685,,,                    206,                    206,,              1539799,              2328804,                 45611,,                    160,                235894,              3678480,              3678686,             16303371,,             12553592,                 71093,,             16229483,                 73888,,                             16.90,                             16.90,,                             16.78,                             16.78,,,,,,,
2357,2015年01月01日至2015年06月30日,,            220296455,,            188919565,             31376890,             31376890,,,             11279826,,              4024801,,              6063974,             21368601,             10008289,,,                901209,,                395617,,                193010,,                  3589,              1107405,             11115694,,              2778054,              8337640,              8337640,,,                    206,                    206,,             -1669597,              5761719,                 28384,,                   -160,               -285856,              4406202,              4406408,             12744048,,              8338511,                   -871,,             12752257,                 -8209,,                             11.23,                             11.23,,                             11.15,                             11.15,,,,,,,
2357,2015年01月01日至2015年03月31日,,            111889517,,             96558310,             15331207,             15331207,,,              5599313,,              1778298,,              2818760,             10196371,              5134836,,,                140294,,               -273817,,                 92209,,                  2551,               -223181,              4911655,,              1214663,              3696992,              3696992,,,                    206,                    206,,               -808070,              5600172,              1108975,,                     50,               -135858,              6036985,              6037191,              9734183,,              3680425,                 16567,,              9721278,                 12905,,                              4.96,                              4.96,,                              4.93,                              4.93,,,,,,,
2357,2014年第3季,,            123915618,,            106610887,             17304731,             17304731,,,              6465658,,              1594557,,              3543557,             11603772,              5700959,,,              1834501,,                 24320,,                 24476,,                  5102,              1839447,              7540406,,              1665611,              5874795,              5874795,,,                              0,                              0,,                755419,             -2056541,                710445,,                     86,                -96870,               -493721,               -493721,              5381074,,              5811266,                 63529,,              5315726,                 65348,,                              7.82,                              7.82,,                              7.80,                              7.80,,,,,,,
2357,2014年第2季,,            105197082,,             89773531,             15423551,             15423551,,,              5994635,,              2128086,,              2518651,             10641372,              4782179,,,                259650,,              1363007,,                 44482,,                  4991,              1583166,              6365345,,              1503583,              4861762,              4861762,,,                              0,                              0,,               -911564,             10046241,                 33240,,                   -831,                861374,              8305712,              8305712,             13167474,,              4788722,                 73040,,             13098430,                 69044,,                              6.45,                              6.45,,                              6.43,                              6.43,,,,,,,
2357,2014年度,,            477408049,,            412024261,             65383788,             65383788,,,             24602102,,              7703711,,             11368011,             43673824,             21709964,,,              2405409,,              1527920,,                268265,,                 22486,              3687550,             25397514,,              5683109,             19714405,             19714405,,,,,,,,,,,,,             23461100,             43175505,,             19470409,                243996,,             42926013,                249492,,                             26.21,                             26.21,,                             26.07,                             26.07,              2560043,             19890799,                600819,                -15052,,                   -187,               -424678
2357,2014年01月01日至2014年09月30日,,            339448699,,            291909886,             47538813,             47538813,,,             17460220,,              5771655,,              8783945,             32015820,             15522993,,,              2207926,,              1566007,,                103185,,                 15304,              3686052,             19209045,,              4050070,             15158975,             15158975,,,                              0,                              0,,                721739,             10749281,              1082698,,                   -553,              1103062,             11450103,             11450103,             26609078,,             14961605,                197370,,             26408969,                200109,,                             20.14,                             20.14,,                             20.03,                             20.03,,,,,,,
2357,2014年01月01日至2014年06月30日,,            215533081,,            185298999,             30234082,             30234082,,,             10994562,,              4177098,,              5240388,             20412048,              9822034,,,                373425,,              1541687,,                 78709,,                 10202,              1846605,             11668639,,              2384459,              9284180,              9284180,,,                              0,                              0,,                -33680,             12805822,                372253,,                   -639,              1199932,             11943824,             11943824,             21228004,,              9150339,                133841,,             21093243,                134761,,                             12.32,                             12.32,,                             12.25,                             12.25,,,,,,,
