證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　　 租金收入,　　　 處分投資利益,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
2369,2015年第3季,,              1343555,,              1245686,                 97869,                 97869,,,                 20485,,                 70120,,                 37886,                128491,                -30622,,,,                  2616,                 11929,                  6330,                 20875,,                     13,                  8583,                              0,                     47,                  8549,,                  6520,                  6520,                 22904,                 -7718,,                  7716,                -15434,                -15434,,,                 13093,                -54244,                -41151,                -41151,                -56585,,                -10808,                 -4626,,                -51959,                 -4626,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,,,,,,,,,,,,,,
2369,2015年第2季,,              1379294,,              1288077,                 91217,                 91217,,,                 21374,,                 75386,,                 38262,                135022,                -43805,,,,                  2855,,                 12006,                 14861,,                  1199,                    202,                              0,                  1933,                   -532,,                  5812,                  5812,                  8517,                -35288,,                  6374,                -41662,                -41662,,,                 -5016,                -80441,                -85457,                -85457,               -127119,,                -39783,                 -1879,,               -125240,                 -1879,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,,,,,,,,,,,,,,,
2369,2015年01月01日至2015年09月30日,,              4125332,,              3817998,                307334,                307334,,,                 63094,,                209811,,                114281,                387186,                -79852,,,,                  7787,                 12498,                 25379,                 45664,,                  1662,                 11489,                              0,                  3023,                 10128,,                 17851,                 17851,                 37941,                -41911,,                 24633,                -66544,                -66544,,,                    632,               -112145,               -111513,               -111513,               -178057,,                -58492,                 -8052,,               -170005,                 -8052,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,,,,,,,,,,,,,,,,,
2369,2015年01月01日至2015年06月30日,,              2781777,,              2572312,                209465,                209465,,,                 42609,,                139691,,                 76395,                258695,                -49230,,,,                  5171,,                 19618,                 24789,,                  1649,                  2906,                              0,                  2976,                  1579,,                 11331,                 11331,                 15037,                -34193,,                 16917,                -51110,                -51110,,,                -12461,                -57901,                -70362,                -70362,               -121472,,                -47684,                 -3426,,               -118046,                 -3426,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,,,,,,,,,,,,,,,,,
2369,2015年01月01日至2015年03月31日,,              1402483,,              1284235,                118248,                118248,,,                 21235,,                 64305,,                 38133,                123673,                 -5425,,,,                  2316,,                  7612,                  9928,,                    450,                  2704,                              0,                  1043,                  2111,,                  5519,                  5519,                  6520,                  1095,,                 10543,                 -9448,                 -9448,,,                 -7445,                 22540,                 15095,                 15095,                  5647,,                 -7901,                 -1547,,                  7194,                 -1547,,,                             -0.02,,,                             -0.02,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,,
2369,2014年第3季,,              1533855,,              1337986,                195869,                195869,,,                 20720,,                 84628,,                 38217,                143565,                 52304,,,,                  1556,                  9969,                  4651,                 16176,,                -14658,                  4312,                              0,                    174,                -10520,,                  2815,                  2815,                  2841,                 55145,,                -18797,                 73942,                 73942,,,                 10636,                 26288,                 36924,                 36924,                110866,,                 71154,                  2788,,                108078,                  2788,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,,,,,,,,,,
2369,2014年第2季,,              1546391,,              1326965,                219426,                219426,,,                 20737,,                 73055,,                 39835,                133627,                 85799,,,,                  2395,,                  9518,                 11913,,                    410,                    755,                              0,                    430,                    735,,                  1907,                  1907,                 10741,                 96540,,                 32058,                 64482,                 64482,,,                -11428,                  8903,                 -2525,                 -2525,                 61957,,                 63717,                    765,,                 61192,                    765,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,,,,,
2369,2014年度,,              5935929,,              5195801,                740128,                740128,,,                 83850,,                287002,,                151913,                522765,                217363,,,,                  6850,                 10691,                 26750,                 47357,,,                 10321,,                  1418,                 -4983,,                 11819,                 11819,                 30555,                247918,,                 61125,                186793,                186793,,,,,,                139298,                326091,,                186944,                   -151,,                325815,                    276,,                              0.50,                              0.50,,                              0.50,                              0.50,,,,,,,,,,                  3066,                     58,                 13944,                              0,                 30371,                 78315,                 36880,                 -6268
2369,2014年01月01日至2014年09月30日,,              4474973,,              3881717,                593256,                593256,,,                 61519,,                233376,,                116896,                411791,                181465,,,,                  4944,                 10691,                 23445,                 39080,,                -14248,                  6637,                     60,                    618,                 -8169,,                  6857,                  6857,                 24054,                205519,,                 33646,                171873,                171873,,,                  6824,                 58541,                 65365,                 65365,                237238,,                172861,                   -988,,                238226,                   -988,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,,,,,,,,,,,,,,
2369,2014年01月01日至2014年06月30日,,              2941118,,              2543731,                397387,                397387,,,                 40799,,                148748,,                 78679,                268226,                129161,,,,                  3388,,                 19516,                 22904,,                    410,                  2325,                     60,                    444,                  2351,,                  4042,                  4042,                 21213,                150374,,                 52443,                 97931,                 97931,,,                 -3812,                 32253,                 28441,                 28441,                126372,,                101707,                 -3776,,                130148,                 -3776,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,,,,,,,,,,,,
