證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2385,2015年第3季,,             21031726,,             17724717,              3307009,              3307009,,,                818720,,                639156,,                618267,              2076143,              1230866,,,                156867,,               -111825,,                 22000,,                -38272,                -15230,              1215636,,                231526,                984110,                984110,,,              1563231,               -224583,,                  3328,              1341976,              1341976,              2326086,,                830530,                153580,,              2061136,                264950,,                              1.25,                              1.25,,                              1.24,                              1.24,,,,,
2385,2015年第2季,,             20260552,,             17368068,              2892484,              2892484,,,                737637,,                627700,,                560723,              1926060,                966424,,,                317214,,                165060,,                 17353,,                -47122,                417799,              1384223,,                185893,              1198330,              1198330,,,               -478644,             -1377165,,                 -4612,             -1860421,             -1860421,               -662091,,              1034743,                163587,,               -593659,                -68432,,                              1.57,                              1.57,,                              1.55,                              1.55,,,,,
2385,2015年01月01日至2015年09月30日,,             59295628,,             50514019,              8781609,              8781609,,,              2254521,,              1860441,,              1709624,              5824586,              2957023,,,                556211,,                149014,,                 52232,,               -136654,                516339,              3473362,,                603501,              2869861,              2869861,,,                821743,             -1770192,,                 -5101,               -953550,               -953550,              1916311,,              2467516,                402345,,              1671339,                244972,,                              3.72,                              3.72,,                              3.67,                              3.67,,,,,
2385,2015年01月01日至2015年06月30日,,             38263902,,             32789302,              5474600,              5474600,,,              1435801,,              1221285,,              1091357,              3748443,              1726157,,,                399344,,                260839,,                 30232,,                -98382,                531569,              2257726,,                371975,              1885751,              1885751,,,               -741488,             -1545609,,                 -8429,             -2295526,             -2295526,               -409775,,              1636986,                248765,,               -389797,                -19978,,                              2.49,                              2.49,,                              2.45,                              2.45,,,,,
2385,2015年01月01日至2015年03月31日,,             18003350,,             15421234,              2582116,              2582116,,,                698417,,                593585,,                530634,              1822636,                759480,,,                 82130,,                 96032,,                 12879,,                -51260,                114023,                873503,,                186082,                687421,                687421,,,               -262844,               -168444,,                 -3817,               -435105,               -435105,                252316,,                602243,                 85178,,                203862,                 48454,,                              0.91,                              0.91,,                              0.90,                              0.90,,,,,
2385,2014年第3季,,             19996569,,             16719465,              3277104,              3277104,,,                880773,,                590051,,                560842,              2031666,              1245438,,,                 61302,,                116027,,                 12239,,                -36977,                128113,              1373551,,                172771,              1200780,              1200780,,,                501737,               -385846,,                  7282,                123173,                123173,              1323953,,              1010211,                190569,,              1178926,                145027,,                              1.53,                              1.53,,                              1.52,                              1.52,,,,,
2385,2014年第2季,,             18981372,,             16013915,              2967457,              2967457,,,                890941,,                553789,,                516753,              1961483,              1005974,,,                304583,,                205338,,                 10082,,                -18833,                481006,              1486980,,                325944,              1161036,              1161036,,,               -417289,               -337111,,                 -8543,               -762943,               -762943,                398093,,              1003429,                157607,,                239575,                158518,,                              1.53,                              1.53,,                              1.52,                              1.52,,,,,
2385,2014年度,,             80110692,,             67564442,             12546250,             12546250,,,              3265651,,              2416535,,              2182395,              7864581,              4681669,,,                517712,,                544979,,                 46587,,                -91916,                924188,              5605857,,                950027,              4655830,              4655830,,,,,,,,               -378189,              4277641,,              4080939,                574891,,              3699702,                577939,,                              6.22,                              6.22,,                              6.13,                              6.13,              1107967,             -1472903,                -24195,,                 10942
2385,2014年01月01日至2014年09月30日,,             55934464,,             47167931,              8766533,              8766533,,,              2450814,,              1750639,,              1554025,              5755478,              3011055,,,                413778,,                435319,,                 32742,,                -54148,                762207,              3773262,,                665680,              3107582,              3107582,,,                243115,             -1111084,,                  2552,               -865417,               -865417,              2242165,,              2690573,                417009,,              1823838,                418327,,                              4.08,                              4.08,,                              4.04,                              4.04,,,,,
2385,2014年01月01日至2014年06月30日,,             35937895,,             30448466,              5489429,              5489429,,,              1571679,,              1160588,,                993183,              3725450,              1763979,,,                352476,,                320930,,                 20503,,                -17171,                635732,              2399711,,                492909,              1906802,              1906802,,,               -258622,               -725238,,                 -4730,               -988590,               -988590,                918212,,              1680362,                226440,,                644912,                273300,,                              2.57,                              2.57,,                              2.54,                              2.54,,,,,
2385,2014年01月01日至2014年03月31日,,             16956523,,             14434551,              2521972,              2521972,,,                680738,,                606799,,                476430,              1763967,                758005,,,                 47893,,                115592,,                 10421,,                  1662,                154726,                912731,,                166965,                745766,                745766,,,                158667,               -388127,,                  3813,               -225647,               -225647,                520119,,                676933,                 68833,,                405337,                114782,,                              1.04,                              1.04,,                              1.03,                              1.03,,,,,
2385,2013年第3季,,             18332492,,             15475202,              2857290,              2857290,,,                701595,,                590689,,                581740,              1874024,                983266,,,                 73056,,                237656,,                 11148,,                 17349,                316913,              1300179,,                220279,              1079900,              1079900,,,,,,,,               -121616,                958284,,                933012,                146888,,                704877,                253407,,                              1.43,                              1.43,,                              1.41,                              1.41,               -143938,                 22017,,,                    305
2385,2013年第2季,,             17968046,,             15376631,              2591415,              2591415,,,                693782,,                397423,,                511440,              1602645,                988770,,,                176996,,                 21862,,                 21490,,                 -2194,                175174,              1163944,,                188289,                975655,                975655,,,,,,,,                117605,              1093260,,                886369,                 89286,,              1125002,                -31742,,                              1.36,                              1.36,,                              1.35,                              1.35,                118794,                 -4762,,,                  3573
2385,2013年度,,             74539148,,             63100209,             11438939,             11438939,,,              2725831,,              2400186,,              2060193,              7186210,              4252729,,,                440860,,                338907,,                 85470,,                 35994,                730291,              4983020,,                853279,              4129741,              4129741,,,,,,,,              1864384,              5994125,,              3782029,                347712,,              5577272,                416853,,                              5.81,                              5.81,,                              5.70,                              5.70,                849270,              1013546,                -10257,,                 11825
2385,2013年07月01日至2013年09月30日,,             18332492,,             15475202,              2857290,              2857290,,,                701595,,                590689,,                581740,              1874024,                983266,,,                 73056,,                237656,,                 11148,,                 17349,                316913,              1300179,,                220279,              1079900,              1079900,,,,,,,,               -121616,                958284,,                933012,                146888,,                704877,                253407,,                              1.43,                              1.43,,                              1.42,                              1.42,               -143938,                 22017,,,                    305
2385,2013年04月01日至2013年06月30日,,             17968046,,             15376631,              2591415,              2591415,,,                693782,,                397423,,                511440,              1602645,                988770,,,                176996,,                 21862,,                 21490,,                 -2194,                175174,              1163944,,                188289,                975655,                975655,,,,,,,,                117605,              1093260,,                886369,                 89286,,              1125002,                -31742,,                              1.37,                              1.37,,                              1.35,                              1.35,                118794,                 -4762,,,                  3573
