證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
2412,2015年第3季,,             56177648,,             33894856,             22282792,             22282792,,,              6183832,,              1104842,,                913979,              8202653,,                -42604,             14037535,,,,                 82263,                 51281,                133544,,               -132285,,                  8160,,                199643,                192742,             14230277,,              2262588,             11967689,             11967689,,,,                              0,                              0,                              0,,                213290,               -505140,                 15144,,                  6080,                  6080,                   -724,               -269902,               -269902,             11697787,,             11801308,                166381,,             11502868,                194919,,                              1.52,                              1.52,,                              1.52,                              1.52,,,,,,,,,
2412,2015年第2季,,             56920593,,             35710904,             21209689,             21209689,,,              6026364,,              1104653,,                866651,              7997668,,                -14662,             13197359,,,,                 94805,                270707,                365512,,               -194512,,                  6845,,                188364,                352519,             13549878,,              2187266,             11362612,             11362612,,,,                              0,                              0,                              0,,                -55626,               -761656,                              0,,                   -426,                   -426,                    484,               -818192,               -818192,             10544420,,             11133809,                228803,,             10323518,                220902,,                              1.44,                              1.44,,                              1.43,                              1.43,,,,,,,,,
2412,2015年第1季,,             56472807,,             36695881,             19776926,             19776926,,,              5982605,,              1145124,,                835127,              7962856,,                -29120,             11784950,,,,                 67297,                252684,                319981,,                126258,,                  8657,,                300526,                738108,             12523058,,              1955265,             10567793,             10567793,,,,                   -265,                   -265,                   -265,,                -29402,                428190,                    283,,                    875,                    875,                  3328,                396618,                396353,             10964146,,             10418425,                149368,,             10820396,                143750,,                              1.34,                              1.34,,                              1.34,                              1.34,,,,,,,,,
2412,2015年01月01日至2015年09月30日,,            169571048,,            106301641,             63269407,             63269407,,,             18192801,,              3354619,,              2615757,             24163177,,                -86386,             39019844,,,,                244365,                574672,                819037,,               -200539,,                 23662,,                688533,              1283369,             40303213,,              6405119,             33898094,             33898094,,,,                   -265,                   -265,                   -265,,                128262,               -838606,                 15427,,                  6529,                  6529,                  3088,               -691476,               -691741,             33206353,,             33353542,                544552,,             32646782,                559571,,                              4.30,                              4.30,,                              4.29,                              4.29,,,,,,,,,
2412,2015年01月01日至2015年06月30日,,            113393400,,             72406785,             40986615,             40986615,,,             12008969,,              2249777,,              1701778,             15960524,,                -43782,             24982309,,,,                162102,                523391,                685493,,                -68254,,                 15502,,                488890,              1090627,             26072936,,              4142531,             21930405,             21930405,,,,                   -265,                   -265,                   -265,,                -85028,               -333466,                    283,,                    449,                    449,                  3812,               -421574,               -421839,             21508566,,             21552234,                378171,,             21143914,                364652,,                              2.78,                              2.78,,                              2.77,                              2.77,,,,,,,,,
2412,2014年第3季,,             56140678,,             36410236,             19730442,             19730442,,,              6680347,,                994070,,                872483,              8546900,,                -13868,             11169674,,,,                 73175,                 79815,                152990,,                 94817,,                 14842,,                275295,                508260,             11677934,,              1882711,              9795223,              9795223,,,,                              0,                              0,                              0,,                 50746,                -24227,                   -751,,                 28788,                 28788,                 -1877,                 56433,                 56433,              9851656,,              9730093,                 65130,,              9769240,                 82416,,                              1.25,                              1.25,,                              1.25,                              1.25,,,,,,,,,
2412,2014年第2季,,             55784235,,             35062259,             20721976,             20721976,,,              6428766,,              1083515,,                871130,              8383411,,                -10995,             12327570,,,,                 83609,                142342,                225951,,                 24654,,                 10559,,                219616,                459662,             12787232,,              2091762,             10695470,             10695470,,,,                              0,                              0,                              0,,                -51248,                 26162,                   -263,,                -32245,                -32245,                   -846,                -56748,                -56748,             10638722,,             10582138,                113332,,             10541457,                 97265,,                              1.36,                              1.36,,                              1.36,                              1.36,,,,,,,,,
2412,2014年第1季,,             55049912,,             35022225,             20027687,             20027687,,,              6167941,,              1083312,,                871854,              8123107,,                 -8510,             11896070,,,,                 59123,                253067,                312190,,                -31022,,                  8726,,                172106,                444548,             12340618,,              1955848,             10384770,             10384770,,,,                              0,                              0,                              0,,                 14517,               -259967,                              0,,                  7604,                  7604,                 -1036,               -236810,               -236810,             10147960,,             10234565,                150205,,             10006821,                141139,,                              1.32,                              1.32,,                              1.32,                              1.32,,,,,,,,,
2412,2014年度,,            226608686,,            148379560,             78229126,             78229126,,,             26139779,,              4414439,,              3503665,             34057883,,                630565,             44801808,,,,                288134,                586899,                875033,,                130972,,                 46148,,                797473,              1757330,             46559138,,              7393460,             39165678,             39165678,,,,,,,,,,,,,,,,                641428,             39807106,,             38616176,                549502,,             39240095,                567011,,                              4.98,                              4.98,,                              4.97,                              4.97,                 46148,                163629,                878203,                   -283,               -492358,,                  5194,                -87043,
2412,2014年01月01日至2014年09月30日,,            166974825,,            106494720,             60480105,             60480105,,,             19277054,,              3160897,,              2615467,             25053418,,                -33373,             35393314,,,,                215907,                475224,                691131,,                 88449,,                 34127,,                667017,              1412470,             36805784,,              5930321,             30875463,             30875463,,,,                              0,                              0,                              0,,                 14015,               -258032,                 -1014,,                  4147,                  4147,                 -3759,               -237125,               -237125,             30638338,,             30546796,                328667,,             30317518,                320820,,                              3.94,                              3.94,,                              3.93,                              3.93,,,,,,,,,
