證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2434,2015年第3季,,,                 56309,                 56309,,,                228699,                228699,               -172390,               -172390,,,                  7557,,                 13703,,                  2170,                 23430,,                              0,               -195820,,,                  3155,,                 17763,,                  1054,                 19864,               -175956,,                   -630,               -175326,               -175326,,,                  4310,                              0,                    733,                  3577,                  3577,               -171749,,               -175326,,               -171749,                              0,                              0,,                             -1.58,                             -1.58,,,,,,,,,,,,,
2434,2015年第2季,,,                 54089,                 54089,,,                 72080,                 72080,                -17991,                -17991,,,                  7348,,                 13300,,                  2052,                 22700,,                              0,                -40691,,,                  4316,,                 -9592,,                  1315,                 -6591,                -47282,,                  1671,                -48953,                -48953,,,                 -2075,                              0,                   -353,                 -1722,                 -1722,                -50675,,                -48953,,                -50675,                              0,                              0,,                             -0.44,                             -0.44,,,,,,,,,,,,,
2434,2015年01月01日至2015年09月30日,,,                157372,                157372,,,                372318,                372318,               -214946,               -214946,,,                 21977,,                 39130,,                  6306,                 67413,,                              0,               -282359,,,                  8751,,                  9161,,                  3890,                 14022,               -268337,,                    522,               -268859,               -268859,,,                 -1212,                      3,                   -206,                 -1003,                 -1003,               -269862,,               -268859,,               -269862,                              0,                              0,,                             -2.43,                             -2.43,,,,,,,,,,,,,
2434,2015年01月01日至2015年06月30日,,,                101063,                101063,,,                143619,                143619,                -42556,                -42556,,,                 14420,,                 25427,,                  4136,                 43983,,                              0,                -86539,,,                  5596,,                 -8602,,                  2836,                 -5842,                -92381,,                  1152,                -93533,                -93533,,,                 -5522,                      3,                   -939,                 -4580,                 -4580,                -98113,,                -93533,,                -98113,                              0,                              0,,                             -0.85,                             -0.85,,,,,,,,,,,,,
2434,2015年01月01日至2015年03月31日,,,                 46974,                 46974,,,,                 71539,                -24565,                -24565,,,                  7072,,                 12127,,                  2084,                 21283,,                              0,                -45848,,,                  1280,,                    990,,                  1521,                    749,                -45099,,                   -519,                -44580,                -44580,,,                 -3447,                      3,                   -586,                 -2858,                 -2858,                -47438,,                -44580,,                -47438,                              0,                              0,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,,,,,,,,,,
2434,2014年第3季,,,                 59516,                 59516,,,                 92129,                 92129,                -32613,                -32613,,,                  1480,,                 30604,,                  2341,                 34425,,                              0,                -67038,,,                  2602,,                  5829,,                  1641,                  6790,                -60248,,                              0,                -60248,                -60248,,,                  3777,                              0,                    642,                  3135,                  3135,                -57113,,                -60248,,                -57113,                              0,                              0,,                             -0.41,                             -0.41,,,,,,,,,,,,,
2434,2014年第2季,,,                 74591,                 74591,,,                 96299,                 96299,                -21708,                -21708,,,                 18627,,                 27330,,                  1951,                 47908,,                              0,                -69616,,,                  3063,,                -11059,,                  1641,                 -9637,                -79253,,                              0,                -79253,                -79253,,,                -15943,                     -1,                 -9628,                 -6316,                 -6316,                -85569,,                -79253,,                -85569,                              0,                              0,,                             -0.72,                             -0.72,,,,,,,,,,,,,
2434,2014年度,,,                256364,                256364,,,                290505,                290505,                -34141,                -34141,,,                 26038,,                 72557,,                  8045,                106640,,                -10424,               -151205,,,                  8052,,                425321,,                  6751,                426622,                275417,,                  4426,                270991,                270991,,,,,,,                 -4837,                266154,,                270991,,                266154,,,,                              2.45,                              2.45,,,,                 -2756,                     -1,                -12200,                -10120,,,,,,
2434,2014年01月01日至2014年09月30日,,,                197849,                197849,,,                289147,                289147,                -91298,                -91298,,,                 26012,,                101175,,                  6276,                133463,,                 -8929,               -233690,,,                  5856,,                414417,,                  5158,                415115,                181425,,                              0,                181425,                181425,,,                -12944,                     -1,                 -9778,                 -3167,                 -3167,                178258,,                181425,,                178258,                              0,                              0,,                              1.23,                              1.23,,,,,,,,,,,,,
2434,2014年01月01日至2014年06月30日,,,                138333,                138333,,,                197018,                197018,                -58685,                -58685,,,                 24532,,                 70571,,                  3935,                 99038,,                 -8929,               -166652,,,                  3254,,                408588,,                  3517,                408325,                241673,,                              0,                241673,                241673,,,                -16721,                     -1,                -10420,                 -6302,                 -6302,                235371,,                241673,,                235371,                              0,                              0,,                              2.18,                              2.18,,,,,,,,,,,,,
2434,2014年01月01日至2014年03月31日,,,                 63742,                 63742,,,,                100719,                -36977,                -36977,,,                  5905,,                 43241,,                  1984,                 51130,,                 -8929,                -97036,,,                    191,,                419647,,                  1876,                417962,                320926,,                              0,                320926,                320926,,,                -10899,                              0,                -10913,                     14,                     14,                320940,,                320926,,                320940,                              0,                              0,,                              2.90,                              2.90,,                              2.90,                              2.90,,,,,,,,,,
2434,2013年第3季,,,                100061,                100061,,,,                 97521,                  2540,                  2540,,,                  3304,,                 13313,,                  2339,                 18956,,                              0,                -16416,,,                    391,,                 -1171,,                  1438,                 -2218,                -18634,,                              0,                -18634,                -18634,,,,,,,                 -4104,                -22738,,                -18634,,                -22738,,,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,                 -4944,                              0,,                   -840,,,,,,
2434,2013年第2季,,,                131888,                131888,,,,                134768,                 -2880,                 -2880,,,                  3013,,                 12619,,                  2486,                 18118,,                              0,                -20998,,,                    678,,                  6844,,                  2028,                  5494,                -15504,,                  8717,                -24221,                -24221,,,,,,,                  6725,                -17496,,                -24221,,                -17496,                              0,                              0,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,                  8104,                     -2,,                  1377,,                              0,                              0,                              0,                              0.00,                              0.00
2434,2013年度,,,                474806,                474806,,,                480536,                480536,                 -5730,                 -5730,,,                 17058,,                 57266,,                  9592,                 83916,,                              0,                -89646,,,                  3102,,                -81827,,                  6875,                -85600,               -175246,,                  7141,               -182387,               -182387,,,,,,,                 27799,               -154588,,               -182387,,               -154588,,,,                             -1.68,                             -1.68,,,,                 24575,                     -1,                  7403,                  4178,,,,,,
2434,2013年01月01日至2013年09月30日,,,                357931,                357931,,,,                359201,                 -1270,                 -1270,,,                 13804,,                 39554,,                  7476,                 60834,,                              0,                -62104,,,                  1466,,                 13376,,                  5088,                  9754,                -52350,,                  6736,                -59086,                -59086,,,,,,,                 12292,                -46794,,                -59086,,                -46794,,,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,                 14811,                     -1,,                  2518,,,,,,
2434,2013年01月01日至2013年06月30日,,,                257870,                257870,,,,                261680,                 -3810,                 -3810,,,                 10500,,                 26241,,                  5137,                 41878,,                              0,                -45688,,,                  1075,,                 14547,,                  3650,                 11972,                -33716,,                  6736,                -40452,                -40452,,,,,,,                 16396,                -24056,,                -40452,,                -24056,                              0,                              0,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,                 19755,                     -1,,                  3358,,                              0,                              0,                              0,                              0.00,                              0.00
2434,2013年01月01日至2013年03月31日,,,,                125982,,,,                126912,                   -930,                   -930,,,                  7487,,                 13622,,                  2651,                 23760,,                              0,                -24690,,,                    397,,                  7703,,                  1622,                  6478,                -18212,,                 -1981,                -16231,                -16231,,,,,,,                  9671,                 -6560,,                -16231,,                 -6560,,,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,                 11651,                      1,,                  1981,,                              0,,,                              0.00,                              0.00
