證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他費損,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2450,2015年第3季,,,,              7837306,                 80214,                114048,              7643044,,                458801,              8101845,,,              6963248,,                163941,              7127189,                974656,                974656,,,                856981,,                 87190,                944171,,                 24907,                -24907,                  5578,,,,                  5071,                  7002,                     60,                 17598,                 29731,,                              0,                  5639,                  4747,                  1966,                              0,                 -1074,,                  2359,                  2359,,                 86205,                112503,                118081,,                 10607,                107474,                107474,,,                 29672,,                  4857,                  4857,                 34529,                 34529,                142003,,                107412,                     62,,                141941,                     62,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,,
2450,2015年第2季,,,,              8613410,                 67153,                145829,              8400428,,                669880,              9070308,,,              7703335,,                160244,              7863579,              1206729,              1206729,,,                879122,,                 85027,                964149,,                  8157,                 -8157,                234423,,,,                  6290,                 11013,,                 17990,                 35293,,                              0,                  1175,                 51073,                  1912,                              0,                -51810,,                  1138,                  1138,,                 67093,                 49438,                283861,,                 47358,                236503,                236503,,,                 -8317,,                   -979,                   -979,                 -9296,                 -9296,                227207,,                236503,,,                227207,,,                              0.92,                              0.92,,                              0.91,                              0.91,,,,,,,,
2450,2015年第1季,,,,              8868921,                 74247,                141666,              8653008,,                461254,              9114262,,,              7798854,,                140820,              7939674,              1174588,              1174588,,,              1002660,,                 90051,              1092711,,                 24449,                -24449,                 57428,,,,                  3680,                  9453,,                 26857,                 39990,,                  2090,                    193,                  8850,,                    481,                 -7048,,                  2679,                  2679,,                 64505,                 94768,                152196,,                 21693,                130503,                130503,,,                 -7666,,                 -1138,                 -1138,                 -8804,                 -8804,                121699,,                130503,,,                121699,,,                              0.51,                              0.51,,                              0.50,                              0.50,,,,,,,,
2450,2015年01月01日至2015年09月30日,,,,             25319637,                221614,                401543,             24696480,,              1589935,             26286415,,,             22465437,,                465005,             22930442,              3355973,              3355973,,,              2738763,,                262268,              3001031,,                 57513,                -57513,                297429,,,,                 15041,                 27468,                     60,                 62445,                105014,,                              0,                  6526,                 64670,                  1788,                              0,                -59932,,                  6176,                  6176,,                217803,                256709,                554138,,                 79658,                474480,                474480,,,                 13689,,                  2740,                  2740,                 16429,                 16429,                490909,,                474418,                     62,,                490847,                     62,,                              1.86,                              1.86,,                              1.86,                              1.86,,,,,,,,
2450,2015年01月01日至2015年06月30日,,,,             17482331,                141400,                287495,             17053436,,              1131134,             18184570,,,             15502189,,                301064,             15803253,              2381317,              2381317,,,              1881782,,                175078,              2056860,,                 32606,                -32606,                291851,,,,                  9970,                 20466,,                 44847,                 75283,,                    178,                  1216,                 59923,                              0,                    329,                -58858,,                  3817,                  3817,,                131598,                144206,                436057,,                 69051,                367006,                367006,,,                -15983,,                 -2117,                 -2117,                -18100,                -18100,                348906,,                367006,,,                348906,,,                              1.42,                              1.42,,                              1.42,                              1.42,,,,,,,,
2450,2014年第3季,,,,              8738807,                 34262,                146002,              8558543,,                591431,              9149974,,,              7820797,,                176541,              7997338,              1152636,              1152636,,,              1151801,,                 93520,              1245321,,                  2546,                 -2546,                -95231,,,,                  2659,                 10920,                    660,                 30641,                 44880,,                              0,                  4286,                  3985,                  6262,                              0,                 -5961,,                  4410,                  4410,,                 54575,                 89084,                 -6147,,                -10304,                  4157,                  4157,,,                 23916,,                  1251,                  1251,                 25167,                 25167,                 29324,,                  4157,                              0,,                 29324,                              0,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,
2450,2014年第2季,,,,             10574516,                108778,                194830,             10270908,,                655811,             10926719,,,              9458896,,                165698,              9624594,              1302125,              1302125,,,              1142511,,                113773,              1256284,,                  5121,                 -5121,                 40720,,,,                  3908,                 10935,,                 31800,                 46643,,                  1209,                    315,                  5063,                              0,                     58,                 -3597,,                  3597,                  3597,,                 56540,                 95989,                136709,,                 32421,                104288,                104288,,,                -16031,,                 -1139,                 -1139,                -17170,                -17170,                 87118,,                104288,,,                 87118,,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,,,
2450,2014年第1季,,,,             10137660,                120459,                214612,              9802589,,                753254,             10555843,,,              8919173,,                199307,              9118480,              1437363,              1437363,,,              1193742,,                108354,              1302096,,                  2872,                 -2872,                132395,,,,                  1775,                 10869,,                 20862,                 33506,,                  5469,                     58,                    839,,                    771,                  3917,,                  1467,                  1467,,                 43305,                 79261,                211656,,                 28792,                182864,                182864,,,                 -8610,,                  1472,                  1472,                 -7138,                 -7138,                175726,,                182864,,,                175726,,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,,,,,
2450,2014年度,,,,             39709871,                303660,                678318,             38727893,,              2623866,             41351759,,,             35390326,,                707750,             36098076,              5253683,              5253683,,,              4530621,,                408283,              4938904,,                 39489,                -39489,                275290,,,,                 11706,                 43829,                    660,                129952,                186147,,                  4804,                  1163,                 24409,,                     21,                -18463,,                 13766,                 13766,,                212891,                366809,                642099,,                 92136,                549963,                549963,,,,,,,,                 29300,                579263,,                549963,,,                579263,,,                              2.13,                              2.13,,                              2.12,                              2.12,                              0,                 28629,                 -5448,,                  4454,                    740,                  5194,                   -925
2450,2014年01月01日至2014年09月30日,,,,             29450983,                263499,                555444,             28632040,,              2000496,             30632536,,,             26198866,,                541546,             26740412,              3892124,              3892124,,,              3488054,,                315647,              3803701,,                 10539,                -10539,                 77884,,,,                  8342,                 32724,                    660,                 83303,                125029,,                    416,                  4010,                  9887,                              0,                    180,                 -5641,,                  9474,                  9474,,                154420,                264334,                342218,,                 50909,                291309,                291309,,,                   -725,,                  1584,                  1584,                    859,                    859,                292168,,                291309,                              0,,                292168,                              0,,                              1.13,                              1.13,,                              1.12,                              1.12,,,,,,,,
