證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 與可能重分類之項目相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　 未實現銷貨（損）益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　 當期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　　 天然氣銷貨收入（天然氣業）,　　　 專櫃銷貨收入（百貨業適用）,　　　 分期付款銷貨收入,　　　 銷貨退回
2458,2015年第3季,,,              1675170,,                  7664,              1682834,,                999274,                683560,                    -58,                683502,,,                 78185,,                 77106,,                331417,                486708,                196794,,,                 20018,,                              0,                    888,                 49250,                 12122,                  3513,                     97,                  2972,,                 12336,                 12336,                 43342,,                    402,,                 -4622,                  4622,                 67580,                264374,,                 49079,                215295,                215295,,,                  2253,                -48937,,                              0,                              0,                -46684,                -46684,                168611,,                236317,                -21022,,                189153,                -20542,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,,,,,,,,,,,,,,,,,,,,,
2458,2015年第2季,,,              1495408,,                 23434,              1518842,,                876559,                642283,                    702,                642985,,,                 78338,,                 79799,,                303183,                461320,                181665,,,                 45670,,,                  8306,                              0,                 -6613,                     15,                     97,                 26101,,                 11378,                 11378,                -50847,,                    236,,                 -3607,                  3607,                 -1806,                179859,,                 35191,                144668,                144668,,,                   -389,                -22146,,,                              0,                -22535,                -22535,                122133,,                160184,                -15516,,                137720,                -15587,,                              0.38,                              0.38,,                              0.38,                              0.38,                 14949,                              0,,,,,,,,,,,,,,,,,,,,,,
2458,2015年第1季,,,              1674584,,                  9824,              1684408,,                900812,                783596,                 -1350,                782246,,,                 98989,,                 81087,,                314672,                494748,                287498,,,                 18863,,,,                              0,                  1239,                  2398,                  2454,,,                 11184,                 11184,                -25584,,                     13,,                  2809,                 -2809,                 -9543,                277955,,                 56209,                221746,                221746,,,                   -470,                 -6502,,,                  4263,                 -2709,                 -2709,                219037,,                245649,                -23903,,                243036,                -23999,,                              0.59,                              0.59,,                              0.58,                              0.58,                 10787,,,,,,,,,,,,,,,,,,,,,,,
2458,2015年01月01日至2015年09月30日,,,              4845162,,                 40922,              4886084,,              2776645,              2109439,                   -706,              2108733,,,                255511,,                237993,,                949272,              1442776,                665957,,,                 84551,,                              0,                  9194,                 23514,                  6748,                  5926,                  2648,                 29073,,                 34898,                 34898,                -33089,,                    650,,                 -5420,                  5420,                 56232,                722189,,                140480,                581709,                581709,,,                  1394,                -77585,,                  4263,                  4263,                -71928,                -71928,                509781,,                642150,                -60441,,                569909,                -60128,,                              1.54,                              1.54,,                              1.52,                              1.52,,,,,,,,,,,,,,,,,,,,,,,,
2458,2015年01月01日至2015年06月30日,,,              3169992,,                 33258,              3203250,,              1777371,              1425879,                   -648,              1425231,,,                177327,,                160886,,                617855,                956068,                469163,,,                 64533,,,                  8306,                              0,                 -5374,                  2413,                  2551,                 26101,,                 22562,                 22562,                -76431,,                    249,,                   -798,                    798,                -11349,                457814,,                 91400,                366414,                366414,,,                   -859,                -28648,,,                  4263,                -25244,                -25244,                341170,,                405833,                -39419,,                380756,                -39586,,                              0.97,                              0.97,,                              0.96,                              0.96,                 25736,                              0,,,,,,,,,,,,,,,,,,,,,,
2458,2014年第3季,,,              1991726,,                  9813,              2001539,,              1083117,                918422,                    -97,                918325,,,                115051,,                 81839,,                330473,                527363,                390962,,,                 15605,,                    572,                 17439,                 21817,                  1639,                     21,                              0,                              0,,                  4251,                  4251,                 37195,,                    189,,                  2128,                 -2128,                 50483,                441445,,                 73992,                367453,                367453,,,                    791,                -53904,,                 -2649,                 -2649,                -55762,                -55762,                311691,,                391801,                -24348,,                335906,                -24215,,                              0.95,                              0.95,,                              0.94,                              0.94,,,,,,,,,,,,,,,,,,,,,,,,
2458,2014年第2季,,,              2111798,,                  1542,              2113340,,              1130154,                983186,                  1683,                984869,,,                162391,,                 85339,,                308730,                556460,                428409,,,                 33530,,,                 95151,                              0,                  3152,                     22,                              0,                              0,,                              0,                              0,                 74604,,                     78,,                  1521,                 -1521,                106535,                534944,,                 95082,                439862,                439862,,,                   -978,                -24993,,,                  1578,                -24393,                -24393,                415469,,                461894,                -22032,,                437631,                -22162,,                              1.12,                              1.12,,                              1.10,                              1.10,                 23677,                              0,,,,,,,,,,,,,,,,,,,,,,
2458,2014年第1季,,,              1705093,,                    493,              1705586,,                922675,                782911,                    671,                783582,,,                 98979,,                 80255,,                295597,                474831,                308751,,,                 15215,,,,                 31343,                  6826,                     59,                              0,,,                              0,                              0,                 38110,,                     11,,                  2357,                 -2357,                 50957,                359708,,                 64483,                295225,                295225,,,                    713,                110353,,,                  1405,                112471,                112471,                407696,,                320061,                -24836,,                432394,                -24698,,                              0.78,                              0.78,,                              0.78,                              0.78,                              0,,,,,,,,,,,,,,,,,,,,,,,
2458,2014年度,,,              7686322,,,              7686322,,              4164452,              3521870,,              3523924,,,                499673,,                328357,,              1264189,              2092219,              1431705,,,                 97772,,                    537,                112590,                 68885,                  6440,                  2514,                              0,,,                 14963,                 14963,                170975,,                    535,,,                -13470,                254742,              1686447,,                283537,              1402910,              1402910,,,,,,,,,                 64891,              1467801,,              1490052,                -87142,,              1554461,                -86660,,                              3.61,                              3.61,,                              3.55,                              3.55,,,,              7729039,              7729039,                 42717,,              4164452,              4164452,                 -2054,,                              0,                283537,,                              0,                  2257,                 61153,,                  1481,,,,,
2458,2014年01月01日至2014年09月30日,,,              5808617,,                 11848,              5820465,,              3135945,              2684520,                  2257,              2686777,,,                376421,,                247433,,                934800,              1558654,              1128123,,,                 64350,,                    572,                112590,                 29483,                 11616,                    101,                              0,                              0,,                  4251,                  4251,                149909,,                    278,,                  6006,                 -6006,                207975,              1336098,,                233557,              1102541,              1102541,,,                    526,                 31456,,                    334,                    334,                 32316,                 32316,              1134857,,              1173757,                -71216,,              1205931,                -71074,,                              2.85,                              2.85,,                              2.81,                              2.81,,,,,,,,,,,,,,,,,,,,,,,,
