證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　　 利息費用,　　　 薪資支出,　　　 租金支出,　　　 文具用品,　　　 旅費,　　　 郵電費,　　　 修繕費,　　　 廣告費,　　　 水電瓦斯費,　　　 保險費,　　　 交際費,　　　 稅捐,　　　 伙食費,　　　 職工福利,　　　 佣金支出,　　　 其他費用,　　　 薪資支出[duplicate]38,　　　 租金支出[duplicate]39,　　　 文具用品[duplicate]40,　　　 旅費[duplicate]41,　　　 郵電費[duplicate]42,　　　 修繕費[duplicate]43,　　　 廣告費[duplicate]44,　　　 水電瓦斯費[duplicate]45,　　　 保險費[duplicate]46,　　　 交際費[duplicate]47,　　　 捐贈,　　　 稅捐[duplicate]49,　　　 折舊,　　　 各項攤提,　　　 伙食費[duplicate]52,　　　 職工福利[duplicate]53,　　　 訓練費,　　　 其他費用[duplicate]55,　　 當期所得稅費用（利益）,　　 其他營業成本,　　　 薪資支出[duplicate]35,　　　 文具用品[duplicate]37,　　　 旅費[duplicate]38,　　　 郵電費[duplicate]39,　　　 廣告費[duplicate]41,　　　 水電瓦斯費[duplicate]42,　　　 保險費[duplicate]43,　　　 交際費[duplicate]44,　　　 稅捐[duplicate]46,　　　 伙食費[duplicate]49,　　　 保全費,　　　 其他費用[duplicate]53,　　　 處分不動產、廠房及設備損失
2539,2015年第3季,,,                    993,                    993,,,                 63466,                      1,                 63465,                 63465,                 64458,,,                 39306,                 39306,                 39306,                 25152,                 25152,,,                 28783,,                  6490,                 35273,                -10121,,,                    259,                    259,,                   -286,,                  2263,                 -2290,                -12411,,                    -26,                    -26,                -12385,                -12385,                -12385,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2015年第2季,,,                    923,                    923,,,              1843435,                    373,              1843062,              1843062,              1843985,,,              1020857,              1020857,              1021143,                822842,                822842,,,                 78412,,                 17690,                 96102,                726740,,,                  1818,                  1818,,                              0,,                  2049,                   -231,                726509,,,                 77674,                648835,                648835,                648835,,,                              2.72,,,,,                    286,                    286,                  2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2015年01月01日至2015年09月30日,,,                  2761,                  2761,,,              2007130,                    374,              2006756,              2006756,              2009517,,,              1121566,              1121566,              1121566,                887951,                887951,,,                128648,,                 32184,                160832,                727119,,,                  2684,                  2684,,                   -287,,                  5794,                 -3397,                723722,,                 77933,                 77933,                645789,                645789,                645789,,                              2.26,                              2.26,,                              2.25,                              2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2015年01月01日至2015年06月30日,,,                  1768,                  1768,,,              1943664,                    373,              1943291,              1943291,              1945059,,,              1081689,              1081689,              1082260,                862799,                862799,,,                 99865,,                 25694,                125559,                737240,,,                  2425,                  2425,,                     -1,,                  3531,                 -1107,                736133,,,                 77959,                658174,                658174,                658174,,,                              2.76,,,,,                    571,                    571,                  3531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2015年01月01日至2015年03月31日,,,                    845,                    845,,,                100229,                              0,                100229,                100229,                101074,,,                 60831,                 60831,                 61117,                 39957,                 39957,,,                 21453,,                  8004,                 29457,                 10500,,,                    607,                    607,,                     -1,,                  1482,                   -876,                  9624,,,                    285,                  9339,                  9339,                  9339,,,                              0.04,,,,,                    286,                    286,                  1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2014年第3季,,,                    845,                    845,,,              1136100,                  9961,              1126139,              1126139,              1126984,,,                675904,                675904,                675904,                451080,                451080,,,                 50362,,                 13282,                 63644,                387436,,,                  1512,                  1512,,                    -89,,                  1226,                    197,                387633,,                 22014,                 22014,                365619,                365619,                365619,,                              1.28,                              1.28,,                              1.28,                              1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2014年第2季,,,                    855,                    855,,,              1738241,                  1064,              1737177,              1737177,              1738032,,,              1075195,              1075195,              1075481,                662551,                662551,,,                102628,,                 16776,                119404,                543147,,,                  1832,                  1832,,                   -661,,                  1572,                   -401,                542746,,,                 56833,                485913,                485913,                485913,,,                              2.04,,,,,                    286,                    286,                  1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2014年度,,,                  3321,                  3321,,,              3715142,                 12081,              3703061,              3703061,              3706382,,,              2249033,              2249033,              2249033,              1457349,              1457349,,,                211446,,                 45309,                256755,              1200594,,,                  4625,                  4625,,                   -757,,                  5845,                 -1977,              1198617,,,                 92295,              1106322,              1106322,              1106322,,                              4.64,                              4.64,,                              4.63,                              4.63,,,,,                  1662,                     11,                     24,                     30,                     47,                     10,                 99346,                    929,                    141,                      4,                    231,                     54,                              0,                106727,                  2230,                 20330,                  2129,                    189,                    155,                    430,                  1510,                    111,                    595,                    999,                    945,                    558,                  8006,                    940,                     33,                    259,                  3067,                    122,                  4931,                 92295,,,,,,,,,,,,,,
2539,2014年01月01日至2014年09月30日,,,                  2472,                  2472,,,              3034326,                 12046,              3022280,              3022280,              3024752,,,              1859535,              1859535,              1859535,              1165217,              1165217,,,                176354,,                 37405,                213759,                951458,,,                  3727,                  3727,,                   -752,,                  4566,                 -1591,                949867,,                 81270,                 81270,                868597,                868597,                868597,,                              3.03,                              3.03,,                              3.03,                              3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2014年01月01日至2014年06月30日,,,                  1627,                  1627,,,              1898226,                  2085,              1896141,              1896141,              1897768,,,              1183060,              1183060,              1183631,                714137,                714137,,,                125992,,                 24123,                150115,                564022,,,                  2215,                  2215,,                   -663,,                  3340,                 -1788,                562234,,,                 59256,                502978,                502978,                502978,,,                              2.11,,,,,                    571,                    571,                  3340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
